Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,15.63,15.76,15.56,15.56,14.26,73523400,0.0,0
2015-04-28,15.58,15.71,15.5,15.65,14.34,58080100,0.0,0
2015-04-29,15.6,16.04,15.57,15.98,14.64,134499400,0.0,0
2015-04-30,16.0,16.05,15.8,15.93,14.6,78313900,0.0,0
2015-05-01,16.0,16.15,15.92,16.11,14.76,78171400,0.0,0
2015-05-04,16.14,16.45,16.12,16.44,15.07,76592300,0.0,0
2015-05-05,16.42,16.61,16.33,16.35,14.98,106148700,0.0,0
2015-05-06,16.36,16.49,16.08,16.29,14.93,96426500,0.0,0
2015-05-07,16.23,16.33,16.09,16.24,14.88,73794800,0.0,0
2015-05-08,16.32,16.46,16.22,16.45,15.07,86333700,0.0,0
2015-05-11,16.45,16.59,16.43,16.49,15.11,56246000,0.0,0
2015-05-12,16.46,16.48,16.35,16.43,15.06,59627100,0.0,0
2015-05-13,16.44,16.52,16.36,16.47,15.09,47330600,0.0,0
2015-05-14,16.53,16.59,16.45,16.52,15.14,55395700,0.0,0
2015-05-15,16.52,16.52,16.3,16.35,14.98,54937800,0.0,0
2015-05-18,16.31,16.54,16.31,16.51,15.13,51059900,0.0,0
2015-05-19,16.59,16.78,16.58,16.77,15.37,89115500,0.0,0
2015-05-20,16.78,16.85,16.63,16.74,15.34,67684000,0.0,0
2015-05-21,16.71,16.75,16.56,16.73,15.33,52056600,0.0,0
2015-05-22,16.72,16.8,16.7,16.75,15.35,47032900,0.0,0
2015-05-26,16.73,16.73,16.43,16.5,15.12,100048200,0.0,0
2015-05-27,16.56,16.75,16.54,16.74,15.34,70026700,0.0,0
2015-05-28,16.72,16.73,16.58,16.67,15.28,60970000,0.0,0
2015-05-29,16.66,16.67,16.47,16.5,15.12,74266200,0.0,0
2015-06-01,16.58,16.64,16.47,16.55,15.17,62941600,0.0,0
2015-06-02,16.52,16.76,16.5,16.72,15.32,65513200,0.0,0
2015-06-03,16.67,17.02,16.67,16.93,15.56,89614900,0.05,0
2015-06-04,16.87,16.98,16.72,16.78,15.42,61025500,0.0,0
2015-06-05,17.04,17.35,16.97,17.19,15.8,119087400,0.0,0
