Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,38.63,38.8,38.19,38.22,35.78,5341800,0.0,0.0
2015-04-28,38.03,38.22,37.79,38.15,35.71,4016300,0.0,0.0
2015-04-29,38.06,38.14,37.73,37.89,35.47,3677500,0.0,0.0
2015-04-30,37.73,37.73,37.2,37.34,34.96,4471600,0.0,0.0
2015-05-01,37.43,37.77,37.37,37.71,35.31,3735900,0.0,0.0
2015-05-04,37.76,38.09,37.71,37.99,35.57,3681600,0.0,0.0
2015-05-05,37.93,38.02,37.7,37.83,35.42,4530500,0.0,0.0
2015-05-06,38.0,38.02,37.31,37.43,35.04,4594900,0.0,0.0
2015-05-07,37.6,37.89,37.25,37.66,35.26,4856000,0.0,0.0
2015-05-08,37.98,38.06,37.61,37.8,35.39,3635400,0.0,0.0
2015-05-11,37.7,37.75,37.5,37.63,35.23,5230200,0.0,0.0
2015-05-12,37.57,37.69,37.25,37.28,34.91,6034900,0.0,0.0
2015-05-13,37.26,37.41,36.9,36.99,34.63,5204300,0.0,0.0
2015-05-14,37.21,37.54,37.07,37.5,35.11,4589600,0.0,0.0
2015-05-15,37.59,37.82,37.5,37.68,35.27,6252700,0.0,0.0
2015-05-18,37.71,37.75,36.65,37.07,34.71,13369800,0.0,0.0
2015-05-19,37.14,37.51,37.0,37.2,34.82,9495300,0.0,0.0
2015-05-20,37.21,37.29,36.84,36.91,34.55,8035000,0.0,0.0
2015-05-21,36.87,36.95,36.49,36.69,34.35,9988800,0.0,0.0
2015-05-22,36.66,36.98,36.56,36.59,34.26,6295400,0.0,0.0
2015-05-26,36.61,36.72,36.45,36.51,34.18,6649500,0.0,0.0
2015-05-27,36.61,36.64,36.24,36.41,34.09,10562500,0.0,0.0
2015-05-28,36.31,36.53,36.28,36.47,34.64,8872300,0.52,0.0
2015-05-29,36.5,36.59,35.94,36.18,34.36,11771500,0.0,0.0
2015-06-01,36.28,36.35,35.87,36.04,34.23,8751900,0.0,0.0
2015-06-02,35.93,36.17,35.86,36.05,34.24,8825300,0.0,0.0
2015-06-03,36.17,36.19,35.74,35.8,34.0,12395800,0.0,0.0
2015-06-04,35.64,35.76,35.38,35.64,33.85,10515000,0.0,0.0
2015-06-05,35.58,35.63,35.29,35.32,33.54,7974600,0.0,0.0
2015-06-08,35.36,35.39,35.05,35.06,33.3,6931500,0.0,0.0
2015-06-09,35.04,35.06,34.77,34.81,33.06,9781400,0.0,0.0
2015-06-10,34.93,35.93,34.85,35.86,34.06,17805200,0.0,0.0
2015-06-11,35.87,37.15,35.81,37.08,35.21,23528500,0.0,0.0
2015-06-12,37.0,37.24,36.83,37.08,35.21,18214100,0.0,0.0
2015-06-15,36.91,37.05,36.6,36.9,35.05,11330000,0.0,0.0
2015-06-16,36.9,37.23,36.58,36.85,35.0,17176500,0.0,0.0
