Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,35.55,35.69,35.25,35.33,30.74,2737500,0.0,0
2015-04-28,35.42,36.16,35.32,35.72,31.08,3061000,0.0,0
2015-04-29,35.36,35.67,34.68,34.86,30.33,3902700,0.0,0
2015-04-30,34.67,35.17,34.49,34.65,30.15,3504700,0.0,0
2015-05-01,34.76,35.4,34.74,35.18,30.61,3189400,0.0,0
2015-05-04,35.18,35.76,35.16,35.64,31.01,2849500,0.0,0
2015-05-05,35.7,35.92,35.33,35.47,30.86,3335300,0.0,0
2015-05-06,35.69,35.75,35.18,35.32,30.73,3541100,0.0,0
2015-05-07,35.3,36.23,35.21,36.12,31.42,3004000,0.0,0
2015-05-08,36.42,36.74,36.26,36.61,31.85,2895900,0.0,0
2015-05-11,36.52,37.18,36.51,36.97,32.16,2914900,0.0,0
2015-05-12,36.74,36.9,36.42,36.8,32.02,3646600,0.0,0
2015-05-13,37.01,37.01,36.0,36.2,31.49,4243700,0.0,0
2015-05-14,36.4,36.4,34.79,34.82,30.29,7669600,0.0,0
2015-05-15,34.86,34.92,34.5,34.59,30.09,5486600,0.0,0
2015-05-18,34.25,35.3,34.13,35.09,30.53,7063900,0.0,0
2015-05-19,35.29,35.34,34.8,34.98,30.43,5168600,0.0,0
2015-05-20,34.74,34.78,33.73,33.78,29.39,10769300,0.0,0
2015-05-21,36.6,36.6,35.02,35.11,30.55,17991000,0.0,0
2015-05-22,35.49,35.73,34.13,34.33,29.87,7758600,0.0,0
2015-05-26,34.27,34.39,33.78,33.9,29.49,5091100,0.0,0
2015-05-27,34.06,34.74,34.0,34.36,29.89,5472300,0.0,0
2015-05-28,34.36,34.49,34.03,34.18,29.74,3863300,0.0,0
2015-05-29,34.16,34.97,34.16,34.7,30.19,5587000,0.0,0
2015-06-01,34.85,34.89,34.31,34.37,29.9,4550300,0.0,0
2015-06-02,34.3,35.04,34.25,34.77,30.25,4087500,0.0,0
2015-06-03,34.74,35.5,34.63,35.07,30.51,3344100,0.0,0
2015-06-04,34.83,35.35,34.51,34.53,30.04,3105800,0.0,0
2015-06-05,34.57,34.79,34.42,34.53,30.04,3760700,0.0,0
2015-06-08,34.6,34.77,34.22,34.29,29.83,3572600,0.0,0
2015-06-09,34.07,34.45,33.75,33.83,29.63,3210000,0.23,0
2015-06-10,33.96,34.26,33.85,34.22,29.97,3319300,0.0,0
2015-06-11,34.21,34.61,34.15,34.2,29.95,2416100,0.0,0
2015-06-12,34.0,34.47,33.97,34.2,29.95,1945900,0.0,0
2015-06-15,33.96,34.21,33.75,34.12,29.88,2817600,0.0,0
2015-06-16,34.23,34.39,34.02,34.39,30.12,3084700,0.0,0
2015-06-17,34.5,34.59,33.81,34.01,29.79,2564100,0.0,0
2015-06-18,34.26,35.09,34.21,35.01,30.66,4563600,0.0,0
2015-06-19,34.72,35.31,34.55,34.95,30.61,4367400,0.0,0
2015-06-22,35.15,35.36,34.76,34.92,30.59,2466700,0.0,0
2015-06-23,34.96,35.32,34.85,34.87,30.54,3933700,0.0,0
2015-06-24,34.98,35.24,33.91,33.93,29.72,4977000,0.0,0
2015-06-25,34.11,34.34,33.8,33.83,29.63,3606900,0.0,0
2015-06-26,34.05,34.51,33.94,33.97,29.75,6265100,0.0,0
2015-06-29,33.69,33.69,32.66,32.73,28.67,4667800,0.0,0
2015-06-30,33.11,33.12,32.56,32.61,28.56,3604100,0.0,0
2015-07-01,32.95,33.51,32.78,33.47,29.32,3940600,0.0,0
2015-07-02,33.63,33.91,33.36,33.5,29.34,3041600,0.0,0
2015-07-06,32.97,33.6,32.91,33.33,29.19,2177100,0.0,0
2015-07-07,33.49,33.99,32.99,33.8,29.6,4145400,0.0,0
2015-07-08,33.54,33.74,33.26,33.52,29.36,2712900,0.0,0
2015-07-09,33.83,34.0,33.52,33.67,29.49,3101800,0.0,0
2015-07-10,34.02,34.11,33.87,33.93,29.72,3801200,0.0,0
2015-07-13,34.32,34.42,34.06,34.36,30.1,2800500,0.0,0
