Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,144.53,144.59,141.67,142.04,132.06,831200,0.0,0
2015-04-28,142.03,143.32,140.02,143.27,133.21,932400,0.0,0
2015-04-29,142.35,143.15,140.97,142.18,132.19,1174200,0.0,0
2015-04-30,142.18,142.18,140.05,140.87,130.98,1313000,0.0,0
2015-05-01,141.05,142.34,141.05,142.19,132.2,778600,0.0,0
2015-05-04,142.86,144.56,142.7,143.94,133.83,1022900,0.0,0
2015-05-05,144.0,144.0,141.55,142.0,132.03,1073100,0.0,0
2015-05-06,142.18,142.53,140.52,141.08,131.17,1321200,0.0,0
2015-05-07,141.5,144.75,141.5,142.8,132.77,1169200,0.0,0
2015-05-08,143.16,143.51,141.28,142.01,132.04,1539000,0.0,0
2015-05-11,141.43,143.2,141.11,141.58,131.64,1443800,0.0,0
2015-05-12,140.36,141.26,139.04,139.16,129.39,1721600,0.0,0
2015-05-13,140.01,140.01,138.12,138.86,129.11,1385700,0.0,0
2015-05-14,139.76,141.12,139.12,141.04,131.13,810300,0.0,0
2015-05-15,140.99,141.48,140.55,141.48,131.54,807100,0.0,0
2015-05-18,141.35,142.11,140.88,141.61,131.66,733400,0.0,0
2015-05-19,141.35,142.13,141.09,141.42,131.49,842700,0.0,0
2015-05-20,141.26,142.06,141.05,141.38,131.45,642000,0.0,0
2015-05-21,141.23,142.69,140.95,142.41,132.41,872900,0.0,0
2015-05-22,142.28,143.0,141.61,141.94,131.97,808500,0.0,0
2015-05-26,141.51,141.93,139.93,140.28,130.43,1040500,0.0,0
2015-05-27,140.34,141.91,139.9,141.55,131.61,589300,0.0,0
2015-05-28,141.26,142.34,140.38,141.43,131.5,944300,0.0,0
2015-05-29,141.35,142.06,140.18,140.51,130.64,1203600,0.0,0
2015-06-01,141.4,141.92,139.79,140.82,130.93,943400,0.0,0
2015-06-02,140.01,141.22,139.11,140.51,130.64,1080400,0.0,0
2015-06-03,140.56,141.04,139.81,140.58,130.71,930400,0.0,0
2015-06-04,139.84,140.79,139.5,140.19,130.34,819200,0.0,0
2015-06-05,139.45,140.17,139.0,140.03,130.75,996400,0.6,0
