Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,52.0,52.35,51.79,51.93,45.51,1607000,0.0,0
2015-04-28,51.82,52.17,51.61,52.12,45.68,1954200,0.0,0
2015-04-29,51.71,52.26,51.63,52.02,45.59,2381200,0.0,0
2015-04-30,51.85,52.12,51.49,51.56,45.18,3217400,0.0,0
2015-05-01,51.95,52.2,51.73,52.14,45.69,2589700,0.0,0
2015-05-04,52.14,52.55,52.14,52.41,45.93,2304700,0.0,0
2015-05-05,52.25,52.65,52.11,52.2,45.75,1646600,0.0,0
2015-05-06,52.47,52.48,51.61,51.84,45.43,1707800,0.0,0
2015-05-07,51.83,52.0,51.66,51.75,45.35,1765500,0.0,0
2015-05-08,52.34,52.48,52.07,52.29,45.82,1475700,0.0,0
2015-05-11,52.27,52.49,51.81,51.84,45.43,2130400,0.0,0
2015-05-12,51.59,51.74,50.93,51.54,45.17,1708100,0.0,0
2015-05-13,51.58,51.84,51.42,51.56,45.18,1248600,0.0,0
2015-05-14,51.88,52.18,51.71,52.14,45.69,1259900,0.0,0
2015-05-15,52.05,52.17,51.63,51.79,45.39,1453000,0.0,0
2015-05-18,51.77,52.17,51.77,52.1,45.66,1003200,0.0,0
2015-05-19,52.1,52.23,51.47,51.68,45.29,1267900,0.0,0
2015-05-20,51.82,51.89,51.46,51.69,45.3,903900,0.0,0
2015-05-21,51.56,51.78,51.5,51.71,45.32,848900,0.0,0
2015-05-22,51.55,51.73,51.49,51.52,45.15,699800,0.0,0
2015-05-26,51.3,51.44,50.79,50.95,44.65,1672900,0.0,0
2015-05-27,51.2,51.64,50.94,51.55,45.18,1072600,0.0,0
2015-05-28,51.33,51.61,51.23,51.58,45.2,1048000,0.0,0
2015-05-29,51.68,51.73,50.9,50.91,44.61,1678200,0.0,0
2015-06-01,51.11,51.21,50.48,50.91,44.61,1346900,0.0,0
2015-06-02,50.8,51.02,50.58,50.8,44.52,1548800,0.0,0
2015-06-03,51.04,51.26,50.77,51.12,44.8,1196800,0.0,0
2015-06-04,50.65,51.02,50.19,50.28,44.06,2188900,0.0,0
2015-06-05,50.55,50.71,50.12,50.42,44.19,1873300,0.0,0
2015-06-08,49.71,50.51,49.4,49.87,43.7,2531000,0.0,0
2015-06-09,50.0,50.12,49.58,49.66,43.52,2103900,0.0,0
2015-06-10,49.99,50.4,49.77,50.27,44.05,1852400,0.0,0
2015-06-11,50.44,50.55,50.23,50.43,44.19,1756900,0.0,0
2015-06-12,50.2,50.28,49.82,50.05,43.86,1658300,0.0,0
2015-06-15,49.53,49.98,49.34,49.74,43.59,1752700,0.0,0
2015-06-16,49.75,50.39,49.67,50.33,44.11,2571100,0.0,0
2015-06-17,50.57,51.11,50.38,50.8,44.52,2569400,0.0,0
2015-06-18,51.05,51.55,50.93,51.35,45.0,1899500,0.0,0
2015-06-19,51.18,51.44,50.99,51.44,45.08,4836700,0.0,0
2015-06-22,51.94,51.94,51.22,51.32,44.97,1839100,0.0,0
2015-06-23,51.37,51.45,51.08,51.16,44.83,1414300,0.0,0
2015-06-24,50.89,51.08,50.54,50.62,44.36,1559600,0.0,0
2015-06-25,50.66,50.74,50.15,50.31,44.09,2067100,0.0,0
2015-06-26,50.35,50.59,50.16,50.48,44.37,5572900,0.15,0
2015-06-29,49.81,49.86,48.87,48.89,42.97,1971200,0.0,0
2015-06-30,49.46,49.61,48.69,49.03,43.1,2420400,0.0,0
2015-07-01,49.96,49.96,48.96,49.33,43.36,1692300,0.0,0
2015-07-02,49.32,49.5,48.9,49.21,43.25,1386800,0.0,0
2015-07-06,48.49,49.04,47.59,48.84,42.93,1586600,0.0,0
2015-07-07,48.82,49.06,47.96,48.96,43.03,1976400,0.0,0
2015-07-08,48.45,48.67,47.91,47.97,42.16,2124100,0.0,0
2015-07-09,49.08,49.08,48.16,48.36,42.51,2161400,0.0,0
2015-07-10,49.32,49.32,48.62,48.78,42.88,1990300,0.0,0
2015-07-13,49.17,49.29,48.97,49.08,43.14,1756000,0.0,0
2015-07-14,48.98,49.05,48.71,48.88,42.96,1793000,0.0,0
2015-07-15,48.89,49.29,48.57,49.04,43.1,1763300,0.0,0
2015-07-16,49.43,49.64,49.39,49.63,43.62,1205900,0.0,0
2015-07-17,49.53,49.56,48.86,49.41,43.43,1085300,0.0,0
2015-07-20,49.46,49.58,49.0,49.08,43.14,1472400,0.0,0
2015-07-21,49.01,49.25,48.66,48.91,42.99,1093400,0.0,0
2015-07-22,48.83,48.98,48.43,48.49,42.62,2215200,0.0,0
2015-07-23,48.67,48.72,47.42,47.59,41.83,3598300,0.0,0
2015-07-24,47.39,47.48,46.3,46.4,40.78,4762000,0.0,0
2015-07-27,46.02,46.45,45.9,46.41,40.79,3046400,0.0,0
2015-07-28,46.9,47.03,46.39,46.52,40.89,2818200,0.0,0
2015-07-29,46.2,46.77,45.92,46.51,40.88,3100700,0.0,0
2015-07-30,46.35,46.48,45.9,46.16,40.57,3102400,0.0,0
2015-07-31,46.3,46.34,45.51,45.55,40.04,4240900,0.0,0
2015-08-03,45.46,45.72,45.12,45.45,39.95,3739600,0.0,0
2015-08-04,45.47,45.5,45.03,45.21,39.74,2798800,0.0,0
2015-08-05,45.63,45.71,45.15,45.19,39.72,2695900,0.0,0
2015-08-06,45.2,45.25,44.61,44.71,39.3,2587500,0.0,0
2015-08-07,44.68,44.76,44.04,44.33,38.96,2688000,0.0,0
2015-08-10,44.61,44.94,44.55,44.93,39.49,3513600,0.0,0
2015-08-11,44.47,44.47,43.74,43.95,38.63,2786900,0.0,0
2015-08-12,43.47,44.0,42.88,43.98,38.66,4151700,0.0,0
2015-08-13,43.91,44.02,43.52,43.57,38.3,2539300,0.0,0
2015-08-14,43.51,43.62,43.31,43.62,38.34,2592600,0.0,0
2015-08-17,43.57,43.86,43.33,43.76,38.46,2304200,0.0,0
2015-08-18,43.74,43.94,43.63,43.89,38.58,2844500,0.0,0
2015-08-19,43.58,43.69,42.94,43.27,38.03,4074500,0.0,0
2015-08-20,42.92,43.13,42.04,42.06,36.97,4846100,0.0,0
2015-08-21,41.64,42.25,40.95,40.98,36.02,7409400,0.0,0
2015-08-24,39.01,41.18,38.25,39.41,34.64,9177900,0.0,0
2015-08-25,40.94,41.03,38.79,38.85,34.15,10311800,0.0,0
2015-08-26,39.88,40.1,38.76,39.99,35.15,6650400,0.0,0
2015-08-27,40.3,41.08,40.16,41.05,36.08,4922400,0.0,0
2015-08-28,40.79,41.25,40.55,41.24,36.25,3994000,0.0,0
2015-08-31,40.8,41.15,40.56,40.58,35.67,4004400,0.0,0
2015-09-01,39.26,40.02,39.21,39.45,34.68,4017100,0.0,0
2015-09-02,40.08,40.08,39.12,39.52,34.74,3028700,0.0,0
2015-09-03,39.5,40.03,39.28,39.81,34.99,3676000,0.0,0
2015-09-04,39.19,39.38,38.85,39.01,34.29,3040200,0.0,0
2015-09-08,39.82,40.24,39.65,40.07,35.22,4111300,0.0,0
2015-09-09,40.79,40.99,39.57,39.66,34.86,4364800,0.0,0
2015-09-10,39.45,39.7,38.99,39.3,34.54,4758500,0.0,0
2015-09-11,39.14,39.43,38.99,39.42,34.65,2843700,0.0,0
