Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.11,42.4,41.94,41.97,38.04,6406600,0.0,0
2015-04-28,41.93,42.79,41.9,42.76,38.76,6100300,0.0,0
2015-04-29,42.38,43.11,42.38,42.86,38.85,6322500,0.0,0
2015-04-30,42.63,42.86,42.19,42.34,38.53,4647900,0.17,0
2015-05-01,42.61,42.76,42.2,42.74,38.89,6102300,0.0,0
2015-05-04,42.77,43.35,42.7,43.28,39.39,3982400,0.0,0
2015-05-05,43.09,43.64,42.88,42.9,39.04,7238800,0.0,0
2015-05-06,43.04,43.25,42.65,42.94,39.08,5211900,0.0,0
2015-05-07,42.9,43.45,42.77,43.31,39.41,6132900,0.0,0
2015-05-08,43.58,43.64,43.29,43.41,39.5,6755900,0.0,0
2015-05-11,43.5,43.67,43.24,43.25,39.36,6139100,0.0,0
2015-05-12,42.99,43.32,42.85,43.18,39.29,3880100,0.0,0
2015-05-13,43.09,43.41,43.05,43.27,39.38,4396500,0.0,0
2015-05-14,43.47,43.48,43.19,43.37,39.47,4573800,0.0,0
2015-05-15,43.39,43.46,42.92,43.09,39.21,5656200,0.0,0
2015-05-18,43.12,43.56,43.01,43.47,39.56,6825400,0.0,0
2015-05-19,43.61,43.73,43.38,43.54,39.62,7493400,0.0,0
2015-05-20,43.51,43.84,43.37,43.62,39.69,4134800,0.0,0
2015-05-21,43.39,43.77,43.35,43.64,39.71,4208900,0.0,0
2015-05-22,43.6,43.66,43.45,43.47,39.56,2995500,0.0,0
2015-05-26,43.47,43.58,43.12,43.46,39.55,6258300,0.0,0
2015-05-27,43.63,44.1,43.38,43.88,39.93,6021100,0.0,0
2015-05-28,43.81,43.99,43.57,43.95,40.0,5545200,0.0,0
2015-05-29,43.86,43.86,43.36,43.36,39.46,7481500,0.0,0
2015-06-01,43.49,43.56,42.87,42.92,39.06,12563600,0.0,0
2015-06-02,42.87,42.95,42.63,42.9,39.04,7886600,0.0,0
2015-06-03,42.9,43.63,42.83,43.41,39.5,5037400,0.0,0
2015-06-04,42.82,43.37,42.82,42.96,39.09,8572500,0.0,0
2015-06-05,43.75,43.87,42.93,43.36,39.46,7996300,0.0,0
2015-06-08,43.31,43.76,43.26,43.34,39.44,5810300,0.0,0
2015-06-09,43.34,43.56,43.19,43.4,39.49,3552700,0.0,0
2015-06-10,43.65,43.99,43.54,43.74,39.8,9921800,0.0,0
2015-06-11,43.73,44.03,43.68,43.88,39.93,5825900,0.0,0
2015-06-12,43.82,43.89,43.55,43.68,39.75,5853700,0.0,0
2015-06-15,43.26,43.37,43.02,43.29,39.39,7393200,0.0,0
2015-06-16,43.15,43.37,43.09,43.2,39.31,8233800,0.0,0
2015-06-17,43.37,43.47,43.04,43.15,39.27,6824100,0.0,0
2015-06-18,43.3,43.36,42.97,43.27,39.38,8737100,0.0,0
2015-06-19,43.17,43.33,43.1,43.12,39.24,9539500,0.0,0
2015-06-22,43.53,43.68,43.36,43.47,39.56,4721700,0.0,0
2015-06-23,43.66,43.78,43.49,43.66,39.73,4676600,0.0,0
2015-06-24,43.48,43.71,43.26,43.29,39.39,3788200,0.0,0
2015-06-25,43.41,43.46,42.85,42.85,38.99,3055100,0.0,0
2015-06-26,43.01,43.2,42.82,42.98,39.11,6485300,0.0,0
2015-06-29,42.5,42.61,41.75,41.79,38.03,5083700,0.0,0
2015-06-30,42.33,42.48,41.8,41.97,38.19,6406200,0.0,0
2015-07-01,42.54,42.55,42.05,42.18,38.38,5146700,0.0,0
2015-07-02,42.16,42.29,41.59,41.79,38.03,4580100,0.0,0
2015-07-06,41.32,41.62,41.21,41.55,37.81,5207600,0.0,0
2015-07-07,41.53,41.75,40.77,41.54,37.8,4661100,0.0,0
2015-07-08,41.21,41.29,40.53,40.54,36.89,4696200,0.0,0
2015-07-09,41.03,41.3,40.83,40.99,37.3,5244600,0.0,0
2015-07-10,41.49,41.81,41.38,41.71,37.96,4771100,0.0,0
2015-07-13,41.85,42.5,41.83,42.38,38.57,7204700,0.0,0
2015-07-14,42.19,42.56,42.06,42.53,38.7,3454100,0.0,0
2015-07-15,42.6,42.82,42.46,42.67,38.83,3187600,0.0,0
2015-07-16,43.08,43.12,42.86,43.07,39.19,3206300,0.0,0
2015-07-17,42.92,43.06,42.62,42.82,38.97,3223300,0.0,0
2015-07-20,42.98,43.09,42.77,42.98,39.11,5732600,0.0,0
2015-07-21,43.58,44.18,43.5,44.15,40.18,9810600,0.0,0
2015-07-22,44.31,44.74,44.15,44.73,40.71,7123500,0.0,0
2015-07-23,44.8,44.99,44.38,44.47,40.47,4653800,0.0,0
2015-07-24,44.13,44.37,43.68,43.72,39.79,4928900,0.0,0
2015-07-27,43.41,43.45,42.72,43.26,39.37,6116000,0.0,0
2015-07-28,43.51,43.65,43.16,43.59,39.67,5434400,0.0,0
2015-07-29,43.61,43.94,43.43,43.78,39.84,5555100,0.0,0
2015-07-30,43.61,43.97,43.57,43.93,40.13,4726500,0.17,0
2015-07-31,43.95,43.95,43.33,43.4,39.65,4636200,0.0,0
2015-08-03,43.41,43.64,43.08,43.4,39.65,4589900,0.0,0
2015-08-04,43.54,44.08,43.4,43.89,40.1,4671500,0.0,0
2015-08-05,44.4,45.14,44.27,44.4,40.56,6670000,0.0,0
2015-08-06,44.44,44.78,44.17,44.28,40.45,4410000,0.0,0
2015-08-07,44.23,44.79,44.11,44.75,40.88,6215200,0.0,0
2015-08-10,45.0,45.45,44.97,45.26,41.35,5269100,0.0,0
2015-08-11,44.97,45.06,44.56,44.67,40.81,5775800,0.0,0
2015-08-12,44.28,44.28,43.1,43.9,40.11,8458100,0.0,0
2015-08-13,44.01,44.14,43.72,43.87,40.08,3330800,0.0,0
2015-08-14,43.77,44.09,43.75,44.07,40.26,3613200,0.0,0
2015-08-17,43.91,44.16,43.67,44.06,40.25,3539100,0.0,0
2015-08-18,43.01,44.36,43.01,44.35,40.52,7422300,0.0,0
2015-08-19,44.06,44.46,44.03,44.18,40.36,9364300,0.0,0
2015-08-20,43.7,43.81,42.74,42.8,39.1,9842400,0.0,0
2015-08-21,42.42,42.53,41.42,41.45,37.87,9400300,0.0,0
2015-08-24,38.58,40.3,36.46,38.64,35.3,12295500,0.0,0
2015-08-25,40.04,40.12,37.75,37.78,34.51,10897400,0.0,0
2015-08-26,38.87,39.67,37.99,39.47,36.06,9426300,0.0,0
2015-08-27,39.93,40.82,39.84,40.8,37.27,8066400,0.0,0
2015-08-28,40.56,40.8,40.18,40.67,37.15,4827000,0.0,0
2015-08-31,40.35,40.38,39.69,39.8,36.36,6718600,0.0,0
2015-09-01,38.81,39.1,38.1,38.34,35.03,8365800,0.0,0
2015-09-02,38.99,39.05,38.43,39.02,35.65,6513200,0.0,0
2015-09-03,39.21,39.82,39.09,39.28,35.88,8189500,0.0,0
2015-09-04,38.8,38.9,38.31,38.49,35.16,6382000,0.0,0
2015-09-08,39.3,39.38,38.69,39.32,35.92,6037400,0.0,0
2015-09-09,39.98,40.27,38.88,38.98,35.61,5769300,0.0,0
2015-09-10,38.77,39.6,38.65,39.33,35.93,5702200,0.0,0
2015-09-11,39.04,39.57,38.76,39.56,36.14,4586600,0.0,0
2015-09-14,39.5,39.67,39.22,39.56,36.14,4325500,0.0,0
2015-09-15,39.68,40.22,39.45,40.06,36.6,5256700,0.0,0
2015-09-16,40.0,40.32,39.64,40.23,36.75,4170900,0.0,0
2015-09-17,40.83,41.12,39.68,39.81,36.37,7720400,0.0,0
2015-09-18,39.21,39.28,38.68,38.86,35.5,10558100,0.0,0
2015-09-21,39.2,39.54,39.0,39.43,36.02,3907100,0.0,0
2015-09-22,38.74,39.12,38.4,38.85,35.49,5799600,0.0,0
2015-09-23,38.8,38.96,38.46,38.82,35.46,3731300,0.0,0
2015-09-24,38.36,38.66,38.14,38.52,35.19,4719200,0.0,0
2015-09-25,39.18,39.74,38.7,39.6,36.18,7025300,0.0,0
2015-09-28,39.17,39.35,38.14,38.2,34.9,6946900,0.0,0
2015-09-29,38.24,38.51,37.87,38.44,35.12,4890000,0.0,0
2015-09-30,39.04,39.19,38.68,39.15,35.77,6191500,0.0,0
2015-10-01,39.1,39.41,38.75,39.36,35.96,5591000,0.0,0
2015-10-02,38.19,39.18,37.48,39.17,35.78,7653900,0.0,0
2015-10-05,39.54,40.25,39.4,40.15,36.68,5419800,0.0,0
2015-10-06,39.95,40.26,39.66,39.96,36.51,4264400,0.0,0
2015-10-07,40.34,40.6,40.09,40.55,37.05,4873900,0.0,0
2015-10-08,40.35,40.88,40.21,40.87,37.34,4107800,0.0,0
2015-10-09,40.81,40.91,40.17,40.45,36.95,4191000,0.0,0
2015-10-12,40.36,40.6,40.23,40.46,36.96,2954100,0.0,0
2015-10-13,40.15,40.4,39.79,39.84,36.4,4179200,0.0,0
2015-10-14,39.67,39.67,39.18,39.26,35.87,5390600,0.0,0
2015-10-15,39.69,40.51,39.54,40.48,36.98,3901700,0.0,0
2015-10-16,40.73,40.86,40.17,40.49,36.99,5705300,0.0,0
2015-10-19,39.99,40.54,39.99,40.17,36.7,5222800,0.0,0
2015-10-20,41.0,41.63,40.8,41.25,37.68,8589700,0.0,0
2015-10-21,41.37,41.73,40.81,40.84,37.31,8357600,0.0,0
2015-10-22,41.08,41.96,40.99,41.65,38.05,8893700,0.0,0
2015-10-23,42.13,42.41,41.77,42.25,38.6,5813700,0.0,0
2015-10-26,42.17,42.4,41.86,41.89,38.27,5035200,0.0,0
2015-10-27,41.56,41.74,41.3,41.71,38.1,5692800,0.0,0
2015-10-28,41.83,43.17,41.75,43.07,39.35,7998100,0.0,0
2015-10-29,42.89,43.16,42.36,42.45,38.93,5229500,0.17,0
2015-10-30,42.46,42.67,41.62,41.65,38.2,8758900,0.0,0
2015-11-02,41.87,42.36,41.65,42.25,38.75,5748600,0.0,0
2015-11-03,42.09,42.87,41.96,42.65,39.12,6070000,0.0,0
2015-11-04,42.66,42.91,42.49,42.59,39.06,4036100,0.0,0
2015-11-05,42.73,43.43,42.41,43.29,39.7,6229900,0.0,0
2015-11-06,44.15,44.73,43.84,44.19,40.53,6391300,0.0,0
2015-11-09,44.32,44.34,43.51,43.67,40.05,5187300,0.0,0
2015-11-10,43.62,43.99,43.33,43.63,40.02,4792800,0.0,0
2015-11-11,43.89,44.09,43.64,43.84,40.21,5618300,0.0,0
2015-11-12,43.51,43.67,43.17,43.18,39.6,4334000,0.0,0
2015-11-13,42.98,43.29,42.55,42.67,39.14,4041300,0.0,0
2015-11-16,42.57,42.94,42.34,42.93,39.37,5529600,0.0,0
2015-11-17,43.13,43.44,42.81,42.91,39.36,3969000,0.0,0
2015-11-18,42.97,44.09,42.91,44.0,40.36,7093800,0.0,0
2015-11-19,43.97,44.02,43.66,43.83,40.2,4400500,0.0,0
2015-11-20,44.03,44.03,43.66,43.74,40.12,4505200,0.0,0
2015-11-23,43.81,43.98,43.6,43.67,40.05,5258400,0.0,0
2015-11-24,43.25,43.86,43.13,43.68,40.06,5456700,0.0,0
2015-11-25,43.83,43.97,43.61,43.93,40.29,4428500,0.0,0
2015-11-27,43.87,44.0,43.75,43.88,40.25,1531000,0.0,0
2015-11-30,43.92,44.49,43.76,43.84,40.21,6478500,0.0,0
2015-12-01,44.05,44.27,43.65,43.91,40.27,5710300,0.0,0
2015-12-02,44.08,44.16,43.42,43.49,39.89,5010600,0.0,0
2015-12-03,43.67,43.81,42.83,42.98,39.42,5661600,0.0,0
2015-12-04,43.21,44.22,43.11,44.06,40.41,8236200,0.0,0
2015-12-07,43.95,44.1,43.35,43.59,39.98,4146200,0.0,0
2015-12-08,43.18,43.46,43.0,43.15,39.58,8365300,0.0,0
2015-12-09,42.88,43.3,42.17,42.4,38.89,10943800,0.0,0
2015-12-10,42.42,42.74,42.04,42.27,38.77,8694000,0.0,0
2015-12-11,41.66,41.82,40.51,40.77,37.39,11148500,0.0,0
2015-12-14,40.93,41.27,40.02,40.39,37.05,13548900,0.0,0
2015-12-15,40.99,42.21,40.99,42.04,38.56,8139800,0.0,0
2015-12-16,42.46,42.95,42.03,42.7,39.16,10555600,0.0,0
2015-12-17,42.67,42.78,41.26,41.26,37.84,7513100,0.0,0
2015-12-18,40.87,41.03,40.2,40.22,36.89,9848900,0.0,0
2015-12-21,40.55,40.75,40.15,40.59,37.23,3485400,0.0,0
2015-12-22,40.92,41.03,40.41,40.99,37.6,10428700,0.0,0
2015-12-23,41.24,41.38,41.05,41.35,37.93,5577000,0.0,0
2015-12-24,41.34,41.43,41.1,41.23,37.82,2485600,0.0,0
2015-12-28,41.0,41.23,40.83,41.14,37.73,2813700,0.0,0
2015-12-29,41.46,42.02,41.33,41.72,38.26,3537600,0.0,0
2015-12-30,41.59,41.79,41.27,41.28,37.86,2308000,0.0,0
2015-12-31,40.97,41.81,40.9,41.22,37.81,6392900,0.0,0
2016-01-04,40.29,40.29,39.48,39.97,36.66,7528200,0.0,0
2016-01-05,39.94,40.24,39.59,39.82,36.52,6996700,0.0,0
2016-01-06,39.15,39.23,38.69,38.82,35.61,7073900,0.0,0
2016-01-07,38.14,38.62,37.73,37.84,34.71,8238400,0.0,0
2016-01-08,38.2,38.3,37.07,37.15,34.07,6984900,0.0,0
2016-01-11,37.65,37.73,36.96,37.42,34.32,5718800,0.0,0
