Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,37.45,37.46,37.17,37.31,35.25,2925600,0.0,0.0
2015-04-28,37.21,37.43,36.99,37.22,35.17,3111200,0.0,0.0
2015-04-29,36.97,37.19,36.83,36.92,34.88,2136800,0.0,0.0
2015-04-30,36.35,36.88,35.6,36.71,34.68,4118200,0.0,0.0
2015-05-01,36.79,37.29,36.36,37.22,35.17,5660000,0.0,0.0
2015-05-04,37.36,37.62,37.25,37.46,35.39,2965800,0.0,0.0
2015-05-05,37.43,37.43,36.5,36.5,34.49,2435400,0.0,0.0
2015-05-06,36.55,36.65,35.87,36.1,34.11,2254400,0.0,0.0
2015-05-07,35.97,36.12,35.65,35.83,33.85,2922200,0.0,0.0
2015-05-08,36.11,36.17,35.87,36.15,34.16,4256800,0.0,0.0
2015-05-11,36.13,36.17,35.85,35.97,33.99,1744800,0.0,0.0
2015-05-12,35.73,35.9,35.4,35.58,33.62,2304800,0.0,0.0
2015-05-13,35.74,36.03,35.61,35.76,33.78,2309000,0.0,0.0
2015-05-14,35.98,36.13,35.61,35.99,34.0,1723400,0.0,0.0
2015-05-15,36.09,36.62,36.09,36.51,34.49,3164200,0.0,0.0
2015-05-18,36.44,36.9,36.31,36.84,34.81,2834400,0.0,0.0
2015-05-19,36.91,36.99,36.54,36.6,34.59,1168400,0.0,0.0
2015-05-20,36.72,36.83,36.4,36.47,34.46,1569400,0.0,0.0
2015-05-21,36.51,36.55,36.12,36.26,34.26,1642600,0.0,0.0
2015-05-22,36.2,36.52,36.07,36.44,34.43,1843200,0.0,0.0
2015-05-26,36.19,36.3,35.74,35.83,33.86,2066200,0.0,0.0
2015-05-27,35.88,36.21,35.81,36.15,34.16,1606200,0.0,0.0
2015-05-28,36.07,36.11,35.74,35.93,34.07,1856600,0.13,0.0
2015-05-29,35.84,35.94,35.48,35.49,33.66,2714400,0.0,0.0
2015-06-01,35.58,35.85,35.4,35.72,33.87,1902400,0.0,0.0
2015-06-02,35.68,35.68,35.38,35.49,33.66,1666200,0.0,0.0
2015-06-03,35.58,35.83,35.38,35.72,33.87,2028600,0.0,0.0
2015-06-04,35.35,35.59,35.11,35.22,33.4,2575600,0.0,0.0
2015-06-05,35.07,35.53,34.88,35.44,33.61,1554400,0.0,0.0
2015-06-08,35.49,35.91,35.41,35.81,33.96,3521000,0.0,0.0
2015-06-09,35.72,35.8,35.6,35.65,33.81,2619200,0.0,0.0
2015-06-10,35.71,36.01,35.65,35.89,34.03,1878000,0.0,0.0
2015-06-11,36.01,36.47,36.01,36.38,34.5,1653200,0.0,0.0
2015-06-12,36.28,36.39,35.67,36.05,34.19,2742000,0.0,0.0
2015-06-15,35.74,35.97,35.49,35.77,33.92,1787000,0.0,0.0
2015-06-16,35.65,35.79,35.58,35.65,33.8,1283000,0.0,0.0
2015-06-17,35.8,35.83,35.38,35.74,33.89,1703000,0.0,0.0
2015-06-18,35.91,36.14,35.59,36.04,34.18,1053000,0.0,0.0
2015-06-19,35.99,36.54,35.94,36.19,34.32,1439200,0.0,0.0
2015-06-22,36.28,36.33,35.96,36.24,34.36,1079000,0.0,0.0
2015-06-23,36.28,36.46,36.1,36.24,34.36,1163800,0.0,0.0
2015-06-24,36.15,36.27,36.01,36.12,34.25,2388000,0.0,0.0
2015-06-25,36.28,36.33,35.99,36.28,34.4,1480600,0.0,0.0
2015-06-26,36.27,36.4,35.6,36.3,34.42,4241600,0.0,0.0
2015-06-29,36.03,36.26,35.49,35.56,33.72,1634200,0.0,0.0
2015-06-30,35.69,35.92,35.06,35.08,33.26,1569600,0.0,0.0
2015-07-01,35.51,36.04,35.44,35.82,33.97,1406400,0.0,0.0
2015-07-02,36.03,36.08,35.57,35.83,33.97,1137400,0.0,0.0
2015-07-06,35.48,35.88,35.36,35.62,33.78,1464200,0.0,0.0
2015-07-07,35.38,35.96,35.24,35.74,33.89,1586200,0.0,0.0
2015-07-08,35.53,35.72,34.8,34.81,33.01,2889000,0.0,0.0
2015-07-09,35.1,35.26,34.77,34.83,33.03,2742000,0.0,0.0
2015-07-10,35.31,35.37,35.06,35.08,33.26,1586400,0.0,0.0
2015-07-13,35.26,35.35,35.06,35.25,33.43,2225400,0.0,0.0
2015-07-14,35.29,35.42,35.08,35.31,33.49,1766600,0.0,0.0
2015-07-15,35.34,35.92,35.09,35.79,33.94,1686000,0.0,0.0
2015-07-16,35.94,36.08,35.83,36.03,34.17,1059000,0.0,0.0
2015-07-17,36.01,36.14,35.65,35.76,33.91,1332200,0.0,0.0
2015-07-20,35.63,35.83,35.01,35.06,33.24,1803400,0.0,0.0
2015-07-21,34.89,34.9,34.32,34.38,32.6,1581800,0.0,0.0
2015-07-22,34.37,34.79,34.14,34.22,32.46,1722200,0.0,0.0
2015-07-23,34.34,34.34,33.69,33.74,31.99,1439800,0.0,0.0
2015-07-24,33.67,34.08,33.38,33.51,31.77,1852400,0.0,0.0
2015-07-27,33.46,33.49,33.11,33.32,31.6,1319800,0.0,0.0
2015-07-28,33.56,33.97,33.38,33.83,32.08,1319600,0.0,0.0
2015-07-29,33.85,34.46,33.68,34.37,32.59,1488200,0.0,0.0
2015-07-30,34.22,34.9,33.6,34.77,32.97,2764400,0.0,0.0
2015-07-31,34.87,35.1,33.89,33.92,32.17,2702800,0.0,0.0
2015-08-03,33.67,34.49,33.53,33.65,31.91,3193400,0.0,0.0
2015-08-04,33.65,34.03,33.6,33.9,32.14,1860200,0.0,0.0
2015-08-05,34.26,34.29,33.72,34.13,32.37,4400400,0.0,0.0
2015-08-06,34.16,34.81,34.13,34.66,32.87,2730200,0.0,0.0
2015-08-07,34.65,34.72,34.31,34.66,32.87,2377400,0.0,0.0
2015-08-10,34.83,35.46,34.69,35.43,33.6,2101200,0.0,0.0
2015-08-11,35.03,35.31,34.96,35.08,33.26,1101600,0.0,0.0
2015-08-12,34.86,34.97,34.47,34.85,33.04,1411400,0.0,0.0
2015-08-13,36.68,36.68,34.72,35.18,33.36,1297200,0.0,0.0
2015-08-14,35.18,35.96,35.13,35.85,34.0,1458600,0.0,0.0
2015-08-17,35.65,35.83,35.28,35.83,33.98,1032000,0.0,0.0
2015-08-18,35.54,35.9,35.54,35.81,33.95,826200,0.0,0.0
2015-08-19,35.56,35.6,35.01,35.33,33.5,1122800,0.0,0.0
2015-08-20,35.04,35.04,34.42,34.46,32.68,1591800,0.0,0.0
2015-08-21,34.04,34.25,33.56,33.58,31.84,2438200,0.0,0.0
2015-08-24,30.55,33.08,28.98,32.4,30.72,3922600,0.0,0.0
2015-08-25,33.15,33.15,31.8,31.8,30.15,2791400,0.0,0.0
2015-08-26,32.5,32.59,31.51,31.92,30.27,4192600,0.0,0.0
2015-08-27,32.26,33.1,32.1,32.94,31.24,4716600,0.0,0.0
2015-08-28,32.76,33.28,32.53,33.26,31.67,2130600,0.13,0.0
2015-08-31,33.1,33.21,32.82,32.96,31.37,1726200,0.0,0.0
2015-09-01,32.24,32.64,32.06,32.19,30.65,2778200,0.0,0.0
2015-09-02,32.6,32.64,31.93,32.45,30.89,1883200,0.0,0.0
2015-09-03,32.67,33.24,32.46,33.1,31.52,2347400,0.0,0.0
2015-09-04,32.66,32.77,31.88,32.01,30.47,2975600,0.0,0.0
2015-09-08,32.53,33.47,32.34,33.44,31.84,2234800,0.0,0.0
2015-09-09,33.72,33.95,33.34,33.4,31.8,1889200,0.0,0.0
2015-09-10,33.44,33.88,33.29,33.42,31.82,2135600,0.0,0.0
2015-09-11,33.19,33.42,32.99,33.31,31.71,1542800,0.0,0.0
2015-09-14,33.26,33.26,32.87,32.93,31.35,1464200,0.0,0.0
2015-09-15,33.02,33.7,32.81,33.65,32.04,1397000,0.0,0.0
2015-09-16,33.56,34.02,33.35,33.92,32.29,1440000,0.0,0.0
2015-09-17,33.88,34.12,33.54,33.6,31.99,1208000,0.0,0.0
2015-09-18,33.28,33.69,33.06,33.48,31.87,3144400,0.0,0.0
2015-09-21,33.67,34.1,33.35,33.53,31.92,1958200,0.0,0.0
2015-09-22,33.08,33.25,32.4,32.44,30.88,2998200,0.0,0.0
2015-09-23,32.52,32.52,31.55,31.68,30.17,1938400,0.0,0.0
2015-09-24,31.5,31.67,31.09,31.39,29.88,2687400,0.0,0.0
2015-09-25,31.66,31.67,31.08,31.48,29.97,3075800,0.0,0.0
2015-09-28,31.33,31.33,30.28,30.38,28.92,2240800,0.0,0.0
2015-09-29,30.35,30.57,30.15,30.25,28.8,1998200,0.0,0.0
2015-09-30,30.6,31.16,30.6,31.1,29.61,2075200,0.0,0.0
2015-10-01,31.2,31.7,31.02,31.57,30.06,2245000,0.0,0.0
2015-10-02,31.19,32.04,31.01,32.03,30.49,1812000,0.0,0.0
2015-10-05,32.28,32.49,32.03,32.35,30.8,1668400,0.0,0.0
2015-10-06,32.47,32.49,31.65,31.7,30.18,1945600,0.0,0.0
2015-10-07,31.53,32.37,31.53,32.28,30.73,1967800,0.0,0.0
2015-10-08,32.19,33.14,32.01,33.05,31.47,1308400,0.0,0.0
2015-10-09,33.59,33.6,32.99,33.27,31.67,1399200,0.0,0.0
2015-10-12,33.19,33.53,32.97,33.39,31.79,1118200,0.0,0.0
2015-10-13,33.15,33.48,32.94,33.01,31.43,1592800,0.0,0.0
2015-10-14,33.01,33.33,32.83,33.14,31.55,2495800,0.0,0.0
2015-10-15,33.19,33.37,32.53,33.26,31.67,2352200,0.0,0.0
2015-10-16,33.33,33.48,33.07,33.47,31.86,2290400,0.0,0.0
2015-10-19,33.29,33.47,33.12,33.3,31.7,1508400,0.0,0.0
2015-10-20,33.31,33.81,33.22,33.53,31.92,2503800,0.0,0.0
2015-10-21,33.5,33.71,33.03,33.06,31.47,2290200,0.0,0.0
2015-10-22,33.34,34.23,33.15,34.21,32.57,3121000,0.0,0.0
2015-10-23,34.35,34.54,33.89,33.92,32.29,2521200,0.0,0.0
2015-10-26,33.81,34.15,33.81,33.87,32.25,2040200,0.0,0.0
2015-10-27,33.62,33.84,33.29,33.74,32.13,1552000,0.0,0.0
2015-10-28,33.76,34.06,33.53,33.98,32.35,1762000,0.0,0.0
2015-10-29,33.54,34.06,33.17,33.66,32.05,1750400,0.0,0.0
2015-10-30,33.82,34.67,33.67,34.25,32.61,2919800,0.0,0.0
2015-11-02,34.28,35.24,34.26,35.12,33.44,2558800,0.0,0.0
2015-11-03,35.03,35.1,33.88,33.91,32.28,2000800,0.0,0.0
2015-11-04,33.94,34.1,33.58,33.71,32.09,1776400,0.0,0.0
2015-11-05,33.76,33.99,33.52,33.9,32.27,1407400,0.0,0.0
2015-11-06,33.71,34.03,33.31,33.89,32.26,1185000,0.0,0.0
2015-11-09,33.9,33.9,33.1,33.17,31.58,2359400,0.0,0.0
2015-11-10,33.43,33.9,33.04,33.88,32.26,1663800,0.0,0.0
2015-11-11,33.97,34.15,33.78,34.09,32.46,1054800,0.0,0.0
2015-11-12,33.84,33.9,32.69,32.71,31.14,1862200,0.0,0.0
2015-11-13,32.76,33.12,32.46,32.96,31.38,1320000,0.0,0.0
2015-11-16,32.9,33.26,32.69,33.14,31.55,1377200,0.0,0.0
2015-11-17,33.23,33.44,32.87,33.06,31.48,1248600,0.0,0.0
2015-11-18,33.17,34.22,33.11,34.18,32.54,1738400,0.0,0.0
2015-11-19,34.15,34.27,33.8,34.21,32.56,1440800,0.0,0.0
2015-11-20,34.4,34.89,34.33,34.72,33.06,1919600,0.0,0.0
2015-11-23,34.7,35.02,34.33,34.39,32.74,1697000,0.0,0.0
2015-11-24,34.24,34.69,33.97,34.66,33.0,2067600,0.0,0.0
2015-11-25,34.67,34.72,34.19,34.4,32.75,2034200,0.0,0.0
2015-11-27,34.35,34.6,34.03,34.51,32.97,639600,0.13,0.0
2015-11-30,34.48,34.76,34.26,34.71,33.17,3009200,0.0,0.0
2015-12-01,34.71,35.0,34.37,34.42,32.89,3783800,0.0,0.0
2015-12-02,34.37,34.8,33.67,33.75,32.25,1995400,0.0,0.0
2015-12-03,34.22,34.51,33.74,33.95,32.44,3570000,0.0,0.0
2015-12-04,33.96,34.92,33.92,34.88,33.34,2759600,0.0,0.0
2015-12-07,34.58,34.81,34.07,34.4,32.87,4059600,0.0,0.0
2015-12-08,34.01,34.13,33.26,33.72,32.22,2559600,0.0,0.0
2015-12-09,34.07,34.97,33.79,34.42,32.89,4567800,0.0,0.0
2015-12-10,34.83,36.24,34.67,35.94,34.35,4867800,0.0,0.0
2015-12-11,35.38,36.08,35.13,35.67,34.09,4832800,0.0,0.0
2015-12-14,35.62,35.76,35.14,35.42,33.85,2979800,0.0,0.0
2015-12-15,35.67,35.75,35.28,35.57,33.99,2542800,0.0,0.0
2015-12-16,35.81,35.94,35.25,35.81,34.23,2929000,0.0,0.0
2015-12-17,35.89,36.0,35.17,35.26,33.7,2260200,0.0,0.0
2015-12-18,35.13,35.36,34.77,34.9,33.36,3849000,0.0,0.0
2015-12-21,35.09,35.29,34.6,35.17,33.61,1866200,0.0,0.0
2015-12-22,35.24,35.63,34.83,35.47,33.9,1490600,0.0,0.0
2015-12-23,35.79,36.35,35.57,36.29,34.68,2226400,0.0,0.0
2015-12-24,36.25,36.44,36.06,36.27,34.66,1052400,0.0,0.0
2015-12-28,36.14,36.47,35.99,36.38,34.76,1453600,0.0,0.0
2015-12-29,36.52,36.93,36.31,36.91,35.27,1910600,0.0,0.0
2015-12-30,36.81,37.12,36.65,36.67,35.04,1705200,0.0,0.0
2015-12-31,36.44,36.67,36.22,36.37,34.75,1508600,0.0,0.0
2016-01-04,35.81,36.08,35.37,36.06,34.46,2343600,0.0,0.0
2016-01-05,36.12,36.5,36.06,36.48,34.86,2235400,0.0,0.0
2016-01-06,35.94,36.32,35.9,36.13,34.53,2905400,0.0,0.0
2016-01-07,35.57,35.72,35.08,35.18,33.62,2887600,0.0,0.0
2016-01-08,35.46,35.49,34.83,34.89,33.34,2572800,0.0,0.0
2016-01-11,34.94,35.17,34.15,34.58,33.05,5576000,0.0,0.0
2016-01-12,34.89,35.51,34.85,35.29,33.73,4443200,0.0,0.0
2016-01-13,35.44,35.49,34.23,34.32,32.8,3480800,0.0,0.0
2016-01-14,34.31,34.58,33.65,34.41,32.88,3098400,0.0,0.0
2016-01-15,33.43,34.56,33.25,34.49,32.96,4480400,0.0,0.0
2016-01-19,34.72,35.17,34.2,34.67,33.13,4682800,0.0,0.0
2016-01-20,33.78,34.6,33.33,34.3,32.78,3882800,0.0,0.0
2016-01-21,34.1,34.42,33.51,33.53,32.04,2913200,0.0,0.0
2016-01-22,33.9,34.43,33.69,34.38,32.86,2594800,0.0,0.0
2016-01-25,34.17,34.38,33.1,33.31,31.84,3460000,0.0,0.0
2016-01-26,33.5,34.04,33.35,33.92,32.41,1656400,0.0,0.0
2016-01-27,33.74,33.81,32.86,33.05,31.58,6258200,0.0,0.0
2016-01-28,31.5,33.65,31.5,33.45,31.97,5249000,0.0,0.0
2016-01-29,33.33,33.6,32.88,33.42,31.93,4700600,0.0,0.0
2016-02-01,33.22,33.71,32.93,33.6,32.11,2881400,0.0,0.0
2016-02-02,33.25,33.26,32.68,32.79,31.34,3392800,0.0,0.0
2016-02-03,32.81,33.15,32.42,33.06,31.59,2476800,0.0,0.0
2016-02-04,33.31,34.07,33.1,33.92,32.42,3227000,0.0,0.0
2016-02-05,33.67,33.88,32.4,32.61,31.16,3631400,0.0,0.0
2016-02-08,32.4,32.4,31.15,31.94,30.53,4361400,0.0,0.0
2016-02-09,31.8,32.82,31.65,32.58,31.13,4319200,0.0,0.0
2016-02-10,32.62,33.12,32.47,32.63,31.18,3019200,0.0,0.0
2016-02-11,32.22,32.35,31.75,32.04,30.62,2004600,0.0,0.0
2016-02-12,32.28,32.79,32.15,32.58,31.14,2475600,0.0,0.0
2016-02-16,32.96,33.22,32.53,33.13,31.66,2498400,0.0,0.0
2016-02-17,33.42,33.63,33.01,33.56,32.07,3062600,0.0,0.0
2016-02-18,33.47,33.68,33.22,33.26,31.79,2425800,0.0,0.0
2016-02-19,33.12,33.17,32.58,33.03,31.57,2491600,0.0,0.0
2016-02-22,33.35,33.74,33.1,33.24,31.76,1567000,0.0,0.0
2016-02-23,32.99,33.26,32.77,33.01,31.55,2297600,0.0,0.0
2016-02-24,32.72,33.51,32.62,33.45,31.97,1956400,0.0,0.0
2016-02-25,33.33,33.47,32.96,33.42,31.93,3049200,0.0,0.0
2016-02-26,33.6,33.88,33.31,33.51,32.14,2054000,0.13,0.0
2016-02-29,33.44,33.76,33.12,33.12,31.77,2376600,0.0,0.0
2016-03-01,33.44,34.16,33.13,33.95,32.57,3412800,0.0,0.0
2016-03-02,33.81,34.35,33.68,34.03,32.65,2350800,0.0,0.0
2016-03-03,33.88,34.4,33.85,34.35,32.95,1808000,0.0,0.0
2016-03-04,34.24,34.33,33.9,34.09,32.71,2107800,0.0,0.0
2016-03-07,33.88,34.04,33.42,33.63,32.26,3061000,0.0,0.0
2016-03-08,33.35,33.91,33.3,33.71,32.34,2327000,0.0,0.0
2016-03-09,33.56,33.99,33.56,33.75,32.38,1808800,0.0,0.0
2016-03-10,33.41,33.76,33.21,33.59,32.23,2211400,0.0,0.0
2016-03-11,33.94,34.64,33.69,34.51,33.11,4606800,0.0,0.0
2016-03-14,34.36,34.79,34.17,34.38,32.99,3220000,0.0,0.0
2016-03-15,34.03,34.62,33.93,34.29,32.9,2310400,0.0,0.0
2016-03-16,34.19,34.94,34.15,34.83,33.42,1723200,0.0,0.0
2016-03-17,34.92,35.99,34.92,35.79,34.34,2649800,0.0,0.0
2016-03-18,35.92,35.96,35.15,35.19,33.76,8239600,0.0,0.0
2016-03-21,35.1,35.15,34.75,34.94,33.53,2482400,0.0,0.0
2016-03-22,34.8,35.47,34.78,35.26,33.83,3071400,0.0,0.0
2016-03-23,35.28,35.58,35.17,35.24,33.81,1650800,0.0,0.0
2016-03-24,35.06,35.27,34.78,35.12,33.69,1301400,0.0,0.0
2016-03-28,35.26,35.33,34.92,35.18,33.75,1088000,0.0,0.0
