Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,66.05,66.16,64.73,65.16,56.77,7510100,0.0,0
2015-04-28,64.71,64.86,63.4,64.54,56.23,8777400,0.0,0
2015-04-29,64.39,64.98,63.58,64.29,56.01,4987100,0.0,0
2015-04-30,64.26,64.66,63.42,63.73,55.52,6815200,0.0,0
2015-05-01,64.28,64.74,64.15,64.66,56.33,4421800,0.0,0
2015-05-04,64.75,65.53,64.72,65.32,56.91,4645200,0.0,0
2015-05-05,64.7,65.34,64.7,65.03,56.65,6069700,0.0,0
2015-05-06,65.15,65.15,64.43,64.67,56.34,6448600,0.0,0
2015-05-07,64.57,65.25,64.51,65.05,56.67,4339800,0.0,0
2015-05-08,65.6,66.96,65.6,66.93,58.31,5464300,0.0,0
2015-05-11,66.99,68.43,66.95,68.11,59.34,7212700,0.0,0
2015-05-12,67.55,67.68,67.08,67.5,58.8,5027600,0.0,0
2015-05-13,67.54,68.01,67.03,67.4,58.72,4583800,0.0,0
2015-05-14,66.9,67.88,66.37,67.45,58.76,6516400,0.0,0
2015-05-15,67.61,68.13,67.07,67.64,58.93,6700600,0.0,0
2015-05-18,67.64,68.13,67.59,68.0,59.24,4286900,0.0,0
2015-05-19,68.04,68.49,67.91,68.27,59.48,3937700,0.0,0
2015-05-20,68.41,69.86,68.29,69.08,60.18,7379800,0.0,0
2015-05-21,68.94,69.01,68.46,68.89,60.02,3987100,0.0,0
2015-05-22,68.73,68.73,68.2,68.3,59.5,4419000,0.0,0
2015-05-26,68.02,68.24,67.22,67.5,58.8,5696300,0.0,0
2015-05-27,67.65,68.66,67.44,68.4,59.59,6611400,0.0,0
2015-05-28,68.28,69.23,68.19,69.15,60.24,4633700,0.0,0
2015-05-29,69.16,69.44,63.16,64.6,56.28,28412600,0.0,0
2015-06-01,66.63,67.31,66.01,66.48,57.92,17656700,0.0,0
2015-06-02,66.55,66.55,65.27,65.8,57.32,9919000,0.0,0
2015-06-03,65.65,66.23,65.42,65.7,57.24,5683400,0.0,0
2015-06-04,65.35,66.77,65.18,65.77,57.3,10707800,0.0,0
2015-06-05,65.56,66.26,65.03,66.2,57.67,7697600,0.0,0
2015-06-08,65.85,66.04,65.15,65.32,56.91,6939700,0.0,0
2015-06-09,65.26,65.42,64.9,65.08,56.7,7134300,0.0,0
2015-06-10,65.32,65.89,65.05,65.53,57.09,8057000,0.0,0
2015-06-11,65.78,66.0,65.54,65.85,57.37,6107100,0.0,0
2015-06-12,65.69,65.95,64.89,65.28,56.87,6326700,0.0,0
2015-06-15,64.9,66.18,64.26,65.42,56.99,6076400,0.0,0
2015-06-16,65.47,65.99,65.12,65.97,57.47,3350000,0.0,0
2015-06-17,65.72,66.5,65.52,66.3,57.76,6432800,0.0,0
2015-06-18,66.32,67.22,66.32,66.62,58.04,5485700,0.0,0
2015-06-19,66.49,67.44,66.49,66.8,58.19,8432600,0.0,0
2015-06-22,67.31,67.73,66.93,67.06,58.42,4327000,0.0,0
2015-06-23,67.24,68.14,67.16,67.33,58.66,5639600,0.0,0
2015-06-24,67.29,67.38,66.71,66.81,58.2,4104600,0.0,0
2015-06-25,67.0,67.59,66.74,66.84,58.23,5097500,0.0,0
2015-06-26,67.04,67.68,66.94,67.54,58.84,17278000,0.0,0
2015-06-29,67.24,67.49,65.9,65.97,57.47,4710500,0.0,0
2015-06-30,66.63,66.71,65.94,66.54,57.97,6236100,0.0,0
2015-07-01,66.45,67.71,66.36,67.67,59.28,7486100,0.37,0
2015-07-02,67.87,68.08,67.34,67.48,59.12,5204300,0.0,0
2015-07-06,67.17,68.19,67.01,67.5,59.13,5896900,0.0,0
2015-07-07,67.89,68.39,67.09,68.23,59.77,4782000,0.0,0
2015-07-08,67.88,68.28,67.46,67.74,59.34,6179200,0.0,0
2015-07-09,68.45,68.66,67.89,67.89,59.47,4953800,0.0,0
2015-07-10,68.66,69.49,68.4,69.27,60.68,6123600,0.0,0
2015-07-13,69.65,69.85,69.26,69.66,61.03,4573000,0.0,0
2015-07-14,69.66,70.28,69.45,70.06,61.38,3546200,0.0,0
2015-07-15,69.95,70.42,69.09,69.28,60.69,5218000,0.0,0
2015-07-16,69.68,69.95,69.36,69.38,60.78,4139700,0.0,0
2015-07-17,69.26,69.35,68.89,69.29,60.7,3522800,0.0,0
2015-07-20,70.44,70.54,69.72,69.97,61.3,4758200,0.0,0
2015-07-21,70.11,70.2,68.86,68.87,60.33,6107100,0.0,0
2015-07-22,68.79,69.55,68.47,69.37,60.77,7786100,0.0,0
2015-07-23,69.66,69.66,67.74,68.24,59.78,8947000,0.0,0
2015-07-24,68.07,68.07,65.98,65.98,57.8,6866800,0.0,0
2015-07-27,65.7,65.7,64.29,64.3,56.33,9237500,0.0,0
