Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,54.57,54.59,53.71,53.77,49.04,422600,0.0,0
2015-04-28,53.66,54.39,53.52,54.2,49.43,725500,0.0,0
2015-04-29,54.08,54.7,54.02,54.39,49.61,553600,0.0,0
2015-04-30,54.15,54.56,53.73,53.92,49.18,609800,0.0,0
2015-05-01,54.16,54.62,54.06,54.34,49.56,589100,0.0,0
2015-05-04,54.34,54.69,54.25,54.29,49.51,388300,0.0,0
2015-05-05,54.14,54.38,53.64,53.83,49.09,321700,0.0,0
2015-05-06,54.05,54.32,53.53,53.78,49.05,488400,0.0,0
2015-05-07,53.65,54.38,53.48,54.1,49.34,477700,0.0,0
2015-05-08,53.5,53.79,50.55,51.03,46.54,2021700,0.0,0
2015-05-11,50.98,51.85,50.81,51.23,46.72,1682400,0.0,0
2015-05-12,51.09,51.7,50.68,51.43,46.91,670500,0.0,0
2015-05-13,51.58,51.88,51.3,51.53,47.0,666500,0.0,0
2015-05-14,51.75,51.92,51.46,51.71,47.16,869300,0.0,0
2015-05-15,51.8,52.78,51.8,52.75,48.11,794900,0.0,0
2015-05-18,52.64,53.91,52.59,53.78,49.05,744300,0.0,0
2015-05-19,53.88,54.25,53.7,54.17,49.4,703200,0.0,0
2015-05-20,54.25,54.68,54.04,54.54,49.74,700200,0.0,0
2015-05-21,54.49,54.74,54.09,54.17,49.4,598200,0.0,0
2015-05-22,53.94,54.26,53.83,54.08,49.32,485900,0.0,0
2015-05-26,53.75,53.91,53.36,53.86,49.12,902100,0.0,0
2015-05-27,53.99,54.93,53.78,54.72,49.91,768200,0.0,0
2015-05-28,54.57,54.82,54.35,54.57,49.77,598400,0.0,0
2015-05-29,54.5,54.66,54.09,54.18,49.41,793300,0.0,0
2015-06-01,54.32,54.73,53.71,54.28,49.51,815100,0.0,0
2015-06-02,54.04,54.16,53.55,53.81,49.08,816400,0.0,0
2015-06-03,54.05,54.64,53.66,54.23,49.46,613400,0.0,0
2015-06-04,54.14,54.41,53.55,53.61,48.89,360600,0.0,0
2015-06-05,53.62,53.7,53.13,53.55,48.84,480700,0.0,0
2015-06-08,53.31,53.56,52.81,52.81,48.16,340800,0.0,0
2015-06-09,52.75,52.75,52.15,52.58,47.95,414000,0.0,0
2015-06-10,52.75,53.16,52.49,52.8,48.16,503500,0.0,0
2015-06-11,52.89,53.09,52.15,52.97,48.31,551600,0.0,0
2015-06-12,52.7,52.76,52.14,52.15,47.56,697300,0.0,0
2015-06-15,51.47,52.09,51.17,51.62,47.32,504300,0.27,0
2015-06-16,51.53,52.0,51.4,51.91,47.59,419800,0.0,0
2015-06-17,52.13,52.16,51.7,51.77,47.46,372300,0.0,0
2015-06-18,51.91,52.38,51.69,52.31,47.96,503100,0.0,0
2015-06-19,52.39,52.45,52.0,52.15,47.81,573200,0.0,0
2015-06-22,52.52,52.73,52.33,52.65,48.27,386900,0.0,0
2015-06-23,52.86,52.92,52.23,52.31,47.96,554400,0.0,0
2015-06-24,52.3,52.35,51.59,51.62,47.32,406000,0.0,0
2015-06-25,51.73,51.79,51.47,51.56,47.27,289400,0.0,0
2015-06-26,51.8,51.99,50.53,50.68,46.46,1362100,0.0,0
2015-06-29,49.95,50.72,49.9,50.04,45.88,807100,0.0,0
2015-06-30,50.48,50.52,49.67,50.01,45.85,745300,0.0,0
2015-07-01,50.31,51.72,50.31,51.65,47.35,1099100,0.0,0
2015-07-02,51.8,51.89,51.25,51.8,47.49,801500,0.0,0
2015-07-06,51.67,52.11,51.43,52.05,47.72,822600,0.0,0
2015-07-07,52.11,52.61,51.79,52.43,48.07,688500,0.0,0
2015-07-08,52.14,52.29,51.88,52.1,47.76,847500,0.0,0
2015-07-09,52.69,53.03,52.57,52.94,48.53,970700,0.0,0
2015-07-10,53.49,53.84,53.35,53.57,49.11,734500,0.0,0
2015-07-13,54.06,54.31,53.67,53.69,49.22,728500,0.0,0
2015-07-14,53.82,54.03,53.55,53.7,49.23,375400,0.0,0
2015-07-15,53.68,53.78,53.44,53.59,49.13,312500,0.0,0
2015-07-16,53.81,53.96,53.68,53.77,49.3,431700,0.0,0
2015-07-17,53.71,53.77,53.22,53.24,48.81,335500,0.0,0
2015-07-20,53.4,53.48,53.17,53.33,48.89,598900,0.0,0
2015-07-21,53.38,53.45,53.0,53.13,48.71,404500,0.0,0
2015-07-22,52.92,53.16,52.88,53.06,48.64,689800,0.0,0
2015-07-23,53.12,53.89,53.08,53.61,49.15,743100,0.0,0
2015-07-24,53.77,53.77,52.86,53.11,48.69,743200,0.0,0
2015-07-27,52.7,52.94,52.33,52.46,48.09,384800,0.0,0
2015-07-28,52.53,53.21,52.3,53.2,48.77,441600,0.0,0
2015-07-29,53.13,54.34,53.01,54.31,49.79,406900,0.0,0
2015-07-30,54.23,54.67,53.81,54.31,49.79,521600,0.0,0
2015-07-31,54.54,54.68,54.23,54.27,49.75,432500,0.0,0
2015-08-03,54.36,54.47,53.83,54.3,49.78,328000,0.0,0
2015-08-04,54.25,54.74,53.43,54.34,49.82,363500,0.0,0
2015-08-05,54.58,54.81,54.1,54.36,49.84,674400,0.0,0
2015-08-06,54.54,54.7,53.81,54.1,49.6,950900,0.0,0
2015-08-07,49.01,56.07,49.01,56.05,51.39,1281600,0.0,0
2015-08-10,56.38,57.32,56.27,57.13,52.38,945600,0.0,0
2015-08-11,56.63,56.99,56.06,56.25,51.57,458900,0.0,0
2015-08-12,55.71,56.05,54.96,55.82,51.17,601500,0.0,0
2015-08-13,59.51,59.51,55.03,56.18,51.5,331400,0.0,0
2015-08-14,56.21,56.45,55.9,56.3,51.61,411300,0.0,0
2015-08-17,56.14,56.93,55.75,56.73,52.01,408400,0.0,0
2015-08-18,56.7,56.73,56.28,56.31,51.62,389900,0.0,0
