Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,142.28,142.36,140.87,141.09,141.09,3210600,0,0
2015-04-28,140.81,142.63,140.59,142.52,142.52,2564700,0,0
2015-04-29,141.63,142.76,141.57,142.41,142.41,3127000,0,0
2015-04-30,141.78,142.57,140.93,141.21,141.21,3554600,0,0
2015-05-01,142.0,143.36,141.79,143.36,143.36,2797900,0,0
2015-05-04,144.95,146.33,144.0,146.15,146.15,4229400,0,0
2015-05-05,145.91,146.42,144.51,144.56,144.56,2993500,0,0
2015-05-06,145.0,145.44,142.94,143.78,143.78,3320500,0,0
2015-05-07,143.41,145.52,143.36,145.31,145.31,3314300,0,0
2015-05-08,146.56,148.42,146.4,148.31,148.31,5277900,0,0
2015-05-11,148.5,148.57,146.0,146.17,146.17,3814700,0,0
2015-05-12,145.35,145.39,144.03,144.79,144.79,2823200,0,0
2015-05-13,144.16,144.73,144.02,144.26,144.26,2621700,0,0
2015-05-14,145.22,145.83,144.52,145.78,145.78,2326400,0,0
2015-05-15,145.93,146.09,144.65,145.26,145.26,2423500,0,0
2015-05-18,145.39,145.9,145.04,145.83,145.83,2266200,0,0
2015-05-19,145.83,147.0,145.26,146.54,146.54,2635700,0,0
2015-05-20,146.41,146.44,145.64,145.94,145.94,2239100,0,0
2015-05-21,145.6,145.93,145.16,145.27,145.27,2293900,0,0
2015-05-22,145.1,145.27,144.53,144.6,144.6,2188300,0,0
2015-05-26,144.44,144.91,143.56,143.63,143.63,3299400,0,0
2015-05-27,143.71,145.15,143.58,144.75,144.75,2275400,0,0
2015-05-28,144.93,145.1,144.01,144.74,144.74,2300000,0,0
2015-05-29,144.87,144.99,143.0,143.0,143.0,3641100,0,0
2015-06-01,143.26,144.07,143.06,143.35,143.35,2579400,0,0
2015-06-02,143.2,143.35,142.28,143.03,143.03,2737900,0,0
2015-06-03,143.43,143.73,142.56,143.19,143.19,2288300,0,0
2015-06-04,142.57,142.9,141.23,141.37,141.37,3369100,0,0
2015-06-05,141.51,141.81,140.52,140.76,140.76,3343900,0,0
2015-06-08,140.43,140.7,139.52,139.52,139.52,2998600,0,0
2015-06-09,139.21,140.39,139.14,139.63,139.63,2612800,0,0
2015-06-10,140.0,141.5,139.68,140.86,140.86,3156700,0,0
2015-06-11,141.43,141.61,140.6,141.36,141.36,2436000,0,0
2015-06-12,141.12,141.15,139.78,140.29,140.29,2768400,0,0
2015-06-15,139.72,139.96,138.78,139.4,139.4,2859500,0,0
2015-06-16,139.47,139.73,138.92,139.71,139.71,2369900,0,0
2015-06-17,139.85,140.56,139.16,139.97,139.97,2280200,0,0
2015-06-18,140.25,142.81,140.2,142.67,142.67,4583700,0,0
2015-06-19,142.18,142.96,140.96,140.96,140.96,6044000,0,0
2015-06-22,142.0,142.54,141.11,141.53,141.53,2339300,0,0
2015-06-23,141.62,142.15,140.95,141.33,141.33,1974500,0,0
2015-06-24,140.75,141.41,140.09,140.09,140.09,2709400,0,0
2015-06-25,140.06,140.65,139.45,139.45,139.45,2616700,0,0
2015-06-26,139.92,140.16,139.12,139.78,139.78,4480200,0,0
2015-06-29,139.0,139.24,136.42,136.51,136.51,6703700,0,0
2015-06-30,137.52,137.8,136.08,136.11,136.11,5160300,0,0
2015-07-01,137.7,138.3,136.74,137.52,137.52,3244900,0,0
2015-07-02,137.9,138.16,137.06,137.39,137.39,2823700,0,0
2015-07-06,136.13,137.42,136.04,136.89,136.89,2962100,0,0
2015-07-07,137.3,138.65,136.04,138.44,138.44,4642300,0,0
2015-07-08,137.55,137.96,136.75,136.9,136.9,3642300,0,0
2015-07-09,138.01,138.84,137.94,138.25,138.25,3574900,0,0
2015-07-10,139.51,140.3,138.96,139.73,139.73,3774900,0,0
2015-07-13,140.8,141.49,140.45,141.39,141.39,3139800,0,0
2015-07-14,141.14,141.64,140.92,141.12,141.12,2415200,0,0
2015-07-15,141.37,142.64,141.2,142.61,142.61,2995300,0,0
2015-07-16,143.15,143.92,143.0,143.92,143.92,3179600,0,0
2015-07-17,143.72,144.0,143.44,143.88,143.88,2982900,0,0
2015-07-20,143.96,144.69,143.71,144.51,144.51,2467500,0,0
2015-07-21,144.23,144.6,143.08,143.6,143.6,3116500,0,0
2015-07-22,143.55,144.0,143.06,143.52,143.52,2578000,0,0
2015-07-23,143.27,143.41,142.06,142.18,142.18,2322700,0,0
2015-07-24,142.0,142.36,141.19,141.25,141.25,2363300,0,0
2015-07-27,141.14,141.37,140.42,140.72,140.72,2903600,0,0
2015-07-28,141.59,143.59,141.13,143.22,143.22,3252700,0,0
2015-07-29,143.25,143.69,142.61,142.92,142.92,2555800,0,0
2015-07-30,142.81,143.06,142.11,142.85,142.85,2018300,0,0
2015-07-31,143.31,143.75,142.6,142.74,142.74,3074100,0,0
2015-08-03,143.11,143.32,140.92,142.33,142.33,2540700,0,0
2015-08-04,142.22,143.06,142.01,142.68,142.68,2618000,0,0
2015-08-05,143.32,143.99,143.22,143.5,143.5,2615800,0,0
2015-08-06,143.5,143.84,143.0,143.35,143.35,2418200,0,0
2015-08-07,142.86,143.7,142.3,143.55,143.55,2419000,0,0
2015-08-10,141.37,143.58,141.31,143.42,143.42,4278300,0,0
2015-08-11,141.83,143.07,141.61,142.8,142.8,3924400,0,0
2015-08-12,141.91,142.15,140.46,141.6,141.6,4901200,0,0
2015-08-13,141.31,142.61,140.99,141.95,141.95,3045200,0,0
2015-08-14,142.05,142.75,141.99,142.57,142.57,2911200,0,0
2015-08-17,142.0,142.46,141.31,142.32,142.32,2788100,0,0
2015-08-18,142.29,142.3,141.02,141.36,141.36,3334100,0,0
2015-08-19,141.0,141.71,139.75,140.47,140.47,3478300,0,0
2015-08-20,139.2,140.0,138.35,138.39,138.39,4050800,0,0
2015-08-21,137.23,138.0,134.16,134.22,134.22,9122400,0,0
2015-08-24,127.55,133.97,125.5,129.57,129.57,13820800,0,0
2015-08-25,134.48,134.55,127.46,127.74,127.74,8233100,0,0
2015-08-26,130.89,132.88,128.69,132.61,132.61,7709300,0,0
2015-08-27,134.4,136.31,133.22,136.23,136.23,5923000,0,0
2015-08-28,135.53,136.0,134.73,135.74,135.74,3897800,0,0
2015-08-31,135.09,135.5,133.42,134.04,134.04,5575500,0,0
2015-09-01,131.79,132.27,129.83,130.41,130.41,5957900,0,0
2015-09-02,131.41,132.22,130.76,132.22,132.22,4080300,0,0
2015-09-03,132.71,133.62,131.69,132.15,132.15,3984400,0,0
2015-09-04,130.82,131.08,128.91,129.64,129.64,5828600,0,0
2015-09-08,132.02,133.07,131.17,132.9,132.9,5729300,0,0
2015-09-09,134.5,134.66,130.3,130.59,130.59,4482600,0,0
2015-09-10,130.23,131.79,130.2,130.66,130.66,4482400,0,0
2015-09-11,130.88,131.55,130.25,131.37,131.37,4181800,0,0
2015-09-14,131.15,131.69,130.54,130.9,130.9,4270000,0,0
2015-09-15,131.0,132.65,130.76,132.26,132.26,3189600,0,0
2015-09-16,132.26,132.85,132.02,132.58,132.58,3041500,0,0
2015-09-17,132.29,133.6,131.27,131.47,131.47,4414500,0,0
2015-09-18,130.07,130.96,128.94,129.1,129.1,14622800,0,0
2015-09-21,130.0,131.31,129.72,130.98,130.98,4804900,0,0
2015-09-22,129.56,129.69,128.36,129.3,129.3,4230800,0,0
2015-09-23,129.31,129.49,128.31,129.16,129.16,2947800,0,0
2015-09-24,128.25,129.22,127.75,128.83,128.83,3705600,0,0
2015-09-25,130.03,130.58,129.0,129.64,129.64,3487200,0,0
2015-09-28,128.59,129.26,128.4,128.62,128.62,4412400,0,0
2015-09-29,128.44,128.96,127.67,128.81,128.81,4071500,0,0
