Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,18.38,18.5,17.91,17.98,17.98,13442200,0,0
2015-04-28,17.84,17.95,17.22,17.75,17.75,19394300,0,0
2015-04-29,17.69,17.8,17.48,17.59,17.59,18931400,0,0
2015-04-30,17.46,18.04,17.41,17.82,17.82,23450500,0,0
2015-05-01,17.85,17.85,17.41,17.74,17.74,21817900,0,0
2015-05-04,17.86,18.03,17.79,17.88,17.88,9516800,0,0
2015-05-05,17.84,17.84,17.3,17.37,17.37,11369800,0,0
2015-05-06,17.37,17.48,17.17,17.3,17.3,9747600,0,0
2015-05-07,17.32,17.41,17.12,17.18,17.18,7998500,0,0
2015-05-08,17.4,17.57,17.33,17.51,17.51,4921800,0,0
2015-05-11,17.45,17.58,17.37,17.47,17.47,6128300,0,0
2015-05-12,17.34,17.42,17.15,17.27,17.27,7323100,0,0
2015-05-13,17.24,17.41,17.2,17.23,17.23,7501400,0,0
2015-05-14,17.34,17.95,17.31,17.91,17.91,11846000,0,0
2015-05-15,17.88,17.94,17.77,17.85,17.85,7508000,0,0
2015-05-18,17.88,18.2,17.86,18.06,18.06,7840400,0,0
2015-05-19,18.07,18.15,17.93,18.12,18.12,5824000,0,0
2015-05-20,18.1,18.2,17.95,17.98,17.98,6047100,0,0
2015-05-21,17.91,17.99,17.79,17.87,17.87,4508200,0,0
2015-05-22,17.84,17.94,17.76,17.83,17.83,3607100,0,0
2015-05-26,17.72,17.87,17.71,17.77,17.77,7217100,0,0
2015-05-27,17.93,18.0,17.76,17.99,17.99,6454900,0,0
2015-05-28,17.97,18.45,17.91,18.27,18.27,26959300,0,0
2015-05-29,18.15,18.62,18.05,18.27,18.27,33431700,0,0
2015-06-01,18.36,18.61,18.23,18.51,18.51,10199500,0,0
2015-06-02,18.45,18.45,18.24,18.29,18.29,6790900,0,0
2015-06-03,18.36,18.39,18.17,18.23,18.23,5717600,0,0
2015-06-04,18.13,18.18,17.86,17.91,17.91,6965000,0,0
2015-06-05,17.9,17.92,17.72,17.85,17.85,5828100,0,0
