Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,52.88,53.39,52.78,52.8,48.6,15613000,0.0,0
2015-04-28,52.67,53.1,52.25,53.02,48.8,14134500,0.0,0
2015-04-29,52.65,53.99,52.61,53.76,49.48,22542400,0.0,0
2015-04-30,53.75,53.97,52.92,53.32,49.08,19420600,0.0,0
2015-05-01,53.64,53.84,53.31,53.76,49.48,13147600,0.0,0
2015-05-04,53.85,54.26,53.74,54.17,49.86,15670100,0.0,0
2015-05-05,53.99,54.3,53.25,53.35,49.11,20669100,0.0,0
2015-05-06,53.56,53.9,52.35,52.82,48.62,19414800,0.0,0
2015-05-07,52.59,53.44,52.41,53.31,49.11,14954200,0.05,0
2015-05-08,53.55,54.11,53.3,54.02,49.77,17333500,0.0,0
2015-05-11,53.92,54.16,53.8,53.97,49.72,13896800,0.0,0
2015-05-12,53.67,53.98,53.23,53.74,49.51,13336900,0.0,0
2015-05-13,53.72,54.36,53.48,54.2,49.93,15810400,0.0,0
2015-05-14,54.43,54.73,54.33,54.6,50.3,14250800,0.0,0
2015-05-15,54.59,54.61,54.03,54.24,49.97,10377200,0.0,0
2015-05-18,54.19,54.9,54.17,54.67,50.37,11717600,0.0,0
2015-05-19,54.79,55.37,54.75,55.33,50.98,18207400,0.0,0
2015-05-20,55.27,55.3,54.75,54.89,50.57,13954600,0.0,0
2015-05-21,54.69,55.1,54.61,54.84,50.52,11799200,0.0,0
2015-05-22,54.78,55.33,54.68,54.97,50.64,12652000,0.0,0
2015-05-26,54.75,54.84,54.01,54.24,49.97,16564500,0.0,0
2015-05-27,54.34,54.98,54.2,54.87,50.55,13699400,0.0,0
2015-05-28,54.82,54.82,54.22,54.55,50.26,13380900,0.0,0
2015-05-29,54.46,54.49,53.87,54.08,49.82,13841400,0.0,0
2015-06-01,54.68,55.05,54.44,54.45,50.17,18156300,0.0,0
2015-06-02,54.4,55.02,54.13,54.72,50.41,17765400,0.0,0
2015-06-03,55.04,56.02,55.01,55.63,51.25,21240500,0.0,0
2015-06-04,55.45,56.0,55.16,55.33,50.98,18517600,0.0,0
2015-06-05,56.02,56.58,55.84,56.24,51.81,26500400,0.0,0
2015-06-08,56.25,56.5,55.65,55.65,51.27,14961600,0.0,0
2015-06-09,55.57,56.36,55.22,56.0,51.59,15193100,0.0,0
2015-06-10,56.27,57.21,56.18,57.02,52.53,21275600,0.0,0
2015-06-11,57.2,57.5,56.93,57.21,52.71,19187100,0.0,0
2015-06-12,57.01,57.25,56.67,57.11,52.62,13860600,0.0,0
2015-06-15,56.62,56.94,56.11,56.65,52.19,17698400,0.0,0
2015-06-16,56.52,57.13,56.36,57.07,52.58,13563800,0.0,0
2015-06-17,57.07,57.15,56.38,56.54,52.09,17801900,0.0,0
2015-06-18,56.66,56.88,55.98,56.76,52.29,18739300,0.0,0
2015-06-19,56.51,56.81,56.17,56.23,51.8,18840500,0.0,0
2015-06-22,56.86,57.21,56.76,56.95,52.47,13011600,0.0,0
2015-06-23,57.28,57.64,57.12,57.39,52.87,16216100,0.0,0
2015-06-24,56.66,56.99,56.5,56.66,52.2,19235500,0.0,0
2015-06-25,56.99,57.06,56.18,56.19,51.77,12176200,0.0,0
2015-06-26,56.47,56.65,56.1,56.34,51.91,12148300,0.0,0
2015-06-29,55.04,55.62,54.85,54.88,50.56,22260400,0.0,0
2015-06-30,55.52,55.68,54.81,55.24,50.89,17737400,0.0,0
2015-07-01,56.01,56.01,55.24,55.68,51.3,17606100,0.0,0
2015-07-02,55.43,55.85,55.07,55.37,51.01,12062800,0.0,0
2015-07-06,54.79,55.25,54.5,55.08,50.75,12706200,0.0,0
2015-07-07,54.97,55.05,53.03,54.5,50.21,32011200,0.0,0
2015-07-08,53.81,53.81,52.77,52.8,48.64,26169400,0.0,0
2015-07-09,53.84,54.15,53.6,53.71,49.48,23540400,0.0,0
2015-07-10,54.55,54.79,54.3,54.56,50.27,16578700,0.0,0
2015-07-13,55.04,55.69,55.04,55.54,51.17,18803900,0.0,0
2015-07-14,55.37,56.12,55.24,55.91,51.51,18174900,0.0,0
2015-07-15,56.26,56.79,55.95,56.46,52.02,20470500,0.0,0
2015-07-16,57.9,58.65,57.71,58.59,53.98,41084000,0.0,0
2015-07-17,58.53,58.89,58.34,58.75,54.13,21055300,0.0,0
2015-07-20,58.96,59.3,58.63,58.85,54.22,16016600,0.0,0
2015-07-21,58.8,59.31,58.8,59.1,54.45,21541700,0.0,0
