Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,84.77,85.94,84.4,85.33,72.02,5912000.0,0.0,0
2015-04-28,85.42,86.22,84.5,86.2,72.75,5736500.0,0.0,0
2015-04-29,85.69,87.92,85.46,87.5,73.85,7021800.0,0.0,0
2015-04-30,86.85,87.3,86.23,86.88,73.32,5460100.0,0.0,0
2015-05-01,87.69,88.28,86.76,87.37,73.74,4850100.0,0.0,0
2015-05-04,87.73,87.96,87.17,87.3,73.68,2754500.0,0.0,0
2015-05-05,87.57,88.22,86.7,87.0,73.42,4623700.0,0.0,0
2015-05-06,87.75,87.94,86.42,86.99,73.42,4464700.0,0.0,0
2015-05-07,86.65,86.88,85.89,86.43,72.94,3892800.0,0.0,0
2015-05-08,87.78,87.84,86.7,87.31,73.69,3577100.0,0.0,0
2015-05-11,88.4,89.44,88.09,88.77,74.92,6882600.0,0.0,0
2015-05-12,88.19,88.34,87.26,88.16,74.4,4066400.0,0.0,0
2015-05-13,88.59,89.07,88.21,88.44,74.64,3178300.0,0.0,0
2015-05-14,88.78,89.59,88.65,88.74,74.89,3228400.0,0.0,0
2015-05-15,88.5,88.56,87.6,88.43,74.63,3205000.0,0.0,0
2015-05-18,88.39,88.5,87.65,88.29,74.51,3074400.0,0.0,0
2015-05-19,87.89,87.91,86.51,87.24,73.63,5676800.0,0.0,0
2015-05-20,87.63,88.13,87.13,87.93,74.21,3841500.0,0.0,0
2015-05-21,88.23,89.62,87.94,89.33,75.39,8155500.0,0.0,0
2015-05-22,89.18,89.5,88.63,88.63,74.8,3483800.0,0.0,0
2015-05-26,88.13,88.15,87.29,87.84,74.13,3149600.0,0.0,0
2015-05-27,87.99,88.82,87.65,87.92,74.2,4517100.0,0.0,0
2015-05-28,87.33,87.45,85.73,86.01,72.59,5899100.0,0.0,0
2015-05-29,85.74,86.33,85.11,85.32,72.01,4685700.0,0.0,0
2015-06-01,86.06,86.37,84.7,85.53,72.18,3976900.0,0.0,0
2015-06-02,85.21,86.68,85.07,86.17,72.72,2817800.0,0.0,0
2015-06-03,86.6,87.06,85.81,86.23,72.78,2841800.0,0.0,0
2015-06-04,85.5,86.4,85.32,85.47,72.13,3775200.0,0.0,0
2015-06-05,85.01,86.5,84.91,86.05,72.62,3937600.0,0.0,0
