Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,108.93,108.98,107.65,107.88,95.1,1545400,0.0,0
2015-04-28,107.46,109.08,107.46,108.76,95.88,1315900,0.0,0
2015-04-29,108.57,108.87,107.73,108.04,95.24,1282800,0.0,0
2015-04-30,108.25,108.75,106.7,106.99,94.32,1450200,0.0,0
2015-05-01,107.38,107.87,107.01,107.63,94.88,798100,0.0,0
2015-05-04,107.68,108.03,107.28,107.44,94.71,1429900,0.0,0
2015-05-05,106.95,107.73,106.8,107.08,94.4,1265800,0.0,0
2015-05-06,107.38,107.5,106.27,106.92,94.25,1032100,0.0,0
2015-05-07,107.09,107.98,106.47,107.65,94.9,1218400,0.0,0
2015-05-08,108.4,108.81,108.08,108.78,95.89,888000,0.0,0
2015-05-11,108.39,108.78,107.94,108.28,95.45,950900,0.0,0
2015-05-12,107.77,107.87,106.65,107.05,94.37,1870800,0.0,0
2015-05-13,107.05,107.72,106.9,107.2,94.5,1326300,0.0,0
2015-05-14,107.75,108.63,107.51,108.59,95.73,1383600,0.0,0
2015-05-15,108.39,108.85,107.94,108.15,95.34,873000,0.0,0
2015-05-18,108.31,108.89,108.14,108.74,95.86,1162000,0.0,0
2015-05-19,109.0,109.17,108.4,108.94,96.04,973000,0.0,0
2015-05-20,108.86,109.29,108.38,109.11,96.19,830900,0.0,0
2015-05-21,108.84,109.17,108.51,108.9,96.0,1041600,0.0,0
2015-05-22,108.78,108.99,108.45,108.66,95.79,1552700,0.0,0
2015-05-26,108.3,108.6,106.66,106.78,94.13,2065000,0.0,0
2015-05-27,107.22,107.51,106.81,107.35,94.63,1211000,0.0,0
2015-05-28,106.97,107.67,106.66,107.58,94.84,847700,0.0,0
2015-05-29,107.31,107.48,106.44,106.48,93.87,1177500,0.0,0
2015-06-01,106.82,106.98,106.01,106.37,93.77,995400,0.0,0
2015-06-02,106.09,106.75,105.82,106.37,93.77,910800,0.0,0
2015-06-03,106.9,107.05,106.3,106.88,94.22,1107600,0.0,0
2015-06-04,106.0,106.89,105.68,105.81,93.28,1505700,0.0,0
2015-06-05,106.06,106.51,104.42,104.68,92.28,2081000,0.0,0
2015-06-08,104.61,105.06,103.27,103.3,91.06,1444700,0.0,0
2015-06-09,103.28,103.77,102.65,103.52,91.26,2682600,0.0,0
2015-06-10,104.18,105.57,104.03,105.06,92.61,1416100,0.0,0
2015-06-11,105.07,106.3,105.0,105.99,93.43,1013100,0.0,0
2015-06-12,105.59,105.93,105.08,105.48,92.99,828100,0.0,0
2015-06-15,104.48,105.91,104.31,105.43,92.94,1433300,0.0,0
2015-06-16,105.33,106.52,105.22,106.28,93.69,1169600,0.0,0
2015-06-17,106.54,106.83,105.62,106.33,93.73,978700,0.0,0
2015-06-18,106.17,107.85,106.17,107.66,94.91,1222700,0.0,0
2015-06-19,107.21,107.51,105.95,106.01,93.45,1364100,0.0,0
2015-06-22,106.48,106.73,105.82,106.13,93.56,876900,0.0,0
2015-06-23,106.49,107.22,105.92,106.41,93.81,849600,0.0,0
2015-06-24,106.18,106.26,105.22,105.23,93.26,1409700,0.57,0
2015-06-25,103.18,104.2,102.26,102.75,91.07,6178800,0.0,0
2015-06-26,101.75,103.98,99.55,103.47,92.31,2632900,0.67,0
2015-06-29,102.89,103.08,101.48,101.6,90.64,2367000,0.0,0
2015-06-30,102.65,102.73,101.6,101.68,90.71,1777400,0.0,0
2015-07-01,109.8,110.84,101.35,102.49,91.43,17646700,0.0,0
2015-07-02,100.79,105.57,100.07,103.74,92.55,5568400,0.0,0
2015-07-06,102.65,103.78,102.54,103.33,92.18,2979200,0.0,0
2015-07-07,103.57,104.58,102.6,104.46,93.19,3819900,0.0,0
2015-07-08,103.7,103.98,102.43,102.64,91.57,2794800,0.0,0
2015-07-09,104.16,104.23,102.92,103.49,92.32,3004100,0.0,0
2015-07-10,104.71,104.71,103.49,103.84,92.64,2404300,0.0,0
2015-07-13,104.8,104.96,103.84,104.23,92.98,1685500,0.0,0
2015-07-14,103.93,104.21,103.21,103.63,92.45,2703400,0.0,0
2015-07-15,103.55,104.11,102.63,103.78,92.58,3798900,0.0,0
2015-07-16,104.73,104.82,104.0,104.36,93.1,2759400,0.0,0
2015-07-17,104.43,104.43,103.36,104.14,92.9,1699900,0.0,0
2015-07-20,104.06,104.39,103.74,104.22,92.98,2123900,0.0,0
2015-07-21,104.32,104.51,103.21,103.88,92.67,3133800,0.0,0
2015-07-22,106.13,106.74,104.79,106.59,95.09,4582500,0.0,0
2015-07-23,106.52,107.12,105.34,106.45,94.96,3197500,0.0,0
2015-07-24,106.19,107.1,106.07,106.44,94.96,2060600,0.0,0
2015-07-27,106.12,108.01,106.1,107.0,95.46,3007100,0.0,0
2015-07-28,107.46,107.74,106.93,107.62,96.01,2554600,0.0,0
2015-07-29,107.52,108.42,107.11,107.99,96.34,1918200,0.0,0
2015-07-30,107.6,108.74,107.6,108.59,96.87,1531900,0.0,0
2015-07-31,109.97,110.2,108.57,108.77,97.03,4031400,0.0,0
2015-08-03,108.68,110.82,108.55,110.74,98.79,2660000,0.0,0
2015-08-04,110.62,111.18,110.27,110.37,98.46,2368600,0.0,0
2015-08-05,110.92,111.63,110.5,111.13,99.14,2394700,0.0,0
2015-08-06,111.28,111.32,109.71,110.14,98.26,1951700,0.0,0
2015-08-07,109.94,110.01,109.34,109.86,98.01,1466000,0.0,0
2015-08-10,110.6,111.04,109.85,110.11,98.23,1589800,0.0,0
2015-08-11,109.2,110.54,109.2,109.98,98.11,1799700,0.0,0
2015-08-12,109.32,109.39,107.81,109.13,97.36,1807200,0.0,0
2015-08-13,107.92,109.53,107.62,108.98,97.22,1516100,0.0,0
2015-08-14,109.19,109.72,108.79,109.67,97.84,1326200,0.0,0
2015-08-17,109.58,110.45,108.93,109.99,98.12,1391200,0.0,0
2015-08-18,109.79,110.54,109.49,110.48,98.56,1458600,0.0,0
2015-08-19,109.74,110.53,109.04,109.73,97.89,1917900,0.0,0
2015-08-20,108.77,109.07,107.45,107.5,95.9,2499100,0.0,0
2015-08-21,106.73,107.25,105.02,105.07,93.73,2685300,0.0,0
2015-08-24,99.78,103.75,96.0,101.32,90.39,5703900,0.0,0
2015-08-25,104.36,104.36,99.62,99.72,88.96,3455300,0.0,0
2015-08-26,101.66,102.25,99.57,101.85,90.86,3644400,0.0,0
2015-08-27,102.86,104.03,101.67,103.64,92.46,2837100,0.0,0
2015-08-28,103.35,103.74,101.74,102.71,91.63,2426600,0.0,0
2015-08-31,102.31,102.63,101.3,102.16,91.14,2197000,0.0,0
2015-09-01,100.38,101.02,99.22,99.72,88.96,3025600,0.0,0
2015-09-02,100.68,101.12,99.5,100.63,89.77,2130000,0.0,0
2015-09-03,101.07,101.97,100.99,101.67,90.7,2136300,0.0,0
2015-09-04,100.4,100.73,99.55,100.16,89.35,2508900,0.0,0
2015-09-08,101.47,102.11,100.58,101.97,90.97,1950400,0.0,0
2015-09-09,102.79,103.26,100.56,100.73,89.86,1837100,0.0,0
2015-09-10,100.73,101.49,100.33,100.74,89.87,1683300,0.0,0
2015-09-11,100.35,101.07,100.25,100.86,89.98,1591600,0.0,0
2015-09-14,101.06,101.06,99.98,100.21,89.4,1650900,0.0,0
2015-09-15,100.42,101.63,99.95,101.3,90.37,1936600,0.0,0
2015-09-16,101.33,101.95,101.13,101.81,90.83,1405600,0.0,0
2015-09-17,101.91,102.87,101.38,101.55,91.1,2626500,0.57,0
2015-09-18,99.79,101.23,99.59,99.92,89.64,3566800,0.0,0
2015-09-21,100.63,101.96,100.27,101.68,91.22,2327500,0.0,0
2015-09-22,100.7,101.27,100.31,100.98,90.59,2647200,0.0,0
2015-09-23,100.87,102.15,100.55,101.34,90.92,2540500,0.0,0
2015-09-24,100.53,101.77,100.15,101.55,91.1,1989600,0.0,0
2015-09-25,102.89,104.24,102.42,103.42,92.78,2657600,0.0,0
2015-09-28,102.21,103.04,100.33,100.9,91.11,2657400,0.67,0
2015-09-29,100.83,101.79,100.11,101.59,91.73,2097800,0.0,0
2015-09-30,102.39,103.55,102.14,103.4,93.37,2993300,0.0,0
2015-10-01,103.23,103.33,100.94,102.29,92.37,3354300,0.0,0
2015-10-02,100.88,102.72,100.34,102.72,92.75,2019600,0.0,0
2015-10-05,103.47,104.65,103.42,104.33,94.21,2184600,0.0,0
2015-10-06,103.6,104.09,102.93,103.29,93.27,2078400,0.0,0
2015-10-07,103.91,104.98,103.48,104.98,94.79,2596600,0.0,0
2015-10-08,104.54,106.66,104.0,106.58,96.24,1964200,0.0,0
2015-10-09,106.41,107.27,106.22,106.47,96.14,3162700,0.0,0
2015-10-12,105.75,107.27,105.75,107.02,96.64,1144900,0.0,0
2015-10-13,106.56,107.37,106.08,106.45,96.12,1443500,0.0,0
2015-10-14,106.29,106.74,105.4,105.55,95.31,1545700,0.0,0
2015-10-15,105.83,107.68,105.83,107.55,97.12,1584400,0.0,0
2015-10-16,108.59,109.19,107.87,108.95,98.38,2542800,0.0,0
2015-10-19,108.71,109.53,108.07,109.51,98.89,2175700,0.0,0
2015-10-20,109.72,111.44,109.55,111.05,100.28,3151500,0.0,0
2015-10-21,112.49,114.56,110.77,113.58,102.56,4115100,0.0,0
2015-10-22,113.99,115.94,113.69,115.11,103.94,3526700,0.0,0
2015-10-23,115.25,115.25,113.23,114.83,103.69,2369300,0.0,0
2015-10-26,115.14,116.27,114.86,115.27,104.09,2090900,0.0,0
2015-10-27,114.69,115.14,114.12,114.58,103.46,1872800,0.0,0
2015-10-28,115.09,115.7,114.04,115.29,104.1,1377300,0.0,0
2015-10-29,115.59,116.01,114.87,115.28,104.1,1222400,0.0,0
2015-10-30,115.03,115.43,113.54,113.54,102.52,2405400,0.0,0
2015-11-02,113.92,114.35,113.22,114.07,103.0,2451400,0.0,0
2015-11-03,113.96,114.03,113.18,113.64,102.61,1953600,0.0,0
2015-11-04,113.61,113.91,112.66,112.96,102.0,1808800,0.0,0
2015-11-05,113.04,113.7,113.04,113.53,102.52,1755500,0.0,0
2015-11-06,114.59,114.59,112.21,113.03,102.06,1777200,0.0,0
2015-11-09,112.78,113.18,111.92,112.52,101.6,1443800,0.0,0
2015-11-10,112.46,113.59,112.37,113.55,102.53,1234700,0.0,0
2015-11-11,113.24,113.81,112.88,113.37,102.37,1572600,0.0,0
2015-11-12,112.9,113.22,111.41,111.43,100.62,1786200,0.0,0
2015-11-13,111.49,112.55,111.36,111.85,101.0,1734100,0.0,0
2015-11-16,111.71,113.76,111.65,113.76,102.72,1756100,0.0,0
2015-11-17,113.54,114.48,113.38,113.48,102.47,2208300,0.0,0
2015-11-18,113.41,115.41,113.41,115.34,104.15,1173100,0.0,0
