Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,57.27,57.63,56.5,56.55,53.13,461100,0.0,0
2015-04-28,56.7,57.31,56.31,57.1,53.65,328500,0.0,0
2015-04-29,56.73,57.34,56.73,56.89,53.45,361100,0.0,0
2015-04-30,56.81,57.1,56.0,56.27,52.87,1065700,0.0,0
2015-05-01,56.79,58.06,55.26,55.51,52.16,1109300,0.0,0
2015-05-04,55.64,55.98,55.23,55.53,52.18,819200,0.0,0
2015-05-05,55.31,55.94,55.04,55.5,52.15,601800,0.0,0
2015-05-06,55.63,56.21,55.55,55.82,52.45,603400,0.0,0
2015-05-07,55.56,57.15,55.54,56.84,53.41,885300,0.0,0
2015-05-08,57.03,57.42,56.99,57.27,53.81,460300,0.0,0
2015-05-11,57.39,58.18,56.98,58.09,54.58,537600,0.0,0
2015-05-12,57.73,58.84,57.4,58.77,55.22,910900,0.0,0
2015-05-13,58.57,58.91,58.36,58.85,55.29,1016600,0.0,0
2015-05-14,59.01,59.41,58.78,59.4,55.81,481800,0.0,0
2015-05-15,59.56,59.61,58.25,58.69,55.14,550300,0.0,0
2015-05-18,58.76,58.93,58.26,58.31,54.79,768900,0.0,0
2015-05-19,58.51,58.9,58.06,58.45,54.92,712700,0.0,0
2015-05-20,58.37,58.76,58.05,58.15,54.64,513600,0.0,0
2015-05-21,58.21,58.21,57.76,58.06,54.55,350400,0.0,0
2015-05-22,58.49,59.24,58.4,59.16,55.59,469200,0.0,0
2015-05-26,58.96,59.32,58.51,58.81,55.26,572700,0.0,0
2015-05-27,58.81,58.91,58.16,58.38,55.05,539200,0.21,0
2015-05-28,58.32,58.71,58.02,58.43,55.1,482700,0.0,0
2015-05-29,58.44,58.72,57.84,58.52,55.18,333600,0.0,0
2015-06-01,58.73,58.76,57.94,58.06,54.75,471300,0.0,0
2015-06-02,57.72,58.0,57.17,57.35,54.08,465600,0.0,0
2015-06-03,57.43,58.13,57.1,57.42,54.14,618700,0.0,0
2015-06-04,57.44,57.59,56.98,57.47,54.19,447600,0.0,0
2015-06-05,57.07,57.6,56.97,57.1,53.84,384800,0.0,0
2015-06-08,57.63,58.0,57.25,57.39,54.12,465700,0.0,0
2015-06-09,57.23,57.84,57.03,57.59,54.3,305800,0.0,0
2015-06-10,57.79,58.28,57.37,58.04,54.73,570000,0.0,0
2015-06-11,58.25,58.59,58.03,58.57,55.23,487500,0.0,0
2015-06-12,58.56,58.56,57.89,58.31,54.98,412300,0.0,0
2015-06-15,57.99,59.47,57.45,59.47,56.08,820900,0.0,0
2015-06-16,59.6,59.6,58.93,59.2,55.82,542400,0.0,0
2015-06-17,59.44,59.64,58.97,59.26,55.88,611300,0.0,0
2015-06-18,59.15,59.5,58.6,58.65,55.3,418000,0.0,0
2015-06-19,58.77,58.85,58.26,58.43,55.1,828700,0.0,0
2015-06-22,58.66,58.66,57.86,58.4,55.07,446000,0.0,0
2015-06-23,58.47,58.81,57.79,57.9,54.6,444300,0.0,0
2015-06-24,57.94,58.01,57.04,57.12,53.86,409300,0.0,0
2015-06-25,57.06,57.56,57.06,57.56,54.28,388100,0.0,0
2015-06-26,57.48,57.67,57.04,57.3,54.03,638600,0.0,0
2015-06-29,56.82,57.24,56.42,57.06,53.8,740900,0.0,0
2015-06-30,57.45,57.64,56.81,57.22,53.96,723800,0.0,0
2015-07-01,57.41,58.57,57.41,58.48,55.14,706100,0.0,0
2015-07-02,58.89,59.69,58.32,59.43,56.04,849800,0.0,0
2015-07-06,59.06,60.39,58.68,60.39,56.95,981900,0.0,0
2015-07-07,60.57,60.72,59.32,60.23,56.79,587900,0.0,0
2015-07-08,60.02,60.48,59.93,60.33,56.89,759500,0.0,0
2015-07-09,60.73,61.48,60.59,60.89,57.42,478000,0.0,0
2015-07-10,61.58,61.9,61.15,61.85,58.32,446000,0.0,0
2015-07-13,62.0,62.37,60.04,60.39,56.95,990800,0.0,0
2015-07-14,60.5,61.08,60.07,60.76,57.29,503300,0.0,0
2015-07-15,61.2,61.52,60.5,61.42,57.92,441900,0.0,0
2015-07-16,61.46,61.69,60.66,61.57,58.06,514600,0.0,0
2015-07-17,61.53,61.92,61.17,61.92,58.39,488800,0.0,0
2015-07-20,61.89,61.96,61.41,61.59,58.08,331700,0.0,0
2015-07-21,61.68,61.9,61.08,61.15,57.66,295800,0.0,0
2015-07-22,61.22,62.07,61.03,62.05,58.51,424300,0.0,0
2015-07-23,62.28,62.3,61.38,61.42,57.92,558000,0.0,0
2015-07-24,61.15,61.94,61.09,61.93,58.4,461500,0.0,0
2015-07-27,61.76,61.84,60.59,60.79,57.32,408000,0.0,0
2015-07-28,61.09,61.09,60.26,60.35,56.91,402100,0.0,0
2015-07-29,60.22,60.97,60.17,60.88,57.41,325900,0.0,0
2015-07-30,60.98,61.96,60.59,61.67,58.15,634900,0.0,0
2015-07-31,61.8,62.75,61.13,61.98,58.44,525500,0.0,0
2015-08-03,61.92,62.57,61.68,62.35,58.79,607100,0.0,0
2015-08-04,62.47,62.74,62.06,62.54,58.97,559500,0.0,0
2015-08-05,62.3,63.42,62.28,63.02,59.42,685300,0.0,0
2015-08-06,63.25,63.63,62.7,62.9,59.31,448000,0.0,0
2015-08-07,62.99,63.49,62.84,63.39,59.77,602800,0.0,0
2015-08-10,63.78,64.6,63.61,63.9,60.25,499500,0.0,0
2015-08-11,63.92,63.97,62.93,63.35,59.74,292300,0.0,0
