Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,73.75,74.44,72.91,73.06,72.29,1411100,0.0,0
2015-04-28,72.96,73.5,72.17,73.13,72.36,1493200,0.0,0
2015-04-29,72.8,73.5,72.25,73.03,72.26,989900,0.0,0
2015-04-30,73.01,73.46,71.54,71.81,71.06,1702500,0.0,0
2015-05-01,72.32,72.87,71.57,72.11,71.35,1274000,0.0,0
2015-05-04,72.3,73.18,72.28,73.06,72.29,1442000,0.0,0
2015-05-05,72.52,72.95,71.86,72.08,71.32,1352900,0.0,0
2015-05-06,71.68,72.46,70.57,70.85,70.11,2231100,0.0,0
2015-05-07,71.07,71.66,70.66,71.25,70.5,1945200,0.0,0
2015-05-08,70.89,70.94,67.57,68.02,67.31,8342700,0.0,0
2015-05-11,67.67,68.61,66.92,68.1,67.39,3503700,0.0,0
2015-05-12,67.78,67.99,66.95,67.24,66.53,2075000,0.0,0
2015-05-13,67.46,67.93,67.14,67.27,66.56,1837300,0.0,0
2015-05-14,67.87,68.21,67.39,68.14,67.42,4797300,0.0,0
2015-05-15,68.2,68.34,67.25,67.34,66.63,1921700,0.0,0
2015-05-18,67.3,68.36,67.06,68.26,67.54,1305700,0.0,0
2015-05-19,68.19,68.86,68.12,68.5,67.78,2107600,0.0,0
2015-05-20,68.46,68.81,68.13,68.19,67.47,1232700,0.0,0
2015-05-21,68.07,68.25,67.52,67.83,67.12,1935400,0.0,0
2015-05-22,67.66,68.75,67.37,68.33,67.61,2064000,0.0,0
2015-05-26,67.9,68.1,67.33,67.78,67.07,1597600,0.0,0
2015-05-27,67.88,68.74,67.62,68.47,67.75,1987300,0.0,0
2015-05-28,68.47,68.72,68.29,68.33,67.61,1709800,0.0,0
2015-05-29,67.92,68.42,67.25,67.29,66.58,2093100,0.0,0
2015-06-01,67.67,67.98,67.16,67.81,67.1,1880500,0.0,0
2015-06-02,67.27,67.7,67.09,67.14,66.44,1740900,0.0,0
2015-06-03,67.27,67.83,67.07,67.75,67.04,1683200,0.0,0
2015-06-04,67.37,67.72,66.66,67.06,66.36,1951200,0.0,0
2015-06-05,67.01,67.18,65.98,66.24,65.54,2847900,0.0,0
2015-06-08,66.06,66.5,65.99,66.09,65.4,2211700,0.0,0
2015-06-09,66.24,66.39,65.67,65.77,65.08,1422000,0.0,0
2015-06-10,66.0,67.33,65.79,67.17,66.46,1810700,0.0,0
2015-06-11,67.45,68.09,67.26,67.87,67.16,1775900,0.0,0
2015-06-12,67.39,68.03,67.31,67.85,67.14,2140000,0.0,0
2015-06-15,67.32,67.44,66.62,67.17,66.46,2970000,0.0,0
2015-06-16,67.0,67.75,66.55,67.51,66.8,1035200,0.0,0
