Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.12,42.2,41.6,41.75,37.84,1112600,0.0,0.0
2015-04-28,41.83,41.99,41.53,41.76,37.85,982200,0.0,0.0
2015-04-29,41.51,41.84,41.12,41.31,37.44,1052200,0.0,0.0
2015-04-30,41.21,41.42,40.41,40.58,36.79,1537600,0.0,0.0
2015-05-01,40.59,41.1,40.56,40.97,37.13,1068800,0.0,0.0
2015-05-04,41.15,41.38,41.04,41.15,37.3,816400,0.0,0.0
2015-05-05,41.26,41.44,40.76,40.83,37.01,663800,0.0,0.0
2015-05-06,40.88,41.05,40.59,40.89,37.06,1343400,0.0,0.0
2015-05-07,40.83,41.5,40.5,41.33,37.46,1710600,0.0,0.0
2015-05-08,41.69,41.77,41.46,41.62,37.72,1376600,0.0,0.0
2015-05-11,41.53,41.77,41.44,41.76,37.85,1947400,0.0,0.0
2015-05-12,41.63,41.86,41.31,41.69,37.78,1141200,0.0,0.0
2015-05-13,41.85,41.89,41.31,41.4,37.53,1477200,0.0,0.0
2015-05-14,41.49,41.83,41.38,41.73,38.13,1177400,0.335,0.0
2015-05-15,41.72,41.83,41.59,41.81,38.21,820000,0.0,0.0
2015-05-18,41.65,42.17,41.65,42.08,38.45,732400,0.0,0.0
2015-05-19,42.07,42.35,41.92,42.34,38.69,948400,0.0,0.0
2015-05-20,42.28,42.58,42.17,42.44,38.78,955200,0.0,0.0
2015-05-21,42.33,42.49,42.24,42.31,38.67,568800,0.0,0.0
2015-05-22,42.26,42.37,42.06,42.22,38.58,494200,0.0,0.0
2015-05-26,42.14,42.21,41.92,42.06,38.43,1103600,0.0,0.0
2015-05-27,42.1,42.26,41.9,42.17,38.54,1049000,0.0,0.0
2015-05-28,42.08,42.32,42.07,42.26,38.62,886600,0.0,0.0
2015-05-29,42.25,42.28,41.88,41.99,38.37,1567800,0.0,0.0
2015-06-01,42.01,42.37,41.71,42.27,38.63,1071200,0.0,0.0
2015-06-02,42.11,42.15,41.83,41.95,38.33,1018400,0.0,0.0
2015-06-03,42.13,42.22,41.86,42.19,38.55,775000,0.0,0.0
2015-06-04,41.95,42.26,41.64,41.65,38.06,824000,0.0,0.0
2015-06-05,41.54,41.67,41.2,41.31,37.74,1022600,0.0,0.0
2015-06-08,41.27,41.43,41.04,41.3,37.74,1180400,0.0,0.0
2015-06-09,41.25,41.74,41.22,41.54,37.96,958000,0.0,0.0
2015-06-10,41.65,41.88,41.56,41.8,38.2,786400,0.0,0.0
2015-06-11,41.8,41.97,41.67,41.96,38.34,986000,0.0,0.0
2015-06-12,41.91,41.91,41.54,41.67,38.07,747400,0.0,0.0
2015-06-15,41.47,41.49,41.1,41.17,37.62,1061200,0.0,0.0
2015-06-16,41.28,41.57,41.17,41.4,37.83,1372600,0.0,0.0
2015-06-17,41.54,41.72,41.46,41.6,38.01,859800,0.0,0.0
2015-06-18,41.65,42.05,41.65,41.78,38.18,1138400,0.0,0.0
2015-06-19,41.9,41.93,41.69,41.79,38.19,1288400,0.0,0.0
2015-06-22,41.9,42.08,41.79,41.92,38.3,666400,0.0,0.0
2015-06-23,41.92,42.03,41.62,41.64,38.05,1328400,0.0,0.0
2015-06-24,41.66,41.66,41.24,41.32,37.76,828000,0.0,0.0
2015-06-25,41.38,41.46,41.21,41.4,37.84,666400,0.0,0.0
2015-06-26,41.5,41.5,41.27,41.41,37.84,1339200,0.0,0.0
2015-06-29,41.27,41.33,40.48,40.52,37.03,1360600,0.0,0.0
2015-06-30,40.81,40.94,40.49,40.56,37.07,1222400,0.0,0.0
2015-07-01,40.72,41.39,40.61,41.37,37.8,1569400,0.0,0.0
2015-07-02,41.37,41.46,40.92,41.06,37.52,1355800,0.0,0.0
2015-07-06,40.88,41.14,40.69,40.9,37.38,3500800,0.0,0.0
2015-07-07,40.91,41.8,40.77,41.78,38.17,1145400,0.0,0.0
2015-07-08,41.51,41.92,41.51,41.79,38.19,1244600,0.0,0.0
2015-07-09,42.0,42.2,41.55,41.59,38.0,1043000,0.0,0.0
2015-07-10,41.88,42.1,41.83,42.06,38.43,909200,0.0,0.0
2015-07-13,42.42,42.56,42.22,42.44,38.78,877200,0.0,0.0
2015-07-14,42.5,42.62,42.24,42.41,38.75,806400,0.0,0.0
2015-07-15,42.47,42.62,42.31,42.4,38.75,861600,0.0,0.0
2015-07-16,42.58,42.98,42.53,42.9,39.21,1397000,0.0,0.0
2015-07-17,42.87,42.87,42.44,42.49,38.82,868000,0.0,0.0
2015-07-20,42.5,42.87,42.46,42.85,39.16,662800,0.0,0.0
2015-07-21,42.74,42.78,42.3,42.36,38.71,1207800,0.0,0.0
2015-07-22,42.3,42.59,42.24,42.56,38.89,908200,0.0,0.0
2015-07-23,42.63,42.72,42.33,42.39,38.74,682600,0.0,0.0
2015-07-24,42.4,42.56,42.19,42.24,38.6,745200,0.0,0.0
2015-07-27,42.1,42.32,41.97,42.31,38.66,641400,0.0,0.0
2015-07-28,42.4,42.78,42.32,42.76,39.07,876200,0.0,0.0
2015-07-29,42.71,43.19,42.71,43.16,39.44,738400,0.0,0.0
2015-07-30,43.1,43.4,42.74,43.39,39.65,749000,0.0,0.0
2015-07-31,43.5,43.52,43.12,43.17,39.44,1064800,0.0,0.0
2015-08-03,43.17,43.71,43.15,43.69,39.93,1278000,0.0,0.0
2015-08-04,43.89,44.24,43.71,44.01,40.21,1262800,0.0,0.0
2015-08-05,44.14,45.02,44.03,44.74,40.89,1859600,0.0,0.0
2015-08-06,44.9,44.99,44.33,44.67,40.82,1113000,0.0,0.0
2015-08-07,44.42,44.53,44.26,44.52,40.99,1450400,0.335,0.0
2015-08-10,44.65,44.88,44.47,44.59,41.05,772000,0.0,0.0
2015-08-11,44.31,44.46,44.1,44.22,40.71,1013400,0.0,0.0
2015-08-12,43.9,44.54,43.67,44.54,41.01,1378400,0.0,0.0
2015-08-13,44.51,44.78,44.4,44.63,41.09,635800,0.0,0.0
2015-08-14,44.66,44.84,44.5,44.83,41.27,545800,0.0,0.0
2015-08-17,44.74,45.16,44.45,45.16,41.58,1109800,0.0,0.0
2015-08-18,45.23,45.37,44.95,45.28,41.69,939400,0.0,0.0
2015-08-19,45.08,45.08,44.69,44.88,41.32,947400,0.0,0.0
2015-08-20,44.57,44.75,44.3,44.33,40.81,910400,0.0,0.0
2015-08-21,44.1,44.25,43.35,43.35,39.91,1066200,0.0,0.0
2015-08-24,41.37,43.08,41.12,42.49,39.12,3016800,0.0,0.0
2015-08-25,43.37,43.5,41.44,41.47,38.19,1695800,0.0,0.0
2015-08-26,42.27,42.6,41.41,42.49,39.13,1375400,0.0,0.0
2015-08-27,42.92,43.29,42.46,43.27,39.84,1398200,0.0,0.0
2015-08-28,43.19,43.54,42.83,43.42,39.98,1961200,0.0,0.0
2015-08-31,43.28,43.49,42.76,43.14,39.72,2001400,0.0,0.0
2015-09-01,42.49,42.7,41.83,41.96,38.63,1407200,0.0,0.0
2015-09-02,42.24,42.51,42.04,42.42,39.06,1556800,0.0,0.0
2015-09-03,42.6,43.15,42.45,43.01,39.6,839200,0.0,0.0
2015-09-04,42.53,42.76,42.34,42.47,39.1,1085000,0.0,0.0
2015-09-08,43.01,43.27,42.65,43.26,39.82,1202200,0.0,0.0
2015-09-09,43.5,43.66,42.53,42.62,39.24,1030200,0.0,0.0
2015-09-10,42.5,42.88,42.34,42.49,39.13,933400,0.0,0.0
2015-09-11,41.63,42.21,41.51,42.04,38.71,2118000,0.0,0.0
2015-09-14,42.06,42.1,41.58,41.72,38.41,1134800,0.0,0.0
2015-09-15,41.8,42.25,41.71,42.12,38.78,984600,0.0,0.0
2015-09-16,42.12,42.31,42.01,42.24,38.89,1542200,0.0,0.0
2015-09-17,42.3,42.81,42.19,42.42,39.06,1213800,0.0,0.0
2015-09-18,42.12,42.33,41.86,41.94,38.62,2013800,0.0,0.0
2015-09-21,42.22,42.49,42.05,42.4,39.04,673600,0.0,0.0
2015-09-22,42.0,42.27,41.76,41.99,38.66,985200,0.0,0.0
2015-09-23,42.09,42.23,41.87,42.05,38.72,709400,0.0,0.0
2015-09-24,41.9,42.43,41.76,42.38,39.02,1787400,0.0,0.0
2015-09-25,42.76,43.22,42.53,42.81,39.42,1278200,0.0,0.0
2015-09-28,42.63,42.91,42.12,42.22,38.87,1050800,0.0,0.0
2015-09-29,42.19,42.4,42.03,42.26,38.91,1254800,0.0,0.0
2015-09-30,42.58,43.0,41.9,41.95,38.62,3490200,0.0,0.0
2015-10-01,42.0,42.1,41.6,41.9,38.58,2268000,0.0,0.0
2015-10-02,41.62,42.56,41.61,42.56,39.19,1403800,0.0,0.0
2015-10-05,42.9,43.28,42.71,43.19,39.77,3177200,0.0,0.0
2015-10-06,43.17,43.19,42.72,42.78,39.39,1395400,0.0,0.0
2015-10-07,42.94,43.35,42.71,43.25,39.82,1987800,0.0,0.0
2015-10-08,43.17,43.54,43.04,43.53,40.07,1140400,0.0,0.0
2015-10-09,43.58,43.92,43.51,43.81,40.34,772000,0.0,0.0
2015-10-12,43.88,44.26,43.83,44.15,40.65,1629600,0.0,0.0
2015-10-13,44.0,44.31,43.87,43.97,40.48,997600,0.0,0.0
2015-10-14,43.99,44.1,43.42,43.48,40.03,741800,0.0,0.0
2015-10-15,43.74,43.88,43.49,43.76,40.29,625200,0.0,0.0
2015-10-16,43.85,44.23,43.78,44.19,40.68,550600,0.0,0.0
2015-10-19,44.13,44.36,44.0,44.1,40.61,1219400,0.0,0.0
2015-10-20,44.15,44.26,43.93,44.05,40.56,617800,0.0,0.0
2015-10-21,44.22,44.37,43.86,43.9,40.42,539000,0.0,0.0
2015-10-22,44.19,44.44,44.0,44.33,40.81,1094000,0.0,0.0
2015-10-23,44.45,44.69,43.83,43.9,40.42,1697200,0.0,0.0
2015-10-26,43.81,43.99,43.58,43.6,40.14,1260000,0.0,0.0
2015-10-27,43.59,43.82,43.16,43.29,39.86,1576200,0.0,0.0
2015-10-28,43.44,43.75,43.22,43.74,40.28,1055000,0.0,0.0
2015-10-29,43.51,43.87,43.19,43.24,39.81,1589600,0.0,0.0
2015-10-30,43.26,43.35,42.76,43.04,39.63,1922200,0.0,0.0
2015-11-02,43.54,43.54,42.53,42.7,39.31,1655000,0.0,0.0
2015-11-03,42.61,42.74,42.02,42.06,38.72,1366800,0.0,0.0
2015-11-04,42.24,42.32,41.75,41.93,38.61,1231000,0.0,0.0
2015-11-05,42.03,42.03,41.46,41.51,38.21,1503600,0.0,0.0
2015-11-06,41.36,41.47,40.28,40.94,38.0,2476200,0.335,0.0
2015-11-09,40.94,41.02,40.33,40.66,37.74,2064400,0.0,0.0
2015-11-10,40.72,41.7,40.54,41.62,38.63,1767000,0.0,0.0
2015-11-11,41.62,42.07,41.58,41.72,38.73,1491400,0.0,0.0
2015-11-12,41.54,41.81,41.26,41.29,38.33,1262200,0.0,0.0
2015-11-13,41.25,41.48,41.06,41.26,38.3,1876400,0.0,0.0
2015-11-16,41.26,41.85,41.19,41.78,38.78,1034600,0.0,0.0
2015-11-17,41.78,42.4,41.63,41.74,38.74,1469400,0.0,0.0
2015-11-18,41.79,42.49,41.72,42.42,39.38,1408800,0.0,0.0
2015-11-19,42.58,43.26,42.47,42.83,39.75,1500400,0.0,0.0
2015-11-20,43.01,43.33,42.78,42.87,39.79,1127200,0.0,0.0
2015-11-23,42.94,43.27,42.8,43.15,40.05,1020000,0.0,0.0
2015-11-24,42.85,43.42,42.78,43.31,40.2,1849800,0.0,0.0
2015-11-25,43.26,43.65,43.26,43.47,40.35,742200,0.0,0.0
2015-11-27,43.62,43.83,43.4,43.56,40.43,449000,0.0,0.0
2015-11-30,43.55,43.8,42.81,42.88,39.81,1559400,0.0,0.0
2015-12-01,43.0,43.49,43.0,43.43,40.31,1178000,0.0,0.0
2015-12-02,43.27,43.56,42.78,42.88,39.8,1484200,0.0,0.0
2015-12-03,43.15,43.31,42.31,42.61,39.55,1079600,0.0,0.0
2015-12-04,42.76,43.45,42.72,43.37,40.26,817400,0.0,0.0
2015-12-07,43.37,43.69,43.19,43.53,40.41,738800,0.0,0.0
2015-12-08,43.33,43.63,43.03,43.45,40.33,735200,0.0,0.0
2015-12-09,43.42,43.88,42.83,42.97,39.89,2767000,0.0,0.0
2015-12-10,42.97,43.13,42.43,42.47,39.42,2018200,0.0,0.0
2015-12-11,42.19,42.35,41.88,41.92,38.91,1254200,0.0,0.0
2015-12-14,42.08,42.35,41.75,41.99,38.98,1496400,0.0,0.0
2015-12-15,42.28,42.44,42.0,42.26,39.23,1747600,0.0,0.0
2015-12-16,42.57,42.92,42.26,42.77,39.7,1168400,0.0,0.0
2015-12-17,42.85,42.91,42.33,42.62,39.56,2024000,0.0,0.0
2015-12-18,42.48,42.56,41.4,41.61,38.62,2810600,0.0,0.0
2015-12-21,41.83,42.12,41.67,42.06,39.04,1955200,0.0,0.0
2015-12-22,42.15,42.74,41.77,42.67,39.6,1625600,0.0,0.0
2015-12-23,43.5,43.88,43.18,43.4,40.28,3463800,0.0,0.0
2015-12-24,43.33,43.49,42.94,43.22,40.12,1504600,0.0,0.0
2015-12-28,43.1,43.39,42.63,42.67,39.61,51369000,0.0,0.0
2015-12-29,42.75,43.31,42.53,43.13,40.04,2942000,0.0,0.0
2015-12-30,43.15,43.4,42.94,43.06,39.97,3215800,0.0,0.0
2015-12-31,42.88,43.12,42.42,42.44,39.39,1536400,0.0,0.0
2016-01-04,41.9,42.08,41.1,41.76,38.76,3496800,0.0,0.0
2016-01-05,41.73,41.94,41.19,41.4,38.43,2922600,0.0,0.0
