Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,67.5,69.96,67.27,68.94,61.18,5273600,0.0,0
2015-04-28,66.15,66.5,64.94,65.73,58.33,6254500,0.0,0
2015-04-29,64.83,65.36,64.01,64.72,57.43,3013400,0.0,0
2015-04-30,64.42,64.72,64.01,64.39,57.14,2555500,0.0,0
2015-05-01,64.72,65.39,64.51,64.74,57.45,1895800,0.0,0
2015-05-04,65.83,66.52,65.31,66.08,58.64,3001100,0.0,0
2015-05-05,65.68,66.01,63.96,63.99,56.79,1803900,0.0,0
2015-05-06,64.45,64.76,63.87,64.55,57.28,1639000,0.0,0
2015-05-07,64.44,65.95,64.44,65.23,57.89,1755000,0.0,0
2015-05-08,65.89,66.84,65.66,65.7,58.3,1856000,0.0,0
2015-05-11,65.43,66.0,65.0,65.27,57.92,1234200,0.0,0
2015-05-12,64.97,65.22,64.6,64.99,57.67,1130800,0.0,0
2015-05-13,64.95,65.55,64.42,64.54,57.27,1133600,0.0,0
2015-05-14,64.9,64.91,64.1,64.38,57.13,1563900,0.0,0
2015-05-15,64.55,65.09,64.26,64.52,57.26,1043500,0.0,0
2015-05-18,64.53,65.53,64.34,65.41,58.05,1402500,0.0,0
2015-05-19,65.41,65.77,64.78,64.86,57.56,1260700,0.0,0
2015-05-20,64.83,64.92,63.86,63.91,56.72,904100,0.0,0
2015-05-21,63.94,64.49,63.74,64.26,57.03,1543700,0.0,0
2015-05-22,64.08,64.21,63.82,64.03,56.82,1066900,0.0,0
2015-05-26,63.39,63.59,62.68,62.93,55.85,1892800,0.0,0
2015-05-27,62.98,63.55,62.58,63.36,56.23,1290600,0.0,0
2015-05-28,63.31,63.57,62.27,62.5,55.46,1618100,0.0,0
2015-05-29,62.35,62.69,61.55,61.73,54.78,2290900,0.0,0
2015-06-01,62.04,62.29,61.46,62.11,55.12,1615900,0.0,0
2015-06-02,61.65,62.33,61.46,61.64,54.7,3272300,0.0,0
2015-06-03,61.97,64.98,61.9,64.62,57.7,3307000,0.38,0
2015-06-04,64.09,64.29,63.14,63.35,56.57,2389000,0.0,0
2015-06-05,63.07,64.41,63.07,64.18,57.31,2217300,0.0,0
2015-06-08,63.96,64.0,63.21,63.35,56.57,1609500,0.0,0
2015-06-09,63.15,64.65,63.06,63.77,56.94,2153700,0.0,0
2015-06-10,63.95,64.54,63.7,63.82,56.99,1148100,0.0,0
2015-06-11,63.89,64.44,63.6,64.32,57.43,1102500,0.0,0
2015-06-12,63.99,64.17,63.14,63.7,56.88,1500100,0.0,0
2015-06-15,63.22,63.81,62.78,63.75,56.92,1344400,0.0,0
2015-06-16,63.63,64.09,63.52,63.93,57.08,1673400,0.0,0
2015-06-17,63.92,64.29,63.69,64.03,57.17,1580500,0.0,0
2015-06-18,64.29,65.45,64.15,64.8,57.86,2004800,0.0,0
2015-06-19,64.76,64.88,64.06,64.21,57.33,1419700,0.0,0
2015-06-22,64.66,64.8,64.06,64.16,57.29,778200,0.0,0
2015-06-23,64.7,64.7,63.58,63.77,56.94,718800,0.0,0
2015-06-24,63.92,64.12,62.57,62.6,55.9,1169700,0.0,0
2015-06-25,62.74,63.0,62.37,62.47,55.78,1086700,0.0,0
2015-06-26,62.7,63.28,62.45,63.04,56.29,1332900,0.0,0
2015-06-29,62.46,62.97,61.68,61.69,55.08,1239400,0.0,0
2015-06-30,62.36,63.74,62.07,62.39,55.71,1401000,0.0,0
2015-07-01,62.79,62.94,62.21,62.27,55.6,1253900,0.0,0
2015-07-02,62.53,63.14,62.39,63.06,56.31,1604800,0.0,0
2015-07-06,62.17,63.06,61.9,62.16,55.5,1141200,0.0,0
2015-07-07,62.3,63.26,61.99,63.2,56.43,1494200,0.0,0
2015-07-08,62.65,62.97,61.64,61.89,55.26,1283800,0.0,0
2015-07-09,62.72,63.11,62.16,62.16,55.5,971100,0.0,0
2015-07-10,62.78,63.81,62.37,63.55,56.75,1265300,0.0,0
2015-07-13,63.73,64.93,63.67,64.83,57.89,1199900,0.0,0
2015-07-14,64.79,64.86,64.09,64.32,57.43,1183300,0.0,0
2015-07-15,64.4,64.64,62.88,63.04,56.29,1324200,0.0,0
2015-07-16,63.32,63.79,63.11,63.32,56.54,948900,0.0,0
2015-07-17,63.26,64.1,62.9,63.0,56.25,1258400,0.0,0
2015-07-20,63.04,63.75,62.94,63.67,56.85,866100,0.0,0
2015-07-21,63.76,65.66,63.45,65.39,58.39,2126600,0.0,0
2015-07-22,65.27,66.0,65.11,65.25,58.26,1704200,0.0,0
2015-07-23,65.0,65.11,64.3,64.42,57.52,1104800,0.0,0
2015-07-24,64.45,64.84,63.98,64.31,57.42,989500,0.0,0
2015-07-27,63.86,64.93,63.86,64.76,57.83,1286000,0.0,0
2015-07-28,64.8,66.88,64.39,66.73,59.59,2039400,0.0,0
2015-07-29,70.0,71.34,69.11,69.85,62.37,3464900,0.0,0
2015-07-30,69.44,70.01,69.0,69.87,62.39,2483100,0.0,0
2015-07-31,70.32,70.59,69.65,70.15,62.64,1432900,0.0,0
2015-08-03,70.14,70.94,70.02,70.72,63.15,1554500,0.0,0
2015-08-04,70.81,71.38,70.01,70.42,62.88,2144800,0.0,0
2015-08-05,71.09,71.5,70.19,70.31,62.78,1329300,0.0,0
2015-08-06,70.55,70.58,69.02,69.67,62.21,1278000,0.0,0
2015-08-07,69.56,69.56,68.23,68.85,61.48,1234600,0.0,0
2015-08-10,69.51,69.94,69.22,69.58,62.13,790200,0.0,0
2015-08-11,69.19,70.04,68.87,69.84,62.36,1065600,0.0,0
2015-08-12,69.16,69.2,68.42,69.1,61.7,1670800,0.0,0
2015-08-13,69.03,69.27,68.59,68.71,61.35,812500,0.0,0
2015-08-14,68.85,69.47,68.66,69.4,61.97,678900,0.0,0
2015-08-17,69.21,69.72,68.54,69.69,62.23,976700,0.0,0
2015-08-18,69.72,70.37,69.48,69.75,62.28,1152000,0.0,0
2015-08-19,70.06,71.15,69.22,70.83,63.25,1780600,0.0,0
2015-08-20,70.02,70.32,69.13,69.22,61.81,1671000,0.0,0
2015-08-21,68.36,68.86,67.09,67.24,60.04,1545800,0.0,0
2015-08-24,65.17,66.32,64.09,65.16,58.18,3477600,0.0,0
2015-08-25,65.87,66.45,64.09,64.14,57.27,2282800,0.0,0
2015-08-26,65.74,67.31,65.53,67.26,60.06,2447000,0.0,0
2015-08-27,67.7,68.0,66.78,67.82,60.56,1545100,0.0,0
2015-08-28,67.69,68.05,66.71,67.24,60.04,1917900,0.0,0
2015-08-31,66.97,68.1,66.59,67.43,60.21,1336300,0.0,0
2015-09-01,66.08,67.08,65.74,66.0,58.93,1640600,0.0,0
2015-09-02,67.29,68.75,66.93,68.74,61.74,3147400,0.38,0
2015-09-03,68.72,69.37,68.08,68.2,61.25,1390100,0.0,0
2015-09-04,67.42,68.23,67.32,67.7,60.8,1207500,0.0,0
2015-09-08,68.76,69.12,68.17,68.94,61.91,1287300,0.0,0
2015-09-09,69.51,69.59,68.58,68.83,61.82,1155100,0.0,0
2015-09-10,68.33,69.48,68.16,69.0,61.97,1479300,0.0,0
2015-09-11,68.79,69.07,68.21,68.68,61.68,1364000,0.0,0
2015-09-14,69.09,69.43,68.39,68.6,61.61,751200,0.0,0
2015-09-15,68.7,69.64,68.47,69.49,62.41,1074800,0.0,0
2015-09-16,69.46,69.92,69.1,69.79,62.68,988400,0.0,0
2015-09-17,69.84,69.99,68.89,69.03,62.0,1032800,0.0,0
2015-09-18,68.17,68.34,67.45,67.57,60.68,2350000,0.0,0
2015-09-21,67.81,68.86,67.57,68.52,61.54,695700,0.0,0
2015-09-22,67.56,67.84,66.45,66.86,60.05,1105300,0.0,0
2015-09-23,66.82,67.57,66.53,67.4,60.53,1375600,0.0,0
2015-09-24,67.24,67.94,66.46,67.53,60.65,2097400,0.0,0
2015-09-25,67.65,68.8,67.19,68.53,61.55,1410600,0.0,0
2015-09-28,68.73,69.44,67.82,67.86,60.95,1758900,0.0,0
2015-09-29,67.71,68.24,67.62,68.15,61.21,2089000,0.0,0
2015-09-30,67.58,68.36,67.41,67.78,60.87,2064200,0.0,0
2015-10-01,68.16,68.23,66.89,67.71,60.81,1674800,0.0,0
2015-10-02,66.81,68.83,66.54,68.81,61.8,1565100,0.0,0
2015-10-05,69.18,70.38,68.95,70.04,62.9,1397600,0.0,0
2015-10-06,70.28,70.29,69.33,70.24,63.08,1217000,0.0,0
2015-10-07,70.25,71.02,69.8,70.18,63.03,2007600,0.0,0
2015-10-08,70.04,71.06,69.42,70.89,63.67,1709600,0.0,0
2015-10-09,71.12,72.39,70.85,71.71,64.4,1979100,0.0,0
2015-10-12,72.08,72.29,71.41,72.0,64.66,895300,0.0,0
2015-10-13,71.85,72.2,71.29,71.35,64.08,1012300,0.0,0
2015-10-14,71.61,72.01,70.65,70.96,63.73,1340800,0.0,0
2015-10-15,71.25,72.52,70.37,72.3,64.93,1097600,0.0,0
2015-10-16,71.27,72.62,71.27,71.75,64.44,817600,0.0,0
2015-10-19,71.49,72.31,71.23,71.9,64.57,827000,0.0,0
2015-10-20,71.69,72.61,71.69,72.13,64.78,861600,0.0,0
2015-10-21,72.48,72.97,71.78,71.86,64.54,1093900,0.0,0
2015-10-22,72.35,73.22,72.31,72.72,65.31,1563200,0.0,0
2015-10-23,73.24,73.27,72.37,72.79,65.37,1229500,0.0,0
2015-10-26,73.08,73.34,72.08,72.5,65.11,1176500,0.0,0
2015-10-27,71.57,72.91,69.81,69.99,62.86,3199400,0.0,0
2015-10-28,70.72,70.97,66.54,67.99,61.06,3932300,0.0,0
2015-10-29,67.9,69.49,67.67,69.38,62.31,1882200,0.0,0
2015-10-30,69.31,69.79,68.92,69.38,62.31,1333100,0.0,0
2015-11-02,69.38,70.33,69.38,70.24,63.08,978600,0.0,0
2015-11-03,70.16,70.38,69.75,70.14,62.99,705500,0.0,0
2015-11-04,69.97,70.26,68.3,68.71,61.71,1281200,0.0,0
2015-11-05,68.77,68.91,67.73,68.3,61.34,1215000,0.0,0
2015-11-06,68.55,68.73,67.62,68.72,61.72,1028900,0.0,0
2015-11-09,68.35,68.57,67.19,67.82,60.91,972900,0.0,0
2015-11-10,67.63,69.09,67.63,68.75,61.74,927700,0.0,0
2015-11-11,68.93,69.25,68.34,68.75,61.74,560100,0.0,0
2015-11-12,68.25,69.05,67.43,67.48,60.6,791100,0.0,0
2015-11-13,67.38,67.83,66.69,67.02,60.19,707900,0.0,0
2015-11-16,67.18,67.65,66.67,67.41,60.54,770400,0.0,0
2015-11-17,67.34,68.76,66.6,67.83,60.92,830500,0.0,0
2015-11-18,67.84,68.39,67.54,68.28,61.32,835300,0.0,0
2015-11-19,68.19,69.03,67.92,68.31,61.35,825600,0.0,0
2015-11-20,68.58,69.55,68.03,68.53,61.55,727800,0.0,0
2015-11-23,68.79,69.06,68.17,68.25,61.3,977800,0.0,0
2015-11-24,68.12,69.72,67.67,68.22,61.27,844200,0.0,0
2015-11-25,68.43,68.84,68.21,68.61,61.62,700800,0.0,0
2015-11-27,68.66,69.32,68.66,68.86,61.84,348300,0.0,0
2015-11-30,68.84,69.45,67.38,67.43,60.56,1100800,0.0,0
2015-12-01,67.74,68.46,67.21,67.95,61.03,828500,0.0,0
2015-12-02,64.87,65.31,62.82,63.58,57.1,6043100,0.0,0
2015-12-03,63.35,64.21,61.89,62.22,55.88,4134700,0.0,0
2015-12-04,62.09,63.19,62.09,62.8,56.4,2946400,0.0,0
2015-12-07,62.51,63.05,61.71,62.08,55.75,1868100,0.0,0
2015-12-08,61.56,61.87,59.71,60.51,54.34,3412300,0.0,0
2015-12-09,60.64,61.77,60.12,60.55,54.38,1811900,0.0,0
2015-12-10,60.64,61.66,60.23,61.51,55.64,2173000,0.43,0
2015-12-11,60.92,62.11,60.61,62.0,56.08,2767000,0.0,0
2015-12-14,62.0,62.18,61.15,61.68,55.79,2358400,0.0,0
2015-12-15,61.9,63.21,61.21,62.61,56.63,2628900,0.0,0
2015-12-16,63.53,64.47,63.5,64.27,58.13,2123600,0.0,0
2015-12-17,64.48,65.1,64.19,64.2,58.07,2634300,0.0,0
2015-12-18,63.68,63.84,61.77,62.36,56.41,7191000,0.0,0
2015-12-21,63.01,63.08,61.94,62.5,56.53,1284500,0.0,0
2015-12-22,62.87,63.42,62.46,63.4,57.35,1269200,0.0,0
2015-12-23,63.61,64.13,63.38,63.98,57.87,1274900,0.0,0
2015-12-24,63.96,64.54,63.29,63.53,57.46,571700,0.0,0
2015-12-28,63.39,63.53,62.57,63.18,57.15,811500,0.0,0
2015-12-29,63.73,63.73,62.33,63.19,57.16,994900,0.0,0
2015-12-30,62.88,63.4,62.3,62.36,56.41,1502100,0.0,0
2015-12-31,62.23,62.64,61.86,62.02,56.1,1614000,0.0,0
2016-01-04,61.09,62.02,60.31,61.79,55.89,3072300,0.0,0
2016-01-05,61.69,63.92,61.11,63.47,57.41,3967000,0.0,0
2016-01-06,62.33,63.43,62.05,63.16,57.13,2929000,0.0,0
2016-01-07,64.0,64.08,62.67,63.09,57.07,3114600,0.0,0
2016-01-08,63.24,63.88,62.85,63.12,57.09,2448800,0.0,0
2016-01-11,63.07,63.26,61.11,61.75,55.85,1868400,0.0,0
2016-01-12,61.99,63.2,61.95,62.98,56.97,1410100,0.0,0
2016-01-13,63.06,63.59,62.49,62.69,56.7,2143000,0.0,0
2016-01-14,62.84,63.53,62.05,63.13,57.1,1691100,0.0,0
2016-01-15,61.93,63.93,61.85,63.56,57.49,2358400,0.0,0
2016-01-19,64.48,64.49,62.95,63.66,57.58,1468700,0.0,0
2016-01-20,62.77,64.32,62.18,63.73,57.65,1437400,0.0,0
2016-01-21,64.3,65.23,63.72,64.51,58.35,1999200,0.0,0
2016-01-22,65.09,65.5,64.03,64.23,58.1,1832400,0.0,0
2016-01-25,62.75,64.0,62.61,62.72,56.73,2699500,0.0,0
2016-01-26,63.1,64.35,62.73,64.07,57.95,2391600,0.0,0
2016-01-27,64.0,65.11,63.05,63.18,57.15,1995600,0.0,0
2016-01-28,63.55,64.17,62.72,63.05,57.03,1966800,0.0,0
2016-01-29,63.26,64.78,63.05,64.77,58.59,1821900,0.0,0
2016-02-01,64.05,65.63,63.94,65.21,58.98,1844300,0.0,0
2016-02-02,64.38,65.21,62.92,63.48,57.42,2705700,0.0,0
2016-02-03,65.21,66.61,64.27,64.91,58.71,3450200,0.0,0
2016-02-04,65.68,67.47,65.12,67.45,61.01,2292000,0.0,0
2016-02-05,66.96,68.88,66.51,68.08,61.58,3083900,0.0,0
2016-02-08,67.68,69.61,67.66,69.52,62.88,2430100,0.0,0
2016-02-09,68.78,70.4,68.42,69.69,63.04,1859900,0.0,0
2016-02-10,69.79,70.66,68.58,68.63,62.08,2082300,0.0,0
2016-02-11,68.0,69.15,67.7,68.83,62.26,1588200,0.0,0
2016-02-12,69.12,70.37,69.12,70.16,63.46,1520500,0.0,0
2016-02-16,70.16,71.62,69.93,71.21,64.41,1691100,0.0,0
2016-02-17,71.24,71.88,70.38,70.84,64.08,1655500,0.0,0
2016-02-18,70.69,71.11,70.1,70.96,64.18,1247700,0.0,0
2016-02-19,70.69,70.69,69.24,70.48,63.75,2010000,0.0,0
2016-02-22,71.42,71.87,69.7,70.07,63.38,2660300,0.0,0
2016-02-23,69.37,70.06,68.99,69.53,62.89,1371300,0.0,0
2016-02-24,69.2,70.36,68.97,70.23,63.52,1532900,0.0,0
2016-02-25,70.26,70.31,69.11,70.16,63.46,1353200,0.0,0
2016-02-26,70.36,70.67,69.97,70.35,63.63,1145400,0.0,0
2016-02-29,70.11,70.74,69.74,69.83,63.16,1631100,0.0,0
2016-03-01,70.79,70.94,69.99,70.74,63.99,2089600,0.0,0
2016-03-02,70.54,71.69,70.18,71.41,64.99,2525200,0.43,0
2016-03-03,71.14,71.96,70.98,71.51,65.08,1487700,0.0,0
2016-03-04,71.21,73.5,71.21,72.68,66.14,2288400,0.0,0
2016-03-07,71.48,72.14,70.42,71.6,65.16,1667700,0.0,0
2016-03-08,71.44,72.33,71.12,71.63,65.19,1153000,0.0,0
2016-03-09,71.26,72.23,70.55,71.42,65.0,899900,0.0,0
2016-03-10,71.86,72.07,70.57,71.51,65.08,1674600,0.0,0
2016-03-11,72.02,72.7,71.86,72.63,66.1,969200,0.0,0
2016-03-14,72.55,72.98,72.09,72.46,65.94,884200,0.0,0
2016-03-15,72.17,73.47,71.88,73.07,66.5,1459300,0.0,0
2016-03-16,72.57,73.41,72.33,73.11,66.53,1119800,0.0,0
2016-03-17,73.37,74.66,72.81,73.83,67.19,1158100,0.0,0
2016-03-18,74.12,75.11,73.73,74.34,67.65,1973000,0.0,0
2016-03-21,73.99,74.34,73.12,73.65,67.03,1013800,0.0,0
2016-03-22,72.97,73.81,72.97,73.48,66.87,718500,0.0,0
2016-03-23,73.48,73.9,73.18,73.48,66.87,728500,0.0,0
2016-03-24,73.09,73.77,73.09,73.74,67.11,608600,0.0,0
2016-03-28,73.89,74.23,73.37,74.04,67.38,818700,0.0,0
2016-03-29,73.99,74.63,73.68,74.5,67.8,767700,0.0,0
2016-03-30,74.69,74.94,74.13,74.55,67.84,612100,0.0,0
2016-03-31,74.38,74.5,73.8,74.23,67.55,1168800,0.0,0
2016-04-01,73.72,73.79,72.62,73.65,67.03,1313200,0.0,0
2016-04-04,73.72,74.62,73.29,73.47,66.86,1037400,0.0,0
2016-04-05,72.87,74.13,72.87,73.53,66.92,781000,0.0,0
2016-04-06,73.35,73.67,72.9,73.66,67.03,881900,0.0,0
2016-04-07,73.0,73.06,71.12,71.85,65.39,2129700,0.0,0
2016-04-08,72.18,72.86,71.66,71.84,65.38,1014200,0.0,0
2016-04-11,71.97,72.58,71.52,71.77,65.31,1361100,0.0,0
2016-04-12,72.03,72.7,71.46,72.49,65.97,1260400,0.0,0
2016-04-13,72.68,73.57,72.42,72.95,66.39,871200,0.0,0
2016-04-14,73.01,73.31,72.43,72.9,66.34,768000,0.0,0
2016-04-15,73.41,74.52,73.2,73.51,66.9,1367600,0.0,0
2016-04-18,73.47,74.52,73.34,74.11,67.44,991500,0.0,0
2016-04-19,74.47,75.3,74.11,75.23,68.46,1333900,0.0,0
2016-04-20,75.32,75.65,74.69,74.73,68.01,1085800,0.0,0
2016-04-21,74.55,75.29,74.21,74.31,67.63,716200,0.0,0
2016-04-22,74.45,74.98,74.29,74.56,67.85,639100,0.0,0
2016-04-25,74.86,75.09,74.32,74.6,67.89,890900,0.0,0
2016-04-26,74.57,76.1,74.3,75.71,68.9,1485900,0.0,0
2016-04-27,71.66,73.58,70.08,71.81,65.35,3508600,0.0,0
2016-04-28,70.94,71.61,69.84,70.83,64.46,2433800,0.0,0
2016-04-29,70.75,71.2,70.39,70.97,64.59,1398000,0.0,0
2016-05-02,71.27,71.97,71.16,71.81,65.35,1376000,0.0,0
2016-05-03,71.15,71.38,70.48,70.84,64.47,1185800,0.0,0
2016-05-04,70.52,71.97,70.34,71.74,65.29,1789200,0.0,0
2016-05-05,71.71,71.96,70.73,70.85,64.48,845500,0.0,0
2016-05-06,70.95,72.91,70.64,72.82,66.27,1789600,0.0,0
2016-05-09,72.5,73.26,72.21,73.14,66.56,1038900,0.0,0
2016-05-10,73.69,73.83,72.78,73.05,66.48,1065900,0.0,0
2016-05-11,72.84,73.2,72.33,72.59,66.06,941900,0.0,0
2016-05-12,72.52,72.99,72.0,72.47,65.95,840800,0.0,0
2016-05-13,72.56,72.75,71.83,72.31,65.81,1111200,0.0,0
2016-05-16,72.44,72.83,71.65,72.44,65.92,840200,0.0,0
2016-05-17,72.06,73.7,71.87,72.78,66.23,1162600,0.0,0
2016-05-18,72.61,73.41,72.22,73.15,66.57,1282700,0.0,0
2016-05-19,72.58,73.38,72.5,73.1,66.53,828800,0.0,0
2016-05-20,73.53,74.49,73.53,74.32,67.64,1093600,0.0,0
2016-05-23,74.06,74.53,74.06,74.36,67.67,846400,0.0,0
2016-05-24,74.42,74.99,74.03,74.69,67.97,1134900,0.0,0
2016-05-25,74.94,75.07,74.48,74.81,68.08,1161400,0.0,0
2016-05-26,75.1,75.37,74.73,74.97,68.23,806700,0.0,0
2016-05-27,74.99,75.44,74.79,75.18,68.42,1108300,0.0,0
2016-05-31,75.41,75.78,74.36,74.98,68.24,4326800,0.0,0
2016-06-01,74.56,74.66,73.75,74.25,67.96,827600,0.43,0
2016-06-02,74.23,74.3,73.7,73.79,67.54,1063900,0.0,0
2016-06-03,73.26,73.42,72.96,73.36,67.15,2470600,0.0,0
2016-06-06,74.16,74.16,73.0,73.22,67.02,1340600,0.0,0
2016-06-07,73.13,73.16,72.77,72.95,66.77,1284600,0.0,0
2016-06-08,72.95,73.7,72.81,73.67,67.43,1759500,0.0,0
2016-06-09,73.77,74.25,73.21,74.11,67.83,1688500,0.0,0
2016-06-10,73.56,73.69,72.88,72.99,66.81,1032400,0.0,0
2016-06-13,73.07,73.33,72.88,72.98,66.8,971900,0.0,0
2016-06-14,73.02,73.14,72.0,72.47,66.33,1238000,0.0,0
2016-06-15,72.48,73.33,72.34,72.52,66.38,1389900,0.0,0
2016-06-16,72.46,72.46,71.26,72.09,65.98,1487600,0.0,0
2016-06-17,71.77,72.03,71.4,71.98,65.88,2029500,0.0,0
2016-06-20,72.68,73.11,72.49,72.54,66.4,747700,0.0,0
2016-06-21,72.46,72.55,71.56,72.09,65.98,930900,0.0,0
