Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,131.17,131.68,129.63,130.25,130.09,2817200,0.0,0
2015-04-28,130.61,132.03,128.44,131.71,131.55,2160900,0.0,0
2015-04-29,130.76,131.53,124.82,126.68,126.52,3426000,0.0,0
2015-04-30,126.36,128.15,124.28,124.64,124.49,2366200,0.0,0
2015-05-01,125.64,126.56,124.5,125.49,125.34,2680500,0.0,0
2015-05-04,126.07,127.78,125.78,126.73,126.57,2158000,0.0,0
2015-05-05,126.1,126.63,124.94,125.25,125.1,1459700,0.0,0
2015-05-06,126.24,126.5,124.38,125.29,125.14,1384200,0.0,0
2015-05-07,125.44,127.2,125.23,126.49,126.33,1395700,0.0,0
2015-05-08,127.32,128.98,127.25,128.49,128.33,1333800,0.0,0
2015-05-11,128.56,129.68,127.91,128.3,128.14,1252000,0.0,0
2015-05-12,127.82,132.74,127.68,131.86,131.7,4211500,0.0,0
2015-05-13,132.46,133.35,131.3,131.69,131.53,2521000,0.0,0
2015-05-14,132.48,133.07,131.43,131.85,131.69,1460400,0.0,0
2015-05-15,131.76,132.35,131.25,132.06,131.9,1262800,0.0,0
2015-05-18,131.87,133.66,131.78,133.27,133.11,1104800,0.0,0
2015-05-19,134.11,134.72,133.5,133.78,133.62,1412500,0.0,0
2015-05-20,133.75,134.06,133.11,133.66,133.5,906000,0.0,0
2015-05-21,133.25,133.56,132.52,132.95,132.79,1133400,0.0,0
2015-05-22,132.95,137.16,132.61,135.86,135.69,3185700,0.0,0
2015-05-26,135.86,135.89,133.7,133.91,133.75,1355600,0.0,0
2015-05-27,134.65,135.63,134.16,134.94,134.77,1123300,0.0,0
2015-05-28,134.94,136.04,134.57,135.87,135.7,1094800,0.0,0
2015-05-29,135.59,145.33,134.66,140.83,140.66,6333500,0.0,0
2015-06-01,140.87,145.3,140.5,143.86,143.68,4593800,0.0,0
2015-06-02,143.0,143.15,140.63,141.51,141.34,3219800,0.0,0
2015-06-03,141.59,141.79,139.14,140.15,139.98,2450400,0.0,0
2015-06-04,139.68,139.87,136.98,137.69,137.52,2087000,0.0,0
2015-06-05,137.94,139.83,137.17,139.5,139.33,1743900,0.0,0
2015-06-08,139.48,140.73,138.72,138.77,138.6,1227300,0.0,0
2015-06-09,138.75,139.46,137.61,138.5,138.33,1094100,0.0,0
2015-06-10,138.82,140.33,138.01,139.84,139.67,1053400,0.0,0
2015-06-11,140.09,140.66,139.02,139.2,139.03,1422500,0.0,0
2015-06-12,138.81,138.81,137.13,137.31,137.14,1093800,0.0,0
2015-06-15,136.1,164.0,135.51,153.43,153.24,14199700,0.0,0
2015-06-16,155.52,157.1,150.84,153.97,153.78,6698900,0.0,0
2015-06-17,154.26,156.75,153.5,155.4,155.21,3367500,0.0,0
2015-06-18,155.69,157.13,155.01,156.41,156.22,1974800,0.0,0
2015-06-19,156.12,157.2,155.08,155.26,155.07,1840200,0.0,0
2015-06-22,166.5,167.0,162.26,162.6,162.4,8989400,0.0,0
2015-06-23,163.23,164.85,161.67,164.75,164.55,6580700,0.0,0
2015-06-24,164.56,166.13,164.04,165.75,165.55,3552300,0.0,0
2015-06-25,166.17,170.4,164.96,169.77,169.56,6178700,0.0,0
2015-06-26,169.31,170.68,164.91,168.06,167.85,11020400,0.0,0
2015-06-29,164.13,166.42,163.4,164.67,164.47,2930600,0.0,0
2015-06-30,166.39,166.39,161.87,162.0,161.8,3468900,0.0,0
2015-07-01,163.79,163.98,160.21,162.04,161.84,3589600,0.0,0
2015-07-02,163.25,168.36,160.13,161.29,161.09,4357800,0.0,0
2015-07-06,159.07,161.01,156.79,160.06,159.86,4368700,0.0,0
2015-07-07,159.11,160.6,150.59,154.43,154.24,5094000,0.0,0
2015-07-08,152.72,154.11,150.04,150.44,150.25,2542300,0.0,0
2015-07-09,151.91,157.37,151.02,156.56,156.37,4161500,0.0,0
2015-07-10,157.5,159.43,155.2,157.21,157.02,1954600,0.0,0
2015-07-13,157.49,157.61,153.47,155.05,154.86,1728700,0.0,0
2015-07-14,155.46,156.58,154.71,155.95,155.76,1207100,0.0,0
2015-07-15,155.57,157.91,155.01,156.07,155.88,1256400,0.0,0
2015-07-16,155.52,156.43,153.29,154.29,154.1,1442200,0.0,0
2015-07-17,153.72,154.7,152.27,153.41,153.22,1951400,0.0,0
2015-07-20,153.13,154.01,151.01,152.93,152.74,1725900,0.0,0
2015-07-21,152.62,152.99,150.17,151.29,151.1,2223100,0.0,0
2015-07-22,151.31,153.39,150.65,151.07,150.88,1730900,0.0,0
2015-07-23,157.08,158.0,153.02,154.36,154.17,6778700,0.0,0
2015-07-24,150.57,151.8,144.25,145.72,145.54,10349100,0.0,0
2015-07-27,145.06,147.25,144.02,145.9,145.72,3582500,0.0,0
2015-07-28,146.89,146.89,144.57,145.87,145.69,3324700,0.0,0
2015-07-29,146.26,147.17,145.02,145.41,145.23,3497600,0.0,0
2015-07-30,146.99,148.23,143.85,143.9,143.72,3535600,0.0,0
2015-07-31,144.48,145.26,143.31,144.06,143.88,2763600,0.0,0
2015-08-03,144.17,144.81,142.45,143.36,143.18,1778000,0.0,0
2015-08-04,143.4,144.21,143.06,143.89,143.71,2425800,0.0,0
