Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,69.3,69.43,68.82,68.98,61.36,2265400,0.0,0
2015-04-28,68.79,69.18,68.43,68.77,61.18,2420700,0.0,0
2015-04-29,68.49,68.98,68.3,68.51,60.94,4647300,0.0,0
2015-04-30,67.49,67.67,66.78,67.28,59.85,5582300,0.0,0
2015-05-01,67.28,67.7,66.9,67.68,60.21,3135600,0.0,0
2015-05-04,67.83,68.25,67.71,67.86,60.37,2377400,0.0,0
2015-05-05,68.14,68.24,67.32,67.38,59.94,3182200,0.0,0
2015-05-06,67.75,67.87,67.14,67.79,60.3,2248800,0.0,0
2015-05-07,67.97,68.25,67.5,67.88,60.38,2338200,0.0,0
2015-05-08,68.5,68.64,67.98,68.2,60.67,3029900,0.0,0
2015-05-11,67.91,68.46,67.82,67.83,60.34,2187500,0.0,0
2015-05-12,67.52,68.11,67.33,67.88,60.38,3209000,0.0,0
2015-05-13,68.02,68.48,67.49,67.6,60.13,2315500,0.0,0
2015-05-14,68.02,68.72,68.01,68.63,61.05,2269900,0.0,0
2015-05-15,68.56,68.9,68.43,68.63,61.05,1946000,0.0,0
2015-05-18,68.49,68.82,68.4,68.61,61.03,3359800,0.0,0
2015-05-19,68.67,69.19,68.49,69.14,61.5,2505800,0.0,0
2015-05-20,69.18,69.28,68.89,68.89,61.28,2020700,0.0,0
2015-05-21,68.81,68.86,68.47,68.82,61.22,1808800,0.0,0
2015-05-22,68.89,68.9,68.46,68.5,60.94,1714600,0.0,0
2015-05-26,68.42,68.5,67.11,67.15,59.73,4847100,0.0,0
2015-05-27,67.3,67.75,67.28,67.54,60.08,3315600,0.0,0
2015-05-28,67.54,67.63,67.17,67.33,59.89,2077400,0.0,0
2015-05-29,67.21,67.35,66.74,66.79,59.41,4755200,0.0,0
2015-06-01,66.71,67.12,66.36,66.9,59.51,3447100,0.0,0
2015-06-02,66.87,67.07,66.55,66.73,59.36,2537300,0.0,0
2015-06-03,66.8,66.97,66.5,66.57,59.22,2668200,0.0,0
2015-06-04,66.21,66.9,65.85,65.92,58.64,3280400,0.0,0
2015-06-05,65.89,66.0,64.96,65.48,58.25,5740400,0.0,0
2015-06-08,65.39,65.54,64.83,65.34,58.12,3079300,0.0,0
2015-06-09,65.43,66.52,65.16,66.03,58.74,5780600,0.0,0
2015-06-10,66.74,67.47,66.66,67.07,59.66,4716500,0.0,0
2015-06-11,66.45,66.74,66.17,66.55,59.2,3863300,0.0,0
2015-06-12,66.44,66.44,66.05,66.29,58.97,2543300,0.0,0
2015-06-15,65.66,65.9,65.21,65.34,58.12,3378200,0.0,0
2015-06-16,65.17,66.08,65.17,65.98,58.69,2204600,0.0,0
2015-06-17,66.08,66.58,66.0,66.41,59.08,2356100,0.0,0
2015-06-18,66.59,67.53,66.57,67.17,59.75,4435100,0.0,0
2015-06-19,66.79,67.18,66.6,66.9,59.51,3674400,0.0,0
2015-06-22,67.19,67.57,67.09,67.24,59.81,3128700,0.0,0
2015-06-23,67.07,67.27,66.84,67.01,59.61,1727500,0.0,0
2015-06-24,66.93,67.12,66.48,66.49,59.15,2815400,0.0,0
2015-06-25,66.51,66.8,66.32,66.46,59.12,2680600,0.0,0
2015-06-26,66.76,67.0,66.44,66.5,59.16,2588200,0.0,0
2015-06-29,66.0,66.34,65.37,65.4,58.18,2270400,0.0,0
2015-06-30,65.85,65.88,65.31,65.41,58.19,2786600,0.0,0
2015-07-01,65.59,66.19,65.55,66.16,58.85,2986600,0.0,0
2015-07-02,66.38,66.58,65.98,66.16,58.85,2024700,0.0,0
2015-07-06,65.68,66.31,65.63,65.96,58.68,1835600,0.0,0
2015-07-07,66.14,67.38,65.96,67.31,59.88,2893500,0.0,0
2015-07-08,66.93,67.16,66.45,66.45,59.11,2104600,0.0,0
2015-07-09,67.15,67.18,66.15,66.17,58.86,3004700,0.0,0
2015-07-10,66.76,66.91,66.53,66.64,59.28,2221800,0.0,0
2015-07-13,66.95,67.5,66.91,67.44,59.99,2087300,0.0,0
2015-07-14,67.5,67.5,66.93,67.27,59.84,2143600,0.0,0
2015-07-15,67.04,67.58,66.76,66.91,59.52,3360300,0.0,0
2015-07-16,67.33,67.73,67.18,67.62,60.15,1912000,0.0,0
2015-07-17,67.36,67.62,67.2,67.5,60.05,1792000,0.0,0
2015-07-20,67.37,67.96,67.14,67.8,60.31,2214900,0.0,0
2015-07-21,67.57,67.64,66.77,66.94,59.88,2699400,0.38,0
2015-07-22,66.94,67.18,66.73,67.0,59.94,2825500,0.0,0
2015-07-23,67.0,67.18,66.81,67.04,59.97,2667900,0.0,0
2015-07-24,67.01,67.15,66.78,67.0,59.94,2317000,0.0,0
2015-07-27,66.76,67.31,66.54,67.3,60.21,3576300,0.0,0
2015-07-28,67.44,68.47,67.27,68.39,61.18,5569600,0.0,0
2015-07-29,68.25,69.23,68.13,68.93,61.66,4974900,0.0,0
2015-07-30,68.75,68.8,67.31,68.02,60.85,5488800,0.0,0
2015-07-31,68.06,68.29,67.8,68.02,60.85,3548000,0.0,0
2015-08-03,67.66,68.47,67.59,68.42,61.21,3069700,0.0,0
2015-08-04,68.34,68.71,68.06,68.45,61.23,2770500,0.0,0
2015-08-05,68.77,69.23,68.34,69.08,61.8,2578900,0.0,0
2015-08-06,69.2,69.3,68.64,68.65,61.41,2989000,0.0,0
2015-08-07,68.63,68.7,68.3,68.49,61.27,2286500,0.0,0
2015-08-10,68.84,69.08,68.67,68.74,61.49,3016200,0.0,0
