Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,109.28,109.45,107.59,108.3,95.14,885100,0.0,0
2015-04-28,108.4,108.8,107.94,108.32,95.16,669600,0.0,0
2015-04-29,108.28,108.83,106.9,107.11,94.1,897100,0.0,0
2015-04-30,107.11,107.48,105.86,106.1,93.21,1379700,0.0,0
2015-05-01,106.97,108.5,105.95,106.19,93.29,1267700,0.0,0
2015-05-04,106.51,107.33,106.41,106.51,93.57,1006100,0.0,0
2015-05-05,106.88,107.13,105.55,105.73,92.88,1133500,0.0,0
2015-05-06,106.03,106.53,105.43,106.48,93.54,1026400,0.0,0
2015-05-07,106.62,107.54,106.07,107.1,94.09,857900,0.0,0
2015-05-08,108.0,108.35,106.94,107.59,94.52,661300,0.0,0
2015-05-11,107.34,107.9,106.95,106.95,93.96,512900,0.0,0
2015-05-12,106.99,107.79,106.39,107.49,94.43,693800,0.0,0
2015-05-13,107.47,108.42,107.07,107.19,94.17,691500,0.0,0
2015-05-14,107.75,108.69,107.4,108.47,95.29,613700,0.0,0
2015-05-15,108.65,109.33,108.65,109.2,95.93,533600,0.0,0
2015-05-18,109.19,109.89,109.0,109.52,96.21,508000,0.0,0
2015-05-19,109.51,110.5,109.11,110.39,96.98,600000,0.0,0
2015-05-20,110.33,111.03,109.95,110.38,96.97,640400,0.0,0
2015-05-21,110.07,110.43,109.47,109.78,96.44,578700,0.0,0
2015-05-22,109.69,110.23,109.47,109.79,96.45,487700,0.0,0
2015-05-26,109.81,109.96,108.84,108.99,95.75,582600,0.0,0
2015-05-27,108.94,109.83,108.56,109.57,96.26,580100,0.0,0
2015-05-28,109.26,109.88,108.51,108.93,95.69,872800,0.0,0
2015-05-29,109.07,109.3,107.51,107.66,94.58,1459800,0.0,0
2015-06-01,108.08,108.27,107.04,107.91,94.8,489600,0.0,0
2015-06-02,107.83,107.87,106.6,106.89,93.9,637200,0.0,0
2015-06-03,106.87,107.18,106.37,107.14,94.12,576000,0.0,0
2015-06-04,106.76,107.77,106.52,106.65,93.69,781300,0.0,0
2015-06-05,106.23,106.52,105.67,105.97,93.09,1054600,0.0,0
2015-06-08,106.0,106.34,104.91,105.34,92.54,958300,0.0,0
2015-06-09,105.24,106.04,104.88,105.53,92.71,860900,0.0,0
2015-06-10,106.02,107.01,105.88,106.61,93.66,620200,0.0,0
2015-06-11,106.64,106.74,105.49,105.77,92.92,733100,0.0,0
2015-06-12,105.59,105.74,104.81,104.96,92.21,544600,0.0,0
2015-06-15,104.71,104.71,103.77,104.23,91.57,618600,0.0,0
2015-06-16,104.51,105.45,104.35,105.28,92.49,481700,0.0,0
2015-06-17,105.38,106.11,105.34,105.9,93.03,398600,0.0,0
2015-06-18,106.19,107.3,105.73,106.85,93.87,634200,0.0,0
2015-06-19,106.57,107.26,106.32,106.75,93.78,901300,0.0,0
2015-06-22,106.96,107.6,106.5,107.0,94.0,539900,0.0,0
2015-06-23,106.9,107.37,106.58,106.71,93.74,442800,0.0,0
2015-06-24,106.79,107.06,105.94,105.94,93.07,407000,0.0,0
2015-06-25,106.01,106.28,105.68,106.22,93.31,598200,0.0,0
2015-06-26,106.4,107.17,106.36,107.12,94.1,715200,0.0,0
2015-06-29,106.45,106.88,104.49,104.54,91.84,543300,0.0,0
2015-06-30,105.38,105.4,103.89,104.02,91.38,723000,0.0,0
2015-07-01,104.3,106.95,104.26,106.86,93.88,1156000,0.0,0
2015-07-02,106.95,107.12,105.86,106.12,93.23,580900,0.0,0
2015-07-06,106.08,106.58,105.45,105.94,93.07,1793100,0.0,0
2015-07-07,106.38,108.25,106.05,108.12,94.98,806200,0.0,0
2015-07-08,108.12,108.54,107.3,107.4,94.35,669500,0.0,0
2015-07-09,109.52,109.52,106.74,106.81,93.83,508800,0.0,0
2015-07-10,107.49,108.13,107.44,107.67,94.59,449500,0.0,0
2015-07-13,108.31,108.85,107.9,108.67,95.47,707600,0.0,0
2015-07-14,108.86,109.4,108.26,108.62,95.42,867100,0.0,0
2015-07-15,108.72,109.88,108.64,109.76,96.42,622900,0.0,0
