Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,45.97,46.14,45.48,45.52,40.19,975200,0.0,0
2015-04-28,45.49,46.54,45.28,46.47,41.02,1376400,0.0,0
2015-04-29,46.44,47.49,46.11,47.4,41.85,3102100,0.0,0
2015-04-30,47.29,47.73,46.87,47.41,41.85,1610400,0.0,0
2015-05-01,47.64,47.94,47.11,47.34,41.79,924700,0.0,0
2015-05-04,47.47,48.32,47.47,48.26,42.6,1155500,0.0,0
2015-05-05,48.27,48.76,47.95,47.95,42.33,1726600,0.0,0
2015-05-06,48.17,48.3,47.66,48.08,42.45,1364800,0.0,0
2015-05-07,48.09,48.15,47.63,47.88,42.27,1478600,0.0,0
2015-05-08,48.11,48.23,47.73,48.11,42.47,1250800,0.0,0
2015-05-11,48.03,48.8,47.82,48.47,42.79,1640500,0.0,0
2015-05-12,48.36,48.96,48.04,48.85,43.13,1256500,0.0,0
2015-05-13,48.66,49.23,48.52,49.01,43.27,1090200,0.0,0
2015-05-14,49.28,49.3,48.69,48.86,43.13,1216500,0.0,0
2015-05-15,48.86,48.92,47.89,48.16,42.52,1183600,0.0,0
2015-05-18,48.26,49.26,48.12,48.96,43.22,1350500,0.0,0
2015-05-19,49.21,50.15,48.69,49.59,43.78,2629300,0.0,0
2015-05-20,48.94,49.51,48.71,48.77,43.05,1448000,0.0,0
2015-05-21,48.58,48.99,48.52,48.67,42.97,1087300,0.0,0
2015-05-22,48.7,49.02,48.58,48.67,42.97,811500,0.0,0
2015-05-26,48.66,48.95,48.48,48.91,43.18,1797300,0.0,0
2015-05-27,49.07,49.42,48.75,49.33,43.55,1340000,0.0,0
2015-05-28,49.35,49.57,49.13,49.5,43.7,1707400,0.0,0
2015-05-29,49.5,49.54,48.82,48.95,43.21,1653700,0.0,0
2015-06-01,49.06,49.23,48.25,48.4,42.73,1346800,0.0,0
2015-06-02,48.23,49.25,48.19,49.2,43.43,1400800,0.0,0
2015-06-03,49.51,50.55,49.47,50.22,44.33,2349300,0.0,0
2015-06-04,49.79,50.34,49.68,50.01,44.15,1702900,0.0,0
2015-06-05,50.47,51.17,50.46,50.92,44.95,1964200,0.0,0
2015-06-08,50.79,51.46,50.63,51.08,45.09,1518100,0.0,0
2015-06-09,51.18,51.89,50.86,51.48,45.45,2132400,0.0,0
2015-06-10,51.85,52.85,51.82,52.24,46.12,2229700,0.0,0
2015-06-11,52.0,52.27,51.72,51.82,45.93,1623100,0.21,0
2015-06-12,51.68,52.12,51.6,52.1,46.18,1954600,0.0,0
2015-06-15,51.47,52.26,51.24,52.08,46.16,1068400,0.0,0
2015-06-16,51.9,52.5,51.82,52.35,46.4,902500,0.0,0
2015-06-17,52.5,52.73,51.54,51.73,45.85,1387100,0.0,0
2015-06-18,51.95,52.13,51.35,51.48,45.63,2796200,0.0,0
2015-06-19,51.43,51.65,50.87,50.97,45.18,2655400,0.0,0
2015-06-22,51.15,51.99,50.99,51.96,46.06,1643200,0.0,0
2015-06-23,52.41,52.95,52.08,52.53,46.56,1346200,0.0,0
2015-06-24,52.87,53.45,52.36,52.65,46.67,1505000,0.0,0
2015-06-25,52.76,53.11,52.32,52.41,46.46,979300,0.0,0
2015-06-26,52.85,53.16,52.46,52.63,46.65,1270500,0.0,0
2015-06-29,51.85,52.33,51.15,51.18,45.36,1546500,0.0,0
2015-06-30,51.79,52.28,51.09,51.32,45.49,2292800,0.0,0
2015-07-01,52.45,52.93,51.7,51.98,46.07,1643900,0.0,0
2015-07-02,51.79,52.0,51.06,51.5,45.65,1687000,0.0,0
2015-07-06,50.83,51.14,50.51,51.04,45.24,1463700,0.0,0
2015-07-07,50.94,51.2,48.77,49.31,43.71,5399400,0.0,0
2015-07-08,48.7,48.97,47.64,47.73,42.31,5357500,0.0,0
2015-07-09,48.53,49.19,48.39,48.99,43.42,2803900,0.0,0
2015-07-10,49.73,50.25,49.0,49.58,43.95,2357400,0.0,0
2015-07-13,49.96,50.39,49.61,49.83,44.17,1917100,0.0,0
2015-07-14,49.06,49.69,48.8,49.65,44.01,2959400,0.0,0
2015-07-15,49.38,50.45,49.34,50.1,44.41,2228300,0.0,0
2015-07-16,50.5,50.76,50.18,50.47,44.74,2255700,0.0,0
2015-07-17,48.55,49.07,47.0,47.28,41.91,7601700,0.0,0
2015-07-20,47.18,48.13,47.08,48.12,42.65,3734600,0.0,0
2015-07-21,48.13,48.81,48.09,48.45,42.95,4124500,0.0,0
2015-07-22,48.45,49.63,48.3,49.29,43.69,2561000,0.0,0
2015-07-23,49.23,49.67,48.5,48.6,43.08,1873200,0.0,0
2015-07-24,48.46,48.66,47.64,47.86,42.42,1635900,0.0,0
2015-07-27,47.17,47.39,46.52,46.63,41.33,2488300,0.0,0
2015-07-28,47.04,47.2,46.37,47.0,41.66,1520600,0.0,0
2015-07-29,46.95,47.83,46.79,47.69,42.27,1665300,0.0,0
2015-07-30,47.49,47.92,47.38,47.84,42.4,1178800,0.0,0
2015-07-31,47.7,47.94,47.34,47.43,42.04,1661200,0.0,0
2015-08-03,47.52,47.6,46.58,46.99,41.65,2030500,0.0,0
2015-08-04,47.12,47.68,46.88,47.37,41.99,1376900,0.0,0
2015-08-05,47.59,48.28,47.37,47.55,42.15,1413000,0.0,0
2015-08-06,47.71,48.02,47.07,47.27,41.9,1820800,0.0,0
2015-08-07,47.33,47.68,46.7,47.19,41.83,1577900,0.0,0
2015-08-10,47.53,48.6,47.43,48.56,43.04,2335200,0.0,0
2015-08-11,47.86,48.0,47.36,47.63,42.22,3306200,0.0,0
2015-08-12,47.24,47.25,45.92,46.57,41.28,3218300,0.0,0
2015-08-13,46.72,47.11,46.43,46.91,41.58,1355300,0.0,0
2015-08-14,47.01,47.5,46.52,47.45,42.06,1182700,0.0,0
2015-08-17,47.1,47.69,46.44,47.29,41.92,1732200,0.0,0
