Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,29.93,30.16,29.35,29.44,26.79,52688000,0.0,0.0
2015-04-28,29.5,29.53,29.19,29.5,26.84,33547800,0.0,0.0
2015-04-29,29.39,29.51,29.11,29.17,26.54,29353800,0.0,0.0
2015-04-30,29.18,29.48,28.66,28.88,26.28,46140200,0.0,0.0
2015-05-01,28.9,29.25,28.66,29.2,26.57,31156400,0.0,0.0
2015-05-04,30.02,30.05,29.32,29.39,26.74,42781000,0.0,0.0
2015-05-05,29.41,29.52,28.95,28.99,26.38,32248000,0.0,0.0
2015-05-06,29.05,29.15,28.66,28.83,26.23,33526400,0.0,0.0
2015-05-07,28.75,29.11,28.67,28.96,26.35,26825400,0.0,0.0
2015-05-08,29.25,29.38,29.08,29.2,26.57,29829000,0.0,0.0
2015-05-11,29.32,29.4,28.87,28.89,26.28,24247400,0.0,0.0
2015-05-12,28.75,28.85,28.61,28.67,26.08,25538000,0.0,0.0
2015-05-13,28.73,28.8,28.1,28.14,25.6,51302600,0.0,0.0
2015-05-14,28.35,28.52,28.14,28.27,25.72,27971000,0.0,0.0
2015-05-15,28.39,28.44,28.16,28.32,25.77,34599200,0.0,0.0
2015-05-18,28.34,28.59,28.33,28.49,25.92,27916800,0.0,0.0
2015-05-19,28.5,28.71,28.44,28.61,26.04,24279800,0.0,0.0
2015-05-20,28.84,29.08,28.65,28.78,26.19,30610000,0.0,0.0
2015-05-21,28.78,29.1,28.72,28.77,26.18,37799200,0.0,0.0
2015-05-22,28.77,29.06,28.7,28.93,26.33,24085600,0.0,0.0
2015-05-26,28.96,29.61,28.92,29.3,26.66,52480000,0.0,0.0
2015-05-27,29.3,29.79,29.22,29.67,27.0,29069200,0.0,0.0
2015-05-28,29.56,29.65,29.34,29.51,26.86,23096000,0.0,0.0
2015-05-29,29.55,29.64,29.16,29.23,26.6,26310000,0.0,0.0
2015-06-01,29.35,29.5,29.21,29.39,26.74,25654400,0.0,0.0
