Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,89.88,90.38,88.72,88.86,72.85,1300100,0.0,0
2015-04-28,88.49,89.54,88.22,89.51,73.38,1552600,0.0,0
2015-04-29,88.86,90.06,88.78,89.2,73.13,1457800,0.0,0
2015-04-30,89.49,91.86,88.75,90.91,74.53,3311700,0.0,0
2015-05-01,91.64,91.82,90.67,90.78,74.42,1437300,0.0,0
2015-05-04,90.78,90.96,89.94,90.82,74.46,921400,0.0,0
2015-05-05,90.41,91.09,90.05,90.91,74.53,1762600,0.0,0
2015-05-06,90.91,91.37,89.76,90.3,74.03,1486300,0.0,0
2015-05-07,90.37,92.8,90.35,92.4,75.75,2353600,0.0,0
2015-05-08,93.72,94.71,92.87,94.37,77.37,1775800,0.0,0
2015-05-11,94.5,95.9,94.39,95.4,78.21,1629700,0.0,0
2015-05-12,94.62,95.53,94.42,95.05,77.92,1278500,0.0,0
2015-05-13,95.13,95.24,94.35,95.14,78.0,1023400,0.0,0
2015-05-14,95.75,96.23,94.97,96.09,78.78,1026300,0.0,0
2015-05-15,96.02,96.49,94.42,94.99,77.87,1133500,0.0,0
2015-05-18,95.09,95.94,94.87,94.92,77.82,1196400,0.0,0
2015-05-19,95.11,95.42,94.71,95.01,77.89,974300,0.0,0
2015-05-20,95.19,95.24,93.93,93.94,77.01,898600,0.0,0
2015-05-21,93.82,93.9,92.87,93.4,76.57,1454000,0.0,0
2015-05-22,93.4,94.46,93.1,93.98,77.05,1050500,0.0,0
2015-05-26,94.05,94.3,93.43,93.46,76.62,1175100,0.0,0
2015-05-27,93.55,94.14,92.77,93.88,76.96,762900,0.0,0
2015-05-28,93.7,94.06,93.32,94.03,77.09,739300,0.0,0
2015-05-29,94.03,94.29,93.07,94.2,77.23,1583900,0.0,0
2015-06-01,94.48,94.71,93.69,94.13,77.17,1327600,0.0,0
2015-06-02,93.59,94.44,93.5,94.3,77.31,1558200,0.0,0
2015-06-03,94.25,95.23,94.01,94.52,77.49,1621900,0.0,0
2015-06-04,94.17,94.95,93.88,94.24,77.26,1420100,0.0,0
2015-06-05,95.0,96.47,94.75,95.95,78.66,2380600,0.0,0
2015-06-08,95.64,96.16,95.12,95.17,78.43,1250100,0.5,0
2015-06-09,95.2,96.43,94.61,96.3,79.36,2050300,0.0,0
2015-06-10,96.63,98.66,96.1,98.59,81.25,2588100,0.0,0
2015-06-11,98.7,99.22,98.28,98.87,81.48,1560100,0.0,0
2015-06-12,98.87,99.11,96.63,96.93,79.88,1392900,0.0,0
2015-06-15,96.06,96.68,95.37,96.24,79.31,1102800,0.0,0
2015-06-16,95.95,96.85,95.95,96.53,79.55,1320500,0.0,0
2015-06-17,96.82,97.41,96.3,96.45,79.49,1415900,0.0,0
2015-06-18,96.9,97.05,95.81,96.01,79.12,1535300,0.0,0
2015-06-19,95.73,96.26,93.9,93.99,77.46,2845500,0.0,0
2015-06-22,94.81,95.2,94.48,94.67,78.02,904700,0.0,0
