Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,640.13,646.22,636.09,643.75,643.75,759400,0,0
2015-04-28,643.75,646.97,636.44,639.58,639.58,634200,0,0
2015-04-29,637.7,638.7,626.75,630.07,630.07,789400,0,0
2015-04-30,631.99,635.0,619.72,621.34,621.34,563400,0,0
2015-05-01,628.96,634.0,626.92,634.0,634.0,523500,0,0
2015-05-04,636.69,641.96,633.33,633.57,633.57,318100,0,0
2015-05-05,631.84,634.95,625.19,625.67,625.67,420800,0,0
2015-05-06,625.33,627.82,618.47,627.23,627.23,517900,0,0
2015-05-07,627.0,633.41,625.39,628.82,628.82,317900,0,0
2015-05-08,636.0,637.7,632.05,633.82,633.82,443500,0,0
2015-05-11,630.33,637.5,628.32,635.67,635.67,416400,0,0
2015-05-12,630.5,637.67,627.36,635.55,635.55,290100,0,0
2015-05-13,636.0,639.5,634.05,635.32,635.32,325600,0,0
2015-05-14,636.03,638.59,630.86,634.53,634.53,360400,0,0
2015-05-15,634.75,636.44,629.05,632.37,632.37,437700,0,0
2015-05-18,632.56,636.71,631.05,636.1,636.1,404000,0,0
2015-05-19,637.44,639.88,631.5,636.75,636.75,379800,0,0
2015-05-20,632.93,635.9,627.01,628.24,628.24,519200,0,0
2015-05-21,628.33,633.74,625.03,633.36,633.36,438700,0,0
2015-05-22,635.0,635.0,625.78,626.44,626.44,550300,0,0
2015-05-26,624.67,626.38,618.71,622.16,622.16,477500,0,0
2015-05-27,623.16,624.5,612.26,612.5,612.5,744400,0,0
2015-05-28,617.5,636.0,616.86,629.42,629.42,893100,0,0
2015-05-29,628.0,628.4,613.58,615.52,615.52,788000,0,0
2015-06-01,615.01,619.0,612.6,614.9,614.9,396100,0,0
2015-06-02,613.1,616.75,610.0,610.57,610.57,371000,0,0
2015-06-03,609.0,613.25,608.0,610.89,610.89,395300,0,0
2015-06-04,606.1,613.95,603.01,611.57,611.57,507800,0,0
2015-06-05,608.16,614.9,601.53,613.8,613.8,792900,0,0
2015-06-08,611.93,612.92,607.77,608.12,608.12,437000,0,0
2015-06-09,606.97,608.71,605.16,605.79,605.79,339700,0,0
2015-06-10,605.64,609.5,605.64,608.67,608.67,224800,0,0
2015-06-11,609.0,613.0,605.56,605.86,605.86,241500,0,0
2015-06-12,605.0,612.4,604.02,609.76,609.76,431600,0,0
2015-06-15,607.5,608.49,602.73,604.17,604.17,442100,0,0
2015-06-16,602.41,604.9,598.04,600.62,600.62,384900,0,0
2015-06-17,600.5,606.93,600.5,606.84,606.84,454700,0,0
2015-06-18,607.87,610.58,605.44,606.2,606.2,385800,0,0
2015-06-19,605.24,615.72,604.24,615.31,615.31,698200,0,0
2015-06-22,617.5,623.18,616.85,619.25,619.25,507100,0,0
2015-06-23,620.87,622.64,614.17,615.4,615.4,394600,0,0
2015-06-24,615.0,615.69,610.32,610.53,610.53,304900,0,0
2015-06-25,613.89,614.83,607.23,607.38,607.38,248700,0,0
2015-06-26,608.0,612.85,605.38,609.46,609.46,259500,0,0
2015-06-29,604.22,607.0,599.5,600.05,600.05,372600,0,0
2015-06-30,603.0,608.39,599.29,604.99,604.99,376000,0,0
2015-07-01,606.31,611.62,603.55,606.57,606.57,237500,0,0
2015-07-02,609.1,610.05,604.54,609.56,609.56,339800,0,0
2015-07-06,599.85,609.85,597.33,607.17,607.17,535300,0,0
2015-07-07,606.09,622.86,605.64,620.56,620.56,593000,0,0
2015-07-08,619.4,624.53,611.65,612.85,612.85,522400,0,0
2015-07-09,622.49,631.0,617.48,627.16,627.16,821000,0,0
2015-07-10,630.11,640.31,627.96,639.42,639.42,784900,0,0
2015-07-13,646.12,658.37,643.47,658.0,658.0,725500,0,0
2015-07-14,658.0,660.9,654.2,655.46,655.46,597700,0,0
2015-07-15,657.4,663.11,653.28,661.19,661.19,569100,0,0
2015-07-16,661.5,663.6,654.74,658.46,658.46,777500,0,0
2015-07-17,658.32,664.27,657.03,661.95,661.95,560600,0,0
2015-07-20,665.7,681.56,665.0,678.0,678.0,972900,0,0
2015-07-21,678.0,679.37,670.07,673.07,673.07,1681200,0,0
2015-07-22,695.0,729.65,694.4,725.82,725.82,3033900,0,0
2015-07-23,723.5,734.5,721.6,725.94,725.94,1059000,0,0
2015-07-24,725.0,729.1,724.31,728.79,728.79,591000,0,0
2015-07-27,726.0,733.8,724.14,731.44,731.44,712700,0,0
2015-07-28,735.15,737.47,726.51,730.78,730.78,433900,0,0
2015-07-29,732.0,739.49,731.16,738.42,738.42,594800,0,0
2015-07-30,737.0,745.0,733.52,744.16,744.16,441400,0,0
2015-07-31,745.73,746.4,740.14,742.23,742.23,386200,0,0
2015-08-03,743.47,744.61,735.14,743.04,743.04,453500,0,0
2015-08-04,741.99,749.75,740.56,748.09,748.09,399500,0,0
2015-08-05,749.39,758.61,748.39,757.77,757.77,533900,0,0
2015-08-06,758.49,758.49,746.01,749.6,749.6,405500,0,0
2015-08-07,751.97,751.97,742.01,749.12,749.12,385200,0,0
2015-08-10,755.67,755.67,743.68,744.24,744.24,434800,0,0
2015-08-11,742.62,749.88,737.69,745.66,745.66,461100,0,0
2015-08-12,741.15,747.97,733.96,745.98,745.98,447000,0,0
2015-08-13,748.1,749.98,743.2,743.6,743.6,223300,0,0
2015-08-14,745.94,748.7,741.09,748.34,748.34,241300,0,0
2015-08-17,744.19,754.75,744.19,754.03,754.03,272300,0,0
2015-08-18,754.05,758.27,745.1,745.92,745.92,410300,0,0
2015-08-19,742.2,750.56,741.5,745.28,745.28,280200,0,0
2015-08-20,741.31,744.77,734.22,735.15,735.15,449500,0,0
2015-08-21,729.48,731.42,718.5,720.01,720.01,706700,0,0
2015-08-24,695.0,723.45,685.0,704.25,704.25,839500,0,0
2015-08-25,722.26,722.94,695.39,695.39,695.39,696500,0,0
2015-08-26,703.15,708.24,691.87,707.64,707.64,732300,0,0
2015-08-27,713.12,730.0,710.24,727.17,727.17,583800,0,0
2015-08-28,725.0,728.17,717.09,721.2,721.2,235600,0,0
2015-08-31,719.79,722.1,707.5,710.01,710.01,464300,0,0
2015-09-01,697.95,714.19,696.1,706.71,706.71,409000,0,0
2015-09-02,713.69,724.0,710.58,723.87,723.87,374300,0,0
2015-09-03,722.5,729.44,721.91,724.99,724.99,297400,0,0
2015-09-04,718.36,729.91,718.36,719.23,719.23,293900,0,0
2015-09-08,731.46,733.83,721.88,732.14,732.14,241100,0,0
2015-09-09,734.0,736.01,717.64,718.83,718.83,340300,0,0
2015-09-10,718.25,725.87,718.0,723.19,723.19,220300,0,0
2015-09-11,721.22,729.95,714.02,729.06,729.06,644000,0,0
2015-09-14,728.48,730.5,723.07,726.8,726.8,267700,0,0
2015-09-15,725.81,733.5,720.7,732.08,732.08,296000,0,0
2015-09-16,734.75,734.75,725.19,730.01,730.01,308700,0,0
2015-09-17,728.47,738.99,726.01,730.2,730.2,285100,0,0
2015-09-18,728.98,731.59,724.12,729.48,729.48,522000,0,0
2015-09-21,729.3,737.86,725.45,731.19,731.19,325300,0,0
2015-09-22,724.99,729.53,722.0,726.97,726.97,354200,0,0
2015-09-23,727.5,733.22,725.45,731.57,731.57,213000,0,0
2015-09-24,729.77,731.95,721.61,731.17,731.17,405600,0,0
2015-09-25,733.83,741.89,728.44,730.28,730.28,420100,0,0
2015-09-28,730.52,734.5,707.5,708.03,708.03,565700,0,0
2015-09-29,707.59,721.16,701.73,708.54,708.54,483000,0,0
2015-09-30,714.89,720.71,710.0,720.25,720.25,355400,0,0
2015-10-01,717.6,724.57,714.21,724.43,724.43,315000,0,0
2015-10-02,717.48,724.45,709.45,724.45,724.45,502800,0,0
2015-10-05,726.86,729.83,723.52,728.08,728.08,426500,0,0
2015-10-06,727.16,727.6,711.66,713.25,713.25,359700,0,0
2015-10-07,713.5,720.69,705.17,720.16,720.16,386700,0,0
2015-10-08,722.0,738.47,718.9,734.77,734.77,497400,0,0
2015-10-09,734.77,738.0,726.87,732.93,732.93,355600,0,0
2015-10-12,734.57,750.5,729.21,747.82,747.82,433600,0,0
2015-10-13,747.0,757.0,747.0,750.42,750.42,418200,0,0
2015-10-14,739.0,742.4,710.91,718.56,718.56,961300,0,0
2015-10-15,718.56,724.94,708.5,723.81,723.81,628600,0,0
2015-10-16,728.0,728.24,720.06,722.7,722.7,346600,0,0
2015-10-19,723.43,725.17,709.66,718.64,718.64,714400,0,0
2015-10-20,717.25,720.5,705.63,705.63,705.63,2194700,0,0
2015-10-21,650.61,666.0,646.8,665.67,665.67,2007100,0,0
2015-10-22,666.46,669.11,650.21,650.62,650.62,803100,0,0
2015-10-23,657.99,657.99,645.13,649.72,649.72,690800,0,0
2015-10-26,646.64,668.36,645.95,659.69,659.69,672000,0,0
2015-10-27,659.68,662.98,651.56,656.55,656.55,388100,0,0
2015-10-28,656.89,658.76,652.49,654.89,654.89,507200,0,0
2015-10-29,649.42,654.84,647.31,648.2,648.2,381700,0,0
2015-10-30,648.0,653.27,640.05,640.23,640.23,643600,0,0
2015-11-02,610.0,631.0,608.52,624.0,624.0,2140200,0,0
