Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,32.94,33.38,32.66,32.72,31.22,4685100,0.0,0
2015-04-28,32.8,33.64,32.8,33.58,32.04,6613300,0.0,0
2015-04-29,33.29,34.06,33.22,33.67,32.13,6124700,0.0,0
2015-04-30,33.82,34.24,33.0,33.82,32.27,6667900,0.0,0
2015-05-01,33.79,34.07,33.49,33.93,32.38,5222700,0.0,0
2015-05-04,34.12,34.35,33.77,34.33,32.76,5079000,0.0,0
2015-05-05,34.52,34.53,33.8,33.96,32.42,6913700,0.02,0
2015-05-06,34.28,34.52,33.97,34.12,32.58,6134400,0.0,0
2015-05-07,34.03,34.38,33.9,34.25,32.7,5837700,0.0,0
2015-05-08,34.6,35.09,34.06,35.06,33.47,5940800,0.0,0
2015-05-11,35.06,35.07,34.64,34.97,33.39,6094500,0.0,0
2015-05-12,35.01,35.31,34.84,35.13,33.54,6230600,0.0,0
2015-05-13,35.22,35.28,34.99,35.12,33.53,6069200,0.0,0
2015-05-14,35.15,35.64,35.01,35.32,33.72,5214500,0.0,0
2015-05-15,35.18,35.6,34.91,35.4,33.8,5515100,0.0,0
2015-05-18,35.38,35.4,34.93,35.15,33.56,5873200,0.0,0
2015-05-19,35.0,35.29,34.75,35.0,33.42,6611200,0.0,0
2015-05-20,34.98,35.12,34.66,34.95,33.37,4407400,0.0,0
2015-05-21,35.11,35.29,34.9,34.99,33.41,5112400,0.0,0
2015-05-22,34.82,35.37,34.59,35.1,33.51,3180600,0.0,0
2015-05-26,34.73,34.99,34.41,34.7,33.13,4775400,0.0,0
2015-05-27,34.59,34.8,34.35,34.63,33.06,4951700,0.0,0
2015-05-28,34.57,34.57,33.65,33.85,32.32,4149000,0.0,0
2015-05-29,33.92,34.1,33.62,33.96,32.42,4789300,0.0,0
2015-06-01,33.91,34.26,33.85,34.14,32.6,5246800,0.0,0
2015-06-02,34.21,34.42,33.86,34.17,32.62,4340400,0.0,0
2015-06-03,34.08,34.33,33.91,34.14,32.6,5920000,0.0,0
2015-06-04,34.0,34.28,33.96,34.11,32.57,8913400,0.0,0
2015-06-05,33.85,34.37,33.8,33.85,32.32,7292200,0.0,0
2015-06-08,33.84,34.01,33.54,33.81,32.28,3279000,0.0,0
2015-06-09,34.49,34.56,33.88,33.89,32.36,4201300,0.0,0
2015-06-10,34.26,34.3,33.47,33.95,32.41,5109600,0.0,0
2015-06-11,34.05,34.2,33.82,33.97,32.43,3646700,0.0,0
2015-06-12,33.76,33.9,33.67,33.8,32.27,4498700,0.0,0
2015-06-15,33.65,34.07,33.55,33.9,32.37,2376400,0.0,0
2015-06-16,33.88,34.16,33.74,34.09,32.55,2783200,0.0,0
2015-06-17,34.35,34.48,33.79,34.11,32.57,2992000,0.0,0
2015-06-18,34.22,34.47,33.46,33.58,32.06,6224100,0.0,0
2015-06-19,33.39,33.61,33.08,33.11,31.61,6293600,0.0,0
2015-06-22,33.24,33.36,32.85,33.21,31.71,4675800,0.0,0
