Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,148.3,148.51,146.86,146.96,133.89,1717000,0.0,0
2015-04-28,146.89,147.19,146.05,146.61,133.57,1302100,0.0,0
2015-04-29,145.88,146.25,143.87,144.46,131.97,1719000,0.4,0
2015-04-30,143.85,144.9,142.54,143.05,130.68,2523200,0.0,0
2015-05-01,143.46,145.74,143.22,145.39,132.82,1504700,0.0,0
2015-05-04,145.39,146.21,144.61,145.75,133.15,1288800,0.0,0
2015-05-05,145.12,145.74,144.29,144.5,132.01,1769600,0.0,0
2015-05-06,145.35,145.84,144.01,144.77,132.25,1737300,0.0,0
2015-05-07,144.52,145.61,144.01,144.56,132.06,2564500,0.0,0
2015-05-08,146.0,147.56,145.8,145.88,133.27,1728700,0.0,0
2015-05-11,145.54,146.33,144.2,144.27,131.8,1905800,0.0,0
2015-05-12,144.0,145.0,143.42,144.07,131.61,1923900,0.0,0
2015-05-13,143.88,145.29,142.72,143.24,130.86,2135900,0.0,0
2015-05-14,144.13,144.13,141.53,142.6,130.27,3023400,0.0,0
2015-05-15,143.22,144.96,142.74,144.83,132.31,2357000,0.0,0
2015-05-18,144.74,145.29,144.05,145.06,132.52,1451700,0.0,0
2015-05-19,144.81,145.5,144.31,144.74,132.23,1332700,0.0,0
2015-05-20,145.06,145.06,143.26,143.49,131.08,1640900,0.0,0
2015-05-21,143.37,144.59,142.85,143.94,131.49,1539400,0.0,0
2015-05-22,143.9,144.76,143.4,143.68,131.26,1189500,0.0,0
2015-05-26,144.08,144.41,143.08,143.25,130.86,2477400,0.0,0
2015-05-27,143.63,145.64,143.11,145.42,132.85,2954100,0.0,0
2015-05-28,144.32,145.97,143.16,144.26,131.79,3206200,0.0,0
2015-05-29,143.78,143.95,141.77,142.59,130.26,3027100,0.0,0
2015-06-01,143.05,143.25,141.9,142.39,130.08,2182700,0.0,0
2015-06-02,141.97,142.67,140.89,141.4,129.17,1963500,0.0,0
2015-06-03,141.67,142.51,141.18,142.13,129.84,1858200,0.0,0
2015-06-04,141.37,142.5,140.33,140.65,128.49,2898600,0.0,0
2015-06-05,140.74,140.81,138.74,138.78,126.78,3203200,0.0,0
2015-06-08,138.91,138.91,138.02,138.05,126.11,1879700,0.0,0
2015-06-09,137.92,138.76,137.81,138.04,126.11,2039100,0.0,0
2015-06-10,138.32,139.94,138.26,139.43,127.37,1725600,0.0,0
2015-06-11,139.64,140.47,139.19,139.32,127.27,1342300,0.0,0
2015-06-12,139.06,139.3,138.51,138.78,126.78,1290700,0.0,0
2015-06-15,137.94,138.32,137.15,137.23,125.37,1939500,0.0,0
2015-06-16,137.2,138.24,137.15,137.98,126.05,1553600,0.0,0
2015-06-17,137.94,139.32,137.88,138.88,126.87,1508100,0.0,0
2015-06-18,139.49,141.1,139.22,140.5,128.35,2074100,0.0,0
2015-06-19,140.59,141.48,140.18,140.3,128.17,2758200,0.0,0
2015-06-22,140.84,141.17,140.08,140.19,128.07,1415700,0.0,0
2015-06-23,140.44,140.9,139.53,139.65,127.58,1489400,0.0,0
2015-06-24,139.34,139.86,138.28,138.34,126.38,1965900,0.0,0
2015-06-25,138.45,139.91,137.42,137.45,125.57,1660900,0.0,0
2015-06-26,137.94,138.64,137.53,138.06,126.12,2248900,0.0,0
2015-06-29,137.01,137.82,135.66,135.69,123.96,1963200,0.0,0
2015-06-30,136.38,136.71,134.73,135.06,123.38,2454300,0.0,0
2015-07-01,135.79,136.57,135.54,136.49,124.69,1707000,0.0,0
2015-07-02,137.0,137.2,136.28,136.39,124.6,1148400,0.0,0
2015-07-06,135.15,136.84,135.06,135.88,124.13,2450400,0.0,0
2015-07-07,136.3,140.87,136.03,140.5,128.35,3790000,0.0,0
2015-07-08,139.98,140.53,139.27,139.9,127.8,2917100,0.0,0
2015-07-09,141.35,141.5,137.71,139.45,127.39,3317600,0.0,0
2015-07-10,141.71,143.43,141.17,142.72,130.38,2846000,0.0,0
2015-07-13,143.86,145.07,143.5,144.06,131.6,1847800,0.0,0
2015-07-14,143.65,144.29,143.16,143.93,131.49,1512800,0.0,0
2015-07-15,143.93,144.18,142.92,143.63,131.21,1306700,0.0,0
2015-07-16,144.15,144.49,143.44,144.33,131.85,1148100,0.0,0
2015-07-17,144.12,144.89,143.16,144.68,132.17,1842100,0.0,0
2015-07-20,144.58,145.23,144.02,145.04,132.5,1243600,0.0,0
2015-07-21,145.19,145.4,144.43,144.94,132.41,1587800,0.0,0
2015-07-22,145.22,146.48,145.02,146.38,133.72,1612000,0.0,0
2015-07-23,146.85,147.0,145.38,145.6,133.01,1356100,0.0,0
2015-07-24,145.71,145.93,144.89,144.99,132.45,1272700,0.0,0
2015-07-27,144.78,144.89,143.53,144.25,131.78,1431300,0.0,0
2015-07-28,144.53,144.7,142.91,144.55,132.05,1376500,0.0,0
2015-07-29,144.8,146.76,144.75,145.38,132.81,1840500,0.0,0
2015-07-30,145.15,145.86,144.02,145.3,132.74,1392700,0.0,0
2015-07-31,146.19,146.19,145.01,145.3,132.74,1386700,0.0,0
2015-08-03,145.78,146.11,144.65,145.52,132.94,1328100,0.0,0
2015-08-04,145.11,145.82,144.19,144.84,132.32,1315300,0.0,0
2015-08-05,145.83,147.04,145.65,146.89,134.19,1687800,0.0,0
2015-08-06,147.15,147.59,145.98,146.44,133.78,1948000,0.0,0
2015-08-07,146.02,146.44,144.35,145.26,132.7,1228300,0.0,0
2015-08-10,146.3,146.79,145.68,146.25,133.61,1072600,0.0,0
2015-08-11,145.28,146.29,145.01,145.89,133.28,1260700,0.0,0
2015-08-12,144.95,146.72,143.35,146.49,134.19,1963800,0.4,0
2015-08-13,146.36,146.98,145.18,145.27,133.07,1114000,0.0,0
2015-08-14,144.88,146.42,144.88,146.09,133.83,1210400,0.0,0
2015-08-17,145.15,146.24,144.98,146.09,133.83,912600,0.0,0
2015-08-18,146.16,146.48,145.12,145.63,133.4,1099100,0.0,0
2015-08-19,145.39,145.94,143.64,145.17,132.98,1436100,0.0,0
2015-08-20,144.29,144.88,143.29,143.71,131.65,1785100,0.0,0
2015-08-21,142.22,143.33,138.99,138.99,127.32,3611400,0.0,0
2015-08-24,131.97,137.16,117.03,132.97,121.81,5205800,0.0,0
2015-08-25,136.78,138.38,132.65,132.71,121.57,4645100,0.0,0
2015-08-26,136.11,138.28,133.35,138.16,126.56,3094900,0.0,0
2015-08-27,140.47,140.75,137.59,140.21,128.44,2603100,0.0,0
2015-08-28,139.75,140.3,138.64,139.95,128.2,1850900,0.0,0
2015-08-31,139.25,140.23,138.51,140.05,128.29,3005700,0.0,0
2015-09-01,137.58,139.9,137.5,138.3,126.69,2968200,0.0,0
2015-09-02,139.83,140.87,138.42,140.42,128.63,1809900,0.0,0
2015-09-03,140.94,141.7,140.1,140.48,128.69,1615600,0.0,0
2015-09-04,138.8,139.46,138.18,138.48,126.85,2124500,0.0,0
2015-09-08,140.54,141.48,139.12,141.43,129.56,1638000,0.0,0
2015-09-09,142.35,142.35,139.39,139.68,127.95,1390800,0.0,0
2015-09-10,139.04,140.96,138.99,140.01,128.26,1350700,0.0,0
2015-09-11,139.85,141.2,139.28,141.05,129.21,1452300,0.0,0
2015-09-14,141.18,141.41,140.24,141.15,129.3,1123300,0.0,0
2015-09-15,141.32,142.96,140.24,142.43,130.47,1349600,0.0,0
2015-09-16,142.21,143.86,141.75,143.61,131.55,1374300,0.0,0
2015-09-17,143.9,145.04,143.16,143.35,131.32,1535300,0.0,0
2015-09-18,142.14,144.34,141.7,141.81,129.91,2833900,0.0,0
2015-09-21,142.36,143.78,142.09,143.21,131.19,1004800,0.0,0
2015-09-22,141.82,142.95,140.81,142.65,130.67,1787200,0.0,0
2015-09-23,143.46,145.63,142.65,145.43,133.22,2310200,0.0,0
2015-09-24,144.37,145.42,143.65,144.87,132.71,1974900,0.0,0
2015-09-25,145.95,146.9,145.01,145.55,133.33,1845700,0.0,0
2015-09-28,145.39,145.8,143.29,143.55,131.5,2553500,0.0,0
2015-09-29,143.04,144.14,142.25,143.72,131.65,2513100,0.0,0
2015-09-30,143.54,144.95,142.89,144.57,132.43,2549200,0.0,0
2015-10-01,144.85,144.85,142.5,144.56,132.42,2657300,0.0,0
2015-10-02,143.25,145.91,142.19,145.86,133.62,2591500,0.0,0
2015-10-05,146.24,148.22,146.01,148.07,135.64,2273000,0.0,0
2015-10-06,148.15,148.7,147.36,148.41,135.95,2091000,0.0,0
2015-10-07,148.72,149.32,147.43,147.96,135.54,2340800,0.0,0
2015-10-08,147.61,151.7,147.61,151.66,138.93,2370900,0.0,0
2015-10-09,150.76,154.26,150.44,153.97,141.04,3715500,0.0,0
2015-10-12,153.97,154.48,153.09,153.63,140.73,1200100,0.0,0
2015-10-13,153.23,154.07,152.22,152.28,139.5,1493700,0.0,0
2015-10-14,152.31,152.77,149.1,149.84,137.26,3044900,0.0,0
2015-10-15,150.83,151.9,150.22,151.77,139.03,1697000,0.0,0
2015-10-16,152.32,152.97,151.28,152.06,139.29,1647500,0.0,0
