Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,45.81,45.82,45.42,45.6,39.21,689600,0.0,0
2015-04-28,45.58,45.71,45.35,45.47,39.1,870800,0.0,0
2015-04-29,45.45,45.52,44.84,44.94,38.64,1017700,0.0,0
2015-04-30,44.91,45.07,44.6,44.71,38.44,1193600,0.0,0
2015-05-01,44.85,45.6,44.76,45.55,39.17,1979500,0.0,0
2015-05-04,45.51,45.96,45.4,45.74,39.33,1245700,0.0,0
2015-05-05,45.72,45.93,45.29,45.39,39.03,1507800,0.0,0
2015-05-06,45.38,45.59,44.92,45.2,38.86,1204400,0.0,0
2015-05-07,45.08,45.72,44.95,45.48,39.11,987000,0.0,0
2015-05-08,45.97,45.97,45.69,45.83,39.41,1331600,0.0,0
2015-05-11,45.81,46.15,45.6,45.8,39.38,611900,0.0,0
2015-05-12,45.66,46.01,45.44,45.93,39.49,681700,0.0,0
2015-05-13,45.95,46.18,45.74,45.81,39.39,884000,0.0,0
2015-05-14,46.15,46.53,46.14,46.48,39.96,916500,0.0,0
2015-05-15,46.51,46.97,46.49,46.85,40.28,1292000,0.0,0
2015-05-18,46.67,46.92,46.52,46.79,40.23,1327700,0.0,0
2015-05-19,46.77,46.92,46.49,46.72,40.17,1606200,0.0,0
2015-05-20,46.82,47.02,46.61,46.7,40.15,1696600,0.0,0
2015-05-21,46.63,47.05,46.52,46.93,40.35,2396800,0.0,0
2015-05-22,47.85,48.16,47.35,47.91,41.19,3165400,0.0,0
2015-05-26,47.8,47.99,47.55,47.74,41.05,2022800,0.0,0
2015-05-27,47.77,48.16,47.53,48.12,41.37,1855000,0.0,0
2015-05-28,48.07,48.4,47.9,48.39,41.61,1485400,0.0,0
2015-05-29,48.39,48.39,48.08,48.34,41.56,2238400,0.0,0
2015-06-01,48.33,48.38,48.11,48.32,41.55,1793000,0.0,0
2015-06-02,48.2,48.22,47.58,47.67,40.99,3112300,0.0,0
2015-06-03,47.85,47.85,47.22,47.38,40.74,1978300,0.0,0
2015-06-04,47.22,47.39,47.01,47.07,40.47,1315400,0.0,0
2015-06-05,46.91,46.95,46.14,46.54,40.02,2562300,0.0,0
2015-06-08,46.59,46.61,46.08,46.28,39.79,1146400,0.0,0
2015-06-09,46.35,46.73,46.18,46.57,40.04,1041900,0.0,0
2015-06-10,46.61,47.0,46.56,46.84,40.27,1021500,0.0,0
2015-06-11,46.86,47.06,46.8,46.83,40.27,694700,0.0,0
2015-06-12,46.75,46.8,46.57,46.73,40.18,612300,0.0,0
2015-06-15,46.43,46.75,46.3,46.33,39.84,932900,0.0,0
2015-06-16,46.4,47.63,46.34,47.55,40.88,1597700,0.0,0
2015-06-17,47.53,47.91,47.29,47.76,41.07,1024700,0.0,0
2015-06-18,47.91,48.43,47.79,48.24,41.48,1127400,0.0,0
2015-06-19,48.26,48.57,48.23,48.27,41.5,1553400,0.0,0
2015-06-22,48.5,48.72,48.29,48.3,41.53,834800,0.0,0
2015-06-23,48.36,48.4,48.12,48.29,41.52,867300,0.0,0
2015-06-24,48.28,48.38,47.88,48.01,41.28,918400,0.0,0
2015-06-25,48.27,48.27,47.68,47.7,41.01,983300,0.0,0
2015-06-26,47.82,48.03,47.68,47.85,41.14,862600,0.0,0
2015-06-29,47.5,47.67,46.98,47.01,40.42,1098400,0.0,0
2015-06-30,47.27,49.16,47.11,47.65,40.97,4572900,0.0,0
2015-07-01,47.78,47.89,47.26,47.84,41.13,1640200,0.0,0
2015-07-02,47.92,48.12,47.48,47.66,40.98,1062700,0.0,0
2015-07-06,47.39,47.89,47.1,47.27,40.64,1088300,0.0,0
2015-07-07,47.28,48.04,47.14,47.98,41.25,1329000,0.0,0
2015-07-08,47.7,47.98,47.51,47.57,40.9,1266300,0.0,0
2015-07-09,47.92,47.93,47.06,47.12,40.78,1255200,0.312,0
2015-07-10,47.48,47.8,47.36,47.62,41.22,849300,0.0,0
2015-07-13,47.79,47.96,47.56,47.83,41.4,796900,0.0,0
2015-07-14,47.87,48.24,47.63,48.13,41.66,989700,0.0,0
2015-07-15,47.95,48.13,47.43,47.59,41.19,720900,0.0,0
2015-07-16,47.84,48.12,47.8,48.02,41.56,717000,0.0,0
2015-07-17,47.95,47.99,47.42,47.85,41.41,699200,0.0,0
2015-07-20,47.91,48.01,47.56,47.61,41.21,655900,0.0,0
2015-07-21,47.53,47.7,47.2,47.46,41.08,839700,0.0,0
2015-07-22,48.0,48.84,47.79,48.32,41.82,1729200,0.0,0
2015-07-23,48.4,48.7,48.05,48.2,41.72,1642600,0.0,0
2015-07-24,48.23,48.62,48.07,48.28,41.79,952600,0.0,0
2015-07-27,48.08,48.41,47.87,48.28,41.79,937700,0.0,0
2015-07-28,48.48,49.05,48.28,49.0,42.41,1135000,0.0,0
2015-07-29,49.13,49.14,48.51,48.71,42.16,1579500,0.0,0
2015-07-30,48.6,49.35,48.48,49.17,42.56,1143800,0.0,0
2015-07-31,49.52,49.54,49.22,49.31,42.68,1143300,0.0,0
2015-08-03,49.42,49.88,49.28,49.88,43.17,1468900,0.0,0
2015-08-04,49.81,50.04,49.6,49.68,43.0,1035700,0.0,0
2015-08-05,49.85,50.1,49.54,50.0,43.28,1133800,0.0,0
2015-08-06,50.23,50.54,49.94,50.49,43.7,1364600,0.0,0
2015-08-07,50.33,50.5,49.92,50.28,43.52,1130000,0.0,0
2015-08-10,50.53,50.62,50.2,50.48,43.69,855800,0.0,0
2015-08-11,50.09,50.39,49.8,50.32,43.55,687300,0.0,0
2015-08-12,50.03,50.42,49.56,50.4,43.62,1031800,0.0,0
2015-08-13,50.37,50.62,50.21,50.26,43.5,768200,0.0,0
2015-08-14,50.29,50.77,50.17,50.7,43.88,701500,0.0,0
2015-08-17,50.49,50.8,50.21,50.57,43.77,719000,0.0,0
2015-08-18,50.53,50.53,50.17,50.23,43.47,1358600,0.0,0
2015-08-19,50.15,50.44,49.69,50.11,43.37,819900,0.0,0
2015-08-20,49.8,50.07,49.5,49.63,42.96,1166300,0.0,0
2015-08-21,49.5,49.5,48.61,48.61,42.07,1308500,0.0,0
2015-08-24,46.99,47.09,45.23,47.01,40.69,2537100,0.0,0
2015-08-25,47.75,47.9,46.12,46.15,39.94,2075900,0.0,0
2015-08-26,47.06,47.5,46.1,47.43,41.05,1956100,0.0,0
2015-08-27,47.74,47.99,47.05,47.72,41.3,1891200,0.0,0
2015-08-28,47.72,48.12,47.39,47.8,41.37,1847600,0.0,0
2015-08-31,47.71,48.14,47.55,47.99,41.54,1876200,0.0,0
2015-09-01,47.18,47.57,46.64,46.87,40.57,1988000,0.0,0
2015-09-02,47.39,47.77,47.01,47.77,41.35,2547200,0.0,0
2015-09-03,46.91,48.68,46.07,48.53,42.0,2364100,0.0,0
2015-09-04,48.23,48.5,47.44,47.94,41.49,2019300,0.0,0
2015-09-08,48.5,49.41,48.5,49.38,42.74,2458700,0.0,0
2015-09-09,49.78,49.78,48.59,48.72,42.17,2198900,0.0,0
