Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,28.88,29.03,28.71,28.89,24.63,22952000,0.0,0
2015-04-28,28.8,29.33,28.76,29.32,25.0,24315300,0.0,0
2015-04-29,29.06,29.25,28.9,29.05,24.77,22463700,0.0,0
2015-04-30,28.85,29.02,28.68,28.83,24.58,26514500,0.0,0
2015-05-01,28.81,29.2,28.78,29.13,24.83,18936000,0.0,0
2015-05-04,29.08,29.36,29.07,29.17,24.87,16484100,0.0,0
2015-05-05,29.17,29.21,28.84,28.89,24.63,22463800,0.0,0
2015-05-06,28.9,29.08,28.69,28.97,24.7,23572000,0.0,0
2015-05-07,28.99,29.12,28.74,28.81,24.56,22643800,0.0,0
2015-05-08,28.99,29.37,28.99,29.23,24.92,22572400,0.0,0
2015-05-11,29.5,29.79,29.2,29.21,24.9,27045200,0.0,0
2015-05-12,29.07,29.44,28.8,29.23,24.92,31761000,0.0,0
2015-05-13,29.14,29.47,29.13,29.35,25.02,38264000,0.0,0
2015-05-14,29.29,29.66,28.97,29.05,24.77,56696300,0.0,0
2015-05-15,29.24,29.82,29.16,29.55,25.19,37677300,0.0,0
2015-05-18,29.42,29.9,29.42,29.76,25.37,23953000,0.0,0
2015-05-19,29.87,29.9,29.63,29.74,25.35,18926300,0.0,0
2015-05-20,29.8,29.85,29.53,29.62,25.25,19410900,0.0,0
2015-05-21,29.61,29.77,29.43,29.43,25.09,20806900,0.0,0
2015-05-22,29.39,29.45,29.26,29.26,24.94,20079700,0.0,0
2015-05-26,29.19,29.25,28.75,28.95,24.68,25877100,0.0,0
2015-05-27,29.06,29.48,29.02,29.31,24.99,23959900,0.0,0
2015-05-28,29.34,29.56,29.16,29.35,25.02,18219600,0.0,0
2015-05-29,29.32,29.59,29.19,29.31,24.99,26018100,0.0,0
2015-06-01,29.6,29.62,29.05,29.18,24.88,23799400,0.0,0
2015-06-02,29.09,29.27,28.95,29.08,24.79,15995600,0.0,0
2015-06-03,29.21,29.3,29.05,29.09,24.8,20536900,0.0,0
2015-06-04,28.9,29.1,28.54,28.61,24.39,26774500,0.0,0
2015-06-05,28.55,28.71,28.49,28.58,24.36,25357900,0.0,0
2015-06-08,28.67,28.7,28.23,28.28,24.11,19011700,0.0,0
2015-06-09,28.27,28.42,28.01,28.24,24.08,15527500,0.0,0
2015-06-10,28.47,28.91,28.27,28.66,24.43,26223300,0.0,0
2015-06-11,28.75,29.22,28.75,28.86,24.6,24387100,0.0,0
2015-06-12,28.66,28.67,28.31,28.54,24.33,21919500,0.0,0
2015-06-15,28.23,28.52,28.11,28.48,24.28,25722100,0.0,0
2015-06-16,28.35,28.79,28.28,28.71,24.48,16920300,0.0,0
2015-06-17,28.84,29.04,28.66,28.93,24.66,20959000,0.0,0
2015-06-18,28.85,29.35,28.82,29.21,24.9,24156100,0.0,0
2015-06-19,29.24,29.32,28.94,29.03,24.75,31970100,0.0,0
2015-06-22,29.1,29.22,28.82,28.94,24.67,20160000,0.0,0
2015-06-23,29.0,29.04,28.62,28.79,24.54,21041300,0.0,0
2015-06-24,28.79,28.85,28.49,28.51,24.31,20978800,0.0,0
2015-06-25,28.56,28.65,28.38,28.4,24.21,14606100,0.0,0
2015-06-26,28.49,28.49,28.01,28.28,24.11,28087800,0.0,0
2015-06-29,27.99,28.11,27.5,27.54,23.48,31838300,0.0,0
2015-06-30,27.83,27.83,27.33,27.46,23.41,31236800,0.0,0
2015-07-01,27.42,27.5,27.07,27.35,23.5,24461300,0.21,0
2015-07-02,27.37,27.57,27.29,27.33,23.48,15635500,0.0,0
2015-07-06,27.0,27.26,26.89,27.22,23.38,22858200,0.0,0
2015-07-07,27.22,27.45,26.89,27.36,23.5,25436700,0.0,0
2015-07-08,27.08,27.16,26.84,26.99,23.19,27863400,0.0,0
2015-07-09,27.38,27.45,26.9,26.91,23.12,20129700,0.0,0
2015-07-10,27.27,27.36,27.04,27.28,23.44,16079300,0.0,0
2015-07-13,27.49,27.8,27.42,27.79,23.87,20623100,0.0,0
2015-07-14,27.87,28.04,27.7,28.03,24.08,20932800,0.0,0
2015-07-15,27.86,28.24,27.81,28.11,24.15,23378400,0.0,0
2015-07-16,28.24,28.42,28.21,28.32,24.33,21058100,0.0,0
2015-07-17,28.27,28.31,27.97,28.18,24.21,24248900,0.0,0
2015-07-20,28.13,28.16,27.88,28.03,24.08,19477000,0.0,0
2015-07-21,27.96,28.25,27.79,27.84,23.92,23874000,0.0,0
2015-07-22,27.83,28.06,27.44,27.53,23.65,26889200,0.0,0
2015-07-23,27.7,28.25,27.58,28.01,24.06,34103200,0.0,0
2015-07-24,28.45,28.77,28.38,28.4,24.4,39471700,0.0,0
2015-07-27,28.31,28.56,28.19,28.21,24.23,30914400,0.0,0
2015-07-28,28.34,28.35,27.85,28.21,24.23,23573200,0.0,0
2015-07-29,28.2,28.52,28.02,28.4,24.4,21419900,0.0,0
2015-07-30,28.22,28.46,28.2,28.3,24.31,17458100,0.0,0
2015-07-31,28.39,28.56,28.16,28.42,24.42,20376000,0.0,0
2015-08-03,28.41,28.59,28.11,28.36,24.36,17450900,0.0,0
2015-08-04,28.22,28.46,27.89,28.03,24.08,18578100,0.0,0
2015-08-05,28.11,28.6,28.1,28.27,24.29,19236200,0.0,0
2015-08-06,28.37,28.67,28.0,28.21,24.23,20143800,0.0,0
2015-08-07,28.17,28.23,27.9,28.15,24.18,16039400,0.0,0
2015-08-10,28.48,28.7,28.27,28.59,24.56,23740000,0.0,0
2015-08-11,28.24,28.39,27.85,28.02,24.07,25391900,0.0,0
2015-08-12,27.8,28.1,27.41,27.9,23.97,41085000,0.0,0
2015-08-13,28.78,29.21,28.69,28.7,24.66,61154000,0.0,0
2015-08-14,28.78,29.05,28.75,29.03,24.94,24890800,0.0,0
2015-08-17,28.65,28.97,28.51,28.83,24.77,21264000,0.0,0
2015-08-18,28.71,28.72,28.18,28.25,24.27,32210400,0.0,0
2015-08-19,28.1,28.24,27.72,27.8,23.88,30023900,0.0,0
2015-08-20,27.56,27.75,27.04,27.04,23.23,37889400,0.0,0
2015-08-21,26.88,27.34,26.47,26.47,22.74,48502400,0.0,0
2015-08-24,24.89,26.08,23.03,25.19,21.64,61667000,0.0,0
2015-08-25,25.94,25.99,24.6,24.62,21.15,40610100,0.0,0
2015-08-26,25.28,25.74,24.71,25.68,22.06,54783200,0.0,0
2015-08-27,26.0,26.19,25.61,26.17,22.48,36504700,0.0,0
2015-08-28,25.91,26.05,25.82,26.0,22.34,26918900,0.0,0
2015-08-31,25.94,26.11,25.74,25.88,22.23,32388300,0.0,0
2015-09-01,25.22,25.62,25.01,25.12,21.58,32705400,0.0,0
2015-09-02,25.59,25.66,25.08,25.65,22.04,27925300,0.0,0
2015-09-03,25.88,26.15,25.73,25.9,22.25,27958400,0.0,0
2015-09-04,25.42,25.65,25.35,25.52,21.92,26903500,0.0,0
2015-09-08,25.98,26.33,25.91,26.3,22.59,20932900,0.0,0
2015-09-09,26.5,26.73,25.88,25.94,22.28,25032300,0.0,0
2015-09-10,25.9,26.49,25.85,26.26,22.56,26424600,0.0,0
2015-09-11,26.0,26.18,25.81,26.02,22.35,21529100,0.0,0
2015-09-14,26.15,26.17,25.66,25.7,22.08,18636000,0.0,0
2015-09-15,25.56,26.08,25.56,25.98,22.32,20479400,0.0,0
2015-09-16,26.07,26.1,25.85,26.07,22.4,21245300,0.0,0
2015-09-17,25.96,26.28,25.81,25.88,22.23,25409600,0.0,0
2015-09-18,25.57,25.74,25.25,25.54,21.94,40020100,0.0,0
2015-09-21,25.45,25.82,25.35,25.54,21.94,21945600,0.0,0
2015-09-22,25.06,25.21,24.97,25.14,21.6,21305200,0.0,0
2015-09-23,25.22,25.31,25.01,25.28,21.72,18804200,0.0,0
2015-09-24,25.09,25.5,24.92,25.41,21.83,35598000,0.0,0
2015-09-25,25.81,26.3,25.8,26.03,22.36,37618300,0.0,0
2015-09-28,25.83,26.02,25.59,25.66,22.04,27211200,0.0,0
2015-09-29,25.64,25.93,25.56,25.64,22.03,27095600,0.0,0
2015-09-30,26.0,26.38,25.88,26.25,22.55,32093700,0.0,0
2015-10-01,26.05,26.16,25.55,25.73,22.28,26933200,0.21,0
2015-10-02,25.4,25.79,25.34,25.76,22.31,34910700,0.0,0
2015-10-05,26.04,26.98,25.97,26.85,23.25,30217900,0.0,0
2015-10-06,27.03,27.47,26.98,27.23,23.58,33758200,0.0,0
2015-10-07,27.52,27.95,27.0,27.54,23.85,29749700,0.0,0
2015-10-08,27.51,28.02,27.43,27.91,24.17,22500200,0.0,0
2015-10-09,28.01,28.15,27.82,27.91,24.17,22125800,0.0,0
2015-10-12,27.93,28.1,27.76,27.96,24.21,14486000,0.0,0
2015-10-13,27.75,27.95,27.74,27.85,24.12,15107200,0.0,0
2015-10-14,27.75,27.9,27.59,27.82,24.09,20144000,0.0,0
2015-10-15,28.1,28.19,27.87,28.15,24.38,18996900,0.0,0
2015-10-16,28.34,28.35,28.0,28.25,24.46,19948300,0.0,0
2015-10-19,28.12,28.29,27.94,28.25,24.46,20778100,0.0,0
2015-10-20,28.2,28.52,28.15,28.5,24.68,20335800,0.0,0
2015-10-21,28.6,28.82,28.22,28.28,24.49,19008900,0.0,0
2015-10-22,28.56,29.21,28.5,29.01,25.12,32162500,0.0,0
2015-10-23,29.02,29.38,28.93,29.35,25.42,26076900,0.0,0
2015-10-26,29.32,29.49,28.88,28.95,25.07,20354800,0.0,0
2015-10-27,28.72,29.06,28.58,29.05,25.16,19480600,0.0,0
2015-10-28,29.29,29.45,29.04,29.36,25.43,23741400,0.0,0
2015-10-29,29.15,29.21,28.93,29.14,25.24,16717800,0.0,0
2015-10-30,29.0,29.25,28.85,28.85,24.98,22334100,0.0,0
2015-11-02,28.87,28.87,28.51,28.77,24.92,28912600,0.0,0
2015-11-03,28.61,28.71,28.49,28.61,24.78,30555300,0.0,0
2015-11-04,28.79,28.82,28.37,28.47,24.66,28591800,0.0,0
2015-11-05,28.5,28.61,28.29,28.43,24.62,21988600,0.0,0
2015-11-06,28.31,28.55,28.16,28.45,24.64,26107600,0.0,0
2015-11-09,28.35,28.49,28.0,28.18,24.4,25865900,0.0,0
2015-11-10,28.18,28.22,27.9,27.98,24.23,26701800,0.0,0
2015-11-11,28.1,28.1,27.75,27.82,24.09,32599300,0.0,0
2015-11-12,27.74,28.07,27.72,27.83,24.1,38135900,0.0,0
2015-11-13,26.29,26.68,25.82,26.21,22.7,94556200,0.0,0
2015-11-16,26.07,27.0,26.06,26.79,23.2,44949600,0.0,0
2015-11-17,26.8,27.27,26.68,26.81,23.22,30490200,0.0,0
2015-11-18,27.0,27.16,26.73,27.12,23.49,27015700,0.0,0
2015-11-19,27.1,27.65,27.05,27.37,23.7,27417400,0.0,0
2015-11-20,27.59,27.78,27.46,27.57,23.88,26502800,0.0,0
2015-11-23,27.65,27.84,27.34,27.43,23.75,24684600,0.0,0
2015-11-24,27.25,27.44,27.0,27.27,23.62,32859200,0.0,0
2015-11-25,27.32,27.39,27.0,27.24,23.59,22472500,0.0,0
2015-11-27,27.25,27.48,27.24,27.32,23.66,9532300,0.0,0
2015-11-30,27.34,27.48,27.2,27.25,23.6,30736700,0.0,0
2015-12-01,27.2,27.65,27.2,27.57,23.88,31406300,0.0,0
2015-12-02,27.49,27.9,27.37,27.44,23.76,29178200,0.0,0
2015-12-03,27.63,27.69,26.82,26.95,23.34,25783800,0.0,0
2015-12-04,26.95,27.55,26.95,27.48,23.8,28143700,0.0,0
2015-12-07,27.56,27.56,27.26,27.49,23.81,15350200,0.0,0
