Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,37.08,37.54,36.72,36.91,33.73,14914500,0.0,0
2015-04-28,36.82,37.01,36.49,36.81,33.64,8562800,0.0,0
2015-04-29,36.74,37.04,36.25,36.95,33.77,11309700,0.0,0
2015-04-30,36.65,36.76,35.99,36.09,32.98,8872700,0.0,0
2015-05-01,36.42,37.67,36.3,37.46,34.24,15665700,0.0,0
2015-05-04,37.46,37.64,36.02,36.61,33.46,19848600,0.0,0
2015-05-05,36.44,36.72,35.32,35.41,32.36,13027800,0.0,0
2015-05-06,35.45,36.06,35.03,35.65,32.58,10387400,0.0,0
2015-05-07,35.63,36.31,35.46,35.91,32.82,8309800,0.0,0
2015-05-08,36.39,37.16,36.26,36.68,33.52,11655500,0.0,0
2015-05-11,36.5,36.81,36.03,36.06,32.96,7169300,0.0,0
2015-05-12,35.87,36.06,35.48,35.69,32.62,6886500,0.0,0
2015-05-13,35.73,36.07,34.72,34.78,31.79,10684800,0.0,0
2015-05-14,34.53,35.22,34.31,34.9,31.9,14828800,0.0,0
2015-05-15,34.89,35.5,34.8,35.5,32.45,10494900,0.0,0
2015-05-18,35.35,35.96,35.18,35.73,32.66,8285800,0.0,0
2015-05-19,35.72,36.04,35.52,35.6,32.54,4861000,0.0,0
2015-05-20,35.39,35.67,35.12,35.27,32.24,8118700,0.0,0
2015-05-21,35.26,35.87,35.15,35.55,32.49,7946300,0.0,0
2015-05-22,35.42,35.66,35.29,35.47,32.42,4322100,0.0,0
2015-05-26,35.26,35.42,34.72,34.78,31.79,6081700,0.0,0
2015-05-27,34.93,35.24,34.65,35.1,32.25,6175000,0.18,0
2015-05-28,35.01,35.05,34.38,34.72,31.9,4340900,0.0,0
2015-05-29,34.76,34.78,33.99,34.08,31.31,8608900,0.0,0
2015-06-01,34.23,34.47,33.95,34.24,31.46,8228300,0.0,0
2015-06-02,34.17,34.44,33.97,34.1,31.33,6401500,0.0,0
2015-06-03,34.09,34.56,34.04,34.1,31.33,6939300,0.0,0
2015-06-04,33.89,34.31,33.85,34.04,31.27,7492400,0.0,0
2015-06-05,34.04,34.54,34.01,34.43,31.63,4428900,0.0,0
2015-06-08,34.29,34.31,33.78,34.03,31.26,6707800,0.0,0
2015-06-09,33.93,34.07,33.64,33.76,31.02,4350400,0.0,0
2015-06-10,33.87,34.02,33.69,33.97,31.21,5975300,0.0,0
2015-06-11,34.02,35.48,33.93,34.97,32.13,10898500,0.0,0
2015-06-12,34.73,35.62,34.61,34.75,31.92,8155400,0.0,0
2015-06-15,34.55,35.02,34.43,34.67,31.85,4151900,0.0,0
2015-06-16,34.7,34.93,34.42,34.58,31.77,6080600,0.0,0
2015-06-17,34.6,34.96,34.45,34.82,31.99,6349900,0.0,0
2015-06-18,34.97,35.67,34.97,35.54,32.65,8336500,0.0,0
2015-06-19,35.39,35.55,34.99,34.99,32.15,9072700,0.0,0
2015-06-22,35.22,35.4,34.95,35.05,32.2,7553300,0.0,0
2015-06-23,35.23,35.43,34.79,34.86,32.03,9117200,0.0,0
2015-06-24,34.76,34.96,33.74,33.89,31.13,16653900,0.0,0
2015-06-25,34.01,34.16,33.68,33.7,30.96,7915300,0.0,0
2015-06-26,33.72,33.88,33.36,33.67,30.93,11074800,0.0,0
2015-06-29,33.34,33.63,32.47,32.48,29.84,14840400,0.0,0
2015-06-30,32.79,32.92,32.4,32.65,30.0,11046700,0.0,0
2015-07-01,32.93,33.16,32.71,32.9,30.23,6202300,0.0,0
2015-07-02,33.08,33.15,32.63,32.68,30.02,6735300,0.0,0
2015-07-06,32.37,32.74,32.2,32.5,29.86,6036800,0.0,0
2015-07-07,32.57,32.96,32.15,32.79,30.12,8526800,0.0,0
2015-07-08,32.45,32.57,31.72,31.79,29.21,6816000,0.0,0
2015-07-09,32.12,32.49,31.89,31.9,29.31,6876100,0.0,0
2015-07-10,32.32,32.38,31.97,32.13,29.52,6025800,0.0,0
2015-07-13,32.35,32.38,31.88,31.9,29.31,10270500,0.0,0
2015-07-14,31.91,32.32,31.88,32.07,29.46,12428400,0.0,0
2015-07-15,32.83,33.1,32.19,32.4,29.77,14437900,0.0,0
2015-07-16,32.75,32.76,32.07,32.17,29.55,6915000,0.0,0
2015-07-17,32.31,32.48,31.85,32.18,29.56,6642200,0.0,0
2015-07-20,32.29,32.46,31.96,32.0,29.4,6201400,0.0,0
2015-07-21,32.02,32.29,31.55,31.86,29.27,7728700,0.0,0
