Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,82.12,82.4,81.56,81.62,77.16,416200,0.0,0
2015-04-28,81.63,81.88,81.17,81.49,77.04,584800,0.0,0
2015-04-29,81.2,81.33,80.64,80.69,76.28,512200,0.0,0
2015-04-30,80.32,80.78,79.51,79.95,75.58,953600,0.0,0
2015-05-01,80.23,81.28,80.23,81.27,76.83,491300,0.0,0
2015-05-04,81.44,81.94,81.26,81.52,77.07,473900,0.0,0
2015-05-05,81.99,82.21,80.96,81.0,76.58,537600,0.0,0
2015-05-06,80.97,81.13,80.19,80.73,76.32,534300,0.0,0
2015-05-07,80.72,81.35,80.42,81.12,76.69,426600,0.0,0
2015-05-08,81.91,82.61,81.14,82.41,77.91,438300,0.0,0
2015-05-11,82.16,83.97,82.0,83.42,78.86,1242800,0.0,0
2015-05-12,83.1,83.45,82.15,82.47,77.97,834700,0.0,0
2015-05-13,82.85,84.44,82.61,84.15,79.55,957300,0.0,0
2015-05-14,84.61,85.18,84.2,85.12,80.47,544200,0.0,0
2015-05-15,85.09,85.68,84.92,85.45,80.78,419200,0.0,0
2015-05-18,85.24,86.52,85.19,86.32,81.61,528600,0.0,0
2015-05-19,86.59,86.74,86.17,86.22,81.51,558100,0.0,0
2015-05-20,86.16,86.67,86.03,86.31,81.6,548500,0.0,0
2015-05-21,86.24,86.56,86.07,86.24,81.53,442100,0.0,0
2015-05-22,85.56,86.44,84.58,86.01,81.31,389700,0.0,0
2015-05-26,85.91,86.28,85.29,85.81,81.12,479000,0.0,0
2015-05-27,85.8,86.29,85.57,86.16,81.45,455200,0.0,0
2015-05-28,86.24,86.38,86.03,86.28,81.57,393400,0.0,0
2015-05-29,86.38,86.83,86.08,86.09,81.39,681300,0.0,0
2015-06-01,86.39,86.68,85.82,86.35,81.63,495000,0.0,0
2015-06-02,85.81,86.3,85.77,85.95,81.26,682400,0.0,0
2015-06-03,86.28,86.44,86.1,86.21,81.5,731200,0.0,0
2015-06-04,86.15,86.44,85.23,85.33,80.67,566700,0.0,0
2015-06-05,85.17,85.5,84.71,85.46,80.79,362100,0.0,0
2015-06-08,85.39,85.76,85.1,85.19,80.54,475100,0.0,0
2015-06-09,85.29,85.66,84.98,85.51,80.84,268900,0.0,0
2015-06-10,85.97,86.67,85.38,86.38,81.66,295000,0.0,0
2015-06-11,86.71,86.77,86.35,86.44,81.72,429000,0.0,0
2015-06-12,85.89,86.22,85.06,86.05,81.35,276400,0.0,0
2015-06-15,85.25,85.53,83.87,84.36,79.75,913800,0.0,0
2015-06-16,84.45,85.55,84.45,85.3,80.64,360400,0.0,0
2015-06-17,85.5,85.78,85.03,85.57,80.9,297400,0.0,0
2015-06-18,85.95,86.73,85.95,86.47,81.75,409500,0.0,0
2015-06-19,86.4,87.06,86.1,86.8,82.06,1097100,0.0,0
2015-06-22,87.0,87.68,86.86,87.54,82.76,370000,0.0,0
2015-06-23,87.89,87.99,87.35,87.44,82.66,726700,0.0,0
2015-06-24,85.86,87.51,85.86,86.56,81.83,623800,0.0,0
2015-06-25,86.98,86.98,85.75,85.84,81.15,585300,0.0,0
2015-06-26,86.01,86.18,85.02,85.41,80.74,1378600,0.0,0
2015-06-29,85.01,85.47,84.18,84.25,79.65,446900,0.0,0
2015-06-30,84.82,85.24,84.54,84.59,79.97,459000,0.0,0
2015-07-01,85.26,85.42,84.96,85.33,80.67,500500,0.0,0
2015-07-02,85.67,85.76,84.69,85.21,80.56,383300,0.0,0
2015-07-06,84.6,85.38,84.6,85.1,80.45,333600,0.0,0
2015-07-07,85.29,85.48,83.91,84.74,80.11,755200,0.0,0
2015-07-08,84.26,84.69,83.58,83.74,79.17,633100,0.0,0
2015-07-09,84.71,84.93,84.0,84.16,79.56,411100,0.0,0
2015-07-10,85.2,85.4,84.52,85.05,80.4,453900,0.0,0
2015-07-13,85.85,86.09,85.19,86.02,81.32,345500,0.0,0
2015-07-14,86.11,86.48,85.67,86.28,81.57,225500,0.0,0
2015-07-15,86.24,86.4,85.86,86.08,81.38,497200,0.0,0
2015-07-16,86.67,87.29,86.37,86.78,82.04,913100,0.0,0
2015-07-17,86.5,86.51,84.63,85.55,80.88,1074700,0.0,0
2015-07-20,86.0,87.0,85.66,86.1,81.4,699200,0.0,0
2015-07-21,86.18,86.76,85.18,85.19,80.54,583900,0.0,0
2015-07-22,85.76,87.07,85.2,86.94,82.19,856700,0.0,0
2015-07-23,86.86,86.99,85.57,85.74,81.06,483600,0.0,0
2015-07-24,85.23,85.56,84.12,84.25,79.65,464000,0.0,0
2015-07-27,84.2,84.41,83.66,83.77,79.19,431600,0.0,0
2015-07-28,84.09,84.83,83.43,84.82,80.19,427400,0.0,0
2015-07-29,84.86,85.33,84.32,85.27,80.61,508400,0.0,0
2015-07-30,84.72,85.49,84.27,85.26,80.6,262500,0.0,0
2015-07-31,85.72,86.0,85.41,85.5,80.83,573000,0.0,0
2015-08-03,85.81,86.2,85.04,86.13,81.43,346700,0.0,0
2015-08-04,86.3,87.05,85.86,86.95,82.2,594700,0.0,0
2015-08-05,87.92,87.95,87.17,87.61,82.82,858400,0.0,0
2015-08-06,87.71,87.71,86.89,87.22,82.46,471500,0.0,0
2015-08-07,86.75,87.61,86.33,87.43,82.65,535500,0.0,0
2015-08-10,88.2,88.72,88.16,88.34,83.51,467400,0.0,0
2015-08-11,87.56,88.0,87.29,87.92,83.12,377100,0.0,0
2015-08-12,87.0,88.01,86.75,87.85,83.05,507400,0.0,0
2015-08-13,87.95,88.63,87.48,88.09,83.28,497400,0.0,0
2015-08-14,88.06,88.7,87.86,88.49,83.66,415600,0.0,0
2015-08-17,88.3,89.2,87.74,89.14,84.27,376500,0.0,0
2015-08-18,89.35,89.74,88.81,88.86,84.01,489900,0.0,0
2015-08-19,88.3,88.35,87.15,87.64,82.85,522300,0.0,0
2015-08-20,87.04,87.71,86.6,86.6,81.87,563700,0.0,0
2015-08-21,86.34,86.97,84.87,84.87,80.23,712000,0.0,0
2015-08-24,80.99,83.58,78.0,81.53,77.08,1174000,0.0,0
2015-08-25,83.32,83.53,81.12,81.23,76.79,1016900,0.0,0
2015-08-26,83.21,84.24,81.72,84.01,79.42,991500,0.0,0
2015-08-27,84.53,85.78,84.31,85.5,80.83,697500,0.0,0
2015-08-28,84.94,85.75,84.69,85.37,80.71,518700,0.0,0
2015-08-31,84.86,85.62,84.52,84.99,80.35,640400,0.0,0
2015-09-01,83.6,84.36,82.71,83.06,78.52,761100,0.0,0
2015-09-02,83.93,84.68,83.55,84.62,80.0,567800,0.0,0
2015-09-03,85.07,85.63,84.8,85.09,80.44,509900,0.0,0
2015-09-04,84.02,84.66,83.48,83.75,79.18,458900,0.0,0
2015-09-08,85.15,86.38,84.86,86.37,81.65,636500,0.0,0
2015-09-09,87.03,87.25,84.93,85.04,80.39,698200,0.0,0
2015-09-10,84.92,85.68,84.92,85.21,80.56,622200,0.0,0
2015-09-11,84.87,85.85,84.86,85.76,81.08,304800,0.0,0
2015-09-14,85.88,85.88,85.24,85.32,80.66,431000,0.0,0
2015-09-15,85.57,86.72,84.9,86.53,81.8,489500,0.0,0
2015-09-16,86.42,86.66,85.97,86.33,81.61,718700,0.0,0
2015-09-17,86.49,87.64,86.19,86.64,81.91,745200,0.0,0
2015-09-18,85.42,86.68,85.26,86.42,81.7,2424200,0.0,0
2015-09-21,86.98,87.6,86.45,87.32,82.55,715800,0.0,0
2015-09-22,86.24,86.6,85.47,86.01,81.31,790300,0.0,0
2015-09-23,86.3,86.81,85.66,86.58,81.85,518100,0.0,0
2015-09-24,85.88,86.92,85.03,86.15,81.44,751700,0.0,0
2015-09-25,86.93,89.73,86.38,88.4,83.57,1088400,0.0,0
2015-09-28,88.04,88.35,85.73,85.75,81.07,626200,0.0,0
2015-09-29,85.99,85.99,84.18,84.8,80.17,935200,0.0,0
2015-09-30,85.45,86.34,84.76,85.75,81.07,849000,0.0,0
2015-10-01,86.16,86.28,84.77,85.49,80.82,719500,0.0,0
2015-10-02,84.26,86.38,83.48,86.31,81.6,1086800,0.0,0
2015-10-05,87.27,88.14,86.68,87.6,82.82,692800,0.0,0
2015-10-06,87.19,88.0,85.46,85.74,81.06,797200,0.0,0
2015-10-07,86.39,87.47,85.96,87.34,82.57,624600,0.0,0
2015-10-08,87.35,89.48,86.66,89.27,84.39,782400,0.0,0
2015-10-09,89.61,90.41,88.99,89.82,84.91,560300,0.0,0
2015-10-12,90.06,91.37,89.73,91.04,86.07,649300,0.0,0
2015-10-13,88.91,92.37,88.91,91.46,86.46,951600,0.0,0
2015-10-14,92.11,92.56,90.53,90.68,85.73,681200,0.0,0
2015-10-15,91.43,93.12,91.43,93.09,88.01,817600,0.0,0
2015-10-16,93.29,93.5,92.11,92.55,87.49,457100,0.0,0
2015-10-19,92.48,92.97,92.15,92.67,87.61,362000,0.0,0
2015-10-20,92.4,93.25,92.4,92.77,87.7,442400,0.0,0
2015-10-21,93.4,93.49,91.2,91.34,86.35,492700,0.0,0
2015-10-22,91.99,92.73,91.54,92.37,87.32,506000,0.0,0
2015-10-23,93.11,93.67,91.86,93.5,88.39,381500,0.0,0
2015-10-26,93.57,94.04,93.25,93.53,88.42,443400,0.0,0
2015-10-27,93.25,93.59,92.13,92.66,87.6,515100,0.0,0
2015-10-28,93.24,94.35,92.12,92.98,87.9,545700,0.0,0
2015-10-29,92.98,93.54,92.07,92.34,87.3,581300,0.0,0
2015-10-30,92.5,93.4,92.32,93.09,88.01,963100,0.0,0
2015-11-02,93.59,94.04,93.11,93.4,88.3,584200,0.0,0
2015-11-03,93.65,93.72,92.26,92.47,87.42,711500,0.0,0
2015-11-04,92.72,92.95,91.01,91.49,87.49,731300,1.05,0
2015-11-05,91.48,92.35,90.59,90.81,86.84,671700,0.0,0
2015-11-06,90.85,91.44,90.52,90.88,86.9,584300,0.0,0
2015-11-09,90.74,91.01,89.96,90.75,86.78,495600,0.0,0
2015-11-10,90.53,91.58,89.57,91.31,87.31,538600,0.0,0
2015-11-11,91.86,92.0,91.18,91.57,87.56,612900,0.0,0
2015-11-12,91.31,91.62,90.14,90.18,86.23,411300,0.0,0
2015-11-13,90.25,90.74,89.35,89.51,85.59,455800,0.0,0
2015-11-16,88.87,89.5,88.3,89.45,85.54,805900,0.0,0
2015-11-17,89.39,90.12,89.03,89.57,85.65,863700,0.0,0
2015-11-18,89.91,91.55,89.82,91.37,87.37,713800,0.0,0
2015-11-19,91.47,92.44,90.75,90.76,86.79,945700,0.0,0
2015-11-20,91.21,91.64,90.97,91.31,87.31,1890600,0.0,0
2015-11-23,91.02,92.2,91.02,92.17,88.14,469900,0.0,0
2015-11-24,91.85,92.0,90.79,91.67,87.66,400200,0.0,0
2015-11-25,91.83,92.05,91.39,91.98,87.95,265700,0.0,0
2015-11-27,91.8,92.15,91.37,92.01,87.98,216800,0.0,0
2015-11-30,91.94,92.62,91.53,91.59,87.58,659600,0.0,0
2015-12-01,91.99,93.15,91.53,93.14,89.06,495300,0.0,0
2015-12-02,92.93,92.98,91.96,92.04,88.01,348600,0.0,0
2015-12-03,92.05,92.25,89.76,90.16,86.21,576700,0.0,0
2015-12-04,90.35,92.81,90.32,92.67,88.61,491300,0.0,0
2015-12-07,92.38,92.69,90.06,92.01,87.98,417200,0.0,0
2015-12-08,91.56,92.8,91.23,92.51,88.46,598200,0.0,0
2015-12-09,92.52,92.52,90.79,91.23,87.24,713800,0.0,0
2015-12-10,91.35,91.94,90.88,91.54,87.53,339500,0.0,0
2015-12-11,90.77,91.61,89.78,89.9,85.97,464600,0.0,0
2015-12-14,90.27,90.91,89.45,89.91,85.98,665900,0.0,0
2015-12-15,90.81,91.78,89.9,90.34,86.39,563500,0.0,0
2015-12-16,90.99,91.6,90.21,91.24,87.25,739100,0.0,0
