Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,36.55,36.57,36.05,36.29,22.85,3908300,0.0,0
2015-04-28,36.25,37.0,36.06,36.78,23.16,3517300,0.0,0
2015-04-29,36.58,36.62,36.09,36.31,22.86,2965300,0.0,0
2015-04-30,36.14,36.48,35.81,35.96,22.64,4176700,0.0,0
2015-05-01,36.16,36.23,35.89,36.14,22.75,2471700,0.0,0
2015-05-04,36.15,36.39,35.91,36.02,22.68,2612800,0.0,0
2015-05-05,36.03,36.14,35.41,35.51,22.36,3976100,0.0,0
2015-05-06,35.68,36.2,33.94,34.53,21.74,9387000,0.0,0
2015-05-07,34.55,34.99,34.22,34.65,21.82,3863300,0.0,0
2015-05-08,34.96,35.24,34.8,34.95,22.01,3481200,0.0,0
2015-05-11,34.89,34.95,34.25,34.4,21.66,4344500,0.0,0
2015-05-12,34.31,35.06,34.06,35.0,22.04,4783100,0.0,0
2015-05-13,34.91,35.13,34.22,34.35,21.63,5368100,0.0,0
2015-05-14,34.43,34.5,34.21,34.34,21.62,2715700,0.0,0
2015-05-15,34.4,34.6,34.35,34.5,21.72,2711900,0.0,0
2015-05-18,34.52,34.72,34.36,34.4,21.66,2817200,0.0,0
2015-05-19,34.38,34.42,33.75,33.96,21.38,5358600,0.0,0
2015-05-20,34.06,34.56,33.99,34.36,21.63,4611400,0.0,0
2015-05-21,34.43,34.48,34.1,34.25,21.56,4288400,0.0,0
2015-05-22,34.25,34.36,33.82,33.95,21.38,4925900,0.0,0
2015-05-26,33.91,34.0,33.5,33.6,21.16,4141900,0.0,0
2015-05-27,33.82,34.02,33.61,33.94,21.37,3260000,0.0,0
2015-05-28,33.85,34.07,33.82,34.06,21.44,3972300,0.0,0
2015-05-29,33.57,33.8,33.01,33.24,21.27,5442000,0.54,0
2015-06-01,33.24,33.37,32.85,32.87,21.03,4816600,0.0,0
2015-06-02,32.83,33.12,32.71,32.96,21.09,4601100,0.0,0
2015-06-03,32.9,33.16,32.78,32.99,21.11,4347200,0.0,0
