Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,59.92,60.14,59.13,59.51,57.44,4896000,0.0,0
2015-04-28,59.48,60.51,59.28,60.33,58.23,4053500,0.0,0
2015-04-29,60.07,60.55,59.5,59.92,57.84,2452300,0.0,0
2015-04-30,59.68,59.9,58.38,58.54,56.51,3858500,0.0,0
2015-05-01,58.65,59.21,58.35,59.14,57.09,4953400,0.0,0
2015-05-04,63.61,65.55,62.73,62.78,60.6,11019600,0.0,0
2015-05-05,62.87,63.11,60.92,61.0,58.88,5559200,0.0,0
2015-05-06,61.28,61.54,59.96,60.62,58.51,4678700,0.0,0
2015-05-07,60.49,61.7,60.22,61.31,59.18,3419300,0.0,0
2015-05-08,61.93,63.19,61.91,63.09,60.9,4688300,0.0,0
2015-05-11,63.19,63.71,62.64,62.68,60.5,3133900,0.0,0
2015-05-12,62.39,62.66,61.67,62.13,59.97,2534900,0.0,0
2015-05-13,62.2,62.79,61.61,61.85,59.7,2470400,0.0,0
2015-05-14,62.19,63.92,62.02,63.82,61.6,3823100,0.0,0
2015-05-15,64.03,64.03,63.01,63.57,61.36,2566400,0.0,0
2015-05-18,63.23,64.99,63.23,64.74,62.49,3909500,0.0,0
2015-05-19,64.93,65.55,64.76,65.03,62.77,3238900,0.0,0
2015-05-20,65.04,65.58,64.65,65.0,62.74,2030700,0.0,0
2015-05-21,64.74,65.26,64.68,64.97,62.71,1964400,0.0,0
2015-05-22,64.7,65.23,64.7,64.81,62.56,2179400,0.0,0
2015-05-26,64.59,64.66,63.57,63.82,61.6,2174300,0.0,0
2015-05-27,63.92,64.75,63.61,64.68,62.43,1600800,0.0,0
2015-05-28,64.51,64.93,64.14,64.84,62.59,1898900,0.0,0
2015-05-29,64.75,65.17,64.25,64.72,62.47,2619000,0.0,0
2015-06-01,65.05,65.48,64.44,65.4,63.13,2733800,0.0,0
2015-06-02,64.98,65.96,64.98,65.6,63.32,2886700,0.0,0
2015-06-03,65.73,65.88,65.18,65.7,63.42,2704900,0.0,0
2015-06-04,65.2,65.66,64.26,64.47,62.23,2436400,0.0,0
2015-06-05,64.23,64.82,63.64,64.6,62.36,2144400,0.0,0
2015-06-08,64.59,64.59,63.56,63.59,61.38,1790300,0.0,0
2015-06-09,63.62,63.88,62.63,63.71,61.5,2150500,0.0,0
2015-06-10,63.87,65.37,63.81,64.85,62.6,2838900,0.0,0
2015-06-11,65.16,65.16,64.25,64.51,62.27,3881700,0.0,0
2015-06-12,64.12,64.38,63.6,63.61,61.4,2451500,0.0,0
2015-06-15,63.16,63.19,62.55,62.98,60.79,3760600,0.0,0
2015-06-16,61.68,62.97,61.62,62.72,60.54,4012800,0.0,0
2015-06-17,63.09,63.13,61.61,62.08,59.92,5065500,0.0,0
2015-06-18,62.37,63.61,62.37,63.25,61.05,3041000,0.0,0
2015-06-19,63.19,63.48,62.47,62.49,60.32,3822100,0.0,0
2015-06-22,62.95,63.3,62.54,63.2,61.0,2439100,0.0,0
2015-06-23,63.21,63.47,62.89,63.29,61.09,1904800,0.0,0
2015-06-24,63.23,63.72,62.99,63.02,60.83,3025900,0.0,0
2015-06-25,63.35,63.95,63.06,63.7,61.49,2455500,0.0,0
2015-06-26,63.64,64.26,63.45,63.83,61.61,2810400,0.0,0
2015-06-29,63.1,63.13,61.06,61.18,59.05,2680700,0.0,0
2015-06-30,61.78,61.79,60.78,61.09,58.97,2900000,0.0,0
2015-07-01,61.79,62.33,61.53,62.12,59.96,2438400,0.0,0
2015-07-02,61.89,62.23,57.69,60.53,58.43,11140100,0.0,0
2015-07-06,59.42,61.24,59.42,59.96,57.88,4723900,0.0,0
2015-07-07,59.95,60.47,59.08,60.3,58.2,4170200,0.0,0
2015-07-08,60.1,60.19,58.9,59.03,56.98,2527000,0.0,0
2015-07-09,59.9,60.11,59.41,59.49,57.42,3065400,0.0,0
