Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,102.0,102.53,101.19,101.22,89.16,5425500,0.0,0
2015-04-28,101.2,102.11,100.74,101.97,89.82,4087700,0.0,0
2015-04-29,101.67,101.95,100.19,100.67,88.67,6140400,0.0,0
2015-04-30,100.42,101.05,99.01,99.29,87.46,7990100,0.0,0
2015-05-01,100.93,101.18,97.87,100.46,88.49,6699100,0.0,0
2015-05-04,100.57,101.32,100.01,100.16,88.22,3318800,0.0,0
2015-05-05,100.11,100.27,98.19,98.74,86.97,4556500,0.0,0
2015-05-06,98.82,99.15,98.23,98.87,87.09,3648400,0.0,0
2015-05-07,98.97,99.54,98.5,99.36,87.52,3822900,0.0,0
2015-05-08,99.85,101.1,99.85,100.66,88.67,4350700,0.0,0
2015-05-11,100.51,101.31,100.34,100.49,88.52,3129000,0.0,0
2015-05-12,100.02,100.76,99.77,100.24,88.3,4019500,0.0,0
2015-05-13,100.46,100.74,99.47,99.81,87.92,3913200,0.0,0
2015-05-14,100.4,102.0,100.32,101.96,89.81,4289400,0.0,0
2015-05-15,102.06,102.14,101.39,102.07,89.91,3788700,0.0,0
2015-05-18,101.78,102.81,101.7,102.44,90.23,2599700,0.0,0
2015-05-19,102.65,102.88,101.95,102.32,90.13,2969500,0.0,0
2015-05-20,102.32,102.32,101.24,101.27,89.2,3800400,0.0,0
2015-05-21,101.27,104.93,101.1,103.69,91.33,7691600,0.0,0
2015-05-22,103.9,104.42,103.37,103.95,91.56,3671400,0.0,0
2015-05-26,103.97,104.32,102.53,102.85,90.59,3692500,0.0,0
2015-05-27,103.11,103.86,103.04,103.48,91.15,3537700,0.0,0
2015-05-28,103.52,103.72,102.4,103.19,90.89,2599900,0.0,0
2015-05-29,103.15,103.21,101.82,102.38,90.18,4961500,0.0,0
2015-06-01,102.9,103.06,102.09,102.51,90.29,3292000,0.0,0
2015-06-02,102.05,102.25,101.2,101.83,89.7,3002400,0.0,0
2015-06-03,102.4,102.6,101.79,101.91,89.77,2780300,0.0,0
2015-06-04,101.2,101.96,100.28,100.87,88.85,3896100,0.0,0
2015-06-05,100.62,100.76,99.81,99.95,88.04,3536400,0.0,0
2015-06-08,99.82,99.99,99.17,99.41,87.56,3161400,0.0,0
2015-06-09,99.41,100.45,99.14,99.98,88.07,3299700,0.0,0
2015-06-10,100.5,102.38,100.4,102.13,89.96,3909200,0.0,0
2015-06-11,102.52,103.37,102.36,102.63,90.4,3361300,0.0,0
2015-06-12,102.26,102.82,101.68,102.22,90.04,2930900,0.0,0
2015-06-15,102.87,103.35,101.86,102.58,90.36,5501500,0.0,0
2015-06-16,102.61,103.28,102.28,103.17,90.88,4010100,0.0,0
2015-06-17,103.62,104.16,103.19,103.82,91.45,3101900,0.0,0
2015-06-18,104.07,106.0,104.04,105.06,92.54,4827100,0.0,0
2015-06-19,105.47,106.08,104.78,105.47,92.9,5664400,0.0,0
2015-06-22,105.93,106.5,105.72,106.14,93.49,3515700,0.0,0
2015-06-23,106.44,106.68,105.81,106.47,93.78,3787300,0.0,0
2015-06-24,106.2,106.88,104.98,105.33,92.78,4655100,0.0,0
2015-06-25,105.51,106.11,104.37,105.01,92.5,5300400,0.0,0
2015-06-26,105.36,105.88,104.82,105.84,93.23,15550100,0.0,0
2015-06-29,104.98,105.82,104.76,104.81,92.32,4671900,0.0,0
2015-06-30,105.44,105.7,104.73,104.88,92.38,4251300,0.0,0
2015-07-01,105.75,105.88,104.86,105.71,93.11,3909500,0.0,0
2015-07-02,105.83,106.22,105.36,105.55,92.97,2509700,0.0,0
2015-07-06,103.88,105.77,103.63,104.81,92.32,4041100,0.0,0
2015-07-07,105.1,106.43,104.07,106.38,93.7,4782300,0.0,0
2015-07-08,105.37,105.93,104.18,104.19,91.77,4825900,0.0,0
2015-07-09,106.01,106.39,105.59,105.7,93.1,5564500,0.0,0
2015-07-10,106.85,107.75,106.64,107.44,94.64,4486600,0.0,0
2015-07-13,108.5,109.16,107.82,109.16,96.15,3720100,0.0,0
2015-07-14,109.2,109.96,108.8,109.82,96.73,3756800,0.0,0
2015-07-15,109.53,110.26,109.21,109.9,96.8,4286800,0.0,0
2015-07-16,110.43,110.7,110.04,110.54,97.37,2937300,0.0,0
2015-07-17,110.54,110.54,109.49,110.14,97.02,3004400,0.0,0
2015-07-20,110.14,111.15,109.64,110.98,97.76,2579300,0.0,0
2015-07-21,110.7,110.94,109.57,110.06,97.25,2561400,0.35,0
2015-07-22,110.11,111.07,110.01,110.98,98.06,3130300,0.0,0
2015-07-23,111.25,111.64,109.99,110.19,97.37,2957600,0.0,0
2015-07-24,110.5,111.27,109.9,110.49,97.63,3255600,0.0,0
2015-07-27,109.69,110.04,108.76,109.77,97.0,3979300,0.0,0
2015-07-28,110.32,111.91,110.06,111.64,98.65,4085500,0.0,0
2015-07-29,111.67,113.65,111.65,113.45,100.25,4685500,0.0,0
2015-07-30,112.69,113.15,112.25,112.94,99.8,3920700,0.0,0
2015-07-31,113.35,113.5,112.45,112.47,99.38,4730100,0.0,0
2015-08-03,113.17,113.58,112.05,112.82,99.69,4774600,0.0,0
2015-08-04,110.74,111.3,106.56,109.96,97.16,9542400,0.0,0
2015-08-05,110.5,111.56,110.27,111.2,98.26,4307500,0.0,0
2015-08-06,111.41,111.75,108.09,108.12,95.54,6783300,0.0,0
2015-08-07,108.12,108.28,107.14,107.74,95.2,4548000,0.0,0
2015-08-10,108.66,109.35,108.28,108.62,95.98,3335700,0.0,0
2015-08-11,108.07,109.18,107.43,108.08,95.5,2905300,0.0,0
2015-08-12,107.59,108.5,106.76,108.32,95.71,3913800,0.0,0
2015-08-13,108.78,108.87,107.33,107.67,95.14,3565200,0.0,0
2015-08-14,107.77,108.11,107.32,107.67,95.14,2087000,0.0,0
2015-08-17,107.07,108.82,106.99,108.74,96.09,3405500,0.0,0
2015-08-18,108.34,108.85,107.9,108.46,95.84,3032900,0.0,0
2015-08-19,108.07,108.25,106.6,106.76,94.34,4685800,0.0,0
2015-08-20,106.4,107.55,106.02,106.02,93.68,4754800,0.0,0
2015-08-21,104.99,105.23,101.05,102.21,90.32,8199200,0.0,0
2015-08-24,96.29,104.21,81.37,100.21,88.55,13610400,0.0,0
2015-08-25,104.14,104.41,99.93,100.0,88.36,8518200,0.0,0
2015-08-26,103.38,103.54,100.84,102.87,90.9,8957800,0.0,0
2015-08-27,104.43,105.54,103.05,105.2,92.96,6216200,0.0,0
2015-08-28,105.39,105.47,103.38,104.18,92.06,5082700,0.0,0
2015-08-31,104.33,104.35,102.04,102.4,90.48,5010200,0.0,0
2015-09-01,100.64,101.39,99.8,100.27,88.6,6787400,0.0,0
2015-09-02,101.48,102.06,99.86,101.11,89.34,5809500,0.0,0
2015-09-03,101.81,102.83,101.19,101.59,89.77,3963300,0.0,0
2015-09-04,100.24,100.86,99.63,100.12,88.47,4361500,0.0,0
2015-09-08,101.97,102.19,100.67,102.14,90.25,4641800,0.0,0
2015-09-09,103.14,103.59,100.01,100.23,88.57,3886700,0.0,0
2015-09-10,99.98,101.7,99.58,100.8,89.07,4151000,0.0,0
2015-09-11,100.57,101.54,100.21,101.52,89.71,3381000,0.0,0
2015-09-14,101.54,101.69,100.02,100.16,88.5,3614100,0.0,0
2015-09-15,100.8,102.09,100.11,101.6,89.78,3545900,0.0,0
2015-09-16,101.57,101.99,100.75,101.54,89.72,3471600,0.0,0
2015-09-17,101.58,102.63,100.37,101.34,89.55,4437500,0.0,0
2015-09-18,99.71,100.92,98.82,99.03,87.51,8916800,0.0,0
2015-09-21,99.77,101.09,99.5,100.91,89.17,3889100,0.0,0
2015-09-22,99.69,100.25,99.17,100.03,88.39,3546700,0.0,0
2015-09-23,100.13,100.88,99.46,100.63,88.92,4033600,0.0,0
2015-09-24,99.5,100.49,98.6,99.17,87.63,4894800,0.0,0
2015-09-25,99.79,99.86,98.23,98.61,87.13,4938400,0.0,0
2015-09-28,98.3,98.45,96.02,96.35,85.14,5897000,0.0,0
2015-09-29,96.35,97.32,94.54,95.12,84.05,6944200,0.0,0
2015-09-30,96.33,96.89,95.58,96.48,85.25,5904400,0.0,0
2015-10-01,96.49,97.1,95.03,96.91,85.63,6385200,0.0,0
2015-10-02,95.58,99.0,95.52,98.96,87.44,5549000,0.0,0
2015-10-05,99.86,102.25,99.76,101.97,90.1,6942400,0.0,0
2015-10-06,102.1,102.15,99.64,99.82,88.2,4985500,0.0,0
2015-10-07,100.57,101.37,99.98,101.01,89.25,4393200,0.0,0
2015-10-08,101.01,102.5,100.5,102.17,90.28,5140000,0.0,0
2015-10-09,102.01,102.52,101.52,102.0,90.13,4410300,0.0,0
2015-10-12,102.2,103.52,102.02,103.07,91.08,3443300,0.0,0
2015-10-13,102.82,103.78,101.8,102.05,90.17,4123700,0.0,0
2015-10-14,102.2,102.72,100.02,100.45,88.76,4186000,0.0,0
2015-10-15,100.99,102.49,100.25,102.41,90.49,3729400,0.0,0
2015-10-16,103.0,103.82,102.29,103.38,91.35,3844200,0.0,0
2015-10-19,102.88,103.59,102.5,103.51,91.46,3129900,0.0,0
2015-10-20,103.33,104.4,103.16,103.6,91.85,4620200,0.35,0
2015-10-21,103.97,104.57,102.89,103.29,91.58,3670900,0.0,0
2015-10-22,104.02,104.52,103.29,104.29,92.47,6172200,0.0,0
2015-10-23,104.97,104.97,102.58,103.95,92.16,5838800,0.0,0
2015-10-26,103.99,104.34,103.03,103.47,91.74,4986400,0.0,0
2015-10-27,103.22,106.0,103.05,105.29,93.35,6893700,0.0,0
2015-10-28,105.12,105.49,102.52,103.81,92.04,6465800,0.0,0
2015-10-29,104.32,104.74,103.56,103.8,92.03,6799100,0.0,0
2015-10-30,103.8,103.8,96.4,98.78,87.58,23729900,0.0,0
2015-11-02,99.45,100.38,98.2,100.38,89.0,7290500,0.0,0
2015-11-03,99.65,100.36,99.22,99.89,88.56,4303500,0.0,0
2015-11-04,100.42,101.08,98.36,99.57,88.28,7584900,0.0,0
2015-11-05,99.8,100.34,98.89,99.54,88.25,4105000,0.0,0
2015-11-06,99.16,99.59,98.28,98.7,87.51,4166700,0.0,0
2015-11-09,98.27,98.35,96.99,97.99,86.88,4013600,0.0,0
2015-11-10,97.91,98.29,97.58,97.84,86.75,4400100,0.0,0
2015-11-11,98.0,98.11,94.64,94.85,84.1,7996700,0.0,0
2015-11-12,94.21,94.6,92.76,93.12,82.56,8111500,0.0,0
2015-11-13,92.55,92.87,91.47,91.81,81.4,7508600,0.0,0
2015-11-16,91.87,93.64,91.82,93.62,83.01,5355600,0.0,0
2015-11-17,93.75,94.95,93.22,93.79,83.16,4705700,0.0,0
2015-11-18,93.85,95.36,93.81,95.19,84.4,4932000,0.0,0
2015-11-19,95.2,95.39,92.13,92.49,82.0,6399000,0.0,0
2015-11-20,93.12,93.19,91.79,91.93,81.51,6925000,0.0,0
2015-11-23,91.94,92.11,90.1,91.56,81.18,5968000,0.0,0
2015-11-24,91.19,92.58,90.83,92.25,81.79,4474400,0.0,0
2015-11-25,92.52,94.45,92.48,93.9,83.25,5013800,0.0,0
2015-11-27,94.19,95.05,94.01,94.63,83.9,2688000,0.0,0
2015-11-30,94.56,95.96,94.0,94.09,83.42,5722100,0.0,0
2015-12-01,94.67,95.57,94.13,95.45,84.63,6695600,0.0,0
2015-12-02,94.95,95.55,94.4,94.5,83.79,5505500,0.0,0
2015-12-03,94.62,95.19,92.64,92.85,82.32,6014000,0.0,0
2015-12-04,93.28,95.66,93.19,95.46,84.64,5170800,0.0,0
2015-12-07,95.8,96.49,95.49,96.34,85.42,5330400,0.0,0
2015-12-08,95.86,96.4,94.91,95.66,84.81,4645000,0.0,0
2015-12-09,94.98,96.45,94.11,94.98,84.21,5400100,0.0,0
2015-12-10,94.91,95.55,94.42,94.74,84.0,3513500,0.0,0
2015-12-11,94.74,94.74,92.54,93.24,82.67,6095900,0.0,0
2015-12-14,93.42,94.23,92.37,94.11,83.44,5827600,0.0,0
2015-12-15,94.97,95.45,92.49,92.59,82.09,8631500,0.0,0
2015-12-16,94.15,97.81,93.46,97.56,86.5,10374000,0.0,0
2015-12-17,97.22,97.38,94.71,94.71,83.97,6977600,0.0,0
2015-12-18,94.1,95.5,93.53,94.86,84.1,9128500,0.0,0
2015-12-21,95.27,96.33,95.05,95.95,85.07,3689800,0.0,0
2015-12-22,96.83,98.56,96.32,98.27,87.13,6232600,0.0,0
2015-12-23,98.61,99.09,98.07,98.51,87.34,3796500,0.0,0
2015-12-24,98.45,99.26,98.31,98.86,87.65,1793000,0.0,0
2015-12-28,98.41,98.98,98.13,98.42,87.26,2710800,0.0,0
2015-12-29,98.9,99.52,98.51,99.36,88.09,2819600,0.0,0
2015-12-30,99.36,99.6,98.71,98.74,87.55,2500700,0.0,0
2015-12-31,98.62,98.72,97.75,97.77,86.69,3442400,0.0,0
2016-01-04,96.17,96.57,95.37,96.46,85.52,5911000,0.0,0
2016-01-05,96.39,97.15,95.9,96.74,85.77,5414800,0.0,0
2016-01-06,95.53,96.46,95.07,95.56,84.73,5901400,0.0,0
2016-01-07,94.5,95.69,93.92,94.18,83.5,6309700,0.0,0
2016-01-08,94.59,96.0,93.28,93.56,82.95,5634400,0.0,0
2016-01-11,93.83,95.3,93.59,94.92,84.16,6243400,0.0,0
2016-01-12,95.64,96.19,94.69,95.69,84.84,5333500,0.0,0
2016-01-13,95.84,96.63,93.95,94.11,83.44,6270900,0.0,0
2016-01-14,94.11,96.34,94.11,95.51,84.68,4986800,0.0,0
2016-01-15,93.51,95.11,92.95,93.9,83.25,7556600,0.0,0
2016-01-19,94.87,95.56,94.34,95.06,84.28,6258600,0.0,0
2016-01-20,93.36,95.0,92.35,94.12,83.82,7107700,0.425,0
2016-01-21,94.55,95.31,93.51,94.48,84.14,4845700,0.0,0
2016-01-22,95.8,96.09,94.38,95.64,85.18,4376900,0.0,0
2016-01-25,95.56,95.8,93.99,94.07,83.78,5734900,0.0,0
2016-01-26,94.13,94.51,93.42,94.04,83.75,4529000,0.0,0
2016-01-27,94.13,95.31,93.48,94.34,84.02,3905600,0.0,0
2016-01-28,95.27,95.27,93.08,93.49,83.26,4074700,0.0,0
