Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,110.34,110.74,109.54,109.7,89.24,4858700,0.0,0
2015-04-28,110.05,111.24,109.65,111.12,90.4,5321600,0.0,0
2015-04-29,110.82,111.99,110.68,111.73,90.89,5665800,0.0,0
2015-04-30,112.04,112.2,110.44,111.06,90.35,6666800,0.0,0
2015-05-01,110.28,110.8,108.34,109.04,88.7,10362700,0.0,0
2015-05-04,109.38,109.41,107.99,108.32,88.12,7660100,0.0,0
2015-05-05,109.24,109.93,108.0,108.0,87.86,6463300,0.0,0
2015-05-06,109.24,109.53,107.3,107.95,87.82,5820400,0.0,0
2015-05-07,107.69,108.2,106.69,107.57,87.51,5798300,0.0,0
2015-05-08,108.29,108.8,107.4,108.65,88.39,7078900,0.0,0
2015-05-11,108.65,108.69,107.3,107.36,87.34,6003600,0.0,0
2015-05-12,107.44,108.0,107.1,107.56,87.5,5026500,0.0,0
2015-05-13,107.98,108.47,107.3,107.7,87.61,5517600,0.0,0
2015-05-14,108.02,109.3,108.02,108.45,88.22,9751700,0.0,0
2015-05-15,107.21,108.33,106.94,108.03,88.76,5641600,1.07,0
2015-05-18,107.5,107.51,106.58,106.65,87.62,6390600,0.0,0
2015-05-19,106.05,106.31,105.0,105.02,86.29,7927600,0.0,0
2015-05-20,105.42,105.9,104.76,105.25,86.47,6521200,0.0,0
2015-05-21,105.97,106.27,105.3,105.49,86.67,6549300,0.0,0
2015-05-22,105.09,105.55,104.86,104.89,86.18,4717200,0.0,0
2015-05-26,104.22,104.44,102.93,103.29,84.86,8010200,0.0,0
2015-05-27,103.2,103.78,102.73,103.11,84.72,5857500,0.0,0
2015-05-28,102.96,103.42,102.38,103.24,84.82,5099900,0.0,0
2015-05-29,103.14,103.57,102.67,103.0,84.63,6673400,0.0,0
2015-06-01,103.47,103.75,102.49,102.63,84.32,5412400,0.0,0
2015-06-02,102.65,103.11,102.11,102.58,84.28,5040000,0.0,0
2015-06-03,102.4,103.38,102.12,102.17,83.94,5175700,0.0,0
2015-06-04,101.89,102.37,100.98,101.39,83.3,6896400,0.0,0
2015-06-05,101.18,103.1,100.99,101.59,83.47,6080900,0.0,0
2015-06-08,101.29,101.39,99.95,100.42,82.51,8213900,0.0,0
2015-06-09,100.7,101.25,100.22,100.42,82.51,7157000,0.0,0
2015-06-10,102.52,102.58,101.52,101.83,83.66,7588400,0.0,0
2015-06-11,101.87,102.2,100.94,101.12,83.08,5582900,0.0,0
2015-06-12,100.52,100.69,99.63,99.87,82.05,6475500,0.0,0
2015-06-15,99.45,100.06,99.13,99.29,81.58,6178100,0.0,0
2015-06-16,99.2,100.45,98.81,100.04,82.19,8763700,0.0,0
2015-06-17,100.83,101.17,99.52,99.76,81.96,8231100,0.0,0
2015-06-18,100.26,100.9,100.15,100.25,82.37,7168000,0.0,0
2015-06-19,99.72,100.17,99.46,99.47,81.73,10512000,0.0,0
2015-06-22,99.83,100.37,99.37,100.29,82.4,6416100,0.0,0
2015-06-23,99.96,100.43,99.54,100.09,82.24,5697900,0.0,0
2015-06-24,99.98,100.68,99.27,99.27,81.56,7451900,0.0,0
2015-06-25,99.45,99.66,98.29,98.34,80.8,6062800,0.0,0
2015-06-26,98.24,98.69,97.81,98.6,81.01,10015500,0.0,0
2015-06-29,97.5,97.96,96.6,96.69,79.44,8764600,0.0,0
2015-06-30,97.45,97.66,96.22,96.47,79.26,9925400,0.0,0
2015-07-01,96.3,96.62,95.55,96.09,78.95,7295300,0.0,0
2015-07-02,96.36,96.67,95.72,95.87,78.77,6419100,0.0,0
