Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,126.95,127.03,124.02,125.04,123.95,824800,0.0,0
2015-04-28,125.45,126.24,123.5,126.01,124.91,868900,0.0,0
2015-04-29,125.86,128.55,124.3,128.31,127.19,1157500,0.0,0
2015-04-30,128.4,128.82,124.6,126.66,125.55,889100,0.0,0
2015-05-01,125.83,127.35,124.14,124.6,123.51,893500,0.0,0
2015-05-04,125.27,127.0,122.61,126.74,125.63,2217200,0.0,0
2015-05-05,134.07,134.13,119.71,121.04,119.98,3786800,0.0,0
2015-05-06,123.0,123.6,119.11,120.1,119.05,1808400,0.0,0
2015-05-07,120.27,120.31,115.41,117.12,116.1,1658700,0.0,0
2015-05-08,117.93,118.95,115.34,118.3,117.27,1124500,0.0,0
2015-05-11,119.53,119.64,114.3,115.35,114.34,1119800,0.0,0
2015-05-12,115.71,119.68,115.48,119.59,118.55,1066800,0.0,0
2015-05-13,120.36,120.61,116.99,118.07,117.04,888900,0.0,0
2015-05-14,118.53,118.53,113.64,114.15,113.15,1618400,0.0,0
2015-05-15,113.0,117.03,111.78,115.84,114.83,1059400,0.0,0
2015-05-18,116.33,119.07,115.02,118.66,117.62,1101400,0.0,0
2015-05-19,117.21,117.85,115.2,116.61,115.59,865800,0.0,0
2015-05-20,117.34,119.25,114.91,118.9,117.86,1130100,0.0,0
2015-05-21,119.73,122.09,119.27,122.03,120.97,1029900,0.0,0
2015-05-22,120.52,122.79,120.01,121.49,120.43,790900,0.0,0
2015-05-26,119.28,120.71,118.0,119.45,118.41,743000,0.0,0
2015-05-27,119.47,120.33,117.66,118.52,117.49,806600,0.0,0
2015-05-28,117.58,118.54,114.88,117.31,116.29,759300,0.0,0
2015-05-29,118.11,121.28,117.37,120.3,119.25,1627300,0.0,0
2015-06-01,120.86,120.99,119.62,120.26,119.21,915000,0.0,0
2015-06-02,121.18,124.32,121.18,122.25,121.18,1187200,0.0,0
2015-06-03,121.95,123.82,119.58,119.59,118.55,903500,0.0,0
2015-06-04,118.25,119.29,117.8,118.04,117.01,1058900,0.0,0
2015-06-05,117.07,120.85,117.07,118.16,117.13,1450100,0.0,0
2015-06-08,117.66,120.56,116.72,120.23,119.18,1456200,0.0,0
2015-06-09,121.77,124.31,121.52,122.55,121.48,1269300,0.0,0
2015-06-10,124.69,126.11,123.65,125.67,124.57,1128300,0.0,0
2015-06-11,126.08,126.3,123.55,124.4,123.31,992400,0.0,0
2015-06-12,123.71,124.31,122.75,123.95,122.87,999000,0.0,0
2015-06-15,122.75,124.72,122.36,124.09,123.01,1414200,0.0,0
2015-06-16,123.6,125.6,123.6,125.0,123.91,498600,0.0,0
2015-06-17,127.39,127.48,123.09,124.17,123.09,802700,0.0,0
2015-06-18,124.5,125.55,123.35,123.92,122.84,813200,0.0,0
2015-06-19,123.58,124.44,122.7,123.7,122.62,1119400,0.0,0
2015-06-22,124.2,126.26,122.91,125.48,124.38,1182300,0.0,0
2015-06-23,125.39,125.86,123.47,124.74,123.65,1032900,0.0,0
2015-06-24,124.01,125.48,119.77,120.9,119.84,1522000,0.0,0
2015-06-25,120.85,121.62,116.76,117.07,116.05,2521700,0.0,0
2015-06-26,116.43,116.52,112.13,112.59,111.61,5329400,0.0,0
2015-06-29,111.29,113.95,110.44,111.97,110.99,2035900,0.0,0
2015-06-30,113.29,114.43,112.2,113.86,112.87,1615800,0.0,0
2015-07-01,113.9,115.13,111.55,111.61,110.64,2146700,0.0,0
2015-07-02,112.03,113.23,111.72,112.37,111.39,1142000,0.0,0
2015-07-06,110.09,111.36,107.26,107.39,106.45,1628900,0.0,0
2015-07-07,107.5,109.58,103.97,109.49,108.53,3047400,0.0,0
2015-07-08,108.72,109.57,106.77,106.85,105.92,1669900,0.0,0
2015-07-09,107.94,111.21,107.94,109.73,108.77,906800,0.0,0
2015-07-10,110.99,111.7,108.0,108.44,107.49,904200,0.0,0
2015-07-13,108.5,110.36,107.5,110.17,109.21,1131800,0.0,0
2015-07-14,109.52,112.2,109.1,111.25,110.28,1364600,0.0,0
2015-07-15,110.28,111.46,107.0,108.1,107.16,1100000,0.0,0
2015-07-16,109.08,109.42,106.83,107.51,106.57,1105700,0.0,0
2015-07-17,107.27,107.56,104.82,105.04,104.12,1309000,0.0,0
2015-07-20,104.83,105.56,101.84,102.65,101.75,2343200,0.0,0
2015-07-21,103.52,106.52,103.52,104.18,103.27,1237200,0.0,0
2015-07-22,104.44,105.7,102.94,105.41,104.49,1780900,0.0,0
2015-07-23,105.71,106.92,104.2,105.62,104.7,1913000,0.0,0
2015-07-24,105.43,106.02,102.57,103.01,102.11,1738700,0.0,0
2015-07-27,101.15,101.77,98.03,99.19,98.32,2344600,0.0,0
2015-07-28,99.97,102.45,98.91,102.19,101.3,2390200,0.0,0
2015-07-29,101.99,107.43,101.33,106.78,105.85,2506300,0.0,0
2015-07-30,107.46,112.59,107.16,108.45,107.5,3876200,0.0,0
2015-07-31,107.55,108.4,106.37,106.56,105.63,1731300,0.0,0
2015-08-03,105.37,108.19,103.89,104.5,103.59,1945500,0.0,0
2015-08-04,105.63,107.29,104.45,105.15,104.23,1689500,0.0,0
2015-08-05,106.59,108.3,105.42,105.95,105.03,1630800,0.0,0
2015-08-06,105.03,109.54,104.03,108.96,108.01,2909500,0.0,0
2015-08-07,108.5,111.59,106.66,107.32,106.38,1735800,0.0,0
2015-08-10,107.89,111.87,106.93,111.76,110.78,1149600,0.0,0
2015-08-11,109.86,112.2,107.95,111.93,110.95,1499400,0.0,0
2015-08-12,111.43,114.15,110.03,114.09,113.09,1549400,0.0,0
2015-08-13,112.78,113.44,109.67,109.97,109.01,1335600,0.0,0
2015-08-14,109.82,111.65,109.28,110.13,109.17,759300,0.0,0
2015-08-17,109.49,110.32,108.6,109.78,108.82,708000,0.0,0
2015-08-18,109.18,110.7,108.47,110.57,109.61,926700,0.0,0
2015-08-19,109.76,110.97,105.07,105.59,104.67,2112900,0.0,0
2015-08-20,105.75,106.26,103.65,104.15,103.24,2332000,0.0,0
2015-08-21,103.74,104.62,100.23,100.77,99.89,2259900,0.0,0
2015-08-24,94.96,99.16,93.31,95.38,94.55,2788600,0.0,0
2015-08-25,98.69,99.34,92.41,92.53,91.72,1962800,0.0,0
2015-08-26,94.93,95.38,93.27,95.09,94.26,1853800,0.0,0
2015-08-27,97.99,103.54,97.84,102.99,102.09,2212200,0.0,0
2015-08-28,102.41,108.44,102.41,105.83,104.91,2073100,0.0,0
2015-08-31,104.5,109.23,102.13,108.16,107.22,1752300,0.0,0
2015-09-01,104.89,107.95,102.38,103.16,102.26,1431600,0.0,0
2015-09-02,104.88,105.61,100.85,105.57,104.65,1230300,0.0,0
2015-09-03,106.65,109.36,104.85,106.42,105.49,1385600,0.0,0
2015-09-04,104.64,105.57,103.1,104.47,103.56,949300,0.0,0
2015-09-08,105.06,107.26,103.14,106.92,105.99,1448500,0.0,0
2015-09-09,108.01,108.69,101.42,101.58,100.69,1533900,0.0,0
2015-09-10,102.14,103.22,100.11,102.01,101.12,1560700,0.0,0
