Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,47.04,47.1,46.33,46.45,41.9,10000200,0.0,0
2015-04-28,46.29,46.45,45.16,46.2,41.67,8684600,0.0,0
2015-04-29,45.84,46.0,44.26,45.03,40.62,11460600,0.0,0
2015-04-30,44.76,45.72,44.36,44.64,40.26,9256600,0.0,0
2015-05-01,44.81,46.03,44.68,45.66,41.18,11469900,0.0,0
2015-05-04,45.91,46.5,45.12,45.29,40.85,9653100,0.0,0
2015-05-05,44.38,45.0,43.88,43.9,39.6,11350400,0.0,0
2015-05-06,43.54,44.26,42.84,44.06,39.82,12783300,0.09,0
2015-05-07,44.27,45.97,44.27,45.36,41.0,15678600,0.0,0
2015-05-08,45.6,46.43,45.6,46.17,41.73,9936500,0.0,0
2015-05-11,46.04,47.34,45.9,46.81,42.31,12461400,0.0,0
2015-05-12,46.32,46.4,45.95,46.1,41.67,7549200,0.0,0
2015-05-13,47.39,47.98,46.45,46.78,42.28,16830900,0.0,0
2015-05-14,47.34,47.78,46.87,47.4,42.84,8820200,0.0,0
2015-05-15,47.83,47.94,46.97,47.0,42.48,9614900,0.0,0
2015-05-18,46.99,47.59,46.87,47.37,42.81,7940000,0.0,0
2015-05-19,47.7,47.87,46.11,46.21,41.77,12749000,0.0,0
2015-05-20,45.86,45.93,43.16,43.62,39.43,37638100,0.0,0
2015-05-21,43.5,44.15,42.69,43.75,39.54,16267300,0.0,0
2015-05-22,43.98,44.0,43.13,43.18,39.03,10619900,0.0,0
2015-05-26,43.42,43.47,41.72,41.85,37.83,18594400,0.0,0
2015-05-27,42.03,43.12,42.03,42.53,38.44,12382900,0.0,0
2015-05-28,42.64,43.13,42.17,42.25,38.19,10886600,0.0,0
2015-05-29,42.19,43.19,41.89,42.92,38.79,12538000,0.0,0
2015-06-01,43.21,44.79,42.94,44.35,40.08,17682300,0.0,0
2015-06-02,42.99,43.62,42.87,43.21,39.05,18431500,0.0,0
2015-06-03,43.52,43.77,42.95,43.24,39.08,9886600,0.0,0
2015-06-04,43.4,44.11,42.44,42.92,38.79,13390400,0.0,0
2015-06-05,42.83,43.15,42.28,42.9,38.77,9897200,0.0,0
2015-06-08,42.37,42.62,40.65,40.75,36.83,18359700,0.0,0
2015-06-09,40.1,41.15,38.97,40.72,36.8,29310500,0.0,0
2015-06-10,40.62,41.56,40.34,41.06,37.11,11590200,0.0,0
2015-06-11,41.33,41.79,40.74,40.8,36.88,9259100,0.0,0
2015-06-12,40.74,41.56,40.58,41.14,37.18,7838300,0.0,0
2015-06-15,40.92,41.2,40.53,40.7,36.79,9649400,0.0,0
2015-06-16,40.65,41.01,40.04,40.57,36.67,8314900,0.0,0
2015-06-17,40.42,41.08,40.23,40.8,36.88,7057900,0.0,0
2015-06-18,40.67,41.43,40.46,41.35,37.37,7198400,0.0,0
2015-06-19,41.99,42.81,41.83,41.99,37.95,11189300,0.0,0
2015-06-22,42.72,43.08,42.36,42.93,38.8,10407000,0.0,0
2015-06-23,43.38,43.71,43.0,43.1,38.96,7789400,0.0,0
2015-06-24,42.97,43.13,42.5,42.66,38.56,7413400,0.0,0
2015-06-25,42.98,43.38,42.57,42.6,38.5,6208700,0.0,0
2015-06-26,42.78,42.9,42.06,42.35,38.28,15144800,0.0,0
2015-06-29,41.77,42.45,41.08,41.12,37.17,7881500,0.0,0
2015-06-30,41.68,41.83,41.03,41.08,37.13,10416400,0.0,0
2015-07-01,41.75,41.81,38.81,40.27,36.4,30993500,0.0,0
2015-07-02,40.23,41.03,39.75,40.0,36.15,11310800,0.0,0
2015-07-06,39.88,40.79,39.88,40.48,36.59,9714600,0.0,0
2015-07-07,40.67,41.3,39.96,41.18,37.22,9136400,0.0,0
2015-07-08,40.46,40.88,40.01,40.17,36.31,8642700,0.0,0
2015-07-09,40.58,41.09,40.49,40.55,36.65,8541600,0.0,0
2015-07-10,41.45,42.72,41.31,42.46,38.38,13746100,0.0,0
2015-07-13,43.21,43.52,43.0,43.37,39.2,10131500,0.0,0
2015-07-14,42.95,43.96,42.61,43.66,39.46,13648600,0.0,0
2015-07-15,42.59,44.43,42.4,43.99,39.76,23558400,0.0,0
2015-07-16,44.5,44.87,44.19,44.47,40.19,12804800,0.0,0
2015-07-17,44.65,45.1,44.38,44.94,40.62,9625000,0.0,0
2015-07-20,45.1,45.1,43.96,44.09,39.85,7746100,0.0,0
2015-07-21,44.08,44.73,44.08,44.65,40.36,6166500,0.0,0
2015-07-22,44.51,45.42,44.46,45.22,40.87,8995500,0.0,0
2015-07-23,46.3,46.64,45.05,45.16,40.82,11449800,0.0,0
2015-07-24,45.61,45.64,43.76,44.1,39.86,8550100,0.0,0
2015-07-27,43.6,44.18,43.05,43.93,39.71,7301600,0.0,0
2015-07-28,43.93,44.95,43.9,44.91,40.59,7624700,0.0,0
2015-07-29,44.81,45.33,43.85,44.18,39.93,10355300,0.0,0
2015-07-30,44.16,44.37,43.64,44.03,39.8,5297100,0.0,0
2015-07-31,44.15,44.4,43.88,44.34,40.08,5973700,0.0,0
2015-08-03,44.68,45.85,44.57,45.73,41.33,12159300,0.0,0
2015-08-04,46.32,47.1,45.78,46.35,41.89,11268300,0.0,0
2015-08-05,46.36,46.53,46.13,46.3,41.97,5838700,0.135,0
2015-08-06,46.48,46.79,45.76,46.04,41.73,6525100,0.0,0
2015-08-07,45.84,46.48,45.76,46.35,42.01,6825100,0.0,0
2015-08-10,46.73,47.19,46.21,46.32,41.99,6325400,0.0,0
2015-08-11,46.29,47.48,46.13,47.1,42.69,9734300,0.0,0
2015-08-12,46.8,46.81,44.77,46.6,42.24,11334000,0.0,0
2015-08-13,46.89,47.87,46.47,47.45,43.01,9953500,0.0,0
2015-08-14,47.36,47.96,47.28,47.63,43.18,6117400,0.0,0
2015-08-17,47.77,48.25,47.32,47.99,43.5,8136600,0.0,0
2015-08-18,48.08,48.3,46.92,47.36,42.93,8076100,0.0,0
2015-08-19,47.36,47.59,46.61,47.08,42.68,9389300,0.0,0
2015-08-20,46.55,47.08,45.67,45.71,41.43,9484800,0.0,0
2015-08-21,45.5,45.58,43.59,43.6,39.52,14908800,0.0,0
2015-08-24,39.5,44.16,34.61,42.15,38.21,15222400,0.0,0
2015-08-25,43.84,43.84,41.37,41.37,37.5,10465900,0.0,0
2015-08-26,42.61,43.88,41.49,43.7,39.61,14221500,0.0,0
2015-08-27,44.19,44.35,42.77,43.86,39.76,12853000,0.0,0
2015-08-28,43.94,44.3,43.41,43.94,39.83,9205800,0.0,0
2015-08-31,43.97,44.6,43.54,43.78,39.69,8387000,0.0,0
2015-09-01,43.95,44.46,43.3,43.77,39.68,11269300,0.0,0
2015-09-02,44.65,46.0,44.35,45.99,41.69,15227900,0.0,0
2015-09-03,46.06,46.55,44.91,45.06,40.85,10909000,0.0,0
2015-09-04,44.55,45.99,44.31,45.4,41.15,8955300,0.0,0
2015-09-08,46.22,46.65,45.96,46.59,42.23,8177800,0.0,0
2015-09-09,46.94,47.19,45.9,46.01,41.71,9614000,0.0,0
2015-09-10,46.29,47.0,46.12,46.49,42.14,8754700,0.0,0
2015-09-11,46.5,47.05,46.27,46.92,42.53,7030100,0.0,0
2015-09-14,46.97,47.29,46.6,46.89,42.5,5253000,0.0,0
2015-09-15,47.0,47.12,46.31,46.89,42.5,8804600,0.0,0
2015-09-16,46.83,47.41,46.53,47.09,42.69,7903500,0.0,0
2015-09-17,47.31,48.18,46.88,47.49,43.05,11128000,0.0,0
2015-09-18,47.08,47.19,46.55,46.67,42.3,11862900,0.0,0
2015-09-21,46.77,47.67,46.69,47.25,42.83,7670500,0.0,0
2015-09-22,46.9,47.17,45.96,46.46,42.11,8329500,0.0,0
2015-09-23,46.5,46.88,45.93,46.59,42.23,4872500,0.0,0
2015-09-24,46.33,46.38,45.06,45.91,41.62,8871600,0.0,0
2015-09-25,46.52,46.84,45.59,46.04,41.73,6882900,0.0,0
2015-09-28,45.87,45.94,44.36,44.66,40.48,7367300,0.0,0
2015-09-29,44.51,44.93,43.57,44.04,39.92,7508800,0.0,0
2015-09-30,44.72,45.04,43.86,44.87,40.67,9525700,0.0,0
2015-10-01,44.71,45.5,44.14,45.41,41.16,8096500,0.0,0
2015-10-02,44.94,44.94,43.35,44.87,40.67,10918900,0.0,0
2015-10-05,45.22,47.04,45.04,46.96,42.57,8629300,0.0,0
2015-10-06,46.73,47.24,45.0,45.09,40.87,9081000,0.0,0
2015-10-07,45.2,46.0,44.47,45.99,41.69,11737900,0.0,0
2015-10-08,45.8,46.07,45.17,45.96,41.66,8905400,0.0,0
2015-10-09,46.29,47.33,46.16,47.21,42.79,10715300,0.0,0
2015-10-12,47.52,48.5,47.52,48.5,43.96,10647300,0.0,0
2015-10-13,48.1,49.11,47.72,47.73,43.27,13839900,0.0,0
2015-10-14,48.58,49.48,47.93,48.59,44.05,15052900,0.0,0
2015-10-15,48.95,49.32,48.36,48.93,44.35,8423700,0.0,0
2015-10-16,48.74,49.13,48.08,49.12,44.53,14240400,0.0,0
2015-10-19,49.21,50.58,49.13,50.27,45.57,11037800,0.0,0
2015-10-20,50.32,50.77,49.8,50.15,45.46,8745500,0.0,0
2015-10-21,49.8,50.59,49.34,49.44,44.82,7607300,0.0,0
2015-10-22,50.14,50.94,49.35,50.81,46.06,9528500,0.0,0
2015-10-23,51.23,51.66,50.5,51.0,46.23,11458600,0.0,0
2015-10-26,50.89,51.47,50.32,51.32,46.52,5579300,0.0,0
2015-10-27,51.0,51.48,50.39,50.87,46.11,7910200,0.0,0
2015-10-28,51.13,51.13,49.54,50.14,45.45,7435100,0.0,0
2015-10-29,50.04,50.65,49.61,50.5,45.78,5632800,0.0,0
2015-10-30,50.5,51.45,50.29,50.84,46.08,7052500,0.0,0
2015-11-02,50.9,51.27,50.67,50.7,45.96,8548100,0.0,0
2015-11-03,51.65,52.0,50.85,51.0,46.23,10988100,0.0,0
2015-11-04,51.26,51.26,50.47,50.66,46.04,7353500,0.135,0
2015-11-05,50.83,51.15,50.32,50.54,45.93,5736700,0.0,0
2015-11-06,50.53,51.48,50.45,51.2,46.53,6376100,0.0,0
2015-11-09,50.93,50.95,50.23,50.63,46.02,5559100,0.0,0
2015-11-10,50.6,51.0,49.55,50.3,45.72,7348900,0.0,0
2015-11-11,50.49,50.73,49.96,49.98,45.43,6116400,0.0,0
2015-11-12,49.99,50.43,49.9,49.98,45.43,9350200,0.0,0
2015-11-13,49.82,50.08,48.75,48.99,44.53,9207300,0.0,0
2015-11-16,47.86,48.15,47.01,47.93,43.56,12339200,0.0,0
2015-11-17,48.06,49.06,47.72,47.77,43.42,10417300,0.0,0
2015-11-18,47.83,47.99,46.65,47.75,43.4,10952800,0.0,0
2015-11-19,48.2,48.76,48.02,48.51,44.09,7857100,0.0,0
2015-11-20,48.47,48.87,48.43,48.76,44.32,6878200,0.0,0
2015-11-23,49.0,49.19,48.4,48.74,44.3,6261100,0.0,0
2015-11-24,47.36,48.0,46.67,47.24,42.94,11111000,0.0,0
2015-11-25,47.45,47.62,46.37,46.87,42.6,7731700,0.0,0
2015-11-27,46.99,47.5,46.78,47.14,42.84,2597700,0.0,0
2015-11-30,47.21,47.44,46.44,46.46,42.23,8731300,0.0,0
2015-12-01,46.81,47.7,46.58,47.67,43.33,6335800,0.0,0
2015-12-02,49.17,49.33,48.18,48.33,43.93,12810600,0.0,0
2015-12-03,48.42,48.99,47.85,48.22,43.83,11634400,0.0,0
2015-12-04,49.0,49.8,48.67,49.78,45.24,12775600,0.0,0
2015-12-07,50.27,51.82,50.19,51.78,47.06,13829500,0.0,0
2015-12-08,51.33,51.82,49.89,50.27,45.69,13469200,0.0,0
2015-12-09,50.02,50.74,49.14,49.51,45.0,8144700,0.0,0
2015-12-10,49.71,51.92,49.54,51.28,46.61,10089600,0.0,0
2015-12-11,50.37,50.65,49.22,49.28,44.79,8651600,0.0,0
2015-12-14,49.52,50.41,48.76,50.18,45.61,10006400,0.0,0
2015-12-15,50.67,51.41,50.07,51.15,46.49,8084800,0.0,0
2015-12-16,51.4,52.29,50.85,52.12,47.37,9172900,0.0,0
2015-12-17,51.98,52.77,51.02,51.03,46.38,10024900,0.0,0
2015-12-18,51.04,51.95,49.96,49.96,45.41,15753500,0.0,0
2015-12-21,50.46,51.5,50.42,51.46,46.77,8822100,0.0,0
2015-12-22,51.65,51.95,51.16,51.75,47.03,6745600,0.0,0
2015-12-23,51.74,51.87,50.91,51.74,47.03,5843600,0.0,0
2015-12-24,51.71,52.65,51.69,52.26,47.5,3834200,0.0,0
2015-12-28,52.41,52.72,51.32,51.95,47.22,5295300,0.0,0
2015-12-29,51.93,52.41,51.89,52.17,47.42,4300100,0.0,0
2015-12-30,52.23,52.3,51.07,51.17,46.51,5060000,0.0,0
2015-12-31,51.0,51.08,50.35,50.69,46.07,5911400,0.0,0
2016-01-04,49.42,49.42,48.3,48.66,44.23,12323200,0.0,0
2016-01-05,49.31,49.75,47.04,48.57,44.14,14557200,0.0,0
2016-01-06,47.79,49.3,47.63,48.93,44.47,10375900,0.0,0
2016-01-07,48.39,48.68,46.74,47.0,42.72,11301100,0.0,0
2016-01-08,47.48,48.95,46.49,46.61,42.36,10850300,0.0,0
2016-01-11,46.99,47.29,45.57,46.74,42.48,12096400,0.0,0
2016-01-12,47.07,47.48,45.82,46.96,42.68,12163400,0.0,0
2016-01-13,47.5,47.5,44.54,44.94,40.84,10964500,0.0,0
2016-01-14,45.03,45.75,44.02,45.34,41.21,11555000,0.0,0
2016-01-15,43.88,45.36,43.45,44.5,40.44,16408600,0.0,0
2016-01-19,45.8,46.75,45.19,45.96,41.77,16014700,0.0,0
2016-01-20,46.09,46.76,42.54,45.69,41.53,21927500,0.0,0
2016-01-21,46.65,47.12,45.37,46.52,42.28,12817400,0.0,0
2016-01-22,47.09,47.49,46.53,46.76,42.5,9419500,0.0,0
2016-01-25,47.59,47.62,45.85,45.94,41.75,8602600,0.0,0
2016-01-26,46.49,46.9,45.63,46.11,41.91,8685100,0.0,0
2016-01-27,46.36,47.0,44.62,44.72,40.64,10669700,0.0,0
2016-01-28,44.84,45.0,42.52,43.2,39.26,13996900,0.0,0
2016-01-29,43.14,44.34,42.42,44.29,40.25,12820100,0.0,0
2016-02-01,44.73,45.58,44.01,45.21,41.09,8618200,0.0,0
2016-02-02,45.19,45.52,43.32,43.61,39.64,8994000,0.0,0
