Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,75.92,75.98,74.35,74.52,66.71,1767600,0.0,0
2015-04-28,74.52,74.8,72.31,73.79,66.06,1590800,0.0,0
2015-04-29,73.33,73.45,71.82,72.25,64.68,1562700,0.0,0
2015-04-30,72.36,72.76,71.14,71.42,63.93,1549200,0.0,0
2015-05-01,71.85,72.35,71.2,71.7,64.18,963000,0.0,0
2015-05-04,71.73,72.52,71.61,71.66,64.15,939700,0.0,0
2015-05-05,71.28,71.45,69.83,69.89,62.56,1539100,0.0,0
2015-05-06,70.04,70.41,69.47,70.07,62.73,1592900,0.0,0
2015-05-07,70.27,71.12,70.01,71.02,63.58,1338700,0.0,0
2015-05-08,71.49,71.93,70.5,71.02,63.58,934500,0.0,0
2015-05-11,70.77,71.31,70.51,70.55,63.16,1183200,0.0,0
2015-05-12,69.83,70.63,69.7,70.26,62.9,1478700,0.0,0
2015-05-13,70.65,71.31,70.29,70.88,63.45,1142400,0.0,0
2015-05-14,71.39,71.95,71.08,71.7,64.18,1100100,0.0,0
2015-05-15,71.93,72.16,71.37,71.62,64.11,707700,0.0,0
2015-05-18,71.46,72.86,71.45,72.81,65.18,1405100,0.0,0
2015-05-19,72.81,73.0,72.56,72.75,65.12,1103200,0.0,0
2015-05-20,72.53,75.0,72.49,74.67,66.84,2109900,0.0,0
2015-05-21,74.57,74.84,73.56,73.88,66.14,1093500,0.0,0
2015-05-22,73.57,89.0,73.57,79.6,71.26,14985900,0.0,0
2015-05-26,78.15,78.15,76.2,77.38,69.27,3515900,0.0,0
2015-05-27,77.32,78.09,76.79,77.16,69.07,2064800,0.0,0
2015-05-28,77.16,77.55,75.66,76.04,68.07,2300700,0.0,0
2015-05-29,76.36,76.42,75.15,75.23,67.34,1631200,0.0,0
2015-06-01,75.84,76.3,75.0,75.48,67.57,1510100,0.0,0
2015-06-02,75.37,75.4,74.41,74.76,66.92,728100,0.0,0
2015-06-03,74.96,75.59,74.15,74.36,66.57,976500,0.0,0
2015-06-04,74.28,75.62,74.02,74.94,67.09,1360400,0.0,0
2015-06-05,74.68,74.84,73.87,73.96,66.21,1097500,0.0,0
2015-06-08,74.06,74.5,73.78,73.84,66.1,941500,0.0,0
2015-06-09,73.75,74.01,73.56,73.71,65.98,1507900,0.0,0
2015-06-10,73.78,74.37,73.57,73.69,65.97,1504000,0.0,0
2015-06-11,74.08,74.29,73.71,74.16,66.39,863800,0.0,0
2015-06-12,73.63,74.15,72.96,73.04,65.38,988000,0.0,0
2015-06-15,72.65,73.06,72.3,72.67,65.05,932200,0.0,0
2015-06-16,72.45,72.78,72.27,72.57,64.96,1220500,0.0,0
2015-06-17,72.95,73.28,72.12,72.83,65.2,771300,0.0,0
2015-06-18,72.98,73.13,72.71,72.86,65.22,1120300,0.0,0
2015-06-19,72.77,73.62,72.61,73.34,65.65,1345000,0.0,0
2015-06-22,73.76,73.76,72.19,72.27,64.7,1111100,0.0,0
2015-06-23,71.66,72.48,71.41,72.1,64.54,1504500,0.0,0
2015-06-24,72.11,72.35,71.63,71.7,64.18,1272900,0.0,0
2015-06-25,71.97,73.82,71.4,72.83,65.2,1317700,0.0,0
2015-06-26,72.92,73.69,72.71,72.75,65.12,1400500,0.0,0
2015-06-29,72.19,72.85,71.13,71.19,63.73,1067000,0.0,0
2015-06-30,71.89,72.66,71.64,72.52,64.92,1105500,0.0,0
2015-07-01,73.0,73.36,72.48,72.9,65.26,1103700,0.0,0
2015-07-02,72.91,72.91,71.7,71.83,64.3,939500,0.0,0
2015-07-06,70.82,71.26,70.42,71.07,63.96,1514600,0.38,0
2015-07-07,71.32,71.56,70.36,71.38,64.24,660200,0.0,0
2015-07-08,71.0,71.32,69.6,69.69,62.72,831500,0.0,0
2015-07-09,70.51,71.03,70.31,70.84,63.75,1342700,0.0,0
2015-07-10,71.76,71.99,71.15,71.58,64.42,745000,0.0,0
2015-07-13,72.42,73.22,72.42,73.18,65.86,1493500,0.0,0
2015-07-14,73.4,74.15,73.0,74.08,66.67,1400400,0.0,0
2015-07-15,74.1,74.22,72.85,73.24,65.91,927700,0.0,0
2015-07-16,73.85,73.92,72.9,73.87,66.48,737200,0.0,0
2015-07-17,73.72,73.86,72.93,73.26,65.93,663100,0.0,0
2015-07-20,73.39,73.39,72.56,73.09,65.78,776100,0.0,0
2015-07-21,73.36,73.43,72.06,72.09,64.88,939700,0.0,0
2015-07-22,71.81,72.54,71.56,72.47,65.22,915700,0.0,0
2015-07-23,71.95,75.25,71.24,74.4,66.96,1900100,0.0,0
2015-07-24,74.17,74.84,73.26,73.37,66.03,1057000,0.0,0
2015-07-27,73.13,73.33,71.96,71.99,64.79,1622800,0.0,0
2015-07-28,72.26,72.39,70.42,72.12,64.9,1416700,0.0,0
2015-07-29,72.37,73.85,71.84,73.66,66.29,971000,0.0,0
2015-07-30,73.48,73.65,72.96,73.49,66.14,427100,0.0,0
2015-07-31,73.74,74.49,73.65,73.81,66.43,1099100,0.0,0
2015-08-03,74.04,74.48,73.72,74.2,66.78,643300,0.0,0
2015-08-04,74.4,75.08,74.03,74.58,67.12,591000,0.0,0
2015-08-05,74.88,75.24,73.98,74.48,67.03,949300,0.0,0
2015-08-06,74.35,74.52,73.46,73.89,66.5,700300,0.0,0
2015-08-07,73.7,73.8,71.26,72.43,65.18,1144000,0.0,0
2015-08-10,72.9,73.91,72.87,73.64,66.27,721900,0.0,0
2015-08-11,73.01,73.43,71.81,72.55,65.29,947000,0.0,0
2015-08-12,72.06,72.46,71.36,72.39,65.15,637500,0.0,0
2015-08-13,72.25,72.69,71.91,72.2,64.98,541400,0.0,0
2015-08-14,72.09,72.85,71.73,72.72,65.44,707700,0.0,0
2015-08-17,72.38,73.63,71.85,73.57,66.21,614500,0.0,0
2015-08-18,73.49,73.99,73.18,73.5,66.15,699600,0.0,0
2015-08-19,73.14,73.99,72.57,73.44,66.09,699200,0.0,0
2015-08-20,72.66,72.87,70.88,70.98,63.88,956800,0.0,0
2015-08-21,70.51,71.31,70.15,70.18,63.16,1595300,0.0,0
2015-08-24,67.29,70.03,66.34,67.31,60.58,1845200,0.0,0
2015-08-25,68.47,68.49,65.05,65.31,58.78,3299900,0.0,0
2015-08-26,66.4,67.87,65.73,67.71,60.94,1165700,0.0,0
2015-08-27,68.17,69.6,67.84,69.08,62.17,1038400,0.0,0
2015-08-28,68.62,69.32,68.3,68.89,62.0,739400,0.0,0
2015-08-31,68.88,69.37,67.67,67.8,61.02,750300,0.0,0
2015-09-01,66.22,66.99,65.36,65.7,59.13,848500,0.0,0
2015-09-02,66.48,66.94,65.63,66.56,59.9,826800,0.0,0
2015-09-03,67.11,68.35,66.77,66.93,60.23,1021600,0.0,0
2015-09-04,65.94,66.2,64.51,65.17,58.65,1144100,0.0,0
2015-09-08,66.19,66.71,65.64,66.3,59.67,1315400,0.0,0
2015-09-09,66.92,67.0,65.48,65.6,59.04,1099500,0.0,0
2015-09-10,65.44,66.01,65.26,65.46,58.91,829200,0.0,0
2015-09-11,65.16,65.64,64.71,65.62,59.05,1334100,0.0,0
2015-09-14,65.8,66.19,65.54,66.08,59.47,810900,0.0,0
2015-09-15,66.3,67.01,65.85,66.7,60.03,917600,0.0,0
2015-09-16,67.0,68.06,66.75,67.92,61.12,1113400,0.0,0
2015-09-17,67.99,68.98,67.85,68.16,61.34,578800,0.0,0
2015-09-18,67.44,67.83,66.73,66.9,60.21,912800,0.0,0
2015-09-21,67.55,67.97,66.85,67.3,60.57,614900,0.0,0
2015-09-22,66.52,66.62,65.68,66.11,59.5,727500,0.0,0
2015-09-23,66.29,66.66,65.83,66.06,59.45,493600,0.0,0
2015-09-24,65.43,65.79,64.62,65.52,58.96,778300,0.0,0
2015-09-25,65.89,66.08,63.98,64.41,57.97,1054000,0.0,0
2015-09-28,63.78,64.15,60.07,60.51,54.46,1601900,0.0,0
2015-09-29,60.49,62.04,60.23,60.7,54.63,1231800,0.0,0
2015-09-30,61.27,61.73,60.7,61.47,55.32,1285800,0.0,0
2015-10-01,61.5,62.05,60.69,61.58,55.42,1446800,0.0,0
2015-10-02,60.48,62.84,60.15,62.81,56.88,1223300,0.38,0
2015-10-05,63.29,63.91,62.87,63.66,57.65,1637300,0.0,0
2015-10-06,63.46,63.53,61.41,61.58,55.76,1191100,0.0,0
2015-10-07,61.8,62.74,61.56,62.68,56.76,1528600,0.0,0
2015-10-08,62.62,63.16,62.08,63.0,57.05,1405900,0.0,0
2015-10-09,63.08,63.83,62.87,63.26,57.28,1091000,0.0,0
2015-10-12,63.26,63.5,62.7,63.36,57.37,700300,0.0,0
2015-10-13,63.22,63.6,62.71,63.0,57.05,985400,0.0,0
2015-10-14,62.99,63.21,61.81,61.9,56.05,1107400,0.0,0
2015-10-15,62.04,64.17,62.04,64.07,58.02,1488500,0.0,0
2015-10-16,64.61,65.79,64.35,65.36,59.19,1470500,0.0,0
2015-10-19,65.21,66.21,65.01,65.66,59.46,1042000,0.0,0
2015-10-20,65.76,66.47,65.2,65.32,59.15,808400,0.0,0
2015-10-21,65.67,65.98,64.29,65.04,58.9,1275600,0.0,0
2015-10-22,65.0,66.65,61.0,62.29,56.41,2987100,0.0,0
2015-10-23,62.57,65.44,62.34,64.84,58.71,3066600,0.0,0
2015-10-26,64.56,65.18,64.21,64.45,58.36,1848800,0.0,0
2015-10-27,64.27,65.08,64.27,64.89,58.76,1505400,0.0,0
2015-10-28,65.17,66.39,64.23,66.29,60.03,1270800,0.0,0
2015-10-29,66.28,67.23,66.01,66.82,60.51,1285200,0.0,0
2015-10-30,67.06,68.2,66.85,67.95,61.53,1873900,0.0,0
2015-11-02,68.15,69.59,67.95,69.26,62.72,1296100,0.0,0
2015-11-03,68.91,69.41,68.46,69.01,62.49,889300,0.0,0
2015-11-04,69.12,69.49,68.56,69.12,62.59,976700,0.0,0
2015-11-05,69.11,69.25,68.46,68.65,62.16,1188800,0.0,0
2015-11-06,68.32,68.7,68.01,68.2,61.76,1093600,0.0,0
2015-11-09,67.97,68.07,67.17,67.74,61.34,1133300,0.0,0
2015-11-10,67.74,68.48,67.37,68.43,61.97,1009100,0.0,0
2015-11-11,68.64,68.85,67.13,67.2,60.85,611600,0.0,0
2015-11-12,66.63,66.88,66.03,66.37,60.1,844000,0.0,0
2015-11-13,66.39,67.67,65.95,67.2,60.85,1233600,0.0,0
2015-11-16,67.06,67.92,66.98,67.51,61.13,943400,0.0,0
2015-11-17,67.32,68.51,66.98,68.04,61.61,643800,0.0,0
2015-11-18,68.51,69.36,68.29,69.09,62.56,852800,0.0,0
2015-11-19,68.94,69.06,67.61,67.85,61.44,1126400,0.0,0
2015-11-20,67.95,68.49,67.71,67.95,61.53,994400,0.0,0
2015-11-23,67.9,68.91,67.73,68.58,62.1,710300,0.0,0
2015-11-24,68.02,68.45,67.77,68.25,61.8,707500,0.0,0
2015-11-25,68.44,68.96,68.08,68.53,62.06,652600,0.0,0
2015-11-27,68.68,69.24,68.4,68.76,62.26,622400,0.0,0
2015-11-30,68.81,69.06,68.04,68.32,61.87,1760500,0.0,0
2015-12-01,68.78,69.24,68.21,69.11,62.58,614600,0.0,0
2015-12-02,68.97,69.49,68.44,68.69,62.2,541000,0.0,0
2015-12-03,68.71,68.73,65.47,66.21,59.96,1086700,0.0,0
2015-12-04,66.88,68.82,66.8,68.57,62.09,1053200,0.0,0
2015-12-07,68.48,68.93,67.82,68.83,62.33,874100,0.0,0
2015-12-08,68.64,68.94,67.98,68.42,61.96,2674300,0.0,0
2015-12-09,68.04,69.04,67.75,68.04,61.61,1355300,0.0,0
2015-12-10,68.13,68.72,68.08,68.19,61.75,967900,0.0,0
