Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,26.64,26.69,26.15,26.26,24.74,5866000,0.0,0
2015-04-28,26.13,26.47,25.86,26.4,24.87,4017600,0.0,0
2015-04-29,26.21,26.23,25.72,25.94,24.44,5323900,0.0,0
2015-04-30,25.77,25.92,25.34,25.4,23.93,6600500,0.0,0
2015-05-01,25.53,25.93,25.44,25.79,24.29,3827700,0.0,0
2015-05-04,25.82,26.07,25.49,25.62,24.13,3351900,0.0,0
2015-05-05,25.6,25.8,25.15,25.18,23.72,5165000,0.0,0
2015-05-06,25.27,25.38,24.92,25.27,23.8,3299600,0.0,0
2015-05-07,25.2,25.81,25.19,25.72,24.23,3945200,0.0,0
2015-05-08,26.03,26.45,25.88,25.92,24.42,3760400,0.0,0
2015-05-11,25.89,26.0,25.37,25.44,23.97,4168600,0.0,0
2015-05-12,25.24,25.6,25.08,25.44,23.97,3886800,0.0,0
2015-05-13,25.48,25.72,25.26,25.28,23.87,2590200,0.0625,0
2015-05-14,25.48,25.87,25.32,25.79,24.35,3837800,0.0,0
2015-05-15,25.78,26.31,25.48,26.31,24.85,6455200,0.0,0
2015-05-18,26.3,26.57,26.11,26.46,24.99,4841000,0.0,0
2015-05-19,27.2,27.47,26.61,26.77,25.28,6263100,0.0,0
2015-05-20,26.85,27.05,26.4,26.92,25.42,4704400,0.0,0
2015-05-21,26.87,27.03,26.63,26.9,25.4,6157000,0.0,0
2015-05-22,26.86,26.88,26.58,26.65,25.17,3956400,0.0,0
2015-05-26,26.63,26.67,26.25,26.27,24.81,3985900,0.0,0
2015-05-27,26.29,26.41,25.93,26.37,24.9,4423600,0.0,0
2015-05-28,26.26,26.77,26.18,26.35,24.88,4233800,0.0,0
2015-05-29,26.25,26.5,26.1,26.12,24.67,4003400,0.0,0
2015-06-01,26.28,26.55,26.17,26.44,24.97,4057600,0.0,0
2015-06-02,26.34,26.51,26.14,26.31,24.85,2703900,0.0,0
2015-06-03,26.44,26.8,26.12,26.46,24.99,4609800,0.0,0
2015-06-04,26.23,26.64,26.1,26.21,24.75,4410400,0.0,0
2015-06-05,26.05,26.23,25.85,26.16,24.7,2466300,0.0,0
2015-06-08,26.13,26.21,25.9,25.92,24.48,2535200,0.0,0
2015-06-09,25.92,26.07,25.6,25.79,24.35,3113700,0.0,0
2015-06-10,25.94,26.36,25.84,26.28,24.82,3002200,0.0,0
2015-06-11,26.42,26.84,26.39,26.42,24.95,2935600,0.0,0
2015-06-12,26.23,26.75,26.22,26.71,25.22,3585100,0.0,0
2015-06-15,26.64,27.21,26.62,26.65,25.17,4329200,0.0,0
2015-06-16,26.52,26.65,26.33,26.51,25.03,3853700,0.0,0
2015-06-17,26.52,26.63,26.21,26.59,25.11,3042900,0.0,0
2015-06-18,26.66,26.98,26.63,26.82,25.33,3261700,0.0,0
2015-06-19,26.95,27.66,26.93,27.29,25.77,5854800,0.0,0
2015-06-22,27.43,27.73,27.43,27.58,26.05,3814900,0.0,0
2015-06-23,27.63,27.97,27.54,27.61,26.07,4080100,0.0,0
2015-06-24,28.33,28.7,27.75,27.92,26.37,6506600,0.0,0
2015-06-25,28.08,28.32,27.81,27.86,26.31,3152300,0.0,0
2015-06-26,27.97,28.1,27.68,27.97,26.41,4960300,0.0,0
2015-06-29,27.66,27.92,27.35,27.39,25.87,4418200,0.0,0
2015-06-30,27.66,27.91,27.32,27.36,25.84,4860900,0.0,0
2015-07-01,27.72,27.72,27.13,27.56,26.03,2911300,0.0,0
2015-07-02,27.66,27.94,27.3,27.59,26.05,3395900,0.0,0
2015-07-06,27.34,27.99,27.29,27.56,26.03,3978700,0.0,0
2015-07-07,27.54,28.12,27.28,28.1,26.54,5966700,0.0,0
2015-07-08,27.91,28.05,27.46,27.55,26.02,4970900,0.0,0
2015-07-09,27.9,28.06,27.66,27.67,26.13,3309500,0.0,0
2015-07-10,28.01,28.3,27.85,28.19,26.62,3539600,0.0,0
2015-07-13,28.35,28.48,28.14,28.27,26.7,2734400,0.0,0
2015-07-14,28.24,28.4,28.16,28.34,26.76,1760000,0.0,0
2015-07-15,28.37,28.37,27.5,27.62,26.08,6786000,0.0,0
2015-07-16,27.76,27.76,27.24,27.54,26.01,5337300,0.0,0
2015-07-17,27.64,27.69,27.03,27.14,25.63,5857500,0.0,0
2015-07-20,27.21,27.22,26.57,26.86,25.37,5188400,0.0,0
2015-07-21,26.94,27.2,26.78,27.11,25.6,3160600,0.0,0
2015-07-22,27.08,27.97,27.01,27.86,26.31,4215500,0.0,0
2015-07-23,27.95,28.0,27.15,27.43,25.9,3621900,0.0,0
2015-07-24,27.48,27.63,26.51,26.73,25.24,5394900,0.0,0
2015-07-27,26.56,26.98,26.47,26.74,25.25,6516700,0.0,0
2015-07-28,27.15,27.89,26.14,27.59,26.05,11021300,0.0,0
2015-07-29,27.77,28.71,27.61,28.58,26.99,9496800,0.0,0
2015-07-30,28.49,29.49,28.36,29.47,27.83,8909000,0.0,0
2015-07-31,29.56,29.8,29.17,29.69,28.04,6623500,0.0,0
2015-08-03,29.69,29.7,29.23,29.68,28.03,5248800,0.0,0
2015-08-04,29.65,29.71,28.89,29.17,27.55,4233900,0.0,0
2015-08-05,29.37,29.46,28.51,28.71,27.17,4267000,0.0625,0
2015-08-06,28.83,28.88,28.43,28.62,27.09,4304900,0.0,0
2015-08-07,28.56,28.63,28.16,28.51,26.98,3803400,0.0,0
2015-08-10,28.78,29.19,28.69,29.06,27.5,3144500,0.0,0
2015-08-11,28.42,29.39,28.42,29.38,27.8,4387800,0.0,0
2015-08-12,29.74,29.99,29.14,29.96,28.35,6982500,0.0,0
2015-08-13,30.0,30.85,29.9,30.68,29.03,6681300,0.0,0
2015-08-14,30.58,30.66,30.33,30.64,29.0,3834600,0.0,0
