Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,70.22,70.47,69.21,69.68,69.68,2106300,0,0
2015-04-28,68.9,69.25,67.58,68.43,68.43,2293700,0,0
2015-04-29,68.09,68.8,68.08,68.54,68.54,1004800,0,0
2015-04-30,68.0,68.67,67.38,67.66,67.66,1550300,0,0
2015-05-01,67.62,68.6,67.45,68.52,68.52,1290000,0,0
2015-05-04,68.84,68.99,68.0,68.29,68.29,1338900,0,0
2015-05-05,68.09,68.22,67.07,67.13,67.13,1029700,0,0
2015-05-06,67.31,67.36,66.27,66.72,66.72,1129800,0,0
2015-05-07,66.82,67.2,66.42,67.0,67.0,840800,0,0
2015-05-08,67.59,67.98,66.76,66.86,66.86,1132400,0,0
2015-05-11,67.0,67.13,65.73,66.38,66.38,2850500,0,0
2015-05-12,65.94,66.28,65.18,65.92,65.92,2137500,0,0
2015-05-13,65.98,66.44,65.71,65.92,65.92,2035700,0,0
2015-05-14,66.47,67.37,66.03,66.44,66.44,1672400,0,0
2015-05-15,66.77,68.04,66.68,68.0,68.0,1406100,0,0
2015-05-18,67.98,68.77,67.61,68.08,68.08,1618700,0,0
2015-05-19,68.25,68.29,67.65,67.88,67.88,854600,0,0
2015-05-20,67.86,69.31,67.67,68.44,68.44,1509200,0,0
2015-05-21,68.25,69.89,68.13,68.97,68.97,1494300,0,0
2015-05-22,68.86,69.25,68.42,69.15,69.15,875800,0,0
2015-05-26,69.06,69.27,68.23,69.04,69.04,1181900,0,0
2015-05-27,69.42,70.42,68.94,69.95,69.95,2171400,0,0
2015-05-28,70.18,70.42,69.42,70.3,70.3,1157600,0,0
2015-05-29,70.36,70.96,69.82,70.79,70.79,1604800,0,0
2015-06-01,71.93,73.34,71.29,72.07,72.07,3932000,0,0
2015-06-02,71.71,72.93,71.54,71.7,71.7,1418100,0,0
2015-06-03,71.24,71.56,70.31,70.81,70.81,1408900,0,0
2015-06-04,74.95,76.29,74.04,74.25,74.25,7379100,0,0
2015-06-05,73.26,75.94,72.68,75.51,75.51,3234800,0,0
2015-06-08,75.5,75.66,73.26,73.64,73.64,2067300,0,0
2015-06-09,73.37,73.76,71.97,73.02,73.02,2255300,0,0
2015-06-10,73.23,73.24,72.51,72.55,72.55,1674000,0,0
2015-06-11,73.06,73.06,72.09,72.79,72.79,964300,0,0
2015-06-12,73.06,73.12,71.7,72.62,72.62,1381900,0,0
2015-06-15,72.29,72.51,71.71,72.25,72.25,1540700,0,0
2015-06-16,72.26,72.6,71.65,72.56,72.56,1150800,0,0
2015-06-17,72.61,72.69,71.68,71.97,71.97,1275000,0,0
2015-06-18,72.15,72.75,71.68,71.89,71.89,1519700,0,0
2015-06-19,71.54,71.94,70.44,70.52,70.52,2269100,0,0
2015-06-22,70.65,71.31,70.3,70.38,70.38,1543800,0,0
2015-06-23,70.73,71.06,70.32,70.66,70.66,1443000,0,0
2015-06-24,70.3,70.46,69.24,69.34,69.34,1674800,0,0
2015-06-25,69.48,70.4,69.36,69.66,69.66,1583400,0,0
2015-06-26,69.93,70.48,69.28,69.73,69.73,3855000,0,0
2015-06-29,69.4,69.74,67.83,68.02,68.02,1487700,0,0
2015-06-30,67.97,68.47,67.28,67.71,67.71,1972600,0,0
2015-07-01,68.28,68.8,67.81,68.72,68.72,2124100,0,0
2015-07-02,68.69,69.22,68.23,68.71,68.71,968900,0,0
2015-07-06,68.09,68.9,67.83,68.12,68.12,901400,0,0
2015-07-07,68.13,68.49,66.26,68.24,68.24,1520000,0,0
2015-07-08,67.87,68.11,66.87,67.1,67.1,1066300,0,0
2015-07-09,68.23,68.23,66.98,67.01,67.01,1048000,0,0
2015-07-10,67.93,69.0,67.48,68.81,68.81,1459100,0,0
2015-07-13,69.61,69.68,68.95,69.15,69.15,1080500,0,0
2015-07-14,69.22,69.59,68.94,69.25,69.25,865800,0,0
2015-07-15,69.19,69.36,68.74,69.05,69.05,836600,0,0
2015-07-16,69.39,69.92,65.12,66.72,66.72,4223300,0,0
2015-07-17,67.31,67.31,65.38,67.05,67.05,3389900,0,0
2015-07-20,67.12,67.12,66.05,66.39,66.39,868400,0,0
2015-07-21,66.29,66.72,65.39,65.74,65.74,852600,0,0
2015-07-22,65.05,65.92,64.27,65.32,65.32,1716600,0,0
2015-07-23,65.22,66.5,65.18,66.23,66.23,1988100,0,0
2015-07-24,66.83,66.92,64.73,65.01,65.01,1446300,0,0
2015-07-27,64.8,64.91,63.72,64.22,64.22,1407300,0,0
2015-07-28,64.91,65.81,63.71,65.69,65.69,1190600,0,0
2015-07-29,65.43,65.67,64.64,64.98,64.98,1952200,0,0
2015-07-30,65.04,65.4,64.32,64.98,64.98,1171400,0,0
2015-07-31,65.43,65.53,64.41,64.61,64.61,1386100,0,0
2015-08-03,64.49,65.7,64.44,65.62,65.62,1544800,0,0
2015-08-04,65.7,66.22,65.13,65.4,65.4,1285600,0,0
2015-08-05,65.12,68.5,65.12,68.22,68.22,4190100,0,0
2015-08-06,68.67,69.82,66.09,67.88,67.88,2475300,0,0
2015-08-07,67.63,68.15,66.06,66.92,66.92,1315200,0,0
2015-08-10,67.45,68.22,66.98,67.25,67.25,1880700,0,0
2015-08-11,67.0,67.21,65.65,66.06,66.06,1023900,0,0
2015-08-12,65.42,66.47,65.0,66.0,66.0,1037600,0,0
2015-08-13,66.12,66.82,65.83,65.97,65.97,729100,0,0
2015-08-14,66.05,66.47,65.57,66.31,66.31,492800,0,0
2015-08-17,65.5,67.21,65.5,67.19,67.19,878900,0,0
2015-08-18,67.16,67.25,66.26,66.68,66.68,780900,0,0
2015-08-19,66.68,66.97,65.77,66.09,66.09,673400,0,0
2015-08-20,65.26,65.35,63.15,63.27,63.27,2229000,0,0
2015-08-21,62.21,62.74,60.94,60.95,60.95,2671400,0,0
2015-08-24,55.98,60.17,54.62,58.23,58.23,3376100,0,0
2015-08-25,59.57,60.32,57.61,57.83,57.83,1440500,0,0
2015-08-26,59.12,59.4,57.06,58.57,58.57,2287600,0,0
2015-08-27,59.1,59.84,58.23,59.11,59.11,2338600,0,0
2015-08-28,59.01,59.66,58.74,59.62,59.62,1125500,0,0
2015-08-31,59.42,59.79,58.81,59.27,59.27,1190400,0,0
2015-09-01,57.93,59.8,57.93,59.24,59.24,1917300,0,0
2015-09-02,59.64,59.94,58.56,59.2,59.2,1808600,0,0
2015-09-03,59.45,59.96,59.11,59.78,59.78,1429200,0,0
2015-09-04,58.5,59.51,58.23,58.93,58.93,1229800,0,0
2015-09-08,60.09,60.6,59.37,60.55,60.55,986400,0,0
2015-09-09,61.01,61.22,58.72,58.83,58.83,1163500,0,0
2015-09-10,58.8,59.02,57.97,58.15,58.15,1175400,0,0
2015-09-11,57.94,58.3,57.17,58.11,58.11,1391100,0,0
2015-09-14,57.99,58.42,57.52,57.83,57.83,1314600,0,0
2015-09-15,57.86,58.84,57.62,58.76,58.76,1102700,0,0
2015-09-16,58.95,59.03,57.64,58.76,58.76,1223000,0,0
2015-09-17,58.61,62.72,57.99,61.48,61.48,3962300,0,0
2015-09-18,60.77,62.07,60.52,60.94,60.94,2620800,0,0
2015-09-21,61.35,62.71,60.91,62.42,62.42,1698400,0,0
2015-09-22,61.76,62.41,60.93,61.93,61.93,1747800,0,0
2015-09-23,61.88,62.07,60.73,60.76,60.76,1578600,0,0
2015-09-24,60.3,60.35,59.09,59.94,59.94,1509800,0,0
2015-09-25,60.38,60.46,58.92,59.17,59.17,1240000,0,0
2015-09-28,58.83,58.83,56.27,56.5,56.5,2576700,0,0
2015-09-29,56.44,57.81,55.5,56.36,56.36,2797500,0,0
2015-09-30,56.89,59.04,56.89,58.34,58.34,2432500,0,0
2015-10-01,58.51,59.22,58.1,58.8,58.8,1570100,0,0
2015-10-02,58.49,59.27,57.91,58.96,58.96,2187200,0,0
2015-10-05,59.15,59.67,58.99,59.38,59.38,1300500,0,0
2015-10-06,59.43,60.3,59.07,59.55,59.55,1098000,0,0
2015-10-07,60.08,61.21,59.44,61.04,61.04,1761800,0,0
2015-10-08,62.31,63.24,61.26,62.97,62.97,1531400,0,0
2015-10-09,62.95,63.24,61.85,62.56,62.56,941100,0,0
2015-10-12,62.81,62.98,62.08,62.4,62.4,589800,0,0
2015-10-13,61.74,62.61,61.32,61.99,61.99,922800,0,0
2015-10-14,62.08,62.14,60.76,60.97,60.97,906400,0,0
2015-10-15,61.16,61.96,60.94,61.85,61.85,853200,0,0
2015-10-16,61.78,62.09,60.69,62.01,62.01,721900,0,0
2015-10-19,61.89,61.95,60.48,61.3,61.3,1265600,0,0
2015-10-20,61.17,62.41,60.94,62.18,62.18,1263500,0,0
2015-10-21,62.31,62.44,60.96,61.01,61.01,855300,0,0
2015-10-22,61.35,61.84,61.19,61.37,61.37,991500,0,0
2015-10-23,62.05,62.5,61.58,62.43,62.43,1088700,0,0
2015-10-26,63.01,63.24,62.12,62.29,62.29,905800,0,0
2015-10-27,61.98,62.45,61.44,61.86,61.86,1026400,0,0
2015-10-28,61.89,63.82,61.61,63.64,63.64,1134000,0,0
2015-10-29,63.23,63.83,63.03,63.44,63.44,609400,0,0
2015-10-30,63.61,63.91,62.79,62.97,62.97,1246000,0,0
2015-11-02,63.05,64.19,62.59,63.84,63.84,922000,0,0
2015-11-03,63.6,65.44,63.57,65.07,65.07,1249600,0,0
2015-11-04,65.35,65.49,63.32,63.54,63.54,1778900,0,0
2015-11-05,63.52,64.18,62.66,63.35,63.35,1420200,0,0
2015-11-06,63.0,64.0,62.1,63.74,63.74,2007200,0,0
2015-11-09,60.75,64.42,60.04,63.09,63.09,2354900,0,0
2015-11-10,62.54,63.94,62.1,62.39,62.39,1506700,0,0
2015-11-11,62.84,62.89,61.9,62.44,62.44,927900,0,0
2015-11-12,62.37,63.24,61.73,62.99,62.99,968100,0,0
2015-11-13,62.6,63.11,62.15,62.62,62.62,1009500,0,0
2015-11-16,62.63,63.13,61.66,62.45,62.45,933400,0,0
2015-11-17,62.48,62.84,61.91,62.17,62.17,773300,0,0
2015-11-18,62.42,64.48,62.33,64.36,64.36,1547600,0,0
2015-11-19,64.47,64.58,63.4,63.74,63.74,854500,0,0
2015-11-20,64.44,64.44,63.48,63.82,63.82,869800,0,0
2015-11-23,63.77,64.21,62.73,63.2,63.2,666900,0,0
2015-11-24,62.65,63.69,62.41,62.96,62.96,975200,0,0
2015-11-25,62.89,63.18,62.66,62.9,62.9,501900,0,0
2015-11-27,63.13,63.51,62.16,63.07,63.07,347000,0,0
2015-11-30,63.04,63.06,62.2,62.71,62.71,1128400,0,0
2015-12-01,62.79,63.8,62.59,63.66,63.66,1169000,0,0
2015-12-02,63.74,63.74,61.93,62.25,62.25,1048800,0,0
2015-12-03,62.33,62.41,60.03,60.68,60.68,2014300,0,0
2015-12-04,60.64,61.68,60.55,61.52,61.52,1148700,0,0
2015-12-07,61.27,61.5,60.54,61.39,61.39,1050000,0,0
2015-12-08,60.62,61.06,60.06,60.44,60.44,1021600,0,0
2015-12-09,60.18,60.88,59.02,59.85,59.85,1653800,0,0
2015-12-10,59.75,60.72,59.68,60.13,60.13,1091200,0,0
2015-12-11,59.46,60.36,58.78,59.0,59.0,2485900,0,0
2015-12-14,59.22,59.43,57.01,57.59,57.59,3075400,0,0
2015-12-15,58.05,59.16,57.99,58.09,58.09,1449300,0,0
2015-12-16,58.43,59.27,57.8,59.17,59.17,2084300,0,0
2015-12-17,59.53,59.77,57.99,58.14,58.14,1438600,0,0
2015-12-18,57.74,58.14,56.89,57.16,57.16,3770400,0,0
2015-12-21,57.33,57.79,56.78,57.58,57.58,2033500,0,0
2015-12-22,57.54,58.16,57.35,57.7,57.7,1561600,0,0
2015-12-23,58.02,59.05,57.56,58.1,58.1,1384500,0,0
2015-12-24,58.34,58.72,58.03,58.31,58.31,635400,0,0
2015-12-28,58.23,58.51,57.28,57.9,57.9,1002600,0,0
2015-12-29,58.33,58.48,57.03,58.05,58.05,936700,0,0
2015-12-30,58.03,58.05,57.29,57.48,57.48,766900,0,0
