Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,66.93,67.01,66.3,66.65,54.52,818600,0.0,0
2015-04-28,66.48,66.48,64.71,65.05,53.22,1285200,0.0,0
2015-04-29,64.57,64.92,63.59,63.85,52.23,1151400,0.0,0
2015-04-30,63.55,63.82,62.76,63.41,51.87,1113500,0.0,0
2015-05-01,63.45,64.19,63.41,64.12,52.46,931500,0.0,0
2015-05-04,64.13,64.88,64.03,64.32,52.62,748700,0.0,0
2015-05-05,64.02,64.31,62.89,63.09,51.61,1097600,0.0,0
2015-05-06,63.92,64.85,63.2,63.85,52.23,1431800,0.0,0
2015-05-07,63.84,65.05,63.16,64.84,53.04,1227700,0.0,0
2015-05-08,65.48,66.94,65.26,65.78,53.81,786000,0.0,0
2015-05-11,65.51,66.0,64.58,64.68,52.91,689700,0.0,0
2015-05-12,64.25,64.77,63.72,64.52,52.78,741800,0.0,0
2015-05-13,64.73,65.51,64.36,64.73,52.95,1024800,0.0,0
2015-05-14,64.91,66.1,64.69,65.88,53.89,773300,0.0,0
2015-05-15,65.95,66.79,65.95,66.7,54.57,765000,0.0,0
2015-05-18,66.46,66.79,66.01,66.27,54.21,774000,0.0,0
2015-05-19,66.17,66.44,65.72,65.9,53.91,442400,0.0,0
2015-05-20,65.94,66.47,65.57,66.08,54.06,569200,0.0,0
2015-05-21,66.29,66.36,65.49,65.97,53.97,765500,0.0,0
2015-05-22,65.73,66.71,65.46,66.3,54.24,424600,0.0,0
2015-05-26,66.14,66.51,65.65,66.39,54.31,799800,0.0,0
2015-05-27,66.5,66.96,66.22,66.72,54.58,697700,0.0,0
2015-05-28,66.53,67.14,66.19,66.5,54.4,642800,0.0,0
2015-05-29,66.36,66.79,65.76,66.04,54.03,1468900,0.0,0
2015-06-01,66.26,67.0,66.01,66.66,54.53,695900,0.0,0
2015-06-02,66.46,66.56,66.04,66.38,54.3,473700,0.0,0
2015-06-03,66.62,66.63,65.06,65.09,53.25,875300,0.0,0
2015-06-04,65.07,65.45,64.47,64.7,52.93,708500,0.0,0
2015-06-05,64.18,64.54,63.65,64.35,52.64,905600,0.0,0
2015-06-08,64.35,64.5,64.16,64.16,52.49,636700,0.0,0
2015-06-09,64.25,64.48,63.68,63.85,52.23,564500,0.0,0
2015-06-10,64.25,66.75,63.55,65.0,53.17,1905900,0.0,0
2015-06-11,64.85,65.73,64.85,65.2,54.05,1231500,0.85,0
2015-06-12,65.53,66.61,65.36,66.57,55.18,1286400,0.0,0
2015-06-15,66.41,66.58,65.33,65.96,54.68,1239400,0.0,0
2015-06-16,66.42,67.01,65.91,67.0,55.54,957700,0.0,0
2015-06-17,67.07,67.73,66.47,67.67,56.09,1078800,0.0,0
2015-06-18,67.49,69.12,67.48,68.79,57.02,1730600,0.0,0
2015-06-19,68.5,68.5,67.6,67.93,56.31,1126200,0.0,0
2015-06-22,68.09,68.5,67.47,67.56,56.0,553200,0.0,0
2015-06-23,67.47,67.7,66.74,66.82,55.39,780700,0.0,0
2015-06-24,67.0,67.25,66.39,66.44,55.07,448600,0.0,0
2015-06-25,66.29,66.63,66.02,66.21,54.88,809600,0.0,0
2015-06-26,66.33,66.81,65.97,66.52,55.14,1801200,0.0,0
2015-06-29,66.36,67.36,65.75,65.89,54.62,966500,0.0,0
2015-06-30,66.13,67.18,65.66,66.68,55.27,1916600,0.0,0
2015-07-01,67.06,68.62,66.08,68.46,56.75,2419400,0.0,0
2015-07-02,68.8,69.46,68.27,68.91,57.12,1490400,0.0,0
2015-07-06,68.76,69.07,68.51,68.83,57.05,1147100,0.0,0
2015-07-07,69.0,69.83,68.59,69.03,57.22,1050100,0.0,0
2015-07-08,68.56,69.05,68.37,68.79,57.02,616500,0.0,0
2015-07-09,68.77,69.56,67.7,67.93,56.31,834900,0.0,0
2015-07-10,68.2,69.36,67.82,69.13,57.3,1300600,0.0,0
2015-07-13,69.63,69.76,67.67,68.42,56.71,1209800,0.0,0
2015-07-14,68.3,69.44,67.67,68.93,57.14,2048300,0.0,0
2015-07-15,68.64,68.73,67.53,67.54,55.99,9014600,0.0,0
2015-07-16,67.68,68.43,67.65,68.03,56.39,3037400,0.0,0
2015-07-17,68.1,68.1,67.5,67.73,56.14,1363500,0.0,0
2015-07-20,67.82,67.99,67.5,67.78,56.18,4954900,0.0,0
2015-07-21,67.79,67.79,66.5,66.5,55.12,2173900,0.0,0
2015-07-22,66.48,66.69,66.18,66.3,54.96,1594800,0.0,0
2015-07-23,66.31,66.31,64.99,65.3,54.13,1677300,0.0,0
2015-07-24,65.52,65.69,65.02,65.2,54.05,1346900,0.0,0
2015-07-27,65.15,65.4,64.87,65.01,53.89,1458700,0.0,0
2015-07-28,65.03,65.29,64.16,64.41,53.39,1691300,0.0,0
2015-07-29,64.33,65.04,64.16,64.78,53.7,1243400,0.0,0
2015-07-30,64.71,64.85,64.27,64.64,53.58,1373400,0.0,0
2015-07-31,64.46,65.31,64.0,64.27,53.27,2062000,0.0,0
2015-08-03,64.39,64.74,64.1,64.65,53.59,971100,0.0,0
2015-08-04,64.66,65.76,64.35,65.33,54.15,1514700,0.0,0
2015-08-05,65.36,66.15,64.76,65.01,53.89,1712800,0.0,0
2015-08-06,64.94,65.22,64.22,65.2,54.05,1611900,0.0,0
2015-08-07,65.15,65.78,65.0,65.27,54.1,906700,0.0,0
2015-08-10,65.45,65.61,64.46,64.76,53.68,751800,0.0,0
2015-08-11,64.59,65.46,64.54,65.27,54.1,999800,0.0,0
2015-08-12,65.0,65.6,64.84,65.59,54.37,730700,0.0,0
2015-08-13,65.58,66.43,65.2,66.09,54.78,1339500,0.0,0
2015-08-14,65.9,66.87,65.66,66.8,55.37,1075600,0.0,0
2015-08-17,66.79,67.1,66.53,67.09,55.61,703900,0.0,0
2015-08-18,67.05,67.22,66.75,67.17,55.68,678200,0.0,0
2015-08-19,66.82,67.2,66.6,66.91,55.46,670400,0.0,0
2015-08-20,66.65,67.21,66.43,66.67,55.26,729300,0.0,0
2015-08-21,66.27,67.2,65.8,65.95,54.67,1444200,0.0,0
2015-08-24,63.49,63.75,62.14,62.88,52.12,1900500,0.0,0
2015-08-25,64.37,64.43,61.73,61.8,51.23,1705200,0.0,0
2015-08-26,62.62,63.51,62.04,63.28,52.45,1341600,0.0,0
2015-08-27,63.68,65.45,63.09,64.69,53.62,977600,0.0,0
2015-08-28,64.72,65.16,64.51,65.01,53.89,891400,0.0,0
2015-08-31,65.01,65.01,63.22,63.32,52.49,1505600,0.0,0
2015-09-01,62.82,63.11,61.1,61.52,50.99,1425600,0.0,0
2015-09-02,62.31,62.58,61.93,62.55,51.85,923700,0.0,0
2015-09-03,63.51,64.06,62.91,63.2,52.39,1590500,0.0,0
2015-09-04,62.8,63.25,61.7,62.15,51.52,1016800,0.0,0
2015-09-08,62.96,63.39,62.09,63.32,52.49,1346900,0.0,0
2015-09-09,63.5,63.63,61.61,61.69,51.14,1059200,0.0,0
2015-09-10,61.67,62.4,61.51,61.75,51.19,902500,0.0,0
2015-09-11,60.9,61.97,60.66,61.71,51.87,824800,0.85,0
2015-09-14,62.0,62.65,61.71,62.4,52.45,821400,0.0,0
2015-09-15,62.39,63.39,62.14,63.0,52.95,834700,0.0,0
2015-09-16,62.91,64.14,62.84,63.93,53.73,622100,0.0,0
2015-09-17,63.75,65.31,63.22,64.46,54.18,790400,0.0,0
2015-09-18,63.77,65.45,63.77,64.72,54.4,1477500,0.0,0
2015-09-21,64.78,65.34,64.74,64.97,54.61,745600,0.0,0
2015-09-22,64.4,64.72,63.59,63.94,53.74,949400,0.0,0
2015-09-23,64.16,64.48,63.69,64.15,53.92,945000,0.0,0
2015-09-24,64.09,64.4,63.34,63.91,53.72,926100,0.0,0
2015-09-25,63.98,64.29,63.55,63.98,53.77,780300,0.0,0
2015-09-28,63.64,63.81,62.42,62.85,52.82,847900,0.0,0
2015-09-29,63.47,64.07,62.7,63.53,53.4,2157000,0.0,0
