Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,81.89,81.89,79.99,80.42,80.42,1859900,0,0
2015-04-28,80.21,80.46,79.55,79.97,79.97,1244900,0,0
2015-04-29,79.79,80.15,77.41,77.47,77.47,3176800,0,0
2015-04-30,77.32,77.8,76.14,76.41,76.41,3134200,0,0
2015-05-01,76.37,77.88,76.14,77.73,77.73,2096900,0,0
2015-05-04,77.73,77.81,76.83,77.31,77.31,2037900,0,0
2015-05-05,76.92,77.48,76.18,76.34,76.34,2098000,0,0
2015-05-06,76.38,77.32,76.1,77.15,77.15,1811900,0,0
2015-05-07,77.3,78.35,76.88,78.01,78.01,1804400,0,0
2015-05-08,78.61,79.75,78.42,79.18,79.18,1771800,0,0
2015-05-11,79.05,79.37,78.64,78.98,78.98,1879400,0,0
2015-05-12,78.61,79.68,78.44,79.21,79.21,1640700,0,0
2015-05-13,79.18,79.47,77.67,77.85,77.85,1917300,0,0
2015-05-14,78.15,78.4,76.82,76.97,76.97,2213300,0,0
2015-05-15,77.14,78.4,76.82,78.37,78.37,2279900,0,0
2015-05-18,78.43,78.52,77.66,78.42,78.42,1959300,0,0
2015-05-19,78.39,78.65,77.43,77.55,77.55,2138500,0,0
2015-05-20,77.66,77.7,76.03,76.26,76.26,3496900,0,0
2015-05-21,75.05,80.22,74.51,78.68,78.68,8598500,0,0
2015-05-22,78.25,78.49,76.97,77.18,77.18,3717700,0,0
2015-05-26,77.14,77.52,75.35,75.5,75.5,2928000,0,0
2015-05-27,75.72,76.54,75.54,76.34,76.34,1679500,0,0
2015-05-28,76.36,76.74,75.66,76.19,76.19,1640700,0,0
2015-05-29,75.92,76.31,74.86,74.99,74.99,2157900,0,0
2015-06-01,74.65,77.28,74.65,76.98,76.98,3103400,0,0
2015-06-02,76.59,78.47,76.34,77.69,77.69,3101400,0,0
2015-06-03,77.95,79.32,77.38,79.08,79.08,2693200,0,0
2015-06-04,78.48,79.86,77.89,78.83,78.83,2663400,0,0
2015-06-05,78.62,78.96,77.4,77.64,77.64,2244900,0,0
2015-06-08,77.5,77.91,77.06,77.11,77.11,1215600,0,0
2015-06-09,77.0,77.4,76.27,77.09,77.09,1702700,0,0
2015-06-10,77.41,78.31,76.93,78.23,78.23,1725600,0,0
2015-06-11,78.62,79.21,78.29,78.63,78.63,1644100,0,0
2015-06-12,78.45,79.44,78.37,78.77,78.77,1568000,0,0
2015-06-15,78.13,78.49,77.61,77.91,77.91,1335200,0,0
2015-06-16,77.37,78.75,77.37,78.55,78.55,1326900,0,0
2015-06-17,78.97,79.9,78.62,79.72,79.72,2124100,0,0
2015-06-18,79.96,81.13,79.96,80.31,80.31,1833400,0,0
2015-06-19,80.37,80.84,79.56,79.56,79.56,2181800,0,0
2015-06-22,80.08,80.68,79.95,80.64,80.64,1439500,0,0
2015-06-23,80.33,81.03,80.09,80.37,80.37,1414700,0,0
2015-06-24,80.4,80.98,80.17,80.57,80.57,1376800,0,0
2015-06-25,80.62,80.96,80.26,80.46,80.46,1404200,0,0
2015-06-26,80.77,81.71,80.48,81.66,81.66,2263700,0,0
