Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,59.78,61.01,59.52,60.94,53.56,2575500,0.0,0.0
2015-04-28,60.68,61.25,60.56,61.16,53.76,2700300,0.0,0.0
2015-04-29,60.74,62.55,60.4,61.84,54.35,3374400,0.0,0.0
2015-04-30,61.62,61.99,60.91,61.16,53.76,2616500,0.0,0.0
2015-05-01,61.16,61.71,60.5,60.83,53.46,3524800,0.0,0.0
2015-05-04,60.85,61.41,60.58,61.0,53.61,1931800,0.0,0.0
2015-05-05,61.16,62.08,60.56,60.74,53.39,1473800,0.0,0.0
2015-05-06,61.33,61.39,60.49,60.87,53.5,1695600,0.0,0.0
2015-05-07,60.65,60.79,59.96,60.06,52.78,2465900,0.0,0.0
2015-05-08,61.28,61.39,60.22,60.68,53.33,2161700,0.0,0.0
2015-05-11,60.78,60.99,60.4,60.57,53.23,1152900,0.0,0.0
2015-05-12,60.32,61.15,60.28,60.91,53.53,1152300,0.0,0.0
2015-05-13,61.17,61.96,61.11,61.68,54.21,1867000,0.0,0.0
2015-05-14,62.02,62.36,61.6,61.8,54.32,1591500,0.0,0.0
2015-05-15,61.79,61.84,60.73,61.35,53.92,1157700,0.0,0.0
2015-05-18,61.29,61.57,60.9,61.29,53.87,1076300,0.0,0.0
2015-05-19,60.95,61.23,60.2,61.16,53.76,2342500,0.0,0.0
2015-05-20,61.37,62.2,60.95,61.64,54.17,1440400,0.0,0.0
2015-05-21,61.59,63.16,61.5,62.65,55.06,2199400,0.0,0.0
2015-05-22,62.82,63.17,62.33,62.82,55.21,2325300,0.0,0.0
2015-05-26,62.42,62.78,62.07,62.34,54.79,2154800,0.0,0.0
2015-05-27,62.18,62.33,61.46,61.99,54.83,1353700,0.4,0.0
2015-05-28,61.74,62.18,61.27,61.85,54.71,1887800,0.0,0.0
2015-05-29,61.7,61.81,60.71,60.9,53.87,2032300,0.0,0.0
2015-06-01,61.28,61.28,60.51,60.72,53.71,1824800,0.0,0.0
2015-06-02,60.46,61.72,60.35,61.24,54.17,2722900,0.0,0.0
2015-06-03,61.42,62.12,60.91,61.23,54.16,1764100,0.0,0.0
2015-06-04,60.84,60.84,59.4,59.52,52.64,2328400,0.0,0.0
2015-06-05,59.47,59.95,59.08,59.6,52.72,1390800,0.0,0.0
2015-06-08,59.31,59.5,58.68,58.77,51.99,1809200,0.0,0.0
2015-06-09,58.9,59.51,58.26,58.49,51.74,3148100,0.0,0.0
2015-06-10,59.09,59.75,58.84,59.26,52.42,2080700,0.0,0.0
2015-06-11,59.4,59.5,58.8,59.27,52.43,1183700,0.0,0.0
2015-06-12,59.1,59.31,58.87,59.07,52.25,1136200,0.0,0.0
2015-06-15,58.48,58.68,57.88,58.07,51.37,1598800,0.0,0.0
2015-06-16,58.07,58.17,57.57,58.09,51.38,1500400,0.0,0.0
2015-06-17,58.34,58.93,58.34,58.71,51.93,1583100,0.0,0.0
2015-06-18,58.79,59.71,58.41,59.31,52.47,2013900,0.0,0.0
2015-06-19,59.15,59.18,58.53,58.59,51.83,1545800,0.0,0.0
2015-06-22,58.86,58.89,58.38,58.61,51.84,972300,0.0,0.0
2015-06-23,58.51,58.77,58.24,58.61,51.84,724300,0.0,0.0
2015-06-24,58.62,58.8,58.04,58.24,51.52,870600,0.0,0.0
2015-06-25,58.35,58.35,57.33,57.33,50.71,877800,0.0,0.0
2015-06-26,57.42,57.69,57.13,57.49,50.85,3681300,0.0,0.0
2015-06-29,56.72,57.43,56.53,56.62,50.08,1224800,0.0,0.0
2015-06-30,57.38,57.68,56.63,56.69,50.14,1722300,0.0,0.0
2015-07-01,57.22,57.33,56.39,56.57,50.04,1626600,0.0,0.0
2015-07-02,56.93,57.16,56.37,56.53,50.01,1800200,0.0,0.0
2015-07-06,55.87,56.77,55.67,56.1,49.62,1583700,0.0,0.0
2015-07-07,56.11,56.51,55.26,56.36,49.85,2262900,0.0,0.0
2015-07-08,55.88,56.11,54.73,54.99,48.64,1951000,0.0,0.0
2015-07-09,56.06,56.06,54.31,54.31,48.04,2336800,0.0,0.0
2015-07-10,53.31,54.06,52.25,52.73,46.64,3809900,0.0,0.0
2015-07-13,53.05,53.56,52.6,53.31,47.16,3497100,0.0,0.0
2015-07-14,53.18,54.01,52.92,53.72,47.52,2361600,0.0,0.0
2015-07-15,53.58,53.58,52.67,53.16,47.02,1935400,0.0,0.0
2015-07-16,53.52,53.99,53.44,53.57,47.39,2171400,0.0,0.0
2015-07-17,53.48,54.14,53.38,53.61,47.42,1850000,0.0,0.0
2015-07-20,53.55,53.85,53.29,53.55,47.37,1660500,0.0,0.0
2015-07-21,52.21,53.33,51.65,52.21,46.19,4155700,0.0,0.0
2015-07-22,51.95,52.63,51.72,52.14,46.12,1740700,0.0,0.0
2015-07-23,52.12,52.66,52.0,52.12,46.1,2149000,0.0,0.0
2015-07-24,52.25,52.32,51.62,51.78,45.8,2048300,0.0,0.0
2015-07-27,51.37,51.71,51.03,51.66,45.69,3196700,0.0,0.0
2015-07-28,51.95,52.15,51.32,51.9,45.91,2916700,0.0,0.0
2015-07-29,51.81,52.96,51.72,52.81,46.71,1434800,0.0,0.0
2015-07-30,52.78,52.78,51.94,52.2,46.17,1715900,0.0,0.0
2015-07-31,52.39,52.67,51.53,51.75,45.78,2296800,0.0,0.0
2015-08-03,51.42,51.53,50.58,50.69,44.84,2017400,0.0,0.0
2015-08-04,51.11,51.69,50.65,50.78,44.92,3658200,0.0,0.0
2015-08-05,51.2,52.35,51.2,51.45,45.51,1914500,0.0,0.0
2015-08-06,51.51,52.17,50.96,51.75,45.78,1404100,0.0,0.0
2015-08-07,51.58,52.46,51.37,51.58,45.63,1317400,0.0,0.0
2015-08-10,52.01,53.54,51.83,53.36,47.2,1734600,0.0,0.0
2015-08-11,52.58,52.67,51.73,52.04,46.04,1189900,0.0,0.0
2015-08-12,51.74,52.46,51.29,52.22,46.19,1243900,0.0,0.0
2015-08-13,52.3,52.3,51.64,52.01,46.01,1342100,0.0,0.0
2015-08-14,51.95,52.41,51.59,51.66,45.69,1606400,0.0,0.0
2015-08-17,51.54,52.29,51.11,52.02,46.01,1627700,0.0,0.0
2015-08-18,51.93,51.94,51.36,51.67,45.71,1132300,0.0,0.0
2015-08-19,51.32,51.53,50.37,50.71,44.86,1321300,0.0,0.0
2015-08-20,50.36,50.69,49.43,49.43,43.72,1650800,0.0,0.0
2015-08-21,49.12,49.33,48.27,48.28,42.71,2088200,0.0,0.0
2015-08-24,45.65,48.47,44.83,46.77,41.37,2503100,0.0,0.0
2015-08-25,48.16,48.39,45.19,45.23,40.01,2560800,0.0,0.0
2015-08-26,46.08,47.09,45.53,47.04,41.61,3083800,0.0,0.0
2015-08-27,47.55,48.74,47.26,48.45,43.24,1964200,0.42,0.0
2015-08-28,48.13,49.11,48.02,48.76,43.52,1792700,0.0,0.0
2015-08-31,49.0,50.4,48.31,50.04,44.66,3554700,0.0,0.0
2015-09-01,48.74,49.07,47.44,47.67,42.55,2348800,0.0,0.0
2015-09-02,48.22,48.38,47.26,48.13,42.96,1707800,0.0,0.0
2015-09-03,47.88,48.69,47.82,48.03,42.87,2022700,0.0,0.0
2015-09-04,47.37,47.67,46.83,47.38,42.29,1918400,0.0,0.0
2015-09-08,48.74,49.85,48.4,49.68,44.34,2542100,0.0,0.0
2015-09-09,50.18,50.54,48.83,48.86,43.61,2021100,0.0,0.0
2015-09-10,48.89,49.2,48.42,48.73,43.49,1333400,0.0,0.0
2015-09-11,48.9,49.21,48.42,48.92,43.66,1616700,0.0,0.0
2015-09-14,48.75,48.95,48.21,48.45,43.24,1408700,0.0,0.0
2015-09-15,48.59,49.63,48.47,49.53,44.21,1481700,0.0,0.0
2015-09-16,49.57,50.26,49.54,50.13,44.74,1623000,0.0,0.0
2015-09-17,49.92,50.49,49.56,49.68,44.34,2094900,0.0,0.0
2015-09-18,48.99,49.58,48.84,49.16,43.88,5889100,0.0,0.0
2015-09-21,49.27,49.52,48.38,48.47,43.26,1575700,0.0,0.0
2015-09-22,47.77,48.18,47.13,47.71,42.59,1777600,0.0,0.0
2015-09-23,47.71,47.89,46.4,46.73,41.71,1862800,0.0,0.0
2015-09-24,46.07,47.05,45.44,46.8,41.77,1997100,0.0,0.0
2015-09-25,47.12,47.39,46.73,46.91,41.86,1677800,0.0,0.0
2015-09-28,46.43,46.44,45.48,45.64,40.73,1525900,0.0,0.0
2015-09-29,45.79,46.03,45.28,45.64,40.73,2157400,0.0,0.0
2015-09-30,46.16,46.52,45.3,46.19,41.22,2701600,0.0,0.0
2015-10-01,46.29,46.68,45.21,45.65,40.74,1670500,0.0,0.0
2015-10-02,45.23,46.87,44.98,46.83,41.8,2379500,0.0,0.0
2015-10-05,47.22,48.97,46.87,48.68,43.44,2235500,0.0,0.0
2015-10-06,48.7,49.68,48.44,49.45,44.14,2166100,0.0,0.0
2015-10-07,49.94,51.45,48.99,50.02,44.65,2811300,0.0,0.0
2015-10-08,49.92,51.9,49.88,51.57,46.02,2139600,0.0,0.0
2015-10-09,51.7,51.86,49.67,49.68,44.34,3136400,0.0,0.0
2015-10-12,49.81,50.05,48.86,49.18,43.89,1719200,0.0,0.0
2015-10-13,48.85,49.49,48.65,48.73,43.49,1888900,0.0,0.0
2015-10-14,48.55,48.73,47.82,47.94,42.79,1598000,0.0,0.0
2015-10-15,48.01,48.42,47.17,48.3,43.11,1944100,0.0,0.0
2015-10-16,48.29,48.31,46.71,47.34,42.25,2270200,0.0,0.0
2015-10-19,46.98,47.28,46.44,46.62,41.61,2771600,0.0,0.0
2015-10-20,47.54,50.74,46.95,49.7,44.36,5791100,0.0,0.0
2015-10-21,49.89,51.42,49.46,49.98,44.61,3753600,0.0,0.0
2015-10-22,50.33,52.74,50.02,51.7,46.14,4444200,0.0,0.0
2015-10-23,52.47,52.47,51.37,52.05,46.46,2081200,0.0,0.0
2015-10-26,52.05,52.34,51.29,51.63,46.08,1447800,0.0,0.0
2015-10-27,50.85,50.99,50.11,50.44,45.02,1669800,0.0,0.0
2015-10-28,50.69,51.74,50.46,51.54,46.0,2140900,0.0,0.0
2015-10-29,51.22,52.06,51.21,51.76,46.2,1738800,0.0,0.0
2015-10-30,51.84,52.33,51.61,52.04,46.45,2400700,0.0,0.0
2015-11-02,51.98,52.92,51.79,52.7,47.03,1317200,0.0,0.0
2015-11-03,52.89,53.47,52.63,52.82,47.14,1690800,0.0,0.0
2015-11-04,53.08,53.73,52.42,52.5,46.86,1591800,0.0,0.0
2015-11-05,52.36,52.75,51.67,52.1,46.5,1589700,0.0,0.0
2015-11-06,51.84,52.26,51.15,52.09,46.49,1237200,0.0,0.0
2015-11-09,51.97,52.1,50.98,51.62,46.07,1072300,0.0,0.0
2015-11-10,51.41,52.01,50.96,51.69,46.13,1338600,0.0,0.0
2015-11-11,51.8,51.8,50.96,51.28,45.77,1150400,0.0,0.0
2015-11-12,51.52,51.76,50.44,51.62,46.07,4098500,0.0,0.0
2015-11-13,51.58,52.52,50.9,50.97,45.49,2448500,0.0,0.0
2015-11-16,50.94,51.99,50.82,51.95,46.37,1225300,0.0,0.0
2015-11-17,51.99,52.1,51.26,51.4,45.87,1240900,0.0,0.0
2015-11-18,51.58,52.54,51.19,52.48,46.84,1276300,0.0,0.0
2015-11-19,52.42,52.8,52.05,52.79,47.11,966100,0.0,0.0
2015-11-20,53.0,53.45,52.68,52.84,47.16,1329300,0.0,0.0
2015-11-23,52.69,53.16,52.45,52.71,47.04,1385900,0.0,0.0
2015-11-24,52.54,53.45,52.51,53.24,47.52,2165800,0.0,0.0
2015-11-25,52.92,53.16,52.37,52.58,47.31,1282400,0.42,0.0
2015-11-27,52.4,52.69,52.19,52.58,47.3,670900,0.0,0.0
2015-11-30,52.67,53.44,52.54,53.23,47.89,2064300,0.0,0.0
2015-12-01,53.07,54.02,53.05,53.77,48.37,2233900,0.0,0.0
2015-12-02,53.62,53.76,52.34,52.54,47.27,1821300,0.0,0.0
2015-12-03,52.62,53.38,52.13,53.04,47.71,3433900,0.0,0.0
2015-12-04,52.32,53.17,51.72,52.3,47.05,3273600,0.0,0.0
2015-12-07,51.73,52.12,51.06,51.87,46.67,2436700,0.0,0.0
2015-12-08,51.16,51.59,50.01,50.97,45.85,2421600,0.0,0.0
2015-12-09,50.76,52.02,50.63,51.21,46.07,1839400,0.0,0.0
2015-12-10,51.16,51.95,51.05,51.52,46.35,1714000,0.0,0.0
2015-12-11,50.84,50.99,49.77,49.87,44.86,1824900,0.0,0.0
2015-12-14,49.94,50.15,49.05,50.12,45.09,2069500,0.0,0.0
2015-12-15,50.53,50.74,49.99,50.17,45.13,1631900,0.0,0.0
2015-12-16,49.01,50.74,48.59,49.64,44.65,3150300,0.0,0.0
2015-12-17,49.44,49.71,47.86,48.03,43.21,2600400,0.0,0.0
2015-12-18,47.72,48.35,47.21,47.25,42.51,3080300,0.0,0.0
2015-12-21,47.52,47.96,47.28,47.79,43.0,1574700,0.0,0.0
2015-12-22,47.96,48.7,47.77,48.34,43.49,1518400,0.0,0.0
2015-12-23,48.83,50.48,48.83,50.14,45.1,1856000,0.0,0.0
2015-12-24,50.11,50.67,50.06,50.4,45.34,1357900,0.0,0.0
2015-12-28,50.24,50.45,49.92,50.33,45.28,2558200,0.0,0.0
2015-12-29,50.65,51.17,49.88,50.22,45.18,1481600,0.0,0.0
2015-12-30,49.93,50.46,49.72,49.82,44.82,993600,0.0,0.0
2015-12-31,49.49,50.11,49.28,49.52,44.55,718100,0.0,0.0
2016-01-04,48.56,49.81,48.33,49.79,44.79,2428900,0.0,0.0
2016-01-05,49.81,49.98,48.44,48.84,43.94,1335000,0.0,0.0
2016-01-06,48.01,48.51,47.58,47.81,43.01,1532000,0.0,0.0
2016-01-07,46.93,47.79,46.63,47.12,42.39,2011100,0.0,0.0
2016-01-08,47.3,47.53,46.55,46.72,42.03,2681500,0.0,0.0
2016-01-11,46.85,47.08,45.68,46.02,41.4,2736100,0.0,0.0
2016-01-12,46.81,47.04,44.49,45.61,41.04,5218000,0.0,0.0
2016-01-13,45.01,46.45,44.61,44.68,40.2,2506400,0.0,0.0
2016-01-14,44.73,45.57,43.81,45.0,40.48,3856800,0.0,0.0
2016-01-15,43.41,43.54,42.57,42.73,38.44,3735400,0.0,0.0
2016-01-19,43.21,43.59,42.54,43.0,38.69,2583700,0.0,0.0
2016-01-20,42.41,42.79,41.12,42.53,38.26,2416800,0.0,0.0
2016-01-21,42.42,43.55,42.0,42.69,38.4,1818900,0.0,0.0
2016-01-22,43.7,44.1,42.61,43.05,38.72,2702600,0.0,0.0
2016-01-25,42.96,43.33,42.4,42.86,38.56,3059200,0.0,0.0
2016-01-26,43.38,46.19,43.25,45.28,40.74,5140700,0.0,0.0
2016-01-27,45.05,45.98,44.36,44.68,40.19,2607800,0.0,0.0
2016-01-28,45.73,46.03,44.89,45.74,41.14,2566100,0.0,0.0
2016-01-29,45.95,47.25,45.95,47.21,42.47,2651700,0.0,0.0
2016-02-01,46.18,46.94,46.0,46.7,42.02,2491800,0.0,0.0
2016-02-02,46.16,46.35,45.54,45.9,41.29,3900900,0.0,0.0
2016-02-03,46.41,47.3,45.06,47.04,42.32,3112200,0.0,0.0
2016-02-04,47.05,49.5,47.04,48.2,43.36,2490100,0.0,0.0
2016-02-05,48.03,48.77,47.72,48.42,43.56,1852700,0.0,0.0
2016-02-08,47.78,48.34,47.42,48.2,43.36,1554900,0.0,0.0
2016-02-09,47.57,48.06,46.41,46.95,42.24,2945800,0.0,0.0
2016-02-10,47.06,47.67,45.96,46.05,41.43,2323300,0.0,0.0
2016-02-11,45.17,46.38,44.67,46.24,41.6,2781000,0.0,0.0
2016-02-12,46.83,48.04,46.36,47.81,43.01,1977000,0.0,0.0
2016-02-16,48.34,48.71,47.46,48.7,43.81,1926600,0.0,0.0
2016-02-17,49.21,50.34,48.96,49.8,44.8,1945200,0.0,0.0
2016-02-18,49.7,50.31,49.35,49.8,44.8,1813900,0.0,0.0
2016-02-19,49.65,49.69,48.63,48.97,44.05,2708600,0.0,0.0
2016-02-22,49.66,50.13,49.4,49.64,44.65,3114000,0.0,0.0
2016-02-23,49.56,49.92,48.67,48.77,43.88,1412300,0.0,0.0
2016-02-24,47.93,48.51,46.97,48.29,43.44,2161600,0.0,0.0
2016-02-25,48.28,48.99,47.83,48.9,44.38,1745800,0.42,0.0
2016-02-26,49.48,49.75,49.14,49.36,44.8,1174700,0.0,0.0
2016-02-29,49.49,49.86,49.05,49.1,44.55,1446300,0.0,0.0
2016-03-01,49.67,50.3,49.07,50.3,45.65,1373900,0.0,0.0
2016-03-02,49.8,50.74,49.78,50.53,45.86,3199800,0.0,0.0
2016-03-03,50.61,50.96,50.23,50.44,45.78,1883100,0.0,0.0
2016-03-04,50.67,51.57,50.23,51.05,46.33,1399000,0.0,0.0
2016-03-07,50.85,52.8,50.85,52.68,47.81,2186400,0.0,0.0
2016-03-08,52.04,52.2,50.94,50.99,46.27,2260000,0.0,0.0
2016-03-09,51.01,51.19,49.56,50.17,45.53,2322600,0.0,0.0
2016-03-10,50.12,50.15,48.76,49.28,44.72,2111700,0.0,0.0
2016-03-11,49.93,50.86,49.73,50.71,46.02,1843000,0.0,0.0
2016-03-14,50.4,50.86,50.09,50.36,45.7,1208200,0.0,0.0
2016-03-15,47.66,49.78,47.58,49.67,45.08,2976700,0.0,0.0
2016-03-16,49.66,51.55,49.6,51.47,46.71,2192600,0.0,0.0
2016-03-17,51.54,53.66,51.54,52.98,48.08,3942000,0.0,0.0
2016-03-18,53.06,53.79,52.92,53.33,48.4,2129200,0.0,0.0
2016-03-21,52.68,53.49,52.49,53.43,48.49,1263700,0.0,0.0
2016-03-22,53.01,53.73,52.92,53.55,48.6,1781800,0.0,0.0
2016-03-23,53.31,53.47,52.2,52.29,47.46,1222000,0.0,0.0
2016-03-24,52.0,52.19,51.41,52.19,47.36,1101000,0.0,0.0
2016-03-28,52.21,52.37,51.58,51.89,47.09,761200,0.0,0.0
2016-03-29,51.49,52.23,51.32,52.21,47.38,1296100,0.0,0.0
2016-03-30,52.71,52.91,51.75,51.96,47.16,1270300,0.0,0.0
2016-03-31,52.05,52.2,51.48,51.96,47.16,1276900,0.0,0.0
2016-04-01,51.45,51.91,50.52,51.81,47.02,1397900,0.0,0.0
2016-04-04,51.74,51.99,50.75,50.84,46.14,1898800,0.0,0.0
2016-04-05,50.34,50.55,49.82,50.33,45.68,1800000,0.0,0.0
2016-04-06,50.31,50.99,49.79,50.92,46.21,1346600,0.0,0.0
2016-04-07,50.59,51.09,50.36,50.66,45.98,1777000,0.0,0.0
2016-04-08,51.32,52.16,50.69,50.82,46.12,1112800,0.0,0.0
2016-04-11,51.03,51.94,50.98,51.49,46.72,1324100,0.0,0.0
2016-04-12,51.76,53.34,51.62,52.73,47.85,2135900,0.0,0.0
2016-04-13,53.0,53.51,52.75,53.41,48.47,1693800,0.0,0.0
2016-04-14,53.74,54.05,53.17,53.36,48.43,1401900,0.0,0.0
2016-04-15,53.29,53.49,53.08,53.3,48.37,1203200,0.0,0.0
2016-04-18,52.77,54.01,52.63,53.85,48.87,1071100,0.0,0.0
2016-04-19,54.27,55.22,53.94,54.9,49.83,1740100,0.0,0.0
2016-04-20,54.94,55.15,54.22,54.77,49.7,1422900,0.0,0.0
2016-04-21,53.73,54.79,52.5,53.86,48.88,2575700,0.0,0.0
2016-04-22,53.89,54.85,53.89,54.4,49.37,1540900,0.0,0.0
2016-04-25,54.59,55.04,53.7,53.95,48.96,1399900,0.0,0.0
2016-04-26,54.0,54.21,53.47,53.88,48.89,1922700,0.0,0.0
2016-04-27,53.89,54.22,53.57,53.92,48.93,2172500,0.0,0.0
2016-04-28,53.62,54.14,53.17,53.34,48.41,1873500,0.0,0.0
2016-04-29,53.27,53.89,52.71,53.07,48.16,2417500,0.0,0.0
2016-05-02,52.7,53.28,52.3,52.91,48.01,1347800,0.0,0.0
2016-05-03,52.56,52.67,51.82,52.32,47.48,1694600,0.0,0.0
2016-05-04,52.09,52.54,51.11,51.29,46.55,1128000,0.0,0.0
2016-05-05,51.7,52.02,51.13,51.22,46.48,1691900,0.0,0.0
2016-05-06,50.96,51.7,50.96,51.63,46.86,1067800,0.0,0.0
2016-05-09,51.28,51.37,50.8,50.98,46.26,1654300,0.0,0.0
2016-05-10,51.89,53.37,51.52,53.26,48.33,1896900,0.0,0.0
2016-05-11,53.16,53.68,52.87,53.35,48.42,1571000,0.0,0.0
2016-05-12,53.48,53.96,52.79,53.42,48.48,1443200,0.0,0.0
2016-05-13,53.27,53.66,52.34,52.45,47.6,1293900,0.0,0.0
2016-05-16,52.71,53.99,52.63,53.72,48.75,1386000,0.0,0.0
2016-05-17,53.6,54.2,53.39,53.82,48.84,1909300,0.0,0.0
2016-05-18,53.55,53.73,52.58,52.92,48.03,1803100,0.0,0.0
2016-05-19,52.57,52.57,51.2,51.79,47.0,2163100,0.0,0.0
2016-05-20,52.2,52.55,51.8,52.22,47.39,1276900,0.0,0.0
2016-05-23,52.07,52.46,51.71,52.16,47.33,758800,0.0,0.0
2016-05-24,52.5,53.2,52.24,53.11,48.2,937100,0.0,0.0
2016-05-25,53.36,53.98,53.34,53.85,48.87,1722500,0.0,0.0
2016-05-26,53.9,54.42,53.65,53.87,49.27,1232600,0.42,0.0
2016-05-27,53.74,54.04,53.6,53.91,49.31,639900,0.0,0.0
2016-05-31,53.96,54.26,53.59,53.92,49.32,1315700,0.0,0.0
2016-06-01,53.46,54.16,53.18,54.1,49.49,1571000,0.0,0.0
2016-06-02,53.97,54.2,53.57,54.12,49.5,1181100,0.0,0.0
2016-06-03,54.05,54.39,53.39,53.93,49.32,911100,0.0,0.0
2016-06-06,54.31,56.45,54.05,56.38,51.57,2891300,0.0,0.0
2016-06-07,56.62,57.16,56.48,56.95,52.09,2008100,0.0,0.0
2016-06-08,57.98,58.45,57.71,57.87,52.93,2245600,0.0,0.0
2016-06-09,57.26,58.38,57.26,58.22,53.25,1844300,0.0,0.0
2016-06-10,57.81,58.14,56.83,57.08,52.21,2245200,0.0,0.0
2016-06-13,56.81,57.39,56.54,56.7,51.86,1237200,0.0,0.0
2016-06-14,56.49,56.81,55.86,56.22,51.42,2173300,0.0,0.0
2016-06-15,56.11,56.89,56.07,56.28,51.47,2085100,0.0,0.0
2016-06-16,55.85,56.51,55.14,56.37,51.55,1086400,0.0,0.0
2016-06-17,56.46,57.13,56.46,56.76,51.92,2366300,0.0,0.0
2016-06-20,57.48,58.18,57.24,57.55,52.64,1271300,0.0,0.0
2016-06-21,57.35,57.47,56.77,57.21,52.32,1148300,0.0,0.0
2016-06-22,57.37,57.66,57.01,57.05,52.18,909400,0.0,0.0
2016-06-23,57.77,58.01,57.42,57.88,52.94,1193500,0.0,0.0
2016-06-24,55.58,56.02,54.35,54.49,49.84,2018300,0.0,0.0
2016-06-27,53.86,53.93,51.64,52.18,47.73,2026300,0.0,0.0
2016-06-28,52.84,53.49,52.67,53.48,48.92,1592000,0.0,0.0
2016-06-29,54.2,55.02,53.72,54.89,50.21,1739100,0.0,0.0
2016-06-30,55.05,56.0,54.59,55.99,51.21,1661600,0.0,0.0
2016-07-01,55.86,56.57,55.78,55.86,51.1,1947800,0.0,0.0
2016-07-05,55.23,55.23,54.07,54.2,49.57,2757800,0.0,0.0
2016-07-06,53.96,54.39,53.55,54.31,49.67,2691000,0.0,0.0
2016-07-07,54.88,56.26,54.76,55.52,50.78,4233200,0.0,0.0
2016-07-08,56.19,56.92,56.14,56.82,51.97,2291000,0.0,0.0
2016-07-11,57.21,57.84,56.95,57.41,52.51,1388900,0.0,0.0
2016-07-12,57.91,58.51,57.84,58.18,53.22,1442300,0.0,0.0
2016-07-13,58.27,58.7,57.68,58.42,53.43,1552500,0.0,0.0
2016-07-14,58.93,59.36,58.59,58.62,53.62,1035400,0.0,0.0
2016-07-15,58.9,59.18,58.72,59.05,54.01,1267300,0.0,0.0
2016-07-18,58.97,59.15,58.63,59.13,54.08,1001600,0.0,0.0
2016-07-19,58.72,59.14,58.56,58.94,53.91,823500,0.0,0.0
2016-07-20,58.98,59.43,58.65,59.01,53.97,1968600,0.0,0.0
2016-07-21,57.99,59.16,57.44,58.09,53.13,3630100,0.0,0.0
2016-07-22,58.01,58.05,56.74,57.57,52.65,2063700,0.0,0.0
2016-07-25,57.35,57.38,56.78,57.33,52.44,983500,0.0,0.0
2016-07-26,57.86,58.51,57.86,58.44,53.45,2421700,0.0,0.0
2016-07-27,58.68,59.14,57.71,58.03,53.08,2743000,0.0,0.0
2016-07-28,57.81,58.04,57.57,57.92,52.98,1337000,0.0,0.0
2016-07-29,57.68,57.98,57.02,57.7,52.77,1668500,0.0,0.0
2016-08-01,57.43,57.5,56.36,56.49,51.66,2297400,0.0,0.0
2016-08-02,56.43,56.56,55.38,56.28,51.47,2524200,0.0,0.0
2016-08-03,56.3,57.24,56.12,57.08,52.2,1454400,0.0,0.0
2016-08-04,57.03,58.19,57.03,57.47,52.57,1198200,0.0,0.0
