Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,59.9,60.03,58.86,58.94,50.63,1366300,0.0,0.0
2015-04-28,58.8,59.34,58.55,59.33,50.96,1060100,0.0,0.0
2015-04-29,58.77,58.78,57.55,57.59,49.47,1996800,0.0,0.0
2015-04-30,57.33,57.76,56.76,57.0,48.96,1651600,0.0,0.0
2015-05-01,57.36,57.64,57.09,57.2,49.13,1244800,0.0,0.0
2015-05-04,57.22,57.51,56.42,56.48,48.51,1262100,0.0,0.0
2015-05-05,56.43,56.47,55.17,55.2,47.41,1702400,0.0,0.0
2015-05-06,55.34,55.65,54.81,55.1,47.32,1551100,0.0,0.0
2015-05-07,55.26,56.65,55.12,56.38,48.42,1762100,0.0,0.0
2015-05-08,56.84,57.94,56.84,57.17,49.1,1343100,0.0,0.0
2015-05-11,57.06,57.79,57.03,57.35,49.26,1445900,0.0,0.0
2015-05-12,56.9,57.18,56.21,56.92,48.89,952500,0.0,0.0
2015-05-13,56.97,57.31,56.01,56.1,48.18,1639400,0.0,0.0
2015-05-14,56.43,56.8,55.92,56.66,48.67,1059200,0.0,0.0
2015-05-15,56.87,57.18,56.74,57.15,49.08,735500,0.0,0.0
2015-05-18,57.02,57.4,56.8,57.27,49.19,686400,0.0,0.0
2015-05-19,57.4,58.46,57.12,58.22,50.0,1316900,0.0,0.0
2015-05-20,58.14,58.14,57.45,57.55,49.43,815500,0.0,0.0
2015-05-21,57.35,57.81,57.26,57.72,49.57,910600,0.0,0.0
2015-05-22,57.84,58.02,57.55,57.88,49.71,821400,0.0,0.0
2015-05-26,57.84,57.95,57.03,57.37,49.27,893600,0.0,0.0
2015-05-27,57.8,58.55,57.73,58.03,49.84,1700900,0.0,0.0
2015-05-28,58.03,58.64,57.85,58.05,49.86,2224800,0.0,0.0
2015-05-29,58.3,58.78,57.79,58.59,50.32,4024400,0.0,0.0
2015-06-01,58.59,59.03,58.15,58.82,50.52,868800,0.0,0.0
2015-06-02,58.68,58.86,58.11,58.16,49.95,1125500,0.0,0.0
2015-06-03,58.31,58.5,57.88,58.39,50.15,886400,0.0,0.0
2015-06-04,58.26,58.34,57.41,57.56,49.44,1444300,0.0,0.0
2015-06-05,57.4,58.0,56.92,57.96,49.78,782000,0.0,0.0
2015-06-08,57.94,58.59,57.68,58.47,50.22,978000,0.0,0.0
2015-06-09,58.27,58.43,57.89,58.11,49.91,1067000,0.0,0.0
2015-06-10,58.13,60.0,58.02,59.85,51.4,1673100,0.0,0.0
2015-06-11,59.97,60.44,59.75,59.94,51.48,1116200,0.0,0.0
2015-06-12,60.67,61.18,60.06,60.88,52.29,1709800,0.0,0.0
2015-06-15,60.49,60.96,59.74,60.9,52.31,1205000,0.0,0.0
2015-06-16,60.94,61.21,60.6,60.73,52.16,909100,0.0,0.0
2015-06-17,60.67,61.09,60.61,61.02,52.41,954300,0.0,0.0
2015-06-18,61.46,62.04,61.27,61.82,53.1,1104500,0.0,0.0
2015-06-19,61.67,62.05,61.33,61.56,52.87,1443300,0.0,0.0
2015-06-22,62.0,62.13,61.57,62.02,53.27,1712300,0.0,0.0
2015-06-23,65.29,65.61,62.0,62.03,53.27,8489600,0.0,0.0
2015-06-24,61.86,63.94,61.63,63.32,54.39,4105600,0.0,0.0
2015-06-25,63.95,64.43,63.62,63.67,54.69,1909200,0.0,0.0
2015-06-26,64.0,65.25,63.68,65.22,56.01,3429500,0.0,0.0
2015-06-29,64.47,64.82,63.61,63.65,54.66,2504000,0.0,0.0
2015-06-30,64.31,64.36,63.31,63.54,54.57,2020800,0.0,0.0
2015-07-01,64.08,64.15,62.63,62.77,53.91,2234700,0.0,0.0
2015-07-02,63.16,63.37,62.5,62.85,53.98,1633000,0.0,0.0
2015-07-06,62.78,63.23,62.49,63.19,54.27,1731700,0.0,0.0
2015-07-07,63.35,64.56,63.01,64.45,55.35,1869500,0.0,0.0
2015-07-08,63.52,63.9,63.13,63.32,54.86,1287100,0.55,0.0
2015-07-09,64.54,65.14,63.9,63.97,55.41,2144000,0.0,0.0
2015-07-10,64.67,64.69,64.02,64.5,55.88,726300,0.0,0.0
2015-07-13,64.98,65.24,64.56,64.69,56.04,1445900,0.0,0.0
2015-07-14,64.7,64.83,64.24,64.66,56.02,1283200,0.0,0.0
2015-07-15,64.75,64.77,63.78,63.82,55.28,845200,0.0,0.0
2015-07-16,64.09,65.25,63.91,65.21,56.49,1538400,0.0,0.0
2015-07-17,65.18,65.23,64.65,64.89,56.21,843100,0.0,0.0
2015-07-20,64.98,65.9,64.9,65.21,56.49,1171000,0.0,0.0
2015-07-21,65.18,65.34,64.58,65.26,56.54,1131200,0.0,0.0
2015-07-22,65.36,67.15,65.27,66.68,57.76,2735400,0.0,0.0
2015-07-23,67.04,67.58,66.56,66.93,57.98,2104800,0.0,0.0
2015-07-24,67.17,67.17,65.16,65.32,56.58,1916300,0.0,0.0
2015-07-27,65.21,65.33,64.41,64.64,55.99,1348000,0.0,0.0
2015-07-28,64.64,64.8,64.16,64.75,56.09,1229700,0.0,0.0
2015-07-29,65.15,65.86,64.76,65.42,56.67,1354800,0.0,0.0
2015-07-30,65.33,66.19,64.72,65.97,57.15,1224800,0.0,0.0
2015-07-31,66.14,66.62,65.55,65.93,57.12,1299800,0.0,0.0
2015-08-03,66.05,66.11,65.38,66.07,57.23,1168000,0.0,0.0
2015-08-04,66.07,66.18,65.67,66.14,57.29,1017500,0.0,0.0
2015-08-05,66.26,67.48,66.26,66.96,58.01,1296900,0.0,0.0
2015-08-06,66.45,66.88,62.78,63.29,54.82,3097700,0.0,0.0
2015-08-07,63.38,64.23,62.57,64.16,55.58,1601600,0.0,0.0
2015-08-10,64.51,64.88,63.48,63.57,55.06,843300,0.0,0.0
2015-08-11,63.13,63.74,62.86,63.44,54.96,1273700,0.0,0.0
2015-08-12,62.88,63.25,62.08,63.22,54.76,1403100,0.0,0.0
2015-08-13,63.23,64.95,63.21,64.32,55.71,946000,0.0,0.0
2015-08-14,64.39,64.71,64.07,64.69,56.04,966200,0.0,0.0
