Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,83.19,83.32,81.25,81.47,67.86,1232600,0.0,0
2015-04-28,81.12,81.99,80.74,81.87,68.2,847100,0.0,0
2015-04-29,81.15,81.49,80.58,81.29,67.71,959200,0.0,0
2015-04-30,81.06,81.06,79.19,79.63,66.33,1497600,0.0,0
2015-05-01,79.82,80.11,79.15,80.08,66.7,906800,0.0,0
2015-05-04,80.27,81.29,80.1,80.61,67.15,649600,0.0,0
2015-05-05,80.66,80.66,78.58,78.69,65.55,978800,0.0,0
2015-05-06,78.68,79.01,77.19,77.95,64.93,1475400,0.0,0
2015-05-07,78.25,79.04,78.22,78.39,65.3,956600,0.0,0
2015-05-08,79.3,79.86,78.85,79.21,65.98,1220200,0.0,0
2015-05-11,79.02,80.1,78.7,78.78,65.62,863300,0.0,0
2015-05-12,78.25,78.72,77.71,78.26,65.19,993000,0.0,0
2015-05-13,78.48,78.92,76.78,77.19,64.3,1402200,0.0,0
2015-05-14,77.68,78.37,77.49,78.09,65.05,1014500,0.0,0
2015-05-15,78.34,79.24,78.22,79.14,65.92,1834300,0.0,0
2015-05-18,78.79,79.76,78.79,79.73,66.41,891300,0.0,0
2015-05-19,79.35,79.94,79.1,79.53,66.25,702700,0.0,0
2015-05-20,79.59,80.29,79.36,79.72,66.4,752100,0.0,0
2015-05-21,79.65,79.89,79.08,79.66,66.35,565800,0.0,0
2015-05-22,79.51,79.87,78.99,79.61,66.31,636200,0.0,0
2015-05-26,79.59,79.59,78.79,79.16,65.94,680200,0.0,0
2015-05-27,79.41,79.51,78.94,79.2,65.97,1174300,0.0,0
2015-05-28,79.32,79.77,78.98,79.53,66.25,775600,0.0,0
2015-05-29,79.52,79.74,79.0,79.23,66.0,867500,0.0,0
2015-06-01,79.33,79.72,79.06,79.26,66.02,666200,0.0,0
2015-06-02,78.87,78.9,77.33,77.84,64.84,1105600,0.0,0
2015-06-03,77.7,77.98,76.12,76.67,63.86,1128400,0.0,0
2015-06-04,76.36,77.11,76.25,76.68,63.87,1530500,0.0,0
2015-06-05,75.94,76.04,74.82,74.94,62.42,1838900,0.0,0
2015-06-08,74.94,75.14,74.51,74.53,62.08,1126800,0.0,0
2015-06-09,74.45,74.85,74.34,74.52,62.07,1479700,0.0,0
2015-06-10,74.96,75.3,74.5,75.03,62.5,1461400,0.0,0
2015-06-11,74.86,75.3,74.45,74.81,62.89,1304100,0.69,0
2015-06-12,74.41,74.8,74.06,74.08,62.28,777100,0.0,0
2015-06-15,74.06,74.34,73.54,73.78,62.03,915100,0.0,0
2015-06-16,73.63,74.15,73.23,74.1,62.3,949900,0.0,0
2015-06-17,74.08,75.13,74.01,74.98,63.04,1228300,0.0,0
2015-06-18,75.02,76.28,75.02,76.05,63.94,1140400,0.0,0
2015-06-19,76.07,76.41,75.63,75.69,63.63,1775700,0.0,0
2015-06-22,75.84,75.99,75.11,75.39,63.38,605000,0.0,0
2015-06-23,75.15,75.25,74.03,74.36,62.51,895700,0.0,0
2015-06-24,74.38,74.68,73.75,73.85,62.09,941200,0.0,0
2015-06-25,74.0,74.18,73.68,73.89,62.12,985100,0.0,0
2015-06-26,73.7,74.97,73.39,74.96,63.02,2025400,0.0,0
2015-06-29,75.0,75.85,74.6,74.64,62.75,1684200,0.0,0
2015-06-30,74.93,75.0,74.43,74.64,62.75,1447900,0.0,0
2015-07-01,74.75,75.26,74.53,75.24,63.25,1050900,0.0,0
2015-07-02,75.62,76.41,75.39,76.22,64.08,1327700,0.0,0
2015-07-06,76.08,76.64,75.82,76.47,64.29,1333200,0.0,0
2015-07-07,76.92,78.9,76.6,78.56,66.05,2166700,0.0,0
2015-07-08,78.26,78.88,77.85,77.96,65.54,1401200,0.0,0
2015-07-09,78.17,78.46,76.72,76.86,64.62,1190700,0.0,0
2015-07-10,77.71,78.4,76.5,77.51,65.16,971600,0.0,0
2015-07-13,77.81,77.9,76.75,77.26,64.95,984000,0.0,0
2015-07-14,77.25,77.83,76.94,77.1,64.82,632400,0.0,0
2015-07-15,77.12,77.57,76.63,77.5,65.15,779900,0.0,0
2015-07-16,77.68,78.67,77.48,78.54,66.03,770500,0.0,0
2015-07-17,78.23,78.49,77.5,77.51,65.16,1212600,0.0,0
2015-07-20,77.44,77.44,76.58,77.41,65.08,1015000,0.0,0
2015-07-21,77.41,77.56,76.34,76.66,64.45,809600,0.0,0
2015-07-22,76.76,77.52,76.61,77.14,64.85,773900,0.0,0
2015-07-23,76.86,77.06,75.59,76.17,64.04,943500,0.0,0
2015-07-24,76.54,78.04,76.54,77.36,65.04,1805900,0.0,0
2015-07-27,77.34,79.3,77.32,78.68,66.15,1433100,0.0,0
2015-07-28,78.57,78.78,78.19,78.62,66.1,1365400,0.0,0
2015-07-29,78.46,79.38,77.9,79.31,66.68,1108000,0.0,0
2015-07-30,79.03,79.95,78.9,79.55,66.88,1045300,0.0,0
2015-07-31,79.91,81.27,79.91,80.46,67.64,881800,0.0,0
2015-08-03,80.5,81.14,79.97,80.36,67.56,812300,0.0,0
2015-08-04,80.07,80.33,78.97,79.09,66.49,1022400,0.0,0
2015-08-05,79.4,79.68,78.92,79.21,66.59,586400,0.0,0
2015-08-06,79.32,79.95,78.44,79.89,67.16,997100,0.0,0
2015-08-07,79.86,81.6,79.43,81.22,68.28,1454200,0.0,0
2015-08-10,81.27,81.49,80.38,80.64,67.79,758400,0.0,0
2015-08-11,80.79,81.75,80.33,81.16,68.23,1077400,0.0,0
2015-08-12,81.01,83.31,80.71,83.02,69.8,1817100,0.0,0
2015-08-13,82.7,83.48,82.05,83.14,69.9,1067100,0.0,0
2015-08-14,82.87,83.79,82.38,83.65,70.33,887500,0.0,0
2015-08-17,83.73,84.33,83.21,84.12,70.72,855500,0.0,0
2015-08-18,83.9,84.11,83.28,83.6,70.28,802200,0.0,0
2015-08-19,83.41,84.53,83.17,84.38,70.94,1409000,0.0,0
2015-08-20,83.87,85.12,83.35,84.27,70.85,1450800,0.0,0
2015-08-21,83.63,84.21,83.15,83.15,69.9,1920700,0.0,0
2015-08-24,82.07,82.07,78.83,79.22,66.6,2028600,0.0,0
2015-08-25,79.81,80.59,76.54,76.56,64.36,1692600,0.0,0
2015-08-26,77.34,78.0,76.09,77.87,65.47,1626200,0.0,0
2015-08-27,78.31,78.99,77.67,78.97,66.39,1212800,0.0,0
2015-08-28,78.94,79.13,77.74,78.83,66.27,1031000,0.0,0
2015-08-31,78.65,78.71,77.25,78.06,65.63,1672800,0.0,0
2015-09-01,77.21,77.55,75.69,76.12,63.99,1249000,0.0,0
2015-09-02,76.88,76.93,75.37,76.01,63.9,899900,0.0,0
2015-09-03,76.51,76.92,76.06,76.38,64.21,684900,0.0,0
2015-09-04,75.5,75.9,74.64,75.01,63.06,841200,0.0,0
2015-09-08,75.89,76.53,75.56,76.28,64.13,860600,0.0,0
2015-09-09,76.38,76.82,75.04,75.15,63.18,1006800,0.0,0
2015-09-10,74.74,75.85,74.74,75.07,63.11,837200,0.0,0
2015-09-11,74.84,75.95,74.56,75.94,63.84,747200,0.0,0
2015-09-14,76.06,76.53,75.68,75.88,63.79,662000,0.0,0
2015-09-15,76.06,76.59,75.28,76.5,64.31,893900,0.0,0
2015-09-16,76.26,77.75,76.23,77.63,65.26,1320200,0.0,0
2015-09-17,77.0,79.28,76.73,78.15,66.32,1502800,0.73,0
2015-09-18,77.54,78.67,77.41,77.8,66.03,1446700,0.0,0
2015-09-21,77.95,78.36,77.66,77.98,66.18,771300,0.0,0
2015-09-22,77.59,78.09,77.07,77.27,65.58,1048100,0.0,0
2015-09-23,77.37,78.45,76.92,78.33,66.48,1114400,0.0,0
2015-09-24,77.99,78.86,77.81,78.76,66.84,1054200,0.0,0
2015-09-25,78.98,80.39,78.39,79.27,67.28,1614900,0.0,0
2015-09-28,79.27,79.75,78.68,78.77,66.85,1364200,0.0,0
2015-09-29,78.92,79.17,77.74,78.23,66.39,1926500,0.0,0
2015-09-30,78.79,80.47,78.52,80.37,68.21,1574600,0.0,0
2015-10-01,80.49,80.63,78.39,79.37,67.36,1227600,0.0,0
2015-10-02,80.22,80.6,79.02,80.6,68.4,1014900,0.0,0
2015-10-05,81.0,81.32,80.09,81.12,68.85,824100,0.0,0
2015-10-06,80.93,81.18,80.17,80.72,68.51,1142400,0.0,0
2015-10-07,80.89,80.98,80.08,80.36,68.2,848500,0.0,0
2015-10-08,80.2,81.5,80.0,81.37,69.06,655000,0.0,0
2015-10-09,81.27,81.39,80.8,81.14,68.86,830900,0.0,0
2015-10-12,81.35,82.13,81.17,81.6,69.25,708900,0.0,0
2015-10-13,81.37,82.21,81.03,81.35,69.04,1017900,0.0,0
2015-10-14,81.5,82.27,81.15,81.76,69.39,725900,0.0,0
2015-10-15,82.1,83.51,81.66,83.26,70.66,1150900,0.0,0
2015-10-16,83.66,83.98,83.0,83.35,70.74,809700,0.0,0
2015-10-19,83.44,83.67,82.84,83.64,70.98,807700,0.0,0
2015-10-20,83.14,84.2,83.06,83.82,71.14,587700,0.0,0
2015-10-21,84.25,84.64,83.6,83.78,71.1,707300,0.0,0
2015-10-22,83.93,85.04,83.77,84.87,72.03,859300,0.0,0
2015-10-23,84.22,85.36,82.98,83.33,70.72,966000,0.0,0
2015-10-26,83.57,83.67,82.33,83.5,70.87,964900,0.0,0
2015-10-27,83.23,83.64,82.71,83.49,70.86,797500,0.0,0
2015-10-28,83.47,83.82,81.32,82.17,69.74,974400,0.0,0
2015-10-29,81.66,82.14,80.12,81.15,68.87,908400,0.0,0
2015-10-30,81.38,82.07,80.98,81.59,69.24,761300,0.0,0
2015-11-02,81.6,82.27,81.12,82.16,69.73,834300,0.0,0
2015-11-03,81.78,82.52,81.47,82.46,69.98,851800,0.0,0
2015-11-04,82.46,83.18,82.25,82.71,70.19,676900,0.0,0
2015-11-05,82.53,83.48,82.38,83.0,70.44,1225800,0.0,0
2015-11-06,81.73,81.81,79.19,79.39,67.38,2058200,0.0,0
2015-11-09,79.0,79.77,78.71,79.3,67.3,1444000,0.0,0
2015-11-10,79.46,80.41,79.22,80.2,68.06,1182700,0.0,0
2015-11-11,80.34,81.03,80.17,81.0,68.74,1100600,0.0,0
2015-11-12,80.76,81.54,79.8,80.03,67.92,965300,0.0,0
2015-11-13,80.21,80.8,79.33,79.53,67.5,918700,0.0,0
2015-11-16,79.39,81.1,79.36,81.06,68.79,1119700,0.0,0
2015-11-17,80.8,81.44,79.32,79.55,67.51,843500,0.0,0
2015-11-18,79.29,80.03,78.26,79.88,67.79,1571500,0.0,0
