Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,79.6,79.73,78.18,78.37,62.39,2860900,0.0,0
2015-04-28,78.04,78.99,77.86,78.97,62.87,2626000,0.0,0
2015-04-29,78.24,78.64,77.78,78.43,62.44,3873200,0.0,0
2015-04-30,78.42,78.42,76.96,77.57,61.75,4305700,0.0,0
2015-05-01,77.71,78.13,76.87,77.9,62.01,2861400,0.0,0
2015-05-04,77.9,78.85,77.68,77.96,62.06,2745900,0.0,0
2015-05-05,77.61,77.84,76.21,76.25,60.7,3820400,0.0,0
2015-05-06,76.18,76.69,75.74,76.41,60.83,4844900,0.0,0
2015-05-07,76.4,77.11,76.4,76.81,61.15,3601600,0.0,0
2015-05-08,77.65,78.13,76.76,77.11,61.39,3378500,0.0,0
2015-05-11,77.0,77.73,76.43,76.57,60.96,2892200,0.0,0
2015-05-12,76.15,76.58,75.55,76.3,60.74,4115000,0.0,0
2015-05-13,75.73,75.99,74.04,74.44,59.88,4505800,0.795,0
2015-05-14,74.35,75.8,74.22,75.49,60.73,5111600,0.0,0
2015-05-15,75.73,76.55,75.73,76.15,61.26,3333200,0.0,0
2015-05-18,75.94,76.27,75.64,76.03,61.16,3076900,0.0,0
2015-05-19,75.59,76.35,75.56,76.19,61.29,2802900,0.0,0
2015-05-20,76.2,76.98,76.15,76.54,61.57,3395300,0.0,0
2015-05-21,76.57,76.64,76.02,76.16,61.27,3192700,0.0,0
2015-05-22,76.0,76.27,75.72,76.05,61.18,2150700,0.0,0
2015-05-26,76.03,76.14,75.3,75.76,60.95,2851500,0.0,0
2015-05-27,76.0,76.4,75.83,76.21,61.31,2789200,0.0,0
2015-05-28,76.19,76.3,75.75,75.95,61.1,3167200,0.0,0
2015-05-29,76.16,76.26,75.58,75.73,60.92,3115900,0.0,0
2015-06-01,76.26,76.36,75.69,76.0,61.14,4027000,0.0,0
2015-06-02,75.63,75.63,74.71,75.05,60.37,5105400,0.0,0
2015-06-03,75.0,75.39,73.53,74.2,59.69,5565000,0.0,0
2015-06-04,74.0,74.69,73.96,74.21,59.7,4544700,0.0,0
2015-06-05,73.5,73.8,72.85,72.85,58.61,5564700,0.0,0
2015-06-08,72.68,72.85,72.26,72.45,58.28,4761700,0.0,0
2015-06-09,72.37,72.93,72.08,72.13,58.03,3618200,0.0,0
2015-06-10,72.58,73.0,72.01,72.05,57.96,3512300,0.0,0
2015-06-11,72.58,73.17,72.56,72.86,58.61,3427300,0.0,0
2015-06-12,72.38,73.03,72.34,72.53,58.35,3788100,0.0,0
2015-06-15,72.4,72.9,72.17,72.5,58.32,2928200,0.0,0
2015-06-16,72.62,72.71,72.14,72.57,58.38,3215200,0.0,0
2015-06-17,72.52,73.2,71.94,73.08,58.79,3861500,0.0,0
2015-06-18,73.21,74.59,73.21,74.54,59.96,4779000,0.0,0
2015-06-19,74.35,74.52,73.14,73.2,58.89,7284800,0.0,0
2015-06-22,73.46,73.55,72.91,73.07,58.78,2246200,0.0,0
2015-06-23,72.92,73.12,71.77,71.78,57.74,3937400,0.0,0
2015-06-24,72.01,72.25,70.93,70.93,57.06,4908400,0.0,0
2015-06-25,71.19,71.33,70.68,70.68,56.86,2899700,0.0,0
2015-06-26,70.59,71.37,70.47,71.0,57.12,4537300,0.0,0
2015-06-29,71.08,71.71,70.82,70.85,57.0,3219700,0.0,0
2015-06-30,70.99,71.04,70.41,70.62,56.81,3911300,0.0,0
2015-07-01,70.8,71.12,70.24,71.08,57.18,2372500,0.0,0
2015-07-02,71.68,72.64,71.43,72.53,58.35,3377400,0.0,0
2015-07-06,72.37,73.0,72.22,72.85,58.61,2830200,0.0,0
2015-07-07,73.22,75.71,73.22,75.27,60.55,6836500,0.0,0
2015-07-08,74.83,75.57,74.7,74.79,60.17,2918900,0.0,0
2015-07-09,74.95,75.23,73.69,74.07,59.59,4500100,0.0,0
2015-07-10,74.38,75.17,73.98,74.37,59.83,2381600,0.0,0
2015-07-13,74.57,74.94,73.94,74.35,59.81,2796000,0.0,0
2015-07-14,74.56,74.81,73.5,73.8,59.37,3372500,0.0,0
2015-07-15,73.7,74.15,73.36,74.02,59.55,2521500,0.0,0
2015-07-16,74.11,74.99,74.07,74.81,60.18,3137300,0.0,0
2015-07-17,74.49,74.74,73.5,73.57,59.18,3779600,0.0,0
2015-07-20,73.6,73.78,72.77,73.27,58.94,2897000,0.0,0
2015-07-21,73.2,73.2,72.02,72.42,58.26,2939800,0.0,0
2015-07-22,72.46,73.02,72.29,72.37,58.22,3316600,0.0,0
2015-07-23,72.26,72.31,71.02,71.56,57.57,3358700,0.0,0
2015-07-24,71.57,72.02,71.25,71.69,57.67,1817700,0.0,0
2015-07-27,71.76,73.31,71.75,73.0,58.73,3104000,0.0,0
2015-07-28,72.8,73.38,72.68,73.13,58.83,3242800,0.0,0
2015-07-29,72.93,73.27,72.41,73.11,58.81,2797100,0.0,0
2015-07-30,72.75,73.68,72.68,73.45,59.09,2479200,0.0,0
2015-07-31,74.2,74.93,74.03,74.22,59.71,2761200,0.0,0
2015-08-03,74.3,75.08,74.29,74.96,60.3,2754400,0.0,0
2015-08-04,74.88,74.88,73.77,73.92,59.47,2413800,0.0,0
2015-08-05,74.2,74.49,73.66,73.98,59.51,1979300,0.0,0
2015-08-06,73.98,73.98,72.65,73.84,59.4,4098000,0.0,0
2015-08-07,73.59,75.34,73.14,75.15,60.46,3637500,0.0,0
2015-08-10,75.15,75.41,74.59,74.81,60.18,3594500,0.0,0
2015-08-11,75.04,75.88,74.57,75.29,60.57,3431800,0.0,0
2015-08-12,74.4,76.05,74.22,75.56,61.46,4380600,0.825,0
2015-08-13,75.38,75.83,74.67,75.58,61.47,2690600,0.0,0
2015-08-14,75.37,76.48,75.14,76.37,62.12,2455800,0.0,0
2015-08-17,76.45,76.94,76.14,76.52,62.24,2401600,0.0,0
2015-08-18,76.39,76.49,76.0,76.24,62.01,2681100,0.0,0
2015-08-19,76.1,77.39,75.61,77.21,62.8,4422200,0.0,0
2015-08-20,76.78,77.45,76.25,76.77,62.44,3740000,0.0,0
2015-08-21,76.15,77.53,75.87,76.71,62.39,6031900,0.0,0
2015-08-24,74.66,75.19,72.03,72.44,58.92,7492800,0.0,0
2015-08-25,73.27,74.12,70.15,70.21,57.11,5583000,0.0,0
2015-08-26,71.22,71.94,70.53,71.74,58.35,6795900,0.0,0
2015-08-27,72.23,72.82,71.7,72.52,58.99,4762900,0.0,0
2015-08-28,72.6,72.6,71.16,72.39,58.88,3022400,0.0,0
2015-08-31,71.84,72.35,70.35,70.91,57.68,4338400,0.0,0
2015-09-01,70.26,70.29,68.66,69.05,56.16,3813100,0.0,0
2015-09-02,69.68,69.78,68.67,69.16,56.25,3501800,0.0,0
2015-09-03,69.54,69.74,69.03,69.28,56.35,2329300,0.0,0
2015-09-04,68.7,68.9,67.98,68.26,55.52,3287700,0.0,0
2015-09-08,68.8,69.37,68.54,69.36,56.42,2895200,0.0,0
2015-09-09,69.63,69.76,68.1,68.21,55.48,3278600,0.0,0
2015-09-10,68.2,68.5,67.49,67.74,55.1,3225600,0.0,0
2015-09-11,67.64,68.36,67.27,68.34,55.59,3046100,0.0,0
2015-09-14,68.4,68.86,68.11,68.31,55.56,2126500,0.0,0
2015-09-15,68.36,68.9,67.69,68.59,55.79,2996300,0.0,0
2015-09-16,68.92,69.42,68.63,69.18,56.27,3410400,0.0,0
2015-09-17,69.23,70.98,69.02,69.91,56.86,4229200,0.0,0
2015-09-18,69.25,70.06,69.18,69.45,56.49,5328200,0.0,0
