Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,66.88,67.28,66.53,66.56,61.86,3083100,0.0,0
2015-04-28,66.81,67.52,66.42,67.48,62.71,2873100,0.0,0
2015-04-29,67.17,68.99,66.71,68.95,64.08,4664600,0.0,0
2015-04-30,69.16,69.16,67.36,68.21,63.39,3388700,0.0,0
2015-05-01,67.9,69.4,67.75,68.61,63.76,5235200,0.0,0
2015-05-04,68.78,69.2,68.19,69.03,64.15,2817700,0.0,0
2015-05-05,69.69,70.48,66.46,66.65,61.94,5707500,0.0,0
2015-05-06,68.6,69.68,67.0,67.48,62.71,5887300,0.0,0
2015-05-07,67.27,67.6,66.11,66.47,61.77,4426600,0.0,0
2015-05-08,67.32,67.96,66.12,67.89,63.09,3639000,0.0,0
2015-05-11,67.97,67.97,66.3,66.46,61.77,3657900,0.0,0
2015-05-12,66.43,68.1,66.33,67.57,62.8,2659300,0.0,0
2015-05-13,67.54,67.73,65.59,65.95,61.29,3437400,0.0,0
2015-05-14,66.09,66.62,65.55,65.68,61.04,2020500,0.0,0
2015-05-15,65.16,66.15,64.86,65.86,61.21,2443000,0.0,0
2015-05-18,65.09,66.35,65.06,66.24,61.56,2007900,0.0,0
2015-05-19,65.37,65.75,64.71,64.78,60.2,2795400,0.0,0
2015-05-20,65.53,65.98,64.87,65.82,61.17,2945600,0.0,0
2015-05-21,66.28,67.6,66.28,67.51,62.74,2922300,0.0,0
2015-05-22,66.84,67.96,66.64,67.47,62.7,2311000,0.0,0
2015-05-26,66.48,67.23,66.2,66.29,61.61,2577800,0.0,0
2015-05-27,66.14,66.85,65.26,66.05,61.38,1970500,0.0,0
2015-05-28,65.88,65.95,64.78,65.38,60.76,2167600,0.0,0
2015-05-29,65.48,65.7,64.79,65.22,60.61,2596400,0.0,0
2015-06-01,65.39,65.5,63.83,64.47,59.92,3266000,0.0,0
2015-06-02,64.84,65.32,64.3,64.83,60.25,2395600,0.0,0
2015-06-03,64.61,65.01,63.78,63.91,59.4,2378500,0.0,0
2015-06-04,63.38,63.57,62.93,63.08,58.62,3106900,0.0,0
2015-06-05,62.72,64.54,62.55,63.8,59.29,2740500,0.0,0
2015-06-08,63.38,63.88,62.19,62.5,58.09,3319900,0.0,0
2015-06-09,63.18,63.67,62.01,62.12,57.73,3569400,0.0,0
2015-06-10,63.03,64.07,62.49,63.81,59.3,4079400,0.0,0
2015-06-11,63.84,64.05,62.89,62.94,58.71,3200500,0.24,0
2015-06-12,62.58,62.62,61.33,61.87,57.72,3120300,0.0,0
2015-06-15,61.38,62.18,61.28,61.63,57.49,2137900,0.0,0
2015-06-16,61.62,62.54,61.5,62.46,58.27,2184400,0.0,0
2015-06-17,62.45,63.41,61.29,61.64,57.5,2355100,0.0,0
2015-06-18,61.91,62.19,61.37,61.44,57.32,1988000,0.0,0
2015-06-19,61.17,61.58,60.92,60.97,56.88,2928300,0.0,0
2015-06-22,61.15,61.55,60.56,61.35,57.23,1901300,0.0,0
2015-06-23,61.4,61.62,61.19,61.43,57.31,1780400,0.0,0
2015-06-24,61.24,61.79,60.99,61.09,56.99,1545000,0.0,0
2015-06-25,61.25,61.35,60.18,60.38,56.33,2552900,0.0,0
2015-06-26,60.42,60.83,59.88,60.46,56.4,2539000,0.0,0
2015-06-29,59.51,59.99,58.77,58.82,54.87,2931200,0.0,0
2015-06-30,59.61,59.88,59.07,59.49,55.5,3291700,0.0,0
2015-07-01,59.42,59.8,57.48,57.73,53.85,3556700,0.0,0
2015-07-02,57.87,58.43,57.58,57.87,53.99,2826200,0.0,0
2015-07-06,56.81,57.94,56.46,56.68,52.87,3255700,0.0,0
2015-07-07,56.57,57.39,55.12,57.32,53.47,3506200,0.0,0
2015-07-08,56.97,57.49,55.24,55.55,51.82,3024900,0.0,0
2015-07-09,56.75,57.13,55.93,55.94,52.18,2548100,0.0,0
2015-07-10,56.61,56.93,55.68,55.85,52.1,2757400,0.0,0
2015-07-13,55.98,56.0,55.03,55.4,51.68,3272700,0.0,0
2015-07-14,55.4,56.47,55.02,56.14,52.37,3200300,0.0,0
2015-07-15,55.63,56.37,54.45,54.84,51.16,3564600,0.0,0
2015-07-16,55.07,55.38,54.14,54.37,50.72,2904100,0.0,0
2015-07-17,54.13,54.37,53.44,53.64,50.04,2783100,0.0,0
2015-07-20,53.37,53.63,51.83,51.83,48.35,4678800,0.0,0
2015-07-21,52.05,52.53,51.7,52.08,48.58,4347500,0.0,0
2015-07-22,51.84,51.94,50.62,51.14,47.71,3855400,0.0,0
2015-07-23,51.21,51.44,50.35,51.16,47.73,3548500,0.0,0
2015-07-24,51.08,51.14,49.03,49.4,46.08,5021000,0.0,0
2015-07-27,48.42,49.42,48.21,48.83,45.55,5668900,0.0,0
2015-07-28,49.12,50.45,48.64,49.99,46.63,4905800,0.0,0
2015-07-29,49.89,51.74,49.68,51.18,47.74,4438500,0.0,0
2015-07-30,51.0,51.67,50.13,50.61,47.21,3515600,0.0,0
2015-07-31,50.21,50.36,49.35,49.42,46.1,3978100,0.0,0
2015-08-03,48.75,49.66,48.11,48.36,45.11,4218700,0.0,0
2015-08-04,48.65,49.65,48.12,48.74,45.47,4692200,0.0,0
2015-08-05,50.34,51.68,46.67,46.95,43.8,7958100,0.0,0
2015-08-06,46.9,48.64,46.45,48.3,45.06,5896900,0.0,0
2015-08-07,48.04,48.76,45.98,46.41,43.29,4363100,0.0,0
2015-08-10,46.64,48.23,46.15,47.88,44.67,6412600,0.0,0
2015-08-11,46.72,47.61,46.58,47.3,44.12,5708400,0.0,0
2015-08-12,47.22,48.02,46.18,47.88,44.67,5413800,0.0,0
2015-08-13,47.29,47.52,45.91,46.01,42.92,5170500,0.0,0
2015-08-14,45.88,46.52,45.69,46.06,42.97,5960200,0.0,0
2015-08-17,45.79,46.72,45.6,46.41,43.29,3443800,0.0,0
2015-08-18,46.04,46.69,45.91,46.22,43.12,3961800,0.0,0
2015-08-19,45.92,46.14,44.44,44.66,41.66,4362900,0.0,0
2015-08-20,45.09,45.09,42.8,42.81,39.94,5362200,0.0,0
2015-08-21,42.36,42.74,41.09,41.09,38.33,5713400,0.0,0
2015-08-24,38.42,40.29,37.0,38.08,35.52,10777700,0.0,0
2015-08-25,39.58,39.58,36.63,36.63,34.17,7888100,0.0,0
2015-08-26,37.4,38.48,36.97,38.45,35.87,7326200,0.0,0
2015-08-27,39.32,41.21,39.19,40.78,38.04,9059100,0.0,0
2015-08-28,40.52,42.72,40.35,42.2,39.37,8502800,0.0,0
2015-08-31,41.57,43.19,40.5,42.66,39.8,7125400,0.0,0
2015-09-01,41.07,42.09,39.97,40.33,37.62,6676800,0.0,0
2015-09-02,41.17,41.24,39.14,40.72,37.99,5348700,0.0,0
2015-09-03,40.83,42.2,40.39,40.83,38.09,5355000,0.0,0
2015-09-04,39.99,40.43,39.64,40.14,37.45,3856600,0.0,0
2015-09-08,40.74,40.77,39.47,40.5,37.78,4629500,0.0,0
2015-09-09,40.9,41.5,39.39,39.69,37.03,7706400,0.0,0
2015-09-10,39.88,40.6,39.29,39.99,37.31,5857500,0.0,0
2015-09-11,39.0,39.21,38.12,38.84,36.45,4692300,0.24,0
2015-09-14,38.72,39.0,38.18,38.91,36.52,4433500,0.0,0
2015-09-15,39.11,39.62,38.79,39.17,36.76,3161400,0.0,0
2015-09-16,39.49,41.12,39.49,41.05,38.53,4303400,0.0,0
2015-09-17,41.09,41.97,40.6,40.81,38.3,5200400,0.0,0
2015-09-18,39.96,40.42,39.36,39.78,37.33,5719000,0.0,0
2015-09-21,40.2,40.79,39.46,40.33,37.85,3387100,0.0,0
2015-09-22,39.65,40.61,39.12,39.5,37.07,5051100,0.0,0
2015-09-23,39.56,39.79,38.07,38.15,35.8,4003300,0.0,0
2015-09-24,37.71,38.95,37.41,38.6,36.23,4799300,0.0,0
2015-09-25,38.86,39.0,38.15,38.47,36.1,4253900,0.0,0
2015-09-28,38.01,38.2,36.75,36.75,34.49,5788700,0.0,0
2015-09-29,37.06,37.2,36.02,36.43,34.19,5113700,0.0,0
2015-09-30,36.97,37.47,36.01,37.09,34.81,6573600,0.0,0
2015-10-01,37.86,38.92,37.37,37.75,35.43,5624400,0.0,0
2015-10-02,37.38,40.8,37.2,40.72,38.22,6483100,0.0,0
2015-10-05,41.18,43.42,41.1,42.92,40.28,7163800,0.0,0
