Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,116.19,116.49,115.54,116.09,109.37,1533200,0.0,0
2015-04-28,113.82,114.38,110.03,112.97,106.43,3208600,0.0,0
2015-04-29,112.56,114.64,111.58,114.41,107.79,2125400,0.0,0
2015-04-30,114.07,114.21,111.84,111.98,105.5,1766800,0.0,0
2015-05-01,112.28,114.04,112.08,113.95,107.35,1500300,0.0,0
2015-05-04,114.25,114.67,113.7,113.97,107.37,1085700,0.0,0
2015-05-05,114.41,114.87,112.12,112.36,105.85,1342400,0.0,0
2015-05-06,112.8,113.19,112.02,112.5,105.99,1596500,0.0,0
2015-05-07,112.3,113.39,112.1,113.28,106.72,954600,0.0,0
2015-05-08,112.53,115.57,112.34,114.79,108.14,932800,0.0,0
2015-05-11,114.33,114.76,113.45,113.58,107.0,1191300,0.0,0
2015-05-12,112.98,113.86,112.52,113.45,106.88,976500,0.0,0
2015-05-13,113.57,114.44,113.19,114.01,107.41,1020100,0.0,0
2015-05-14,114.84,116.0,114.33,115.99,109.27,855000,0.0,0
2015-05-15,116.0,116.23,115.06,116.12,109.4,870700,0.0,0
2015-05-18,115.68,116.12,115.47,115.85,109.14,756800,0.0,0
2015-05-19,116.25,116.3,115.43,115.73,109.03,1134200,0.0,0
2015-05-20,116.0,116.14,115.34,115.57,108.88,800600,0.0,0
2015-05-21,115.44,116.31,115.35,116.04,109.32,854200,0.0,0
2015-05-22,115.61,116.11,115.1,115.26,108.59,998200,0.0,0
2015-05-26,114.91,114.93,113.45,113.82,107.23,862200,0.0,0
2015-05-27,113.82,114.63,113.59,114.45,107.82,1115200,0.0,0
2015-05-28,113.88,114.84,113.79,114.8,108.15,1350400,0.0,0
2015-05-29,114.95,115.01,114.08,114.65,108.01,2303500,0.0,0
2015-06-01,114.99,115.51,114.11,115.06,108.4,1149900,0.0,0
2015-06-02,114.23,116.3,114.23,115.67,108.97,949400,0.0,0
2015-06-03,115.98,116.58,115.49,116.36,109.62,899000,0.0,0
2015-06-04,115.58,115.82,113.9,114.02,107.42,860700,0.0,0
2015-06-05,113.56,114.48,113.33,114.01,107.41,789300,0.0,0
2015-06-08,113.99,114.46,113.58,113.6,107.02,660400,0.0,0
2015-06-09,113.9,114.33,113.23,113.66,107.08,959200,0.0,0
2015-06-10,114.23,115.79,114.07,115.61,108.92,810800,0.0,0
2015-06-11,115.93,116.28,115.6,115.71,109.01,780500,0.0,0
2015-06-12,115.28,115.28,114.16,114.26,107.95,687500,0.33,0
2015-06-15,114.0,114.14,113.35,113.88,107.59,1023600,0.0,0
2015-06-16,113.85,114.62,113.54,114.45,108.13,965800,0.0,0
2015-06-17,115.0,115.44,114.03,115.04,108.69,1024800,0.0,0
2015-06-18,115.63,117.54,115.38,117.22,110.75,1263900,0.0,0
2015-06-19,117.46,118.27,117.05,117.17,110.7,2385300,0.0,0
2015-06-22,117.54,118.09,117.24,117.73,111.23,997300,0.0,0
2015-06-23,117.96,117.96,116.9,117.22,110.75,655300,0.0,0
2015-06-24,117.02,117.38,116.24,116.26,109.84,683200,0.0,0
2015-06-25,116.25,116.96,115.7,115.96,109.56,710500,0.0,0
2015-06-26,116.45,116.55,115.56,115.73,109.34,771600,0.0,0
2015-06-29,114.8,115.24,112.89,112.93,106.7,1197600,0.0,0
2015-06-30,113.69,114.0,112.65,113.07,106.83,1608500,0.0,0
2015-07-01,113.67,114.0,112.95,113.2,106.95,886300,0.0,0
2015-07-02,113.78,113.85,112.15,112.81,106.58,816600,0.0,0
