Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,98.5,99.12,97.99,98.06,92.38,559300,0.0,0
2015-04-28,98.02,98.41,97.43,97.71,92.05,403600,0.0,0
2015-04-29,97.62,97.91,97.13,97.41,91.76,602700,0.0,0
2015-04-30,97.51,98.1,96.45,96.93,91.31,650900,0.0,0
2015-05-01,97.66,98.34,97.34,98.27,92.57,502100,0.0,0
2015-05-04,98.93,100.21,98.67,99.78,94.0,615900,0.0,0
2015-05-05,99.24,99.57,98.46,98.53,92.82,1001800,0.0,0
2015-05-06,98.53,99.0,97.9,98.54,92.83,707600,0.0,0
2015-05-07,98.0,98.76,97.62,97.94,92.26,769600,0.0,0
2015-05-08,98.57,99.68,98.14,98.89,93.16,417500,0.0,0
2015-05-11,98.7,99.94,98.7,99.4,93.64,605600,0.0,0
2015-05-12,99.0,99.06,98.37,98.39,92.69,600800,0.0,0
2015-05-13,98.33,98.72,97.6,98.22,92.53,615600,0.0,0
2015-05-14,98.9,99.72,98.77,99.61,93.84,565100,0.0,0
2015-05-15,99.74,100.19,98.74,98.9,93.17,609400,0.0,0
2015-05-18,98.98,100.58,98.89,100.35,94.53,440900,0.0,0
2015-05-19,100.38,100.38,99.93,100.22,94.41,380600,0.0,0
2015-05-20,99.87,100.2,99.4,99.61,94.11,379600,0.29,0
2015-05-21,99.24,100.11,99.12,100.05,94.52,355200,0.0,0
2015-05-22,100.0,100.78,99.99,100.27,94.73,496500,0.0,0
2015-05-26,100.13,100.29,98.73,99.02,93.55,546400,0.0,0
2015-05-27,99.01,100.65,98.75,100.38,94.84,397900,0.0,0
2015-05-28,100.38,100.93,99.83,100.29,94.75,371700,0.0,0
2015-05-29,100.06,100.59,99.63,100.33,94.79,704100,0.0,0
2015-06-01,100.35,100.48,99.42,100.04,94.52,443000,0.0,0
2015-06-02,99.35,99.4,98.09,98.25,92.82,763200,0.0,0
2015-06-03,98.37,99.16,98.25,98.78,93.32,623400,0.0,0
2015-06-04,98.38,98.75,97.44,97.58,92.19,341700,0.0,0
2015-06-05,97.48,97.95,96.85,97.82,92.42,320100,0.0,0
2015-06-08,97.92,97.95,97.14,97.29,91.92,485800,0.0,0
2015-06-09,97.2,98.26,96.88,98.13,92.71,538300,0.0,0
2015-06-10,98.3,99.07,98.23,98.82,93.36,432800,0.0,0
2015-06-11,99.13,99.58,98.92,99.37,93.88,278300,0.0,0
2015-06-12,99.0,99.06,98.39,98.54,93.1,281400,0.0,0
2015-06-15,98.13,98.71,97.16,97.55,92.16,517900,0.0,0
2015-06-16,97.34,97.79,97.03,97.5,92.12,456300,0.0,0
2015-06-17,97.78,97.99,97.21,97.65,92.26,653400,0.0,0
2015-06-18,98.09,99.36,97.68,99.3,93.82,677100,0.0,0
2015-06-19,99.15,100.17,98.81,99.71,94.2,528300,0.0,0
2015-06-22,100.15,101.13,100.05,100.59,95.03,409400,0.0,0
2015-06-23,100.84,100.84,99.93,100.22,94.69,405200,0.0,0
2015-06-24,99.92,100.4,99.28,99.3,93.82,396700,0.0,0
2015-06-25,97.48,99.92,97.48,99.63,94.13,502600,0.0,0
2015-06-26,99.98,100.51,99.53,99.9,94.38,1601700,0.0,0
2015-06-29,99.25,99.76,97.4,97.44,92.06,548400,0.0,0
2015-06-30,98.12,98.12,97.03,97.09,91.73,635000,0.0,0
2015-07-01,97.94,98.42,97.45,98.4,92.97,543800,0.0,0
2015-07-02,98.47,98.94,97.5,98.21,92.79,369600,0.0,0
2015-07-06,97.45,98.01,97.24,97.8,92.4,490900,0.0,0
2015-07-07,98.03,98.62,96.75,97.95,92.54,846300,0.0,0
2015-07-08,97.43,97.43,96.16,96.29,90.97,651800,0.0,0
2015-07-09,96.99,97.49,96.23,96.46,91.13,708000,0.0,0
2015-07-10,97.0,97.99,96.73,97.77,92.37,678900,0.0,0
2015-07-13,98.26,99.44,98.26,99.3,93.82,572400,0.0,0
2015-07-14,99.55,99.55,98.5,98.56,93.12,704700,0.0,0
2015-07-15,98.44,99.03,97.66,98.63,93.18,596800,0.0,0
2015-07-16,99.07,100.21,98.72,100.13,94.6,610500,0.0,0
2015-07-17,100.18,100.18,97.97,98.55,93.11,788800,0.0,0
2015-07-20,98.58,99.29,98.53,98.75,93.3,415100,0.0,0
2015-07-21,98.64,98.93,97.97,98.09,92.67,596300,0.0,0
2015-07-22,97.92,98.93,97.88,98.84,93.38,487800,0.0,0
2015-07-23,101.81,102.96,99.19,100.13,94.6,1993800,0.0,0
2015-07-24,99.2,100.15,98.91,100.04,94.52,1072300,0.0,0
2015-07-27,99.87,99.95,98.27,98.51,93.07,645200,0.0,0
2015-07-28,98.99,100.42,98.27,100.18,94.65,928300,0.0,0
