Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,61.89,61.9,60.64,61.01,51.37,2091600,0.0,0
2015-04-28,60.82,61.94,60.72,61.66,51.91,2384600,0.0,0
2015-04-29,62.83,62.97,61.33,62.01,52.21,4306400,0.0,0
2015-04-30,61.87,61.93,60.42,60.94,51.31,3235900,0.0,0
2015-05-01,61.02,61.59,60.5,61.54,51.81,2241600,0.0,0
2015-05-04,61.6,62.31,61.29,61.92,52.13,2439100,0.0,0
2015-05-05,61.64,61.78,60.08,60.37,50.83,1925800,0.0,0
2015-05-06,60.24,60.36,59.05,59.6,50.18,2319600,0.0,0
2015-05-07,59.87,60.5,59.73,60.14,50.63,2258100,0.0,0
2015-05-08,60.95,61.25,60.31,60.67,51.08,2603400,0.0,0
2015-05-11,60.43,61.42,60.16,60.27,50.74,1391700,0.0,0
2015-05-12,59.85,59.97,58.98,59.52,50.11,3177000,0.0,0
2015-05-13,59.6,60.06,58.57,58.84,49.54,2090200,0.0,0
2015-05-14,59.09,59.76,59.05,59.75,50.31,2047300,0.0,0
2015-05-15,59.9,60.62,59.6,60.44,50.89,2472900,0.0,0
2015-05-18,60.16,61.05,60.11,60.77,51.16,1397900,0.0,0
2015-05-19,60.46,60.98,60.22,60.58,51.0,1399100,0.0,0
2015-05-20,60.71,61.34,60.49,60.81,51.2,1255300,0.0,0
2015-05-21,60.83,61.11,60.51,60.83,51.21,1171700,0.0,0
2015-05-22,60.81,60.94,60.22,60.74,51.14,919500,0.0,0
2015-05-26,60.71,60.76,59.91,60.46,50.9,1745800,0.0,0
2015-05-27,60.48,60.92,60.31,60.78,51.17,1625400,0.0,0
2015-05-28,60.83,61.25,60.58,61.05,51.4,1766400,0.0,0
2015-05-29,61.06,61.34,60.74,60.81,51.2,2414400,0.0,0
2015-06-01,60.91,61.22,60.74,60.78,51.17,1253400,0.0,0
2015-06-02,60.38,60.47,59.18,59.54,50.13,1919100,0.0,0
