Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,83.21,84.15,83.06,83.17,78.26,1364000,0.0,0
2015-04-28,82.77,83.18,82.48,82.95,78.05,863800,0.0,0
2015-04-29,82.87,83.5,82.33,82.44,77.57,1718400,0.0,0
2015-04-30,82.36,82.75,81.08,81.29,76.49,1384200,0.0,0
2015-05-01,81.96,82.81,81.5,82.77,77.88,1296100,0.0,0
2015-05-04,82.94,83.81,82.67,83.54,78.61,2208100,0.0,0
2015-05-05,87.72,89.84,86.55,86.9,81.77,5943800,0.0,0
2015-05-06,86.96,88.04,86.28,87.42,82.26,2482400,0.0,0
2015-05-07,86.97,89.07,86.52,88.33,83.11,2774700,0.0,0
2015-05-08,88.86,89.2,88.01,88.42,83.2,2032000,0.0,0
2015-05-11,88.29,88.94,87.74,87.92,82.73,2293500,0.0,0
2015-05-12,87.53,88.16,87.3,87.59,82.42,1379600,0.0,0
2015-05-13,87.77,88.24,87.29,87.54,82.37,1188700,0.0,0
2015-05-14,88.16,89.51,88.12,89.39,84.11,2668900,0.0,0
2015-05-15,89.59,89.59,88.27,88.95,83.7,1750000,0.0,0
2015-05-18,88.62,89.52,88.62,89.17,83.9,1034900,0.0,0
2015-05-19,89.02,89.62,88.42,89.57,84.28,1287800,0.0,0
2015-05-20,89.33,89.88,89.06,89.08,83.82,1217400,0.0,0
2015-05-21,88.98,89.53,88.52,89.35,84.07,1453300,0.0,0
2015-05-22,89.4,90.33,89.26,90.22,84.89,1578000,0.0,0
2015-05-26,89.98,89.99,88.04,88.48,83.25,2315100,0.0,0
2015-05-27,88.47,89.12,88.11,88.77,83.75,1028800,0.24,0
2015-05-28,88.46,88.62,87.8,88.46,83.46,1033600,0.0,0
2015-05-29,88.77,88.77,87.43,87.43,82.49,1676700,0.0,0
2015-06-01,88.01,88.17,86.61,87.73,82.77,1044000,0.0,0
2015-06-02,87.25,87.84,87.06,87.26,82.33,1035900,0.0,0
2015-06-03,87.5,87.76,87.04,87.36,82.42,1316800,0.0,0
2015-06-04,87.13,87.71,86.95,87.39,82.45,1487700,0.0,0
2015-06-05,87.39,87.79,86.87,87.46,82.52,1363200,0.0,0
2015-06-08,87.53,88.03,87.19,87.53,82.58,1381100,0.0,0
2015-06-09,87.47,88.31,87.46,87.95,82.98,1329700,0.0,0
2015-06-10,88.37,88.95,88.02,88.35,83.36,1143300,0.0,0
2015-06-11,88.38,88.65,87.54,87.69,82.74,1192100,0.0,0
2015-06-12,87.64,87.82,86.78,86.99,82.07,1026000,0.0,0
2015-06-15,86.41,86.76,86.16,86.45,81.57,1146500,0.0,0
2015-06-16,86.77,88.19,86.44,87.83,82.87,1455000,0.0,0
2015-06-17,87.92,88.2,87.05,87.91,82.94,1132400,0.0,0
2015-06-18,88.34,89.0,88.26,88.34,83.35,1363000,0.0,0
2015-06-19,88.07,88.85,87.98,88.32,83.33,968300,0.0,0
2015-06-22,88.61,89.49,88.19,88.33,83.34,758600,0.0,0
2015-06-23,88.13,88.67,87.69,87.71,82.75,870800,0.0,0
2015-06-24,87.73,87.91,87.25,87.48,82.54,1180800,0.0,0
2015-06-25,87.78,87.8,86.55,86.75,81.85,1747700,0.0,0
2015-06-26,87.08,88.03,86.84,88.0,83.03,1995800,0.0,0
2015-06-29,87.43,87.56,85.98,86.05,81.19,1611100,0.0,0
2015-06-30,86.62,86.9,85.99,86.66,81.76,1556300,0.0,0
2015-07-01,87.11,87.69,86.95,87.67,82.72,991600,0.0,0
2015-07-02,87.97,88.35,87.36,87.52,82.57,1064700,0.0,0
2015-07-06,86.87,87.63,86.5,86.93,82.02,1379100,0.0,0
