Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,75.53,76.29,75.33,75.95,65.89,1279700,0.0,0
2015-04-28,75.55,75.78,74.7,75.75,65.72,1246700,0.0,0
2015-04-29,75.18,76.38,75.13,76.29,66.19,1123700,0.0,0
2015-04-30,76.16,76.5,75.35,76.22,66.13,1639200,0.0,0
2015-05-01,76.95,79.43,76.27,78.74,68.31,2892100,0.0,0
2015-05-04,79.0,79.4,78.44,78.66,68.24,1986900,0.0,0
2015-05-05,79.4,80.93,79.34,79.54,69.01,2239600,0.0,0
2015-05-06,79.88,80.31,78.68,78.97,68.51,1683100,0.0,0
2015-05-07,78.74,78.84,78.09,78.31,67.94,1780400,0.0,0
2015-05-08,79.52,80.24,79.15,80.08,69.48,1738300,0.0,0
2015-05-11,79.89,80.53,79.34,80.1,69.49,2125300,0.0,0
2015-05-12,79.66,79.77,78.45,78.7,68.28,1160600,0.0,0
2015-05-13,78.75,78.85,78.01,78.28,67.91,1633400,0.0,0
2015-05-14,78.65,78.8,78.12,78.21,67.85,1454300,0.0,0
2015-05-15,78.06,78.33,77.4,78.25,67.89,1311700,0.0,0
2015-05-18,78.27,78.48,77.31,77.93,67.61,1019900,0.0,0
2015-05-19,77.61,78.08,76.65,77.05,66.85,1425000,0.0,0
2015-05-20,77.22,77.68,76.83,77.29,67.06,958700,0.0,0
2015-05-21,77.27,78.3,77.27,78.13,67.78,1065800,0.0,0
2015-05-22,78.03,78.82,77.83,78.06,67.72,839300,0.0,0
2015-05-26,77.84,77.84,76.02,76.4,66.28,1398200,0.0,0
2015-05-27,76.26,76.89,76.03,76.58,66.44,934300,0.0,0
2015-05-28,76.44,76.6,76.07,76.51,66.38,805100,0.0,0
2015-05-29,76.74,78.47,76.46,76.77,66.6,1970500,0.0,0
2015-06-01,77.43,77.53,75.91,76.67,66.52,1912300,0.0,0
2015-06-02,76.52,77.36,75.82,76.95,66.76,1700400,0.0,0
2015-06-03,77.24,78.68,76.99,78.27,67.91,1551000,0.0,0
2015-06-04,77.77,78.23,76.96,77.79,67.49,1567700,0.0,0
2015-06-05,77.49,77.81,76.87,77.28,67.05,1645000,0.0,0
2015-06-08,77.65,78.39,77.54,77.86,67.55,1532300,0.0,0
2015-06-09,78.0,78.3,77.49,77.84,67.53,1379500,0.0,0
2015-06-10,78.37,78.95,78.25,78.57,68.17,1055400,0.0,0
2015-06-11,78.24,78.51,77.76,77.98,68.0,761800,0.4,0
2015-06-12,77.86,78.06,77.28,77.82,67.86,696300,0.0,0
2015-06-15,77.08,77.69,76.29,77.66,67.72,999800,0.0,0
2015-06-16,77.61,78.4,77.26,78.33,68.31,712100,0.0,0
2015-06-17,78.52,79.0,78.09,78.95,68.85,1051500,0.0,0
2015-06-18,79.09,80.59,79.0,80.37,70.08,1730300,0.0,0
2015-06-19,80.51,81.25,80.23,80.48,70.18,2578500,0.0,0
2015-06-22,82.05,83.52,81.6,83.04,72.41,2482700,0.0,0
2015-06-23,82.89,83.23,82.72,83.0,72.38,1456000,0.0,0
2015-06-24,83.1,83.9,82.11,82.33,71.79,1303600,0.0,0
2015-06-25,82.44,83.44,82.43,83.14,72.5,1606000,0.0,0
2015-06-26,83.14,83.9,83.08,83.75,73.03,3164600,0.0,0
2015-06-29,82.66,83.14,82.22,82.6,72.03,2607200,0.0,0
2015-06-30,83.09,83.68,81.27,81.82,71.35,2121100,0.0,0
2015-07-01,82.79,82.79,80.77,81.05,70.68,1463900,0.0,0
2015-07-02,81.21,81.5,79.63,80.19,69.93,1928600,0.0,0
2015-07-06,79.23,79.85,78.23,78.46,68.42,1572100,0.0,0
2015-07-07,78.17,78.54,76.05,78.35,68.32,2675400,0.0,0
2015-07-08,78.12,78.12,75.79,75.86,66.15,1511000,0.0,0
2015-07-09,77.23,77.78,76.33,76.36,66.59,1087000,0.0,0
2015-07-10,77.25,77.86,76.86,77.19,67.31,1064300,0.0,0
2015-07-13,77.55,77.96,77.1,77.86,67.9,1019900,0.0,0
2015-07-14,77.5,79.32,77.37,79.26,69.12,1179700,0.0,0
2015-07-15,79.12,79.66,78.69,79.27,69.13,1756200,0.0,0
2015-07-16,79.43,79.86,78.4,79.63,69.44,1711200,0.0,0
2015-07-17,79.86,80.39,77.78,78.18,68.17,1639600,0.0,0
2015-07-20,77.79,77.94,76.78,76.89,67.05,1029600,0.0,0
2015-07-21,76.75,77.44,76.43,76.58,66.78,1448200,0.0,0
2015-07-22,76.5,76.76,75.51,75.7,66.01,1191100,0.0,0
2015-07-23,75.73,75.73,73.02,74.52,64.98,2619700,0.0,0
2015-07-24,74.52,74.79,73.07,73.55,64.14,1723600,0.0,0
