Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,57.81,58.67,57.77,58.46,49.3,3909100,0.0,0
2015-04-28,58.21,58.82,58.02,58.66,49.47,3464800,0.0,0
2015-04-29,58.45,59.28,58.01,59.09,49.84,4709600,0.0,0
2015-04-30,59.01,59.36,58.55,58.83,49.62,3988000,0.0,0
2015-05-01,59.04,59.39,58.83,59.33,50.04,3016100,0.0,0
2015-05-04,59.59,59.81,59.32,59.49,50.17,3808600,0.0,0
2015-05-05,57.61,58.87,57.5,58.4,49.25,8422500,0.0,0
2015-05-06,58.39,58.48,57.53,58.22,49.1,6647000,0.0,0
2015-05-07,58.45,58.46,57.63,58.1,49.0,5785600,0.0,0
2015-05-08,58.74,59.07,58.57,58.79,49.58,4051600,0.0,0
2015-05-11,58.73,59.54,58.4,59.3,50.01,5284300,0.0,0
2015-05-12,59.19,60.49,59.04,60.18,50.75,7415800,0.0,0
2015-05-13,60.04,60.86,60.04,60.34,51.29,7257200,0.47,0
2015-05-14,60.78,60.86,60.34,60.53,51.45,4121700,0.0,0
2015-05-15,60.59,60.69,60.06,60.19,51.16,3653600,0.0,0
2015-05-18,60.32,60.45,59.9,60.2,51.17,3998400,0.0,0
2015-05-19,59.99,60.2,59.52,59.9,50.92,5030700,0.0,0
2015-05-20,59.85,60.28,59.4,60.13,51.11,4926200,0.0,0
2015-05-21,60.25,62.75,60.2,61.72,52.46,10752700,0.0,0
2015-05-22,61.57,62.3,61.56,61.78,52.51,5323500,0.0,0
2015-05-26,61.76,61.77,60.65,60.83,51.71,4579800,0.0,0
2015-05-27,60.89,61.15,60.59,60.95,51.81,2667700,0.0,0
2015-05-28,60.7,61.07,60.3,61.02,51.87,3710000,0.0,0
2015-05-29,61.23,61.28,60.01,60.31,51.26,4545300,0.0,0
2015-06-01,60.64,60.82,60.0,60.24,51.2,2836700,0.0,0
2015-06-02,60.07,60.77,60.01,60.3,51.26,3004600,0.0,0
2015-06-03,60.3,60.7,60.13,60.34,51.29,2639400,0.0,0
2015-06-04,59.87,60.02,58.82,58.92,50.08,6019300,0.0,0
2015-06-05,58.8,59.27,58.63,59.21,50.33,3299100,0.0,0
2015-06-08,59.04,59.47,58.98,59.12,50.25,2805800,0.0,0
2015-06-09,58.75,59.39,58.68,59.18,50.3,2467600,0.0,0
2015-06-10,59.55,59.91,59.41,59.77,50.81,3149100,0.0,0
2015-06-11,59.89,60.22,59.74,60.14,51.12,2967600,0.0,0
2015-06-12,59.91,60.18,59.47,59.63,50.69,2878300,0.0,0
2015-06-15,59.1,59.17,58.53,58.7,49.9,2791800,0.0,0
2015-06-16,58.68,58.87,58.4,58.61,49.82,2343000,0.0,0
2015-06-17,58.74,58.98,57.93,58.35,49.6,4112400,0.0,0
2015-06-18,58.5,59.37,58.37,58.75,49.94,5450500,0.0,0
2015-06-19,58.44,58.8,58.09,58.11,49.39,6871100,0.0,0
2015-06-22,57.85,58.64,57.85,58.26,49.52,4133100,0.0,0
2015-06-23,58.35,58.43,57.62,57.88,49.2,3397800,0.0,0
2015-06-24,57.86,57.91,57.33,57.49,48.87,2373700,0.0,0
2015-06-25,57.41,57.52,56.62,56.62,48.13,3129200,0.0,0
2015-06-26,56.62,56.74,56.34,56.58,48.09,3582400,0.0,0
2015-06-29,56.24,56.5,55.5,55.56,47.23,2681400,0.0,0
2015-06-30,56.21,57.27,55.23,55.43,47.12,7572800,0.0,0
2015-07-01,55.67,55.68,55.02,55.45,47.13,5230500,0.0,0
2015-07-02,55.67,56.12,55.54,55.86,47.48,4948200,0.0,0
2015-07-06,55.53,55.92,55.15,55.26,46.97,3064800,0.0,0
2015-07-07,55.19,55.29,54.15,55.05,46.79,4512400,0.0,0
2015-07-08,54.69,54.87,53.81,53.98,45.88,4231500,0.0,0
2015-07-09,54.75,54.92,53.76,53.76,45.7,3743500,0.0,0
2015-07-10,54.49,54.58,53.69,53.83,45.76,3979200,0.0,0
2015-07-13,54.2,54.37,53.98,54.3,46.16,3399100,0.0,0
2015-07-14,54.31,54.41,53.98,54.2,46.07,2925200,0.0,0
2015-07-15,54.11,54.25,53.26,53.48,45.46,4180300,0.0,0
2015-07-16,53.88,54.05,53.14,53.37,45.37,4587500,0.0,0
2015-07-17,53.16,53.37,52.45,52.59,44.7,6374700,0.0,0
2015-07-20,52.62,52.98,52.5,52.74,44.83,3986600,0.0,0
2015-07-21,52.57,52.58,51.95,52.14,44.32,5266600,0.0,0
2015-07-22,51.99,52.24,51.73,51.76,44.0,4665400,0.0,0
2015-07-23,51.76,52.21,51.46,51.52,43.79,4148500,0.0,0
2015-07-24,51.45,51.54,50.63,50.68,43.08,3527600,0.0,0
2015-07-27,50.39,50.6,50.1,50.46,42.89,3435900,0.0,0
2015-07-28,50.68,51.96,50.62,51.8,44.03,5544900,0.0,0
