Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,97.55,97.96,96.56,97.36,92.64,2980500,0.0,0
2015-04-28,97.64,98.81,97.64,98.46,93.68,3736600,0.0,0
2015-04-29,98.22,99.98,97.79,99.74,94.9,3902600,0.0,0
2015-04-30,100.0,100.44,98.48,98.95,94.15,3462000,0.0,0
2015-05-01,99.21,101.0,97.61,98.9,94.1,3584700,0.0,0
2015-05-04,99.11,101.36,98.55,99.39,94.57,7312700,0.0,0
2015-05-05,98.7,100.2,94.53,94.54,89.95,11762000,0.0,0
2015-05-06,96.21,96.86,94.49,95.08,90.47,5163500,0.0,0
2015-05-07,96.1,96.1,92.42,93.5,88.96,5197800,0.0,0
2015-05-08,94.48,94.5,92.56,93.5,88.96,4922300,0.0,0
2015-05-11,94.05,94.24,91.47,91.61,87.17,3952400,0.0,0
2015-05-12,91.76,93.59,91.71,93.41,88.88,3468500,0.0,0
2015-05-13,94.04,94.07,90.98,91.6,87.16,3548300,0.0,0
2015-05-14,91.99,92.08,90.68,90.73,86.33,3582200,0.0,0
2015-05-15,90.32,91.24,89.25,90.47,86.08,3267300,0.0,0
2015-05-18,90.56,92.04,89.9,91.8,87.35,3018000,0.0,0
2015-05-19,91.48,91.61,90.24,90.26,85.88,3588500,0.0,0
2015-05-20,90.6,90.72,89.76,90.46,86.07,3734400,0.0,0
2015-05-21,91.17,91.83,90.68,91.49,87.05,3958000,0.0,0
2015-05-22,90.4,91.39,90.07,90.26,85.88,3055500,0.0,0
2015-05-26,89.25,89.81,88.55,89.15,84.82,3920700,0.0,0
2015-05-27,89.13,89.94,88.51,89.0,84.68,3016900,0.0,0
2015-05-28,88.55,89.36,88.0,89.15,84.82,3790800,0.0,0
2015-05-29,89.42,89.52,88.26,88.69,84.39,3948900,0.0,0
2015-06-01,89.02,89.12,88.18,88.76,84.45,2886500,0.0,0
2015-06-02,89.02,90.35,88.21,89.77,85.41,3581600,0.0,0
2015-06-03,89.55,90.47,88.97,89.01,84.69,2158400,0.0,0
2015-06-04,88.23,89.13,87.28,87.38,83.14,3774200,0.0,0
2015-06-05,87.0,90.64,86.82,89.68,85.33,4429900,0.0,0
2015-06-08,89.37,89.96,88.63,89.11,84.79,2755700,0.0,0
2015-06-09,90.02,91.48,89.09,89.09,84.77,2661000,0.0,0
2015-06-10,90.39,90.71,89.66,90.41,86.02,2914800,0.0,0
2015-06-11,91.0,91.05,90.23,90.65,86.25,2300900,0.0,0
2015-06-12,90.16,90.43,89.12,89.53,85.19,2464100,0.0,0
2015-06-15,88.51,89.86,88.5,89.22,84.89,2795300,0.0,0
2015-06-16,89.07,90.36,89.03,90.08,85.71,2286400,0.0,0
2015-06-17,90.68,91.15,88.42,89.02,84.7,4998100,0.0,0
2015-06-18,89.76,90.13,88.54,88.81,84.5,3602500,0.0,0
2015-06-19,88.29,89.12,88.24,88.27,83.99,4298600,0.0,0
