Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,244.99,246.41,243.32,244.85,212.03,800200,0.0,0
2015-04-28,244.16,247.83,243.73,246.38,213.36,730700,0.0,0
2015-04-29,244.45,246.98,242.77,244.8,211.99,716200,0.0,0
2015-04-30,255.25,262.0,249.7,255.93,221.63,1743400,0.0,0
2015-05-01,258.93,260.0,256.24,258.88,224.18,1149400,0.0,0
2015-05-04,260.3,260.3,257.8,259.13,224.4,1009000,0.0,0
2015-05-05,258.24,259.86,257.17,257.18,222.71,977700,0.0,0
2015-05-06,258.81,259.47,256.04,258.28,223.66,804900,0.0,0
2015-05-07,265.25,270.46,261.21,262.0,226.89,1533800,0.0,0
2015-05-08,264.09,269.89,262.09,267.93,232.02,862200,0.0,0
2015-05-11,268.28,269.8,263.25,263.42,228.12,601900,0.0,0
2015-05-12,261.05,261.69,258.27,259.3,224.55,944700,0.0,0
2015-05-13,259.61,261.56,256.9,259.68,224.88,611100,0.0,0
2015-05-14,260.67,262.06,258.13,261.41,226.38,408400,0.0,0
2015-05-15,261.62,261.62,259.58,260.4,225.5,385900,0.0,0
2015-05-18,260.49,264.11,259.16,262.29,227.14,326800,0.0,0
2015-05-19,261.97,263.98,260.98,263.68,228.34,377700,0.0,0
2015-05-20,269.91,270.15,266.19,269.9,233.73,1201100,0.0,0
2015-05-21,266.88,268.75,263.21,268.22,232.27,2051300,0.0,0
2015-05-22,266.74,268.13,265.57,268.0,233.55,644900,1.69,0
2015-05-26,265.03,267.35,263.54,266.77,232.48,577700,0.0,0
2015-05-27,267.7,270.04,265.05,270.01,235.31,389200,0.0,0
2015-05-28,269.69,270.52,267.71,269.19,234.59,589600,0.0,0
2015-05-29,268.03,269.36,265.65,268.07,233.61,1128600,0.0,0
2015-06-01,274.13,274.13,267.95,270.15,235.43,557500,0.0,0
2015-06-02,266.68,269.96,265.84,268.95,234.38,1008500,0.0,0
2015-06-03,268.32,268.95,265.64,266.14,231.93,882600,0.0,0
2015-06-04,264.57,266.49,262.3,263.06,229.25,916300,0.0,0
2015-06-05,263.04,265.0,261.89,263.05,229.24,656200,0.0,0
2015-06-08,263.61,264.81,261.37,261.45,227.85,401400,0.0,0
2015-06-09,260.85,262.82,257.0,257.81,224.67,514400,0.0,0
2015-06-10,258.46,262.18,257.63,260.37,226.9,482300,0.0,0
2015-06-11,261.01,262.51,260.68,260.93,227.39,313500,0.0,0
2015-06-12,259.92,261.81,259.07,260.72,227.21,458100,0.0,0
2015-06-15,258.1,260.65,255.76,255.86,222.97,555800,0.0,0
2015-06-16,252.8,257.79,252.62,255.7,222.83,817300,0.0,0
2015-06-17,257.95,258.22,255.69,257.12,224.07,794900,0.0,0
2015-06-18,257.73,261.86,256.09,261.35,227.76,1183600,0.0,0
2015-06-19,261.34,263.19,260.04,262.79,229.01,2106400,0.0,0
2015-06-22,264.07,264.98,259.66,260.04,226.62,448200,0.0,0
2015-06-23,259.9,261.03,258.55,259.26,225.94,525500,0.0,0
2015-06-24,259.01,260.09,254.91,256.11,223.19,451600,0.0,0
2015-06-25,255.9,257.48,255.26,256.59,223.61,517200,0.0,0
2015-06-26,256.53,258.89,254.81,258.87,225.6,775000,0.0,0
2015-06-29,256.66,257.0,249.99,250.33,218.15,800900,0.0,0
