Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,228.76,230.48,227.26,228.03,197.7,452900,0.0,0
2015-04-28,227.69,229.8,226.55,229.5,198.98,222900,0.0,0
2015-04-29,227.62,228.91,223.95,224.82,194.92,195700,0.0,0
2015-04-30,223.5,225.74,220.46,221.95,192.43,391300,0.0,0
2015-05-01,223.38,226.65,223.38,224.63,194.76,334600,0.0,0
2015-05-04,225.68,227.28,225.06,225.86,195.82,266200,0.0,0
2015-05-05,224.56,224.9,219.01,219.32,190.15,348800,0.0,0
2015-05-06,218.97,220.83,218.02,219.86,190.62,268400,0.0,0
2015-05-07,225.28,227.08,220.78,224.19,194.37,437700,0.0,0
2015-05-08,225.76,231.44,225.34,227.44,197.19,309400,0.0,0
2015-05-11,226.85,229.55,220.82,221.2,191.78,609800,0.0,0
2015-05-12,220.08,223.14,218.7,222.32,192.75,353500,0.0,0
2015-05-13,223.24,225.73,218.94,219.53,190.33,456200,0.0,0
2015-05-14,220.2,224.75,219.2,224.64,194.77,365500,0.0,0
2015-05-15,225.47,226.58,224.07,226.3,196.2,390800,0.0,0
2015-05-18,225.11,226.22,223.52,224.89,194.98,213600,0.0,0
2015-05-19,224.47,225.47,222.82,224.05,194.25,218100,0.0,0
2015-05-20,224.62,225.9,223.28,224.23,194.41,696800,0.0,0
2015-05-21,224.27,224.27,221.86,222.21,192.66,273700,0.0,0
2015-05-22,221.9,223.81,220.32,221.81,192.31,207700,0.0,0
2015-05-26,221.79,222.45,219.01,219.4,190.22,350500,0.0,0
2015-05-27,220.39,224.47,220.07,224.0,194.21,283600,0.0,0
2015-05-28,224.03,225.4,223.24,224.98,195.06,251200,0.0,0
2015-05-29,225.27,225.62,222.11,222.62,193.01,525500,0.0,0
2015-06-01,223.17,226.56,222.41,226.26,196.17,275100,0.0,0
2015-06-02,225.37,225.39,221.09,221.77,192.28,389300,0.0,0
2015-06-03,221.53,223.74,216.42,216.77,187.94,343900,0.0,0
2015-06-04,216.04,217.2,214.97,216.08,187.34,387600,0.0,0
2015-06-05,214.39,216.14,211.96,214.46,185.94,322100,0.0,0
2015-06-08,214.96,216.06,213.21,213.89,185.44,206100,0.0,0
2015-06-09,213.51,214.62,211.13,211.51,183.38,309000,0.0,0
2015-06-10,211.71,215.49,210.06,213.47,185.08,355600,0.0,0
2015-06-11,214.45,215.4,210.18,214.27,185.77,378900,0.0,0
2015-06-12,214.48,215.73,213.55,214.37,185.86,223100,0.0,0
2015-06-15,213.67,214.37,212.65,214.0,185.54,227100,0.0,0
2015-06-16,214.17,216.82,213.72,216.44,187.66,226100,0.0,0
2015-06-17,216.49,218.59,214.87,218.14,189.13,253500,0.0,0
2015-06-18,219.17,222.67,219.17,221.88,192.37,343900,0.0,0
2015-06-19,221.02,221.37,218.4,219.71,190.49,468800,0.0,0
2015-06-22,220.26,221.78,217.19,217.52,188.59,272800,0.0,0
2015-06-23,217.0,217.34,214.62,215.1,186.49,251400,0.0,0
2015-06-24,215.46,216.75,214.67,215.05,186.45,302900,0.0,0
2015-06-25,215.08,216.98,213.11,213.3,184.93,286600,0.0,0
2015-06-26,212.17,214.58,208.85,214.17,186.95,355000,1.44,0
2015-06-29,213.97,216.1,210.38,210.49,183.74,343500,0.0,0
2015-06-30,212.36,214.47,209.89,212.5,185.49,415200,0.0,0
2015-07-01,214.31,216.73,212.35,216.71,189.17,330600,0.0,0
2015-07-02,218.56,220.23,214.71,218.31,190.56,376400,0.0,0
2015-07-06,216.8,220.07,215.97,219.66,191.74,330500,0.0,0
2015-07-07,220.76,222.98,219.13,222.34,194.08,319800,0.0,0
2015-07-08,221.49,223.09,220.27,221.66,193.49,403700,0.0,0
2015-07-09,222.77,224.4,221.01,221.01,192.92,378700,0.0,0
2015-07-10,222.2,224.69,221.66,221.82,193.63,370400,0.0,0
2015-07-13,223.47,224.8,219.25,220.82,192.75,417100,0.0,0
2015-07-14,220.99,222.66,218.4,221.87,193.67,202000,0.0,0
2015-07-15,221.3,223.45,218.89,222.62,194.33,257600,0.0,0
2015-07-16,223.41,225.0,222.14,223.77,195.33,243300,0.0,0
2015-07-17,223.72,223.77,221.32,222.99,194.65,269600,0.0,0
2015-07-20,221.79,224.93,221.74,224.82,196.25,237800,0.0,0
2015-07-21,224.01,226.36,223.15,223.55,195.14,239300,0.0,0
2015-07-22,223.74,226.03,222.48,224.27,195.77,240900,0.0,0
2015-07-23,223.56,223.89,220.76,222.37,194.11,216000,0.0,0
2015-07-24,221.89,224.62,221.87,223.81,195.36,218600,0.0,0
2015-07-27,223.79,226.54,222.45,224.31,195.8,188200,0.0,0
2015-07-28,223.76,224.03,219.91,222.32,194.06,381800,0.0,0
2015-07-29,222.92,223.02,220.41,222.55,194.26,322400,0.0,0
2015-07-30,222.03,229.9,221.11,223.78,195.34,383700,0.0,0
2015-07-31,228.0,230.0,224.56,224.91,196.32,448700,0.0,0
