Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,79.41,79.41,77.81,78.14,62.99,1114100,0.0,0
2015-04-28,77.93,79.22,77.58,79.02,63.7,1365600,0.0,0
2015-04-29,77.61,78.69,76.77,78.4,63.2,1867300,0.0,0
2015-04-30,78.34,78.34,76.64,77.18,62.22,1249800,0.0,0
2015-05-01,77.2,77.42,76.59,77.19,62.23,894400,0.0,0
2015-05-04,77.18,78.46,77.0,77.82,62.73,905900,0.0,0
2015-05-05,77.45,77.92,75.43,75.55,60.9,1284700,0.0,0
2015-05-06,75.61,76.23,74.88,75.78,61.09,1390900,0.0,0
2015-05-07,76.21,76.95,75.77,76.47,61.64,1139200,0.0,0
2015-05-08,77.14,77.59,75.99,76.4,61.59,1279700,0.0,0
2015-05-11,76.4,76.73,76.01,76.09,61.34,1859700,0.0,0
2015-05-12,75.01,75.14,73.95,74.23,60.5,1779900,0.83,0
2015-05-13,74.57,75.22,73.5,73.76,60.12,1585400,0.0,0
2015-05-14,74.06,74.65,73.9,74.23,60.5,1156100,0.0,0
2015-05-15,74.49,75.3,74.34,74.98,61.11,1501400,0.0,0
2015-05-18,74.62,75.39,74.58,75.28,61.35,733800,0.0,0
2015-05-19,75.03,76.27,74.75,76.21,62.11,1161000,0.0,0
2015-05-20,76.11,76.61,75.78,76.04,61.97,1107500,0.0,0
2015-05-21,76.08,76.4,75.66,76.12,62.04,830600,0.0,0
2015-05-22,75.92,76.28,75.38,76.04,61.97,659300,0.0,0
2015-05-26,76.08,76.3,74.95,75.48,61.52,1278400,0.0,0
2015-05-27,75.7,76.56,75.55,76.41,62.28,1134100,0.0,0
2015-05-28,76.24,76.82,75.93,76.55,62.39,1068500,0.0,0
2015-05-29,76.55,77.08,76.29,76.47,62.32,1077900,0.0,0
2015-06-01,76.54,77.16,76.43,76.58,62.41,1128800,0.0,0
2015-06-02,75.91,76.31,74.58,75.11,61.22,1422800,0.0,0
2015-06-03,74.84,75.21,73.37,73.83,60.17,2053100,0.0,0
2015-06-04,73.51,74.48,73.39,73.76,60.12,1028200,0.0,0
2015-06-05,73.04,73.04,71.93,72.12,58.78,1235100,0.0,0
2015-06-08,72.24,72.59,71.96,71.98,58.67,1063700,0.0,0
2015-06-09,72.63,72.63,70.88,70.9,57.79,1459400,0.0,0
2015-06-10,71.33,71.74,70.64,70.71,57.63,2708900,0.0,0
2015-06-11,71.2,71.75,70.72,71.42,58.21,1744100,0.0,0
2015-06-12,71.16,71.58,70.7,70.71,57.63,903400,0.0,0
2015-06-15,70.49,71.0,70.12,70.95,57.83,1475800,0.0,0
2015-06-16,70.88,71.19,70.44,70.83,57.73,782800,0.0,0
2015-06-17,70.77,71.62,70.42,71.19,58.02,1584600,0.0,0
2015-06-18,71.32,72.36,71.32,72.04,58.71,1953400,0.0,0
2015-06-19,71.64,72.23,71.46,71.57,58.33,1494100,0.0,0
2015-06-22,71.82,71.9,71.25,71.5,58.27,845700,0.0,0
