Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.57,46.7,46.11,46.38,43.2,636200,0.0,0
2015-04-28,46.24,46.66,46.01,46.64,43.44,811300,0.0,0
2015-04-29,46.43,46.64,45.94,46.17,43.0,1057200,0.0,0
2015-04-30,46.05,46.12,45.51,45.83,42.69,1393300,0.0,0
2015-05-01,45.95,46.53,45.92,46.45,43.26,847400,0.0,0
2015-05-04,46.42,47.01,46.33,47.0,43.78,924700,0.0,0
2015-05-05,46.88,47.25,46.51,46.71,43.51,1709700,0.0,0
2015-05-06,48.27,49.11,47.9,48.11,44.81,2900300,0.0,0
2015-05-07,48.11,49.08,47.88,48.09,44.79,1912100,0.0,0
2015-05-08,48.46,49.01,48.02,48.07,44.77,1205400,0.0,0
2015-05-11,48.01,48.46,47.84,47.94,44.65,948900,0.0,0
2015-05-12,47.8,47.8,47.23,47.72,44.45,1252400,0.0,0
2015-05-13,47.7,47.93,46.97,47.04,43.81,1625200,0.0,0
2015-05-14,47.25,47.59,47.07,47.57,44.31,864800,0.0,0
2015-05-15,47.73,47.83,47.48,47.7,44.43,743600,0.0,0
2015-05-18,47.56,48.08,47.4,47.95,44.66,943300,0.0,0
2015-05-19,47.91,47.99,47.35,47.46,44.2,1032700,0.0,0
2015-05-20,47.4,47.57,47.08,47.27,44.03,1171300,0.0,0
2015-05-21,47.28,47.35,47.04,47.27,44.03,666500,0.0,0
2015-05-22,47.19,47.24,46.68,46.81,43.6,530700,0.0,0
2015-05-26,46.81,46.9,46.43,46.51,43.32,1345600,0.0,0
2015-05-27,46.69,47.06,46.22,46.98,43.76,1728900,0.0,0
2015-05-28,46.59,46.65,45.92,45.98,43.16,1381700,0.36,0
2015-05-29,45.86,46.27,45.72,45.84,43.03,1813600,0.0,0
2015-06-01,45.95,46.48,45.84,46.35,43.5,2290800,0.0,0
2015-06-02,46.23,46.75,46.02,46.51,43.65,1395400,0.0,0
2015-06-03,46.8,48.42,46.55,48.32,45.35,2305100,0.0,0
2015-06-04,48.02,48.38,47.49,47.56,44.64,1625600,0.0,0
2015-06-05,47.5,48.18,47.5,47.95,45.01,1559400,0.0,0
2015-06-08,47.85,47.91,46.78,46.79,43.92,1534300,0.0,0
2015-06-09,46.58,47.05,46.57,46.79,43.92,1001000,0.0,0
2015-06-10,46.93,47.63,46.75,47.52,44.6,1992200,0.0,0
2015-06-11,47.44,48.31,47.44,48.3,45.33,1446100,0.0,0
2015-06-12,48.06,48.38,47.89,48.1,45.15,1284600,0.0,0
2015-06-15,47.77,47.97,47.33,47.96,45.02,923100,0.0,0
2015-06-16,47.81,48.0,47.49,47.71,44.78,761000,0.0,0
2015-06-17,47.55,47.83,47.14,47.81,44.87,1062000,0.0,0
2015-06-18,47.96,48.59,47.73,48.42,45.45,1024900,0.0,0
2015-06-19,48.55,48.55,47.9,48.04,45.09,1521300,0.0,0
2015-06-22,48.08,48.54,48.08,48.37,45.4,782800,0.0,0
2015-06-23,48.47,48.67,47.86,47.92,44.98,963000,0.0,0
2015-06-24,47.99,48.12,46.86,47.04,44.15,1157700,0.0,0
2015-06-25,47.05,47.27,46.76,46.86,43.98,740800,0.0,0
2015-06-26,47.04,47.19,46.78,46.97,44.09,865300,0.0,0
2015-06-29,46.77,46.88,45.87,45.89,43.07,827100,0.0,0
2015-06-30,46.2,46.5,45.87,46.11,43.28,905900,0.0,0
2015-07-01,46.56,46.56,46.14,46.3,43.46,1087700,0.0,0
2015-07-02,46.29,46.55,45.86,46.17,43.34,1024500,0.0,0
2015-07-06,45.71,46.01,45.24,45.35,42.57,1251100,0.0,0
2015-07-07,45.56,45.72,44.78,45.34,42.56,1483800,0.0,0
2015-07-08,45.04,45.27,44.21,44.44,41.71,2341200,0.0,0
2015-07-09,44.99,45.16,44.67,44.72,41.97,1242800,0.0,0
2015-07-10,45.06,45.32,45.03,45.17,42.4,730400,0.0,0
2015-07-13,45.39,45.97,45.23,45.91,43.09,1226400,0.0,0
2015-07-14,45.86,45.94,45.52,45.68,42.88,1325500,0.0,0
2015-07-15,45.74,45.88,45.1,45.13,42.36,960800,0.0,0
2015-07-16,45.19,45.47,44.85,45.07,42.3,1024100,0.0,0
