Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,67.88,68.19,66.58,66.79,55.81,825400,0.0,0
2015-04-28,66.75,67.19,66.13,66.85,55.86,515100,0.0,0
2015-04-29,66.33,67.37,64.81,65.09,54.39,916900,0.0,0
2015-04-30,66.01,67.8,65.74,65.93,55.09,1433200,0.0,0
2015-05-01,65.95,67.44,65.49,66.53,55.59,1051600,0.0,0
2015-05-04,66.84,67.32,66.53,66.72,55.75,674000,0.0,0
2015-05-05,66.39,66.82,65.55,65.66,54.86,749800,0.0,0
2015-05-06,65.65,66.09,65.2,65.57,54.79,815000,0.0,0
2015-05-07,65.72,67.07,65.46,66.99,55.98,847000,0.0,0
2015-05-08,67.71,69.01,66.5,68.51,57.25,788800,0.0,0
2015-05-11,68.49,69.2,67.81,68.05,56.86,834800,0.0,0
2015-05-12,67.61,69.08,66.87,68.91,57.58,841900,0.0,0
2015-05-13,69.24,69.89,68.38,68.55,57.28,861100,0.0,0
2015-05-14,68.99,70.71,68.58,70.57,58.97,1185200,0.0,0
2015-05-15,70.81,72.33,70.59,72.22,60.35,2277200,0.0,0
2015-05-18,72.26,72.46,71.49,71.62,59.84,1452600,0.0,0
2015-05-19,71.47,71.69,70.83,71.14,59.44,1552200,0.0,0
2015-05-20,71.28,71.53,70.73,71.01,59.34,1781400,0.0,0
2015-05-21,71.11,71.29,70.21,70.46,58.88,842300,0.0,0
2015-05-22,70.16,71.23,70.11,70.78,59.14,546200,0.0,0
2015-05-26,70.75,70.86,70.24,70.61,59.0,1557300,0.0,0
2015-05-27,70.68,71.0,70.46,70.96,59.29,975700,0.0,0
2015-05-28,71.08,71.52,70.15,70.64,59.03,930000,0.0,0
2015-05-29,70.88,71.01,69.73,70.03,58.52,4217500,0.0,0
2015-06-01,70.05,70.79,69.7,70.31,58.75,961200,0.0,0
2015-06-02,70.16,70.16,68.94,69.17,57.8,888900,0.0,0
2015-06-03,69.17,69.45,68.06,68.2,56.99,740500,0.0,0
2015-06-04,68.02,68.27,67.23,67.62,56.5,800100,0.0,0
2015-06-05,67.08,67.24,66.26,66.59,55.64,838400,0.0,0
2015-06-08,66.61,66.66,66.17,66.43,55.51,614600,0.0,0
2015-06-09,66.36,66.62,65.66,65.83,55.01,543000,0.0,0
2015-06-10,65.92,67.17,65.82,66.54,55.6,609400,0.0,0
2015-06-11,66.4,67.11,65.95,67.1,56.57,855400,0.59,0
2015-06-12,66.98,67.39,66.6,67.2,56.65,831300,0.0,0
2015-06-15,67.14,67.54,66.65,67.1,56.57,612800,0.0,0
2015-06-16,66.59,68.7,66.55,68.47,57.72,1141500,0.0,0
2015-06-17,69.17,69.25,68.37,68.64,57.87,4362200,0.0,0
2015-06-18,68.75,69.74,68.75,69.55,58.64,1118600,0.0,0
2015-06-19,69.45,69.68,68.76,68.9,58.09,1265000,0.0,0
2015-06-22,69.0,69.19,68.09,68.15,57.45,1292800,0.0,0
2015-06-23,68.12,68.2,67.05,67.16,56.62,778700,0.0,0
2015-06-24,67.29,67.51,66.21,66.25,55.85,787100,0.0,0
2015-06-25,66.29,66.64,65.16,65.41,55.14,763300,0.0,0
2015-06-26,65.43,65.77,64.99,65.64,55.34,718400,0.0,0
2015-06-29,65.34,66.18,64.98,65.04,54.83,783000,0.0,0
2015-06-30,65.42,65.81,64.78,65.22,54.98,653700,0.0,0
2015-07-01,66.08,66.9,65.38,66.83,56.34,1186300,0.0,0
2015-07-02,67.31,68.0,67.05,67.41,56.83,1065200,0.0,0
2015-07-06,66.87,67.84,66.3,67.32,56.76,916400,0.0,0
2015-07-07,67.51,68.73,67.33,68.54,57.78,850000,0.0,0
2015-07-08,67.97,69.31,67.8,68.81,58.01,1126600,0.0,0
2015-07-09,69.19,69.37,68.64,68.9,58.09,618700,0.0,0
2015-07-10,69.29,70.17,68.89,69.58,58.66,606800,0.0,0
2015-07-13,70.17,70.77,69.34,69.7,58.76,656700,0.0,0
2015-07-14,69.77,70.15,69.29,69.57,58.65,903300,0.0,0
2015-07-15,69.49,70.15,69.1,69.57,58.65,513600,0.0,0
2015-07-16,69.89,70.44,69.39,70.37,59.33,478300,0.0,0
2015-07-17,70.28,70.31,69.63,70.17,59.16,555300,0.0,0
2015-07-20,70.0,70.9,69.62,70.78,59.67,735500,0.0,0
2015-07-21,70.85,71.14,70.26,70.28,59.25,585300,0.0,0
2015-07-22,70.28,71.23,70.28,70.91,59.78,582100,0.0,0
2015-07-23,71.41,71.47,70.26,70.85,59.73,587300,0.0,0
2015-07-24,70.75,71.3,70.39,70.98,59.84,569900,0.0,0
2015-07-27,70.94,71.56,70.78,71.17,60.0,628000,0.0,0
2015-07-28,71.28,71.45,70.67,70.99,59.85,647700,0.0,0
2015-07-29,70.88,71.32,70.35,71.15,59.98,623400,0.0,0
2015-07-30,71.89,73.24,71.63,72.83,61.4,781000,0.0,0
2015-07-31,73.47,74.27,72.99,73.52,61.98,1041900,0.0,0
2015-08-03,73.5,74.49,73.34,74.42,62.74,649900,0.0,0
2015-08-04,74.35,75.16,74.08,74.31,62.65,551200,0.0,0
2015-08-05,74.61,74.96,74.31,74.69,62.97,617300,0.0,0
2015-08-06,74.57,75.43,73.98,75.34,63.52,649100,0.0,0
2015-08-07,75.26,76.09,74.52,75.7,63.82,634100,0.0,0
2015-08-10,76.17,76.43,74.98,75.3,63.48,949100,0.0,0
2015-08-11,75.15,76.65,74.69,76.11,64.17,782700,0.0,0
2015-08-12,75.87,76.71,75.21,76.7,64.66,1059200,0.0,0
2015-08-13,76.82,78.19,76.62,77.25,65.13,1509200,0.0,0
2015-08-14,77.25,78.8,76.88,78.45,66.14,3641400,0.0,0
2015-08-17,78.52,79.12,78.32,78.7,66.35,1107100,0.0,0
2015-08-18,78.56,79.15,78.41,78.53,66.21,736600,0.0,0
2015-08-19,78.46,78.82,78.08,78.45,66.14,752300,0.0,0
2015-08-20,78.28,78.99,77.73,77.88,65.66,868300,0.0,0
2015-08-21,77.57,78.08,76.51,76.53,64.52,1238300,0.0,0
2015-08-24,74.04,74.7,72.12,72.22,60.89,1502000,0.0,0
2015-08-25,74.03,74.11,69.96,70.03,59.04,1388000,0.0,0
2015-08-26,71.68,72.47,70.34,72.11,60.79,1178300,0.0,0
2015-08-27,72.83,74.29,72.15,73.84,62.25,984200,0.0,0
2015-08-28,73.71,74.44,73.35,74.13,62.5,836800,0.0,0
2015-08-31,74.21,74.66,73.29,73.48,61.95,1761100,0.0,0
2015-09-01,72.55,73.21,71.87,72.49,61.11,972100,0.0,0
2015-09-02,73.41,73.6,72.68,73.57,62.02,722500,0.0,0
2015-09-03,73.5,74.05,73.03,73.3,61.8,707900,0.0,0
2015-09-04,72.8,73.13,70.98,71.42,60.21,753500,0.0,0
2015-09-08,72.37,73.33,71.97,73.08,61.61,739600,0.0,0
2015-09-09,73.53,73.69,71.79,71.9,60.62,619700,0.0,0
2015-09-10,71.9,72.94,71.58,71.97,60.68,746000,0.0,0
