Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,15.82,16.0,15.77,15.9,12.1877,34824900,0.0,0
2015-04-28,15.93,16.08,15.77,16.06,12.3103,56634200,0.0,0
2015-04-29,15.86,16.1,15.82,16.02,12.3955,35126900,0.15,0
2015-04-30,15.97,16.04,15.74,15.8,12.2252,30269300,0.0,0
2015-05-01,15.9,15.94,15.7,15.81,12.233,20602200,0.0,0
2015-05-04,15.81,15.88,15.75,15.78,12.2098,15078700,0.0,0
2015-05-05,15.77,15.82,15.52,15.53,12.0163,32248900,0.0,0
2015-05-06,15.61,15.66,15.4,15.48,11.9776,26381200,0.0,0
2015-05-07,15.46,15.56,15.14,15.51,12.0008,26996600,0.0,0
2015-05-08,15.62,15.71,15.59,15.67,12.1246,21336800,0.0,0
2015-05-11,15.65,15.84,15.64,15.65,12.1092,17249800,0.0,0
2015-05-12,15.59,15.65,15.5,15.56,12.0395,17670000,0.0,0
2015-05-13,15.54,15.62,15.37,15.41,11.9235,20890400,0.0,0
2015-05-14,15.5,15.54,15.2,15.27,11.8151,28794700,0.0,0
2015-05-15,15.27,15.49,15.27,15.48,11.9776,18937700,0.0,0
2015-05-18,15.47,15.64,15.45,15.58,12.055,19491900,0.0,0
2015-05-19,15.59,15.63,15.45,15.5,11.9931,15145300,0.0,0
2015-05-20,15.54,15.56,15.26,15.3,11.8384,22391500,0.0,0
2015-05-21,15.28,15.55,15.26,15.51,12.0008,23962000,0.0,0
2015-05-22,15.5,15.5,15.27,15.27,11.8151,24795800,0.0,0
2015-05-26,15.27,15.34,15.15,15.19,11.7532,25002900,0.0,0
2015-05-27,15.23,15.37,15.2,15.32,11.8538,18763900,0.0,0
2015-05-28,15.28,15.34,15.24,15.29,11.8306,13959000,0.0,0
2015-05-29,15.31,15.4,15.16,15.17,11.7378,19060400,0.0,0
2015-06-01,15.33,15.45,15.19,15.36,11.8848,26685300,0.0,0
2015-06-02,15.44,15.5,15.21,15.26,11.8074,34974700,0.0,0
2015-06-03,15.29,15.32,15.12,15.2,11.761,24311600,0.0,0
2015-06-04,15.13,15.17,15.01,15.05,11.6449,23428400,0.0,0
2015-06-05,15.02,15.02,14.78,14.78,11.436,44736900,0.0,0
2015-06-08,14.83,15.01,14.8,14.9,11.5289,30240600,0.0,0
2015-06-09,14.92,15.01,14.84,14.88,11.5134,20454700,0.0,0
2015-06-10,15.01,15.08,14.95,15.03,11.6294,20961100,0.0,0
2015-06-11,15.11,15.35,15.08,15.28,11.8229,27187100,0.0,0
2015-06-12,15.2,15.35,15.18,15.23,11.7842,19847300,0.0,0
2015-06-15,15.06,15.11,14.97,15.05,11.6449,23825400,0.0,0
2015-06-16,15.01,15.04,14.93,15.0,11.6062,23359500,0.0,0
2015-06-17,15.01,15.08,14.86,15.02,11.6217,25842100,0.0,0
2015-06-18,15.03,15.24,15.0,15.14,11.7146,21360500,0.0,0
2015-06-19,15.09,15.25,15.06,15.11,11.6913,24675100,0.0,0
2015-06-22,15.14,15.25,15.1,15.13,11.7068,18863800,0.0,0
2015-06-23,15.23,15.41,15.22,15.29,11.8306,21177800,0.0,0
2015-06-24,15.5,15.66,15.42,15.5,11.9931,35401000,0.0,0
2015-06-25,15.52,15.56,15.39,15.44,11.9467,23994400,0.0,0
2015-06-26,15.43,15.49,15.35,15.4,11.9157,20428200,0.0,0
2015-06-29,15.23,15.3,14.92,15.02,11.6217,38117400,0.0,0
2015-06-30,15.17,15.18,14.9,15.01,11.614,28509300,0.0,0
2015-07-01,15.14,15.17,14.8,14.99,11.5985,31744500,0.0,0
2015-07-02,15.01,15.08,14.81,14.87,11.5056,18482400,0.0,0
2015-07-06,14.75,14.9,14.7,14.79,11.4437,22609800,0.0,0
2015-07-07,14.77,14.9,14.52,14.85,11.4902,28151300,0.0,0
2015-07-08,14.67,14.72,14.27,14.37,11.1188,42278500,0.0,0
2015-07-09,14.6,14.62,14.27,14.33,11.0878,29660700,0.0,0
2015-07-10,14.48,14.54,14.35,14.48,11.2039,20093600,0.0,0
2015-07-13,14.64,14.65,14.42,14.64,11.3277,19864000,0.0,0
2015-07-14,14.71,14.86,14.59,14.81,11.4592,20830700,0.0,0
2015-07-15,14.83,14.86,14.61,14.75,11.4128,21892100,0.0,0
2015-07-16,14.74,14.79,14.45,14.57,11.2735,33938900,0.0,0
2015-07-17,14.51,14.69,14.48,14.69,11.3664,31718000,0.0,0
2015-07-20,14.71,14.75,14.53,14.57,11.2735,25428200,0.0,0
2015-07-21,14.53,14.55,14.45,14.51,11.2271,19334700,0.0,0
2015-07-22,14.49,14.51,14.35,14.42,11.1575,30909700,0.0,0
2015-07-23,14.75,14.87,14.59,14.61,11.3045,29440400,0.0,0
2015-07-24,14.72,14.73,14.32,14.39,11.1342,26050900,0.0,0
2015-07-27,14.35,14.6,14.23,14.55,11.258,43857200,0.0,0
2015-07-28,14.96,15.0,14.6,14.83,11.4747,56398500,0.0,0
2015-07-29,14.83,15.3,14.81,15.21,11.889,52125400,0.15,0
2015-07-30,15.21,15.3,14.96,15.1,11.803,34980300,0.0,0
2015-07-31,15.18,15.19,14.73,14.83,11.5919,32654400,0.0,0
2015-08-03,14.97,15.04,14.85,14.94,11.6779,26702300,0.0,0
2015-08-04,14.94,15.0,14.84,14.91,11.6545,18845000,0.0,0
2015-08-05,14.99,15.04,14.72,14.8,11.5685,22490000,0.0,0
2015-08-06,14.8,14.88,14.62,14.83,11.5919,26811400,0.0,0
