Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-24,20.89,21.43,20.78,21.2,18.45,8479800.0,0.14,0.0
2015-04-27,20.89,21.43,20.78,21.2,18.45,8479800.0,0.0,0.0
2015-04-28,21.15,21.45,21.0,21.36,18.59,7279200.0,0.0,0.0
2015-04-29,21.28,21.7,21.16,21.53,18.73,7846600.0,0.0,0.0
2015-04-30,21.52,21.63,21.22,21.31,18.54,8514000.0,0.0,0.0
2015-05-01,21.35,21.5,21.23,21.42,18.63,4924800.0,0.0,0.0
2015-05-04,21.42,21.62,21.38,21.58,18.77,4277800.0,0.0,0.0
2015-05-05,21.39,21.41,20.77,20.82,18.11,8327400.0,0.0,0.0
2015-05-06,20.83,20.92,20.62,20.84,18.13,3884600.0,0.0,0.0
2015-05-07,20.77,21.1,20.77,21.01,18.28,3455400.0,0.0,0.0
2015-05-08,21.25,21.57,21.08,21.36,18.58,4084200.0,0.0,0.0
2015-05-11,21.3,21.35,21.15,21.24,18.47,3178800.0,0.0,0.0
2015-05-12,21.17,21.59,21.04,21.5,18.71,4240000.0,0.0,0.0
2015-05-13,21.5,21.58,21.38,21.42,18.63,5071800.0,0.0,0.0
2015-05-14,21.52,21.64,21.44,21.64,18.82,2921800.0,0.0,0.0
2015-05-15,21.67,21.71,21.35,21.39,18.61,3742200.0,0.0,0.0
2015-05-18,21.32,21.48,21.15,21.33,18.56,3502600.0,0.0,0.0
2015-05-19,21.32,21.34,21.06,21.26,18.5,2491600.0,0.0,0.0
2015-05-20,21.35,21.36,21.22,21.28,18.52,1864200.0,0.0,0.0
2015-05-21,21.26,21.48,21.25,21.34,18.57,2289200.0,0.0,0.0
2015-05-22,21.27,21.37,21.18,21.2,18.44,1994200.0,0.0,0.0
2015-05-26,21.2,21.27,21.08,21.18,18.43,3701600.0,0.0,0.0
2015-05-27,21.22,21.33,21.08,21.31,18.54,2152200.0,0.0,0.0
2015-05-28,21.25,21.37,21.2,21.27,18.51,2972400.0,0.0,0.0
2015-05-29,21.25,21.3,20.72,20.75,18.06,4725600.0,0.0,0.0
2015-06-01,21.11,21.11,20.65,20.84,18.13,2790600.0,0.0,0.0
2015-06-02,20.72,21.15,20.72,21.06,18.32,2737600.0,0.0,0.0
2015-06-03,21.17,21.27,20.94,21.26,18.5,3587000.0,0.0,0.0
2015-06-04,21.18,21.25,21.04,21.07,18.33,2986600.0,0.0,0.0
2015-06-05,21.05,21.09,20.86,20.94,18.22,2007000.0,0.0,0.0
2015-06-08,20.9,20.98,20.75,20.76,18.06,2173600.0,0.0,0.0
2015-06-09,20.76,20.94,20.72,20.84,18.13,3111600.0,0.0,0.0
2015-06-10,20.97,21.17,20.97,21.08,18.34,2960600.0,0.0,0.0
2015-06-11,21.16,21.2,20.98,21.17,18.42,3063400.0,0.0,0.0
2015-06-12,21.1,21.15,20.98,21.01,18.28,2314800.0,0.0,0.0
2015-06-15,20.9,20.97,20.68,20.94,18.22,2626400.0,0.0,0.0
2015-06-16,20.88,21.09,20.78,21.08,18.33,2286800.0,0.0,0.0
2015-06-17,21.11,21.38,21.05,21.35,18.57,3644400.0,0.0,0.0
2015-06-18,21.44,21.73,21.38,21.7,18.88,4368000.0,0.0,0.0
2015-06-19,21.68,21.69,21.44,21.49,18.7,4505800.0,0.0,0.0
2015-06-22,21.65,21.75,21.5,21.68,18.86,2698200.0,0.0,0.0
2015-06-23,21.75,21.75,21.55,21.62,18.81,1921400.0,0.0,0.0
2015-06-24,21.65,21.7,21.49,21.52,18.73,2925400.0,0.0,0.0
2015-06-25,21.58,21.58,21.32,21.37,18.59,2601000.0,0.0,0.0
2015-06-26,21.43,21.59,21.35,21.55,18.75,2827400.0,0.0,0.0
2015-06-29,21.42,21.43,21.09,21.1,18.36,3736800.0,0.0,0.0
2015-06-30,21.31,21.33,21.07,21.09,18.35,2914600.0,0.0,0.0
2015-07-01,21.19,21.21,20.98,21.08,18.34,4490400.0,0.0,0.0
2015-07-02,21.08,21.19,20.85,21.05,18.31,3762800.0,0.0,0.0
2015-07-06,20.93,21.15,20.93,21.02,18.29,3386800.0,0.0,0.0
2015-07-07,21.11,21.4,20.92,21.37,18.59,5002000.0,0.0,0.0
2015-07-08,21.29,21.35,20.89,21.0,18.27,5546000.0,0.0,0.0
2015-07-09,21.18,21.3,20.94,21.0,18.27,3298200.0,0.0,0.0
2015-07-10,21.2,21.27,21.05,21.17,18.41,3355400.0,0.0,0.0
2015-07-13,21.31,21.44,21.17,21.41,18.63,5878800.0,0.0,0.0
2015-07-14,20.76,21.12,20.49,20.56,17.88,13690600.0,0.0,0.0
2015-07-15,20.57,20.98,20.55,20.75,18.05,9219000.0,0.0,0.0
2015-07-16,20.61,21.05,20.58,20.97,18.24,4869600.0,0.0,0.0
2015-07-17,20.94,20.95,20.67,20.93,18.21,4187000.0,0.0,0.0
2015-07-20,20.96,21.18,20.88,21.09,18.35,4383400.0,0.0,0.0
2015-07-21,21.01,21.1,20.64,20.72,18.03,6225200.0,0.0,0.0
2015-07-22,20.79,20.95,20.22,20.33,17.69,4663600.0,0.0,0.0
2015-07-23,20.29,20.37,20.07,20.2,17.57,6074200.0,0.0,0.0
2015-07-24,20.09,20.18,19.88,20.03,17.55,5606000.0,0.14,0.0
2015-07-27,20.03,20.16,19.86,20.05,17.56,3362200.0,0.0,0.0
2015-07-28,20.14,20.44,20.08,20.42,17.89,4155400.0,0.0,0.0
2015-07-29,20.41,20.65,20.29,20.61,18.05,3434800.0,0.0,0.0
2015-07-30,20.51,20.64,20.42,20.44,17.91,3577000.0,0.0,0.0
2015-07-31,20.51,21.01,20.47,20.93,18.34,4990400.0,0.0,0.0
2015-08-03,20.88,20.98,19.89,20.7,18.14,3283000.0,0.0,0.0
2015-08-04,20.63,20.89,20.56,20.67,18.11,3303000.0,0.0,0.0
2015-08-05,20.71,20.85,20.3,20.44,17.91,6570400.0,0.0,0.0
2015-08-06,20.44,20.51,20.05,20.06,17.57,5597600.0,0.0,0.0
2015-08-07,20.09,20.17,19.84,20.0,17.52,4012000.0,0.0,0.0
2015-08-10,20.15,20.41,20.14,20.28,17.77,4976000.0,0.0,0.0
2015-08-11,20.17,20.18,19.77,19.89,17.42,4795000.0,0.0,0.0
2015-08-12,19.77,20.27,19.75,20.23,17.72,4430600.0,0.0,0.0
2015-08-13,20.16,20.19,20.01,20.02,17.54,2171200.0,0.0,0.0
2015-08-14,19.97,20.17,19.95,20.1,17.61,2298400.0,0.0,0.0
2015-08-17,20.01,20.29,19.93,20.18,17.68,2306600.0,0.0,0.0
2015-08-18,20.17,20.4,20.17,20.36,17.84,3000800.0,0.0,0.0
2015-08-19,20.27,20.35,19.97,20.17,17.67,3427000.0,0.0,0.0
2015-08-20,20.04,20.08,19.68,19.69,17.25,4269800.0,0.0,0.0
2015-08-21,19.62,19.86,19.53,19.59,17.16,8792200.0,0.0,0.0
2015-08-24,18.97,19.42,18.5,18.7,16.38,12435400.0,0.0,0.0
2015-08-25,18.58,19.02,18.45,18.5,16.21,14457800.0,0.0,0.0
2015-08-26,18.91,19.09,18.77,19.04,16.68,7406800.0,0.0,0.0
2015-08-27,19.17,19.51,19.13,19.49,17.07,5410400.0,0.0,0.0
2015-08-28,19.35,19.53,19.27,19.34,16.95,4012800.0,0.0,0.0
2015-08-31,19.23,19.44,19.06,19.27,16.88,3881400.0,0.0,0.0
2015-09-01,18.92,19.04,18.67,18.73,16.4,5375400.0,0.0,0.0
2015-09-02,19.03,19.26,18.98,19.17,16.79,4533600.0,0.0,0.0
2015-09-03,19.08,19.2,18.75,18.82,16.49,5530200.0,0.0,0.0
2015-09-04,18.62,18.85,18.55,18.75,16.43,3920200.0,0.0,0.0
2015-09-08,19.05,19.45,19.0,19.42,17.01,5505600.0,0.0,0.0
2015-09-09,19.55,19.62,19.15,19.18,16.8,3977600.0,0.0,0.0
2015-09-10,19.11,19.49,19.07,19.31,16.92,3947400.0,0.0,0.0
