Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.87,46.87,45.51,45.62,42.43,1838000,0.0,0
2015-04-28,45.45,45.79,44.98,45.76,42.56,2067300,0.0,0
2015-04-29,45.52,46.24,45.15,45.85,42.65,1490000,0.0,0
2015-04-30,45.57,46.11,44.43,44.6,41.48,2713100,0.0,0
2015-05-01,44.38,45.76,43.9,44.46,41.35,3661400,0.0,0
2015-05-04,44.61,45.07,44.38,44.75,41.62,2504500,0.0,0
2015-05-05,44.58,45.04,44.56,44.63,41.51,1719500,0.0,0
2015-05-06,44.7,44.87,43.79,44.07,40.99,1960400,0.0,0
2015-05-07,43.84,44.63,43.82,44.5,41.39,769900,0.0,0
2015-05-08,45.3,45.71,44.53,44.59,41.47,1041100,0.0,0
2015-05-11,44.6,44.86,44.41,44.51,41.4,1064600,0.0,0
2015-05-12,44.32,44.56,43.84,44.08,41.0,1069100,0.0,0
2015-05-13,44.32,45.44,44.3,44.93,41.79,2188800,0.0,0
2015-05-14,45.35,45.44,44.9,45.23,42.07,1172800,0.0,0
2015-05-15,45.2,45.42,45.07,45.22,42.06,1082600,0.0,0
2015-05-18,45.16,45.46,45.01,45.32,42.15,1201200,0.0,0
2015-05-19,45.72,46.46,45.62,46.09,42.87,1632500,0.0,0
2015-05-20,46.24,46.49,45.82,45.94,42.73,1443800,0.0,0
2015-05-21,45.89,46.26,45.67,46.11,42.89,1839100,0.0,0
2015-05-22,46.15,46.33,46.08,46.16,42.94,1194500,0.0,0
2015-05-26,45.97,46.55,45.95,46.41,43.17,2097800,0.0,0
2015-05-27,46.43,46.62,46.17,46.45,43.34,1403500,0.14,0
2015-05-28,46.4,46.67,46.18,46.56,43.44,1335200,0.0,0
2015-05-29,46.57,46.66,45.67,45.86,42.79,6370000,0.0,0
2015-06-01,45.94,46.46,45.4,46.15,43.06,1163500,0.0,0
2015-06-02,45.99,47.06,45.92,46.73,43.6,1585800,0.0,0
2015-06-03,46.59,46.59,46.09,46.38,43.27,1386900,0.0,0
2015-06-04,46.09,46.28,45.69,45.8,42.73,1202200,0.0,0
2015-06-05,45.45,46.3,45.1,46.2,43.1,961100,0.0,0
2015-06-08,46.06,46.34,45.83,45.9,42.82,1378000,0.0,0
2015-06-09,45.29,46.29,45.29,45.62,42.56,878500,0.0,0
2015-06-10,45.84,46.37,45.72,46.1,43.01,1091400,0.0,0
2015-06-11,46.16,46.57,46.07,46.24,43.14,1018800,0.0,0
2015-06-12,46.18,46.36,45.88,46.25,43.15,660600,0.0,0
2015-06-15,45.98,45.98,45.49,45.68,42.62,1056300,0.0,0
2015-06-16,45.51,45.89,45.4,45.78,42.71,753400,0.0,0
2015-06-17,45.73,46.02,45.17,45.68,42.62,949500,0.0,0
2015-06-18,45.74,46.16,45.56,46.03,42.94,753800,0.0,0
2015-06-19,46.12,46.38,45.98,46.05,42.96,1286500,0.0,0
2015-06-22,46.32,46.75,46.13,46.75,43.62,1122400,0.0,0
2015-06-23,46.79,46.95,46.33,46.55,43.43,907800,0.0,0
2015-06-24,46.4,46.89,45.66,45.69,42.63,958400,0.0,0
2015-06-25,45.94,46.14,45.6,45.95,42.87,945400,0.0,0
2015-06-26,45.99,46.66,45.95,46.64,43.51,1345200,0.0,0
2015-06-29,46.25,46.45,45.23,45.27,42.23,718600,0.0,0
2015-06-30,45.5,46.1,45.39,45.82,42.75,1163800,0.0,0
2015-07-01,46.27,46.71,45.72,45.97,42.89,1419900,0.0,0
2015-07-02,46.0,46.14,45.69,46.02,42.93,904100,0.0,0
2015-07-06,45.72,46.09,45.14,45.17,42.14,1372400,0.0,0
2015-07-07,45.26,45.57,44.73,45.49,42.44,1564600,0.0,0
2015-07-08,45.14,45.44,44.69,44.82,41.81,852700,0.0,0
2015-07-09,45.36,45.55,44.7,44.73,41.73,914900,0.0,0
2015-07-10,45.17,45.27,44.91,45.04,42.02,866700,0.0,0
2015-07-13,45.49,45.91,45.4,45.88,42.8,766900,0.0,0
2015-07-14,45.74,46.27,45.66,46.17,43.07,813400,0.0,0
2015-07-15,46.2,46.31,45.09,45.25,42.22,1221900,0.0,0
2015-07-16,45.62,45.62,44.72,44.83,41.82,1346000,0.0,0
2015-07-17,44.81,44.93,43.92,44.29,41.32,1744700,0.0,0
2015-07-20,44.28,45.09,43.9,44.56,41.57,2267000,0.0,0
2015-07-21,44.49,44.92,43.9,44.12,41.16,2149400,0.0,0
2015-07-22,43.87,44.68,43.87,44.18,41.22,2309000,0.0,0
2015-07-23,45.35,47.99,45.1,47.07,43.91,6416300,0.0,0
2015-07-24,47.0,47.1,46.03,46.59,43.47,3112600,0.0,0
2015-07-27,46.25,46.4,45.57,45.65,42.59,1522200,0.0,0
2015-07-28,46.03,46.81,45.88,46.65,43.52,1296800,0.0,0
2015-07-29,46.75,47.88,46.43,47.67,44.47,1338200,0.0,0
2015-07-30,47.45,48.16,47.28,47.99,44.77,1005900,0.0,0
