Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,21.25,22.12,21.16,21.82,21.0,26042600,0.0,0
2015-04-28,22.46,22.82,22.33,22.68,21.83,32509900,0.0,0
2015-04-29,22.46,23.1,22.39,22.89,22.03,21399500,0.0,0
2015-04-30,22.68,23.66,22.42,23.27,22.4,25088300,0.0,0
2015-05-01,23.38,23.95,23.29,23.66,22.77,20194900,0.0,0
2015-05-04,23.82,23.97,23.25,23.39,22.51,13367900,0.0,0
2015-05-05,23.57,23.75,23.23,23.35,22.48,16119300,0.0,0
2015-05-06,23.65,23.67,23.04,23.26,22.39,13922100,0.0,0
2015-05-07,22.74,23.02,22.48,22.91,22.05,15409500,0.0,0
2015-05-08,23.27,23.61,23.12,23.29,22.42,15817800,0.0,0
2015-05-11,23.4,23.6,22.87,22.97,22.11,15975600,0.0,0
2015-05-12,22.98,23.1,22.66,22.73,21.88,13758700,0.0,0
2015-05-13,22.82,23.0,22.46,22.61,21.76,14307600,0.0,0
2015-05-14,22.78,23.3,22.66,22.8,21.95,14059800,0.0,0
2015-05-15,22.77,22.96,22.47,22.83,21.97,9022100,0.0,0
2015-05-18,22.64,22.68,22.04,22.13,21.3,12559200,0.0,0
2015-05-19,21.72,21.85,21.2,21.29,20.49,22238000,0.0,0
2015-05-20,21.38,21.38,20.88,21.08,20.29,12735300,0.0,0
2015-05-21,21.24,21.56,20.85,21.35,20.55,17040400,0.0,0
2015-05-22,21.19,21.3,20.9,20.99,20.2,12275200,0.0,0
2015-05-26,20.7,20.75,19.87,20.08,19.33,27660900,0.0,0
2015-05-27,20.03,20.36,19.9,20.15,19.4,14151400,0.0,0
2015-05-28,20.07,20.24,19.72,20.16,19.4,13264700,0.0,0
2015-05-29,20.05,20.07,19.65,19.65,18.91,13437800,0.0,0
2015-06-01,19.75,19.75,19.3,19.35,18.63,11548700,0.0,0
2015-06-02,19.52,20.68,19.51,20.46,19.69,16644000,0.0,0
2015-06-03,20.46,20.65,19.8,19.87,19.13,17067500,0.0,0
2015-06-04,19.65,19.7,19.4,19.52,18.79,14532400,0.0,0
2015-06-05,19.36,19.76,19.26,19.65,18.91,10893200,0.0,0
2015-06-08,19.9,19.9,19.29,19.4,18.67,11498500,0.0,0
2015-06-09,19.6,20.22,19.53,20.02,19.27,15810300,0.0,0
2015-06-10,20.54,20.78,20.45,20.56,19.79,15533900,0.0,0
2015-06-11,20.36,20.4,19.8,19.93,19.18,12578900,0.0,0
2015-06-12,19.85,19.87,19.52,19.81,19.07,9426600,0.0,0
2015-06-15,19.43,19.95,19.42,19.59,18.86,17871700,0.0,0
2015-06-16,19.56,19.93,19.31,19.8,19.06,10145900,0.0,0
2015-06-17,19.96,20.13,19.54,20.02,19.27,10483000,0.0,0
2015-06-18,20.25,20.35,19.72,20.13,19.38,12248000,0.0,0
2015-06-19,19.91,20.03,19.68,19.77,19.03,15734700,0.0,0
2015-06-22,19.7,19.8,19.39,19.4,18.67,12619500,0.0,0
2015-06-23,19.4,20.15,19.38,20.11,19.36,16277900,0.0,0
2015-06-24,20.16,21.17,20.15,20.56,19.79,23128300,0.0,0
2015-06-25,20.4,20.66,19.57,19.74,19.0,17142500,0.0,0
2015-06-26,19.63,20.06,19.53,19.94,19.19,17434900,0.0,0
2015-06-29,19.7,19.96,19.36,19.38,18.65,13466300,0.0,0
2015-06-30,19.48,19.52,18.51,18.62,17.92,22002800,0.0,0
2015-07-01,18.58,18.81,18.21,18.4,17.71,14112900,0.0,0
2015-07-02,18.6,18.84,18.27,18.4,17.71,13265700,0.0,0
2015-07-06,17.89,18.12,17.51,17.84,17.17,18450800,0.0,0
2015-07-07,17.37,17.37,16.0,17.25,16.6,44548100,0.0,0
2015-07-08,17.15,17.29,16.35,16.5,15.88,20571900,0.0,0
2015-07-09,17.17,17.34,16.76,16.78,16.15,17844600,0.0,0
2015-07-10,17.3,17.5,16.67,16.74,16.11,14907700,0.0,0
2015-07-13,16.59,17.01,16.26,16.92,16.33,16280900,0.05,0
2015-07-14,16.73,17.21,16.6,17.11,16.52,14889500,0.0,0
2015-07-15,17.11,17.16,16.27,16.41,15.84,17215000,0.0,0
2015-07-16,16.65,16.67,16.1,16.3,15.74,12697900,0.0,0
2015-07-17,16.17,16.17,15.55,15.88,15.33,18847000,0.0,0
2015-07-20,15.51,15.67,14.91,15.05,14.53,35635000,0.0,0
2015-07-21,15.25,16.25,15.2,15.72,15.18,27647900,0.0,0
2015-07-22,15.51,15.56,14.86,15.06,14.54,28339600,0.0,0
2015-07-23,15.32,15.39,13.3,13.64,13.17,60229700,0.0,0
2015-07-24,13.45,13.46,12.17,12.29,11.87,56994300,0.0,0
2015-07-27,11.95,12.56,11.16,11.37,10.98,64856700,0.0,0
2015-07-28,11.76,12.69,11.62,12.33,11.9,51813300,0.0,0
2015-07-29,12.36,12.6,12.18,12.5,12.07,32226300,0.0,0
2015-07-30,12.3,12.49,11.57,11.84,11.43,29185400,0.0,0
2015-07-31,12.1,12.15,11.58,11.75,11.34,18926700,0.0,0
2015-08-03,11.64,11.67,11.12,11.2,10.81,22812600,0.0,0
2015-08-04,11.52,11.68,10.93,11.04,10.66,22773500,0.0,0
2015-08-05,11.47,11.87,10.9,10.93,10.55,41019200,0.0,0
2015-08-06,10.84,11.3,10.72,11.21,10.82,28172300,0.0,0
2015-08-07,11.07,11.25,10.48,10.53,10.17,26792200,0.0,0
