Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,36.45,36.59,35.95,36.24,29.45,2709900,0.0,0
2015-04-28,36.09,36.37,35.84,36.36,29.55,1986800,0.0,0
2015-04-29,36.09,36.45,35.83,36.34,29.53,1911000,0.0,0
2015-04-30,36.21,36.29,35.65,35.91,29.18,2794400,0.0,0
2015-05-01,36.09,36.5,35.91,36.25,29.46,3148600,0.0,0
2015-05-04,36.3,37.05,36.25,36.65,29.78,2655100,0.0,0
2015-05-05,36.15,36.26,35.19,35.31,28.98,2354500,0.36,0
2015-05-06,35.3,35.46,34.4,34.83,28.58,2795000,0.0,0
2015-05-07,35.0,35.14,34.69,34.75,28.52,2063400,0.0,0
2015-05-08,35.18,35.53,34.88,35.09,28.8,1649400,0.0,0
2015-05-11,35.0,35.5,34.89,34.94,28.67,1820300,0.0,0
2015-05-12,34.7,35.04,34.59,34.86,28.61,1796100,0.0,0
2015-05-13,34.91,35.11,34.37,34.54,28.34,1731800,0.0,0
2015-05-14,34.73,35.08,34.73,34.95,28.68,1868300,0.0,0
2015-05-15,35.06,35.53,35.01,35.24,28.92,2766000,0.0,0
2015-05-18,35.17,35.41,35.07,35.33,28.99,2078500,0.0,0
2015-05-19,35.17,35.59,35.04,35.5,29.13,2032700,0.0,0
2015-05-20,35.6,36.1,35.54,35.83,29.4,2867500,0.0,0
2015-05-21,35.82,36.16,35.69,35.92,29.48,3484300,0.0,0
2015-05-22,35.79,36.16,35.55,36.01,29.55,3409500,0.0,0
2015-05-26,36.01,36.02,35.49,35.75,29.34,1894100,0.0,0
2015-05-27,35.94,36.17,35.71,35.86,29.43,2272000,0.0,0
2015-05-28,35.87,36.27,35.84,36.07,29.6,2274800,0.0,0
2015-05-29,36.16,36.25,35.63,35.68,29.28,2950700,0.0,0
2015-06-01,35.81,35.9,35.4,35.6,29.21,2555300,0.0,0
2015-06-02,35.43,35.52,34.75,35.01,28.73,2156900,0.0,0
2015-06-03,35.0,35.15,34.24,34.48,28.3,2182900,0.0,0
2015-06-04,34.35,34.94,34.32,34.55,28.35,2506200,0.0,0
2015-06-05,34.15,34.43,33.88,34.4,28.23,2940800,0.0,0
2015-06-08,34.33,34.57,34.18,34.3,28.15,2041800,0.0,0
2015-06-09,34.2,34.35,33.88,33.92,27.84,2557000,0.0,0
2015-06-10,34.25,34.79,34.23,34.54,28.34,4708100,0.0,0
2015-06-11,34.76,34.84,34.2,34.52,28.33,2164800,0.0,0
2015-06-12,34.37,34.37,33.67,33.67,27.63,2492200,0.0,0
2015-06-15,33.61,33.66,33.17,33.29,27.32,2736200,0.0,0
2015-06-16,33.29,33.41,33.0,33.36,27.38,1910800,0.0,0
2015-06-17,33.35,33.62,32.98,33.43,27.43,3586500,0.0,0
2015-06-18,33.51,34.14,33.5,34.04,27.93,3111300,0.0,0
2015-06-19,34.02,34.24,33.75,33.8,27.74,3378100,0.0,0
2015-06-22,33.95,34.06,33.63,33.69,27.65,2041300,0.0,0
2015-06-23,33.76,33.79,33.17,33.27,27.3,2537600,0.0,0
2015-06-24,33.25,33.35,33.0,33.0,27.08,2059700,0.0,0
2015-06-25,33.04,33.14,32.83,32.86,26.97,2219400,0.0,0
2015-06-26,32.86,33.05,32.57,32.75,26.88,2285200,0.0,0
2015-06-29,32.68,33.38,32.59,32.61,26.76,2493200,0.0,0
2015-06-30,32.69,32.81,32.46,32.55,26.71,2313500,0.0,0
2015-07-01,32.66,32.83,32.53,32.81,26.93,1796100,0.0,0
2015-07-02,33.09,33.41,32.96,33.21,27.25,1411100,0.0,0
2015-07-06,33.14,33.52,32.87,33.31,27.34,1944200,0.0,0
2015-07-07,33.43,34.18,33.39,34.06,27.95,2727200,0.0,0
2015-07-08,33.89,34.16,33.71,33.79,27.73,2412300,0.0,0
2015-07-09,33.91,34.14,33.33,33.47,27.47,1615700,0.0,0
2015-07-10,33.63,33.93,33.42,33.66,27.62,1477500,0.0,0
2015-07-13,33.78,33.84,33.43,33.67,27.63,1555100,0.0,0
2015-07-14,33.67,33.88,33.44,33.62,27.59,1471400,0.0,0
2015-07-15,33.55,33.87,33.43,33.86,27.79,1690100,0.0,0
2015-07-16,33.9,34.73,33.79,34.69,28.47,3000700,0.0,0
2015-07-17,34.56,34.6,34.27,34.4,28.23,2069000,0.0,0
2015-07-20,34.4,34.42,33.76,33.97,27.88,1858600,0.0,0
2015-07-21,33.86,33.95,33.19,33.28,27.31,1900800,0.0,0
2015-07-22,33.37,33.61,33.19,33.32,27.34,2148000,0.0,0
